source,target
Rv0023,Rv0730
Rv0023,Rv0731c
Rv0023,Rv0732
Rv0023,Rv0733
Rv0023,Rv0734
Rv0023,Rv0739
Rv0023,Rv0740
Rv0023,Rv0742
Rv0023,Rv0743c
Rv0023,Rv0749A
Rv0023,Rv0750
Rv0023,Rv0759c
Rv0023,Rv0760c
Rv0023,Rv0761c
Rv0023,Rv0762c
Rv0023,Rv0763c
Rv0023,Rv0764c
Rv0023,Rv0765c
Rv0023,Rv0766c
Rv0023,Rv0777
Rv0023,Rv0778
Rv0023,Rv0779c
Rv0023,Rv0780
Rv0023,Rv0781
Rv0023,Rv0782
Rv0023,Rv0783c
Rv0023,Rv0786c
Rv0023,Rv0787
Rv0023,Rv0787A
Rv0023,Rv0788
Rv0023,Rv0808
Rv0023,Rv0809
Rv0023,Rv0822c
Rv0023,Rv0830
Rv0023,Rv0845
Rv0023,Rv0846c
Rv0023,Rv0867c
Rv0023,Rv0878c
Rv0023,Rv0879c
Rv0023,Rv0887c
Rv0023,Rv0888
Rv0023,Rv0890c
Rv0023,Rv0891c
Rv0023,Rv0892
Rv0023,Rv0913c
Rv0023,Rv0914c
Rv0023,Rv0915c
Rv0023,Rv0916c
Rv0023,Rv0917
Rv0023,Rv0928
Rv0023,Rv0929
Rv0023,Rv0930
Rv0023,Rv0931c
Rv0023,Rv0936
Rv0023,Rv0937c
Rv0023,Rv0938
Rv0023,Rv0939
Rv0023,Rv0949
Rv0023,Rv0950c
Rv0023,Rv0951
Rv0023,Rv0952
Rv0023,Rv0955
Rv0023,Rv0957
Rv0023,Rv0961
Rv0023,Rv0962c
Rv0023,Rv0963c
Rv0023,Rv0995
Rv0023,Rv0996
Rv0023,Rv0997
Rv0023,Rv0998
Rv0023,Rv1006
Rv0023,Rv1007c
Rv0023,Rv1008
Rv0023,Rv1009
Rv0023,Rv1015c
Rv0023,Rv1016c
Rv0023,Rv1017c
Rv0023,Rv1018c
Rv0023,Rv1019
Rv0023,Rv1020
Rv0023,Rv1021
Rv0023,Rv1032c
Rv0023,Rv1033c
Rv0023,Rv1040c
Rv0023,Rv1043c
Rv0023,Rv1044
Rv0023,Rv1051c
Rv0023,Rv1052
Rv0023,Rv1056
Rv0023,Rv1057
Rv0023,Rv1058
Rv0023,Rv1059
Rv0023,Rv1060
Rv0023,Rv1061
Rv0023,Rv1062
Rv0023,Rv1067c
Rv0023,Rv1069c
Rv0023,Rv1070c
Rv0023,Rv1071c
Rv0023,Rv1075c
Rv0023,Rv1076
Rv0023,Rv1077
Rv0023,Rv1080c
Rv0023,Rv1081c
Rv0023,Rv1082
Rv0023,Rv1083
Rv0023,Rv1087A
Rv0023,Rv1088
Rv0023,Rv1089
Rv0023,Rv1091
Rv0023,Rv1092c
Rv0023,Rv1093
Rv0023,Rv1101c
Rv0023,Rv1102c
Rv0023,Rv1103c
Rv0023,Rv1104
Rv0023,Rv1107c
Rv0023,Rv1108c
Rv0023,Rv1109c
Rv0023,Rv1110
Rv0023,Rv1116
Rv0023,Rv1156
Rv0023,Rv1157c
Rv0023,Rv1158c
Rv0023,Rv1159
Rv0023,Rv1159A
Rv0023,Rv1160
Rv0023,Rv1161
Rv0023,Rv1163
Rv0023,Rv1164
Rv0023,Rv1165
Rv0023,Rv1166
Rv0023,Rv1167c
Rv0023,Rv1168c
Rv0023,Rv1169c
Rv0023,Rv1170
Rv0023,Rv1172c
Rv0023,Rv1173
Rv0023,Rv1175c
Rv0023,Rv1176c
Rv0023,Rv1177
Rv0023,Rv1178
Rv0023,Rv1183
Rv0023,Rv1184c
Rv0023,Rv1185c
Rv0023,Rv1204c
Rv0023,Rv1205
Rv0023,Rv1206
Rv0023,Rv1212c
Rv0023,Rv1213
Rv0023,Rv1220c
Rv0023,Rv1221
Rv0023,Rv1226c
Rv0023,Rv1227c
Rv0023,Rv1228
Rv0023,Rv1230c
Rv0023,Rv1231c
Rv0023,Rv1265
Rv0023,Rv1266c
Rv0023,Rv1290c
Rv0023,Rv1301
Rv0023,Rv1302
Rv0023,Rv1303
Rv0023,Rv1304
Rv0023,Rv1305
Rv0023,Rv1306
Rv0023,Rv1307
Rv0023,Rv1308
Rv0023,Rv1309
Rv0023,Rv1310
Rv0023,Rv1311
Rv0023,Rv1312
Rv0023,Rv1319c
Rv0023,Rv1320c
Rv0023,Rv1321
Rv0023,Rv1322A
Rv0023,Rv1323
Rv0023,Rv1324
Rv0023,Rv1325c
Rv0023,Rv1326c
Rv0023,Rv1327c
Rv0023,Rv1328
Rv0023,Rv1329c
Rv0023,Rv1337
Rv0023,Rv1338
Rv0023,Rv1339
Rv0023,Rv1340
Rv0023,Rv1346
Rv0023,Rv1347c
Rv0023,Rv1348
Rv0023,Rv1352
Rv0023,Rv1353c
Rv0023,Rv1354c
Rv0023,Rv1355c
Rv0023,Rv1357c
Rv0023,Rv1358
Rv0023,Rv1359
Rv0023,Rv1362c
Rv0023,Rv1363c
Rv0023,Rv1364c
Rv0023,Rv1365c
Rv0023,Rv1369c
Rv0023,Rv1370c
Rv0023,Rv1371
Rv0023,Rv1391
Rv0023,Rv1402
Rv0023,Rv1403c
Rv0023,Rv1404
Rv0023,Rv1405c
Rv0023,Rv1406
Rv0023,Rv1407
Rv0023,Rv1410c
Rv0023,Rv1411c
Rv0023,Rv1412
Rv0023,Rv1428c
Rv0023,Rv1429
Rv0023,Rv1432
Rv0023,Rv1433
Rv0023,Rv1434
Rv0023,Rv1455
