target,source
SP_1233,SP_1234
SP_1241,SP_0501
SP_1242,SP_0501
SP_1243,SP_0501
SP_1249,SP_1979
SP_1306,SP_1584
SP_1306,SP_0501
SP_1324,SP_1999
SP_1324,SP_1331
SP_1324,SP_1674
SP_1325,SP_1674
SP_1325,SP_1331
SP_1325,SP_1999
SP_1326,SP_1331
SP_1326,SP_1674
SP_1326,SP_1999
SP_1327,SP_1674
SP_1327,SP_1331
SP_1327,SP_1999
SP_1328,SP_1331
SP_1328,SP_1674
SP_1328,SP_1999
SP_1329,SP_1999
SP_1329,SP_1331
SP_1329,SP_1674
SP_1330,SP_1674
SP_1330,SP_1999
SP_1330,SP_1331
SP_1331,SP_1331
SP_1331,SP_1999
SP_1331,SP_1674
SP_1360,SP_1584
SP_1361,SP_1584
SP_1380,SP_1714
SP_1381,SP_1714
SP_1382,SP_2112
SP_1394,SP_2077
SP_1394,SP_0893
SP_1394,SP_1203
SP_1415,SP_1446
SP_1416,SP_1999
SP_1420,SP_1090
SP_1421,SP_1090
SP_1460,SP_0927
SP_1461,SP_0927
SP_1470,SP_1999
SP_1491,SP_1999
SP_1506,SP_1999
SP_1507,SP_1999
SP_1508,SP_1999
SP_1509,SP_1999
SP_1510,SP_1999
SP_1511,SP_1999
SP_1512,SP_1999
SP_1513,SP_1999
SP_1514,SP_1999
SP_1524,SP_0676
SP_1525,SP_0676
SP_1576,SP_0676
SP_1576,SP_0927
SP_1578,SP_1584
SP_1580,SP_1999
SP_1583,SP_1584
SP_1583,SP_1999
SP_1584,SP_1584
SP_1584,SP_1999
SP_1588,SP_1999
SP_1602,SP_1999
SP_1615,SP_1999
SP_1616,SP_1999
SP_1617,SP_1999
SP_1618,SP_1999
SP_1619,SP_1999
SP_1620,SP_1999
SP_1621,SP_1999
SP_1648,SP_1638
SP_1649,SP_1638
SP_1650,SP_1638
SP_1675,SP_1674
SP_1675,SP_1331
SP_1676,SP_1674
SP_1676,SP_1331
SP_1681,SP_1674
SP_1681,SP_1999
SP_1681,SP_1331
SP_1682,SP_1331
SP_1682,SP_1674
SP_1682,SP_1999
SP_1683,SP_1674
SP_1683,SP_1999
SP_1683,SP_1331
SP_1684,SP_1331
SP_1684,SP_1999
SP_1684,SP_1674
SP_1685,SP_1999
SP_1685,SP_1674
SP_1685,SP_1331
SP_1714,SP_1714
SP_1715,SP_1714
SP_1716,SP_1999
SP_1717,SP_1999
SP_1721,SP_1999
SP_1721,SP_1725
SP_1722,SP_1725
SP_1722,SP_1999
SP_1724,SP_1725
SP_1725,SP_1725
SP_1795,SP_1799
SP_1795,SP_1999
SP_1796,SP_1799
SP_1796,SP_1999
SP_1797,SP_1799
SP_1797,SP_1999
SP_1798,SP_1999
SP_1798,SP_1799
SP_1852,SP_1999
SP_1852,SP_1854
SP_1853,SP_1999
SP_1853,SP_1854
SP_1854,SP_1999
SP_1854,SP_1854
SP_1855,SP_1856
SP_1856,SP_1856
SP_1857,SP_1858
SP_1858,SP_1858
SP_1859,SP_1234
SP_1869,SP_1584
SP_1870,SP_1584
SP_1871,SP_1584
SP_1872,SP_1584
SP_1883,SP_1999
SP_1883,SP_1885
SP_1884,SP_1885
SP_1884,SP_1999
SP_1885,SP_1999
SP_1885,SP_1885
SP_1887,SP_1584
SP_1888,SP_1584
SP_1889,SP_1584
SP_1890,SP_1584
SP_1891,SP_1584
SP_1895,SP_1999
SP_1896,SP_1999
SP_1897,SP_1999
SP_1898,SP_1999
SP_1899,SP_1999
SP_1906,SP_0515
SP_1906,SP_2195
SP_1907,SP_0515
SP_1907,SP_2195
SP_1918,SP_1920
SP_1919,SP_1920
SP_1920,SP_1920
SP_1960,SP_1584
SP_1961,SP_1584
SP_1976,SP_1999
SP_1999,SP_1999
SP_2016,SP_1234
SP_2026,SP_1999
SP_2026,SP_1090
SP_2031,SP_2032
SP_2044,SP_1999
SP_2055,SP_1090
SP_2055,SP_2172
SP_2056,SP_1446
SP_2066,SP_1584
SP_2072,SP_0927
SP_2077,SP_1203
SP_2077,SP_0893
SP_2077,SP_2077
SP_2078,SP_0893
SP_2078,SP_1203
SP_2078,SP_2077
SP_2106,SP_2112
SP_2106,SP_1999
SP_2107,SP_2112
SP_2107,SP_1999
SP_2108,SP_1999
SP_2108,SP_2112
SP_2109,SP_1999
SP_2109,SP_2112
SP_2110,SP_1999
SP_2110,SP_2112
SP_2111,SP_1999
SP_2126,SP_1584
SP_2148,SP_2077
SP_2148,SP_0501
SP_2148,SP_1203
SP_2148,SP_0893
SP_2150,SP_2077
SP_2150,SP_0501
SP_2150,SP_0893
SP_2150,SP_1203
SP_2151,SP_1203
SP_2151,SP_2077
SP_2151,SP_0501
SP_2151,SP_0893
SP_2152,SP_1203
SP_2152,SP_2077
SP_2152,SP_1999
SP_2152,SP_0893
SP_2153,SP_1203
SP_2153,SP_2077
SP_2153,SP_0893
SP_2153,SP_1999
SP_2157,SP_2168
SP_2157,SP_1999
SP_2158,SP_2168
SP_2158,SP_1999
SP_2159,SP_2168
SP_2159,SP_1999
SP_2160,SP_2168
SP_2160,SP_1999
SP_2161,SP_2168
SP_2161,SP_1999
SP_2162,SP_2168
SP_2162,SP_1999
SP_2163,SP_2168
SP_2163,SP_1999
SP_2164,SP_2168
SP_2164,SP_1999
SP_2165,SP_2168
SP_2165,SP_1999
SP_2166,SP_2168
SP_2166,SP_1999
SP_2167,SP_2168
SP_2167,SP_1999
SP_2168,SP_1999
SP_2168,SP_2168
SP_2169,SP_2172
SP_2170,SP_2172
SP_2171,SP_2172
SP_2172,SP_2172
SP_2184,SP_1999
SP_2185,SP_1999
SP_2186,SP_1999
SP_2187,SP_1999
SP_2194,SP_2195
SP_2195,SP_2195
SP_2206,SP_1999
SP_2233,SP_2234
SP_2234,SP_2234
