Gene.NewLT,mean_CTRL,Total_CTRL,sd_CTRL,se_CTRL,M_CTRL,mean.EXPT,Total_EXPT,sd_EXPT,se_EXPT,M_EXPT,Value,Df,tstat,pval,Sig,Gene
SPT_RS04100,0.703378155,35,0.456461005,0.077155992,NA,0.78276583,35,0.433591864,0.073290402,NA,-0.079387675,68,0.527680812,0.599438544,FALSE,SPT_0824
SPT_RS04105,0.503705004,28,0.514562442,0.097243161,NA,0.604496717,28,0.498436545,0.094195653,NA,-0.100791713,54,0.526495702,0.600699849,FALSE,SPT_0825
SPT_RS04110,0.519636037,32,0.507116592,0.089646395,NA,0.617240624,32,0.495960758,0.087674304,NA,-0.097604586,62,0.550441019,0.583994777,FALSE,SPT_0826
SPT_RS04115,0.497081985,27,0.530900238,0.102171798,NA,0.642131098,27,0.469016671,0.0902623,NA,-0.145049113,52,0.75375993,0.454393026,FALSE,SPT_0827
SPT_RS04120,0.503393751,13,0.491828627,0.136408718,NA,0.666731457,13,0.475546094,0.131892756,NA,-0.163337706,24,0.608784228,0.548386998,FALSE,SPT_0828
SPT_RS04125,0.529767287,27,0.239412246,0.046074908,NA,0.680906034,27,0.255988777,0.049265063,NA,-0.151138746,52,1.585261085,0.118970295,FALSE,SPT_0829
SPT_RS04145,0.53220632,62,0.510310891,0.064809548,NA,0.478566125,62,0.501031003,0.063631001,NA,0.053640195,122,-0.41762664,0.676954186,FALSE,SPT_0834
SPT_RS04150,0.5766114,116,0.499130814,0.046343133,NA,0.653762721,116,0.48334005,0.044876997,NA,-0.077151321,230,0.845770787,0.398559656,FALSE,SPT_0835
SPT_RS04155,0.528744734,105,0.537216273,0.05242694,NA,0.618769018,105,0.503619755,0.049148256,NA,-0.090024285,208,0.886282169,0.376489027,FALSE,SPT_0836
SPT_RS04160,0.56215071,54,0.511100337,0.069551946,NA,0.631132351,54,0.498627341,0.067854587,NA,-0.068981641,106,0.502025921,0.616690519,FALSE,SPT_0837
SPT_RS04165,0.531341463,49,0.509122677,0.072731811,NA,0.527408406,49,0.523653813,0.074807688,NA,0.003933057,96,-0.026657656,0.978788123,FALSE,SPT_0838
SPT_RS04170,0.578347207,63,0.512408904,0.064557454,NA,0.634811359,63,0.503107264,0.063385557,NA,-0.056464152,124,0.441322676,0.659747986,FALSE,SPT_0839
SPT_RS04185,0.435436698,73,0.499890335,0.058507738,NA,0.538534263,73,0.496274436,0.058084529,NA,-0.103097565,144,0.884257315,0.378031342,FALSE,SPT_0843
SPT_RS04200,0.658727672,33,0.480071627,0.083569744,NA,0.741440232,33,0.464539699,0.080865982,NA,-0.082712559,64,0.50300845,0.616685056,FALSE,SPT_0846
SPT_RS04205,0.950429768,14,0.303814065,0.081197724,NA,0.95599425,14,0.294032913,0.078583602,NA,-0.005564482,26,0.03482561,0.972484795,FALSE,SPT_0848
SPT_RS04210,0.562127964,21,0.502669015,0.109691372,NA,0.656387593,21,0.478286451,0.10437066,NA,-0.094259629,40,0.440337916,0.662062853,FALSE,SPT_0849
SPT_RS04215,0.663126652,63,0.48788664,0.061467939,NA,0.708218574,63,0.444797041,0.05603916,NA,-0.045091923,124,0.383737861,0.701829921,FALSE,SPT_0850
SPT_RS04220,0,2,0,0,NA,0,2,0,0,NA,0,2,NA,NA,FALSE,SPT_0851
SPT_RS04225,0.532169683,25,0.527126678,0.105425336,NA,0.575913158,25,0.489427685,0.097885537,NA,-0.043743475,48,0.215155612,0.830557573,FALSE,SPT_0852
SPT_RS04230,0.07609203,32,0.208601083,0.03687581,NA,0.053922398,32,0.194165773,0.034323984,NA,0.022169633,62,-0.311372146,0.756562307,FALSE,SPT_0853
SPT_RS04235,0,3,0,0,NA,0,3,0,0,NA,0,4,NA,NA,FALSE,SPT_0854
SPT_RS04240,0.613515922,15,0.521768284,0.134719992,NA,0.670032969,15,0.495623323,0.127969392,NA,-0.056517046,28,0.215147813,0.831211509,FALSE,SPT_0855
SPT_RS04250,0.413775669,22,0.509897802,0.108710577,NA,0.581921372,22,0.503248256,0.107292889,NA,-0.168145703,42,0.77843984,0.440673456,FALSE,SPT_0856
SPT_RS04260,0.719305549,12,0.439327053,0.126822796,NA,0.760909034,12,0.46095894,0.133067384,NA,-0.041603485,22,0.160081021,0.874277967,FALSE,SPT_0858
SPT_RS04265,0.469258787,15,0.523207062,0.135091483,NA,0.538782956,15,0.522058736,0.134794986,NA,-0.069524169,28,0.257605242,0.798595437,FALSE,SPT_0859
SPT_RS04270,0.361798452,2,0.511660277,0.361798452,NA,0.397152892,2,0.561659006,0.397152892,NA,-0.035354441,2,0.046583277,0.967078504,FALSE,SPT_0860
SPT_RS04275,0.085788152,11,0.28452711,0.085788152,NA,0.303521253,11,0.425816803,0.128388597,NA,-0.217733102,20,1.016604759,0.32148266,FALSE,SPT_0861
