"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L60MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L60MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L60MIN.C","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC60MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC60MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC60MIN.C"
"1","SPT_1729",540.91587034716,-2.47254537158266,0.507930324886416,-4.86788295645781,1.12800100224738e-06,0.0022379539884588,51.4961862416212,94.6529329890095,239.419477596671,999.852439502011,1003.40296599959,856.67121975406
"2","SPT_0065",2762.35625054084,1.54383319787623,0.363688772561504,4.24492949563119,2.18662163083221e-05,0.00503327562461651,3858.25272302608,5782.43372441949,2938.39058019758,1107.43626105866,1447.16399124918,1440.46022329403
"3","SPT_1056",1330.99296006206,-1.62076405292147,0.372743270841616,-4.34820472885251,1.37256449603665e-05,0.00503327562461651,392.163264455423,593.732034203787,850.972850733571,2221.64353186564,1976.26367520062,1951.1824039133
"4","SPT_1203",52.8843884982507,-1.90113500048652,0.436214442010473,-4.35825781403374,1.31101891714433e-05,0.00503327562461651,25.7480931208106,12.9072181348649,18.0064788164627,110.59315922257,84.4403570312994,65.6110246634964
"5","SPT_1539",340.962781785034,2.31401231679858,0.546352955353567,4.23537988423818,2.28165643575558e-05,0.00503327562461651,335.385418086456,1226.18572281217,226.748251762864,91.7847988105683,75.457340325842,90.2151589123075
"6","SPT_1728",1119.08191409954,-2.57748298765327,0.608582448530131,-4.23522399286817,2.28323995068289e-05,0.00503327562461651,34.3307908277475,124.769775303694,444.826717428912,2019.2655738325,2304.14378494982,1787.15484225455
"7","SPT_2131",2046.06338597593,2.3427719051561,0.55155035037091,4.24761203320896,2.16061127603257e-05,0.00503327562461651,2055.22599705342,7387.2311791877,1324.47655294426,415.288597896998,432.0831035325,662.074885240736
"8","SPT_2146",348.610073322487,-1.57647836872889,0.368026943397754,-4.28359498403645,1.83897538223772e-05,0.00503327562461651,130.060880635889,189.305865978019,178.064068296131,446.134308972681,718.64133643659,429.453979615613
"9","SPT_2208",2527.25670939716,-2.21806006073385,0.519743657182619,-4.26760390450422,1.97583749725169e-05,0.00503327562461651,283.889231844835,507.683913304687,1344.48375162922,4963.15014551901,4938.86258466047,3125.47062942474
"10","SPT_1073",1266.7025313358,1.18720950457146,0.296375340998264,4.00576343690621,6.18174939374874e-05,0.0115896367419256,1816.89108380694,2078.06211971325,1447.85427816817,789.198802887592,671.929649568212,796.279253870615
"11","SPT_1726",453.000563694763,-1.93831564367273,0.484990399613909,-3.99660621161941,6.42570585489826e-05,0.0115896367419256,59.4186764326399,167.793835753244,254.091423298974,726.755046319746,741.99717987078,767.947220493196
"12","SPT_0023",520.843061927805,2.08858082896188,0.553068397525653,3.77635178271962,0.000159142186977715,0.0175464959378595,277.947364201571,1819.91775701596,567.537536029991,160.999565126735,142.829965616772,155.826183575804
"13","SPT_0064",1179.52308137401,1.40184874567037,0.373346018587318,3.75482441455984,0.000173463038141093,0.0175464959378595,2155.57753947299,2035.0380592637,1046.37649122333,563.498477943571,610.845135971102,665.802784369344
"14","SPT_0135",4166.38912289814,2.18574705783147,0.571006156555046,3.82788702492871,0.000129248053315081,0.0175464959378595,3928.23471971341,15579.012288782,2149.44004538738,1122.48294938826,971.064105859943,1248.10062825787
"15","SPT_0163",18940.3067220539,-1.72944582594905,0.453825301369636,-3.81081843768873,0.000138507469359075,0.0175464959378595,3893.24372136975,6539.65718833157,13073.3705273748,32768.6778442059,31288.7454867786,26078.1455642626
"16","SPT_RS00900",748.043761827527,2.27000936173671,0.60526612065709,3.75043189146674,0.000176530250781709,0.0175464959378595,537.408917957432,3071.91791609785,356.128136592262,139.181867048813,173.372222415327,210.253510853477
"17","SPT_0688",16761.523144223,-2.06719425884388,0.552982632191933,-3.73826253936739,0.00018529639364285,0.0175464959378595,1638.63505450902,3024.59144960335,10424.4174214862,30332.6190036434,30938.4078352658,24210.4681008302
"18","SPT_1058",961.869457242656,-2.011409488736,0.538143432317394,-3.73768287029783,0.000185723999342263,0.0175464959378595,120.817975413034,167.793835753244,626.225318839203,1597.95830060367,1545.07887333867,1713.34243950812
"19","SPT_1224",1933.98083229904,-1.55744131476718,0.407280092452555,-3.82400550291715,0.000131300982056881,0.0175464959378595,619.934857447209,662.570530923066,1441.18521193985,3068.7720848222,2879.05685409909,2932.36545456285
"20","SPT_1486",330.891513107393,-1.29559546963681,0.338868111216375,-3.8233030100892,0.000131675797390727,0.0175464959378595,135.342540763235,189.305865978019,228.74897163136,482.246360963724,516.523460563799,433.18187874422
"21","SPT_1782",2623.15435418631,2.17444168947645,0.578971524395707,3.75569712473509,0.000172859640672364,0.0175464959378595,2279.69655246562,9947.16277593591,1421.17801325489,631.960909843257,551.557225715083,907.370647903126
"22","SPT_0112",5710.71656498902,1.78599710943031,0.481145903646668,3.71196573823865,0.000205655830433294,0.0185464167081662,7573.90062261383,16056.579359772,3926.74619523453,2010.23756083474,2335.58434341892,2361.25130806015
