"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L180MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L180MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L180MIN.C","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC180MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC180MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC180MIN.C"
"1","SPT_2219",6108.61816537065,3.88694207148193,0.163331227272829,23.797911375448,3.5102825777513e-125,7.56114867247629e-122,12659.987872638,12304.4029563335,9454.84875540584,687.035880484295,853.970989376282,691.462537985985
"2","SPT_2047",9842.16737281919,3.09876134153174,0.150818284817397,20.5463239771196,8.30166343162178e-94,8.94089151585666e-91,16186.7178135844,20577.2226556207,16267.2943651961,2019.12211542329,2162.54345070909,1840.10383638153
"3","SPT_2045",6274.91438846859,3.0360991719637,0.151443441727105,20.0477428229254,2.11212888667346e-89,1.51650854063154e-86,10125.1923635143,13178.9756285537,10351.0314399023,1417.32957566575,1293.27745853801,1283.67986463751
"4","SPT_0172",4284.95162638702,3.53573342524266,0.178536934106831,19.8039326872667,2.75336159533311e-87,1.48268521908688e-84,9862.05327649617,7813.48246182168,6074.12708380941,685.763591816731,599.903998507119,674.379345871037
"5","SPT_2226",1186.5642498658,3.25644941335902,0.172617008830942,18.8651711405121,2.20556152804439e-79,9.50155906281524e-77,2013.18055941444,2501.58994761519,1950.22952750858,250.640867510011,215.829483882165,187.915113264426
"6","SPT_1057",3152.35870998907,-2.8368659865392,0.152040801746361,-18.6585834457236,1.07544484337155e-77,3.86084698770388e-75,643.524957112625,790.440002433333,845.18041789911,5866.52304613534,5597.97102289646,5170.51281345755
"7","SPT_1857",23643.1162660016,2.55794935836434,0.141341151076828,18.0976972302562,3.32271754637292e-73,1.02244765641247e-70,37961.3107206064,38214.5512936074,45445.4482176096,6154.06028500469,7083.28573874695,7000.04134043459
"8","SPT_1247",2280.84147491838,2.61840702310548,0.145581181604003,17.9858893454227,2.51323888473377e-72,6.76689569714567e-70,3676.61929431116,3999.69426123991,4126.32623566261,697.214189824803,571.013437672499,614.181430799316
"9","SPT_1787",1590.87654443777,2.48805265087886,0.14490040110807,17.1707782162951,4.39487935141026e-66,1.05184112477086e-63,2887.86820816069,2596.57844576169,2639.97446625383,501.281735020023,484.341755168637,435.214656261767
"10","SPT_1059",1202.69942231586,-2.49857173619928,0.147610973272079,-16.9267343803354,2.85802731122882e-64,6.15619082838689e-62,325.093353075529,375.88305695113,366.730583628637,2034.38957943405,2029.13703744334,2084.96292336245
