"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L150MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L150MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L150MIN.C","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC150MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC150MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC150MIN.C"
"1","SPT_2219",4252.94898529217,2.91709271250707,0.16804854554187,17.3586311211498,1.69721930737734e-67,3.65750760739817e-64,6915.33066472457,8520.10351765223,7226.08968488862,799.047387844551,1097.65607471144,959.466581931623
"2","SPT_1247",1859.92689524862,2.53069711780834,0.153449937965974,16.4920048281121,4.18818944628558e-61,4.51277412837271e-58,3081.94441685914,3304.96855433274,3171.42765021831,614.14386007887,492.662718464362,494.414171538309
"3","SPT_1857",17440.7882361942,2.36690056238212,0.158953046649258,14.8905643035888,3.79552467494006e-50,2.72645189149861e-47,31199.0384955945,25792.1268647269,31155.5794031809,4678.05925247174,5810.23590232027,6009.68949887083
"4","SPT_2045",4678.23389081861,2.23273186867257,0.157753485685399,14.1532965751718,1.78203682354755e-45,9.60072338686241e-43,6411.78716972035,8260.95728281013,8602.29209787195,1599.41551517314,1641.61939940728,1553.33187992879
"5","SPT_2047",7480.28436603953,2.23991987157401,0.163223034420253,13.72306230876,7.38779233328942e-43,3.18413849564774e-40,10979.8304654253,13560.0341527075,12725.4219142827,2245.25712286899,2970.12820216037,2401.03433879236
"6","SPT_2247",6125.91709406899,1.79290649482237,0.13892569065991,12.9055071549826,4.19047470527209e-38,1.50507883164356e-35,10232.262045919,9619.15685261344,8800.8486649193,2498.83910380478,2819.76435630949,2784.63154084795
"7","SPT_0064",2139.22162792593,1.83092774261908,0.144117268608553,12.7044299430361,5.58750982988869e-37,1.51396186125911e-34,3518.34877919612,3560.21051445028,2987.93399515387,919.234680892244,925.179898588371,924.421899274693
"8","SPT_1057",5963.81755210261,-2.69128303237514,0.211936517708754,-12.6985337943201,6.02478726776049e-37,1.51396186125911e-34,995.466755508335,1618.32187332654,1886.9720647672,10218.561388022,11486.9133297965,9576.66990119511
"9","SPT_2048",5592.61946671775,1.74976965116659,0.137834070430994,12.6947542483163,6.32281055746264e-37,1.51396186125911e-34,8986.31468007524,8968.1190422945,8023.05466434762,2551.6686831664,2687.09037467636,2339.46935574641
"10","SPT_0063",3731.96197020039,1.79028820257963,0.143983137419166,12.4340130008955,1.70837877750591e-35,3.68155626552524e-33,6136.77495321805,6106.77370353891,5207.65947917973,1738.0931609974,1535.48021410078,1666.99031016748
"11","SPT_0065",5060.7421939185,1.90705237907132,0.155175142728498,12.289676977504,1.02916449654263e-34,2.01622680913579e-32,7430.49439422888,7333.69203572918,9344.48285193859,1929.60038618329,2131.62863823898,2194.55485719207
"12","SPT_0069",972.169624376497,1.77071338755792,0.144650653069325,12.2413093199745,1.86991525554976e-34,3.35805614642477e-32,1473.187507179,1545.60475658177,1514.50733209907,414.712197988742,436.055152967559,448.950799442833
"13","SPT_0062",2467.98624152697,1.87489719286838,0.153657511024563,12.201793328337,3.0405281279803e-34,5.04026008907504e-32,4405.36001270355,3913.54737702218,3380.93906234413,994.516831482557,1063.16083948683,1050.39332612258
"14","SPT_2042",5797.25703446656,1.88774566369978,0.155795337610787,12.1168302764991,8.6022130760766e-34,1.32412636992465e-31,9835.88293574902,9792.4090435154,7908.02879102364,2578.08347284721,2518.15217139684,2150.98579226724
"15","SPT_2044",1442.99257116655,2.01750798988792,0.16675224732841,12.098835381298,1.07120073001078e-33,1.53895838211548e-31,1979.31327651657,2496.7836863506,2512.76758987504,507.163961871583,618.260754410393,543.666157975076
"16","SPT_1056",1994.47144857532,-2.4475654500443,0.206598673801505,-11.8469562510157,2.23149570442609e-32,3.0055457768989e-30,410.581619003438,632.492505377322,713.434285735639,2963.73940218706,3878.50272974188,3368.07814940657
"17","SPT_0172",3102.20440743384,3.11910162536854,0.264693797764619,11.7838107719555,4.73049822381457e-32,5.99660216018847e-30,5103.86521987607,8029.14097103989,3786.26833024768,439.806248185513,787.198957689914,466.946717563959
"18","SPT_2041",10851.6412987989,2.15591592604556,0.183505651773836,11.7484987803136,7.18845431879661e-32,8.60617725389261e-30,14061.7748822844,18619.4861613855,20910.0605435378,3705.99499221787,4446.34737113168,3366.18384223592
