"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.c"
"1","SP_0338",36130.3694467342,8.08861547344919,0.139246660607792,58.0883982290386,0,0,77141.1762064066,66674.98302838,72216.1040747961,246.010629510435,245.849062729603,258.093678582628
"2","SP_0515",17911.4428929483,4.67035900338429,0.141595351076957,32.9838442283741,1.3847724022413e-238,1.53363543548224e-235,38663.0812549912,33831.2601248695,31044.2665418609,1173.281463819,1399.97382943246,1356.7941427165
"3","SP_0519",17421.139454595,3.99957364695395,0.127018688006745,31.4880724223947,1.26517002911446e-217,9.34117204829508e-215,30795.5005069964,35615.1758260458,32099.7296782658,1856.90715543934,1992.40177920449,2167.12178161838
"4","SP_0517",120002.932631068,4.60101595847064,0.153943033538803,29.8877828551488,2.83640874249876e-196,1.57066134115869e-193,234539.981549867,228911.546506808,229109.114887903,7276.23746513555,10074.6897164402,10106.025660255
"5","SP_0516",14998.4448879894,4.8594035856733,0.165719464839383,29.323070710994,5.269940215941e-189,2.33458351566186e-186,26247.2913389797,32821.3977950092,28061.1815849733,830.285874597717,1152.41748154501,878.095252831398
"6","SP_RS02535",12548.7556664616,3.84825454476566,0.207871262102316,18.5126818678356,1.63170892649242e-76,6.02372545363453e-74,29525.1353814204,19897.2529517199,21253.5662331219,1151.99208241905,1603.14076321595,1861.44658687247
"7","SP_2063",2425.50302561168,2.43826362578836,0.132131219794527,18.4533498561507,4.90107202313028e-76,1.55083921874765e-73,3846.01626056607,4274.21178852427,4189.18925225288,820.823927308854,711.937910821141,710.839014196846
"8","SP_1906",23360.9419313156,2.34619207239649,0.134431875643949,17.4526470091849,3.28643470042324e-68,9.09931607679684e-66,40001.400532901,37461.8808948818,39955.4954889027,6637.55602313731,8584.22977364196,7525.08887442868
"9","SP_0463",2750.67621407156,-2.17629083147314,0.127813168048934,-17.0271253321876,5.16814348054213e-65,1.27193753437787e-62,933.425786920206,925.445513339989,1099.82671396282,4503.88690949873,4560.15865660256,4481.31370410506
"10","SP_0107",1463.90332199648,2.94663752470266,0.184308157143992,15.9875589358781,1.56026073649449e-57,3.4559775313353e-55,2783.28882267714,2939.5888959352,2080.21302680822,361.919483799005,332.92060577967,285.489096979666
"11","SP_0049",1671.32359203023,-1.9166093836584,0.121298377775917,-15.8007833146713,3.07274600655421e-56,6.18739309501598e-54,698.417676765372,689.636554795762,695.19188568749,2800.73639750341,2490.92904529507,2653.02999213427
"12","SP_0391",2805.80815075435,1.88500404367638,0.120285663228327,15.671061646792,2.38561052013717e-55,4.40343941841986e-53,4681.2860496706,4323.39679319104,4268.16617054276,1232.41863437439,1193.39232533328,1136.18893141403
"13","SP_1907",1442.25809837461,2.50705639997673,0.170229813586715,14.7274813215938,4.29414068490547e-49,7.31655509005047e-47,2846.52393665454,2095.4207307325,2447.79695514508,404.498246598888,389.261015988538,470.047705128137
"14","SP_1468",4234.51262141128,-2.45315990207566,0.169401582102654,-14.4813281648639,1.58994947602427e-47,2.51552720670982e-45,1259.03943352028,1419.03970910934,1162.71574148995,6542.93655024868,8795.93313321468,6227.41116088474
"15","SP_1776",9584.42814626091,2.56934791306489,0.179088260914156,14.3468248557983,1.11527593120735e-46,1.64689079174952e-44,13159.5103609994,17789.2743474555,18472.7986903719,2339.46646717135,3197.74510064268,2547.7739109246
"16","SP_1810",1136.81146488189,3.14576932998108,0.219904734813775,14.3051459653429,2.03210999856064e-46,2.81320227925739e-44,2711.55943965799,1659.73228513821,1791.60601676124,203.431866710552,252.678203360981,201.86097766239
"17","SP_1467",3130.620984517,-2.57837075214962,0.186595262724323,-13.8179861294706,1.98547017847248e-43,2.5869508501862e-41,1032.52559240718,858.470187836303,733.705321149841,4300.45504278818,6320.36965434021,5538.20010858029
"18","SP_0737",1159.38315845077,2.97354171041111,0.217006826451879,13.7025261326076,9.80526398579702e-43,1.20659220714113e-40,1512.9236971012,2513.31885548987,2181.6154897977,205.797353532768,262.921914308047,279.721640475027
"19","SP_2072",1327.47623560874,-3.38683232860762,0.248089035811918,-13.6516808069473,1.97275274626878e-42,2.29981438578176e-40,237.839533168748,197.43767830774,214.505210170053,1435.85050108494,2926.28676054541,2952.93773037554
"20","SP_RS02290",1525.01062384307,-1.98424498454981,0.148706635182863,-13.3433520441762,1.2950281073955e-40,1.36594631327668e-38,558.734141412297,589.522396360566,672.766340987894,2722.67533237029,2195.56871298798,2410.7968189394
"21","SP_1809",2340.21348798743,2.9612176965203,0.221909371967154,13.3442660409972,1.27924294417878e-40,1.36594631327668e-38,5734.57541084649,3312.13914404945,3471.08431002449,468.366390798712,582.184238824962,472.931433380457
"22","SP_1510",19394.1339332946,-1.40347077718946,0.10616801270553,-13.2193373637139,6.78591202727214e-40,6.83217960927627e-38,10249.7513103675,10568.4970665894,10975.8415949286,27503.5152819022,27589.7281507665,29477.4701952136
"23","SP_0165",8482.67691564639,-2.8710731508076,0.217504785367808,-13.2000459022201,8.76816092808585e-40,8.44412019813485e-38,2584.14540403188,1965.30720774877,1316.28197149805,13930.3518960284,14406.0721618916,16693.9028526797
"24","SP_1894",490.563029869406,2.51823947358575,0.191113504699335,13.1766694224331,1.1955329357681e-39,1.10337727196931e-37,906.999172123679,796.02964999693,816.582334170088,123.005314755217,172.435800942291,128.325907228234
"25","SP_0027",2931.28719676146,-1.6287092454669,0.125839743224888,-12.942725435765,2.58300737507803e-38,2.28854453431914e-36,1414.76769928553,1338.11119079238,1516.64933827053,4399.80548932124,4148.70293356205,4769.68652933705
"26","SP_0913",762.618233622347,2.27210170309209,0.176071451636263,12.9044298889856,4.24948844279307e-38,3.62023726953333e-36,1109.91782145416,1482.87556623004,1213.90448482598,248.37611633265,269.751054939425,250.884357951828
"27","SP_0267",844.39079979196,2.20554239013416,0.171604273891207,12.8524910255581,8.32844685688634e-38,6.8324110325938e-36,1609.19207957427,1305.32118768121,1269.48083473368,269.665497732592,286.82390651787,325.861292512144
"28","SP_1174",981.380266272962,2.08449808030843,0.164136435877864,12.6997888625992,5.9289445625125e-37,4.69021864498757e-35,1677.1462319082,1532.40940071714,1569.30061713046,406.863733421104,401.212012093449,301.349602367426
"29","SP_1598",793.018687359287,-2.05724036437004,0.163681216287719,-12.5685794071436,3.14321033332706e-36,2.40076237528257e-34,321.838415914854,289.179921054976,298.844758714187,1078.66199093037,1454.60695448348,1314.98008305786
"30","SP_0046",6633.84818271762,-1.97908690145943,0.157574822314905,-12.5596644970624,3.51821419379867e-36,2.59761481308802e-34,2659.65001773624,2393.32139729576,2889.48268335887,12395.1509484104,8942.7596567893,10522.7243927152
"31","SP_1270",6914.61480519886,1.52230377332698,0.122603789529529,12.4164495988955,2.12797314552948e-35,1.52047113462832e-33,10937.7871027485,10428.267478816,9474.30512373821,3347.16385343524,3774.80748399411,3525.35778846103
"32","SP_0545",498.823410113542,2.40994678427981,0.196569999341141,12.2599928389755,1.48513015322669e-34,1.0279885279366e-32,833.382173761923,986.839561718367,711.279776450244,156.122130266237,155.362949363846,149.953869120633
"33","SP_0820",11990.6281603616,1.81304019899041,0.148247636016356,12.2298084995459,2.15445948113489e-34,1.44609931839812e-32,18325.9135537206,17635.4403966892,20219.553617734,4603.23735603179,6165.00670497636,4994.617333018
