"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN120min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN120min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN120min.c","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC120min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC120min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC120min.c"
"1","SP_0517",48097.2497888708,2.6763163952051,0.0658400796131839,40.6487417835562,0,0,86154.3579255936,80221.6067757609,85624.4415621539,12303.5488359267,12233.4332392592,12046.1103945301
"2","SP_0338",12096.1462600479,3.26726375048111,0.103432685665437,31.5883101116545,5.34354534111545e-219,5.57331779078342e-216,25171.3074571926,17792.8109479812,24226.0858743241,1650.23845169392,1961.48730597971,1774.9475231159
"3","SP_0515",8456.23684480861,2.53527176690569,0.0821499252304442,30.8615225125748,3.92415014405448e-209,2.72859240016589e-206,15735.1836289827,13002.58867962,15243.5259362394,2308.17665792483,2278.93587204572,2169.01029403906
"4","SP_0516",5156.1454756161,2.58126887920312,0.0849818034631702,30.3743716185289,1.1978061064748e-202,6.24655884526608e-200,9578.12638093767,8319.55201937915,9080.64604186862,1450.17791833444,1225.16890673397,1283.20158644276
"5","SP_RS02535",5901.30217562673,2.55076968767142,0.0866000822446573,29.4545873578403,1.09967986084639e-190,4.58786437945115e-188,10694.6350016219,10315.1531596566,9792.06573437316,1537.16075892552,1720.10469024901,1348.69370893422
"6","SP_0519",10847.1128357936,2.3629644309152,0.0830582110815126,28.4494982512471,4.94322312343302e-178,1.71859390591355e-175,19504.213215506,16428.6304809947,19507.3170501204,3431.99495836155,3091.32022162677,3119.20108815239
"7","SP_1906",14404.1088700701,1.65293561776469,0.0703098452600748,23.5093052992866,3.27616857871642e-122,9.76298236457492e-120,22979.4817960047,20805.7009507828,22612.9830831801,6526.84442659208,6856.07765688876,6643.56530697225
"8","SP_0820",11653.4514749956,1.41916095737545,0.0700934860151653,20.2466882167682,3.79940414993774e-91,9.90694632096266e-89,18025.6522848135,16288.3147758189,17194.6121693374,6036.95706838313,6292.17541173637,6082.99713988437
"9","SP_0520",2923.71248721417,1.6668655573893,0.0908611779754355,18.3451898217734,3.60664800994877e-75,8.35940860972569e-73,4768.46740037854,4312.75910491592,4548.59534294018,1159.30729939788,1277.90796563311,1475.2378100194
"10","SP_2190",14700.945326785,0.955515234635874,0.0677126198251948,14.1113316410236,3.23412702910737e-45,6.74638898271797e-43,20380.0762888195,19632.5057491744,18743.8999050076,9924.39418007955,9888.57354358956,9636.22229403945
