"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN90min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN90min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN90min.c","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC90min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC90min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC90min.c"
"1","SP_0515",2692.2598308667,1.69368891986036,0.142127983531273,11.9166463758891,9.69323239178335e-33,2.01813098396929e-29,5186.58510842767,3178.43421649312,4551.35610839795,1082.4253045012,1116.51187885513,1038.24636852515
"2","SP_RS02535",2267.30298439154,1.91994079908591,0.163996782749827,11.7071857562885,1.17102203578417e-31,1.21903393925133e-28,4851.77555844062,2536.33349248857,4126.39396163711,796.590050931616,714.8962904169,577.828552434432
"3","SP_0519",4073.46832727676,1.4404214940006,0.12610553014349,11.4223499347064,3.23370154021652e-30,2.24418886891027e-27,7327.29218688468,5121.12741697748,6011.65963710458,2100.18624016206,2029.64808888476,1850.89639364701
"4","SP_0516",1978.41474624054,1.54484874379803,0.165171293711972,9.35300989100417,8.51882715705246e-21,4.43404953524581e-18,4516.96600845357,2382.4003555463,2585.47430752869,886.557868448598,742.629336165832,756.460601300229
"5","SP_0338",7560.51516021258,0.911749359104577,0.108390621553538,8.41169970276653,4.04111418641901e-17,1.68271994722488e-14,9813.17902262921,10751.0893699586,9619.80707830163,5408.37786344277,5385.34662450547,4385.2910024378
"6","SP_RS11205",1410.33089085883,0.810388422500364,0.124726729838068,6.49731155104031,8.17680183319235e-11,2.83735023611774e-08,1660.71462626319,1706.80492118857,2157.05718396492,1058.99618535615,954.222203731754,924.190224648395
"7","SP_1906",5512.2526988027,0.913961153668725,0.14860373558187,6.15032421688483,7.7324716048803e-10,2.29985798305154e-07,9928.73276112032,5704.79056121691,6916.8635594732,3471.25829253024,3251.95640152285,3799.9146169527
"8","SP_2192",2076.23882898535,0.564743129542975,0.097414106057265,5.79734447504955,6.73732116659154e-09,1.75338783360545e-06,2533.29349768961,2441.55058872319,2539.40795015624,1715.01152141748,1536.61616445931,1691.55325146626
"9","SP_1249",2327.31920651475,-0.552900489828734,0.100052502867158,-5.5261035354891,3.27420954993637e-08,7.57433809218615e-06,2019.22750722277,1795.88659765979,1753.97655695599,2851.79238233518,2840.06931465909,2702.9628802557
"10","SP_1582",1474.17115428736,0.829174816759326,0.150791973624155,5.49879941770656,3.82385802089285e-08,7.96127239949892e-06,1604.41921520342,1785.90944989501,2511.76813573277,859.380090240343,1153.48927318704,930.060761465581
"11","SP_0284",8989.49619640214,-0.492088922720826,0.0947646719568449,-5.19274654319406,2.07214195664683e-07,3.92199959430791e-05,7943.57879217057,6991.12996946132,7195.56502157651,10633.0714327884,10041.4168607983,11132.2151016178
"12","SP_0422",5714.06409651957,0.705258340656442,0.138866740518075,5.07866993943481,3.80086363350828e-07,6.59449840413686e-05,5875.46316481695,9305.11559747773,6715.32324596873,3980.13876036067,4465.02036557797,3943.32344491539
"13","SP_RS00970",63.7714450899544,0.954310975777756,0.194778260391192,4.89947375985964,9.60936823548047e-07,0.00015389772820208,102.220614819054,97.6335174124568,88.6777379419641,36.5494258662741,25.6787460638255,31.8686284361516
"14","SP_0427",7132.65316640238,0.802407077011762,0.166312574128245,4.82469278836982,1.40219228933771e-06,0.000194624289760074,6555.45247209153,12390.192217029,9829.40900434627,4258.47669580384,5989.31073192665,3773.077877217
"15","SP_0517",22813.1073767175,0.95717916942327,0.197959210852182,4.83523431570964,1.32988889530507e-06,0.000194624289760074,52802.1326576918,23645.8402025206,29622.9711083532,9960.1871309426,10096.8829522962,10750.6302085007
"16","SP_2030",4643.83100328837,-0.424920276905874,0.0889586973859861,-4.77660183199594,1.78282289334128e-06,0.000231989828996034,3832.53232662165,4101.32038473496,3846.54084059948,5224.6935693456,5295.98458820336,5561.91431022519
