"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN180min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN180min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN180min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC180min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC180min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC180min.c"
"1","SP_0338",17109.200587897,6.30291696039908,0.142822777405931,44.1310348032578,0,0,28819.8449231929,34468.4019446026,38198.1181232127,382.282090587261,388.982498858378,397.573946927888
"2","SP_0517",56724.5736554205,3.78803944476697,0.118059928296448,32.0857339101139,6.97197736243343e-226,7.42166990231038e-223,102565.846886732,115373.295437084,100242.484112409,7529.57126762431,6831.29968769735,7804.94454097577
"3","SP_0045",6867.83848482167,-5.35905402903262,0.212969802279173,-25.1634455762309,1.00709955866257e-139,7.1470498679754e-137,307.770570965172,239.311144204316,263.904524195565,17278.9195083867,13223.2135104871,9893.91165069115
"4","SP_0519",7696.69297227648,3.47891456954288,0.1386861407434,25.0848033617119,7.28641438724652e-139,3.87819405761196e-136,12848.1172252071,13201.365023673,16498.1562704134,1198.24069179542,1176.80902471521,1257.46959785478
"5","SP_0050",5720.88145093791,-5.1916938911665,0.219406744199042,-23.6624170789239,8.79429364466886e-124,3.7446102339e-121,317.160181604787,229.181571962864,202.051901337229,14220.6627836886,10432.4010468468,8923.83122018711
"6","SP_0047",2405.6328191957,-5.29996019098582,0.224432482750926,-23.6149425699117,2.70676421017055e-123,9.60450167242183e-121,114.761907817522,91.1661501730728,80.4084097158361,5923.64000792163,4713.8104509542,3510.00998859192
"7","SP_0515",8026.49463490084,3.98701944232546,0.173508195408641,22.9788537246633,7.58631474099845e-117,2.30732344051224e-114,11960.2773747279,15075.3358883417,18502.1812510234,921.057302849971,845.89996934836,854.216023113633
"8","SP_0516",6027.83140926456,4.20476112484269,0.199825346601344,21.0421810664054,2.69684027768122e-98,7.17696618897915e-96,9079.75348850811,10961.4633617818,14479.6990111363,531.268162145438,467.326861304502,647.477570711132
"9","SP_0054",2038.6685236133,-4.2181886488988,0.208715282826768,-20.2102528946089,7.95394145188405e-91,1.88154903900679e-88,149.190480162778,167.137941983967,232.978212766397,4822.99096765076,3440.57759553608,3419.13594357984
"10","SP_0048",1193.89351927692,-5.04311836627113,0.249754413659465,-20.192309286463,1.14390781139186e-90,2.43537973045327e-88,67.8138546194447,40.5182889658101,53.6056064772241,3054.79193233627,2171.17977883909,1775.45165442368
"11","SP_0051",1907.4203444963,-4.14651838249993,0.205840810475607,-20.1442968132469,3.01967570502219e-90,5.84444506908385e-88,181.532472365898,153.20978015197,204.113655432507,4351.7792064435,2720.1381786364,3833.74877394749
"12","SP_0046",3250.81685211775,-5.15477758049683,0.269667481272411,-19.1153102931592,1.88296844377739e-81,3.34069984733505e-79,158.580090802394,155.742173212333,70.0996392394469,8132.44513858066,6340.96259406601,4647.07147680568
"13","SP_RS02535",6224.19957393121,3.86967486299017,0.203074428852143,19.0554511706034,5.92039420054307e-81,9.69578404073553e-79,10410.9916191914,9581.30914388392,15228.1157477222,765.141646568158,775.773547018963,583.86573920267
"14","SP_0049",1187.41113862458,-5.13496654930946,0.269918912565449,-19.0241080200868,1.07704572505759e-80,1.63787882046257e-78,57.3809539087609,51.9140577374442,30.9263114291677,3039.20036670809,2400.18637675853,1544.85876520551
"15","SP_1847",974.49665036444,-3.49716694219151,0.186271058371877,-18.7746125069503,1.21833576803339e-78,1.72922456676206e-76,152.320350375983,151.943583621788,129.890508002505,2200.72061514811,1602.49832276163,1609.60652227662
"16","SP_0820",7796.62572958326,2.09791148780437,0.113072516904711,18.5536817012071,7.61527479993274e-77,1.01330750306605e-74,11615.9916512753,13164.6453242978,13279.7581276846,2965.86226171627,2754.65352712666,2998.84348539893
"17","SP_0287",8042.22300399189,-3.19210417981609,0.176225297157883,-18.1137681779945,2.48165188239457e-73,3.10790403389296e-71,1316.6320696883,1866.37368548763,1259.73175221477,15230.6497571586,15386.1753492094,13193.7754101926
"18","SP_1848",7356.73291135509,-4.12703852762246,0.230471843606223,-17.9069098552177,1.04160069504251e-71,1.23198215541417e-69,796.030324225174,816.696761967111,402.042048579181,14523.2546499541,13361.2749044481,14241.0987789569
"19","SP_0056",7254.98272125724,-2.34598775062469,0.132441085040803,-17.7134440562906,3.30233238697001e-70,3.70035034308376e-68,2488.24681949809,2399.44242469407,2082.37163623063,13359.6618817769,12089.6856370533,11110.4879282905
"20","SP_0502",14314.3741166467,-2.14458093266507,0.123807363041584,-17.3219175336507,3.21464933237343e-67,3.42199421431152e-65,4688.5455793813,5115.43398193353,5735.79989306298,22044.1639366739,23904.8920742079,24397.4092346205
"21","SP_0053",667.56346888409,-4.01678807574472,0.237788738757093,-16.8922552713818,5.13038635772364e-64,5.20123455028268e-62,45.9047631270087,56.9788438581705,98.9641965733368,1481.19873467723,1131.88428541044,1190.44998965836
"22","SP_1883",580.181108623275,3.70987110720634,0.230292062389336,16.1094180525178,2.19075895884315e-58,2.12005719244412e-56,1284.29007748518,1153.50503899541,826.763392206418,54.8592123954528,67.3871089571556,94.281821700042
"23","SP_1884",656.820034366656,3.81885409976984,0.248366209270748,15.3759004132758,2.37518296407482e-53,2.19859327413709e-51,1651.52818250125,1243.4049926383,828.825146301695,86.0423436518155,64.0999329104651,67.0196081964154
"24","SP_1271",5167.87695826166,1.81741575844586,0.133527752634111,13.6107717129479,3.45575405251442e-42,3.06554182408467e-40,8634.26862816191,7091.96676554696,8552.15598721252,2095.6219135063,2203.50367663154,2429.74477851072
"25","SP_1229",4290.11278490702,-2.1206287274734,0.1570186930043,-13.5055813221889,1.44964943129701e-41,1.23452145569254e-39,1420.96107679513,1481.44994031243,1764.86150555784,8123.78315767611,6840.61335316297,6109.00767593766
"26","SP_1906",11661.2449851529,2.29660405402548,0.175977827230714,13.05053079792,6.31061902397684e-39,5.16742611617181e-37,16166.8229412756,18272.4821270502,24217.3636031336,4123.68037595714,3371.54689855558,3815.57396494507
"27","SP_1587",2624.21140977335,-2.50568518799238,0.194195888593123,-12.9028745466505,4.33615206874608e-38,3.41913620531867e-36,647.883134133464,948.381201105994,616.464474488077,4631.27245696349,5042.52805562326,3858.73913632581
"28","SP_0055",888.380113620184,-2.34469273419795,0.18596993210005,-12.6079130519687,1.90983467867708e-36,1.4521564396084e-34,255.606067411753,263.368878277766,317.510130672789,1684.46655323722,1635.91794590298,1173.41110621859
"29","SP_0291",833.175644388907,-1.55370970241824,0.12753893866571,-12.1822379790273,3.86527723893448e-34,2.83764663506604e-32,400.623387290258,449.499768214456,402.042048579181,1317.1985628845,1224.47307739222,1205.21702197283
"30","SP_0288",1339.93311636727,-2.8578253144056,0.23706960175751,-12.0547944283838,1.8298847719932e-33,1.29860822652451e-31,312.987021320514,359.599814571565,191.74313086084,2466.35469622083,2881.20980492424,1827.70423030563
"31","SP_2193",1235.38025877175,1.34952660628279,0.1139910566872,11.83888144827,2.45708022832964e-32,1.68745929229477e-30,1858.09961657278,1665.04843718876,1820.52886613034,709.704968779069,687.567656432767,671.332007526805
"32","SP_1269",3712.48460551868,1.6322646328885,0.139125105458882,11.7323514509098,8.70074606691633e-32,5.78871511764527e-30,6358.85298316177,5369.93948450003,5203.86733648129,1641.73411410813,1727.41101253587,1973.10270232498
"33","SP_2192",2197.10640128068,1.17829811018953,0.101374802942131,11.6231852096635,3.14199422945796e-31,2.02706233773212e-29,3174.73168626108,2954.0365049136,3039.02553643955,1341.45210941723,1362.53447135322,1310.85809929938
"34","SP_0290",1336.12677211183,-1.54789800000323,0.143888971524683,-10.7575860999027,5.45811594609237e-27,3.41774377918548e-25,687.528156834062,654.62360610387,665.946572774745,2175.31213782811,2131.7336662788,1701.61649285136
"35","SP_0847",4546.94867017514,-1.21994546289356,0.116488799066438,-10.472641770457,1.15377380174769e-25,7.01824121120238e-24,2581.09963582317,2933.77736043069,2610.18068462176,6439.89406983253,6732.68440629663,5984.05586404604
"36","SP_1270",8204.41450706427,1.62779489123764,0.155869447404402,10.4433223979703,1.57210279148347e-25,9.29724123074529e-24,14000.9527537377,13367.2367691268,10086.1010340992,3775.46874359443,3782.44390439189,4214.28383743561
"37","SP_0385",689.28404519076,1.78610347163032,0.17448876275433,10.2362091600423,1.36479522402106e-24,7.85310549173202e-23,893.056300834533,1042.07974433943,1303.0285882156,285.267904456355,324.882565947913,287.38916735073
"38","SP_1907",684.343781510748,2.8147235210862,0.290004621385461,9.70578850653897,2.84865087508722e-22,1.59599413501597e-20,812.722965362268,917.992484381636,1950.41937413285,163.422706399086,117.242612331962,144.262546456691
"39","SP_2190",13539.2135792771,1.18762501872116,0.123856986086612,9.58868010796474,8.92190066196449e-22,4.87044269469805e-20,20317.0308439856,19591.8589114994,16770.30781099,8696.62882816337,7981.81130403903,7877.64377698544
