"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN10min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN10min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN10min.c","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC10min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC10min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC10min.c"
"1","SP_0107",915.504742086076,0.782513415715349,0.181080250158799,4.32136257283234,1.55068621042448e-05,0.0188510623984958,1860.70418395071,1059.79292205845,813.751637519423,611.070763467749,572.201514214311,575.507431305812
"2","SP_0418",714.927407137556,0.830399420437247,0.193208656374028,4.29794107583718,1.72391974380391e-05,0.0188510623984958,1615.7739746277,850.176421452413,580.571343727307,299.41525852503,466.003449249328,477.623995243553
"3","SP_0284",604.645765454211,0.632199697682748,0.158366969138172,3.99199215040333,6.55205421203096e-05,0.0477644752057057,952.166188743185,658.125549388782,681.69545072899,463.246249038725,437.4726258259,435.168528999681
"4","SP_1000",93.8159285677226,0.728286220944937,0.200521822795502,3.63195492037624,0.000281282266290345,0.153791079094246,87.2563870713208,153.406489270339,162.988266579183,71.5583636726486,52.3065096096185,35.3795552032261
"5","SP_0109",534.275028189828,-0.557211769561063,0.162205456394998,-3.43522210624135,0.000592068354666965,0.25897069833133,327.59415496952,454.364258296882,441.376984677933,773.960196564699,585.674403053152,622.68017157678
"6","SP_0800",804.151428530071,0.578435068780989,0.179879077537701,3.21568843191201,0.00130132031058449,0.304397614846534,1518.56729780264,747.124734003635,794.716511495577,599.772074466805,537.330507807899,627.397445603877
"7","SP_1144",436.779880981575,-0.503060257026818,0.158757401052788,-3.16873577981757,0.00153103509982253,0.304397614846534,318.409272119908,382.930702224434,331.925010040817,585.648713215624,559.521148248343,442.244440040327
"8","SP_1355",935.062293241888,0.494216488779965,0.154696293575016,3.19475326369282,0.00139950431937418,0.304397614846534,1256.03272968454,1210.85732752313,914.875744521105,629.901911802657,832.149016516658,766.557029403233
"9","SP_1560",1036.52269287803,0.464850915216662,0.142882638765841,3.25337577211511,0.00114042577759024,0.304397614846534,1140.45628716025,1279.94879978993,1270.59466209173,975.45348374821,779.049984034166,773.632940443878
"10","SP_1873",273.035213753312,-0.560781652586995,0.176110645715168,-3.18425754621316,0.00145125828089598,0.304397614846534,198.240388170808,162.774824492955,248.64633368649,278.700995356631,370.108181631694,379.740559181294
"11","SP_1896",810.794335286825,0.475780998185016,0.142554353108705,3.33754099969299,0.000845232506724851,0.304397614846534,1078.45832792536,962.596444123806,854.201280320096,630.843469219402,659.379030230342,679.287459901942
"12","SP_1539",5518.43232184277,0.378572337979399,0.122589949984802,3.0881188712968,0.00201427881731067,0.36710231445487,5866.07851328599,6358.75753235069,6736.05522168856,4560.9041267146,4857.37268783866,4731.42584917811
"13","SP_0197",2331.0643394491,-0.395637994751175,0.136259079277449,-2.90357161408365,0.00368932584074679,0.371667815751853,1905.86319129464,1845.56203885538,2146.21045918865,2758.76323106395,2352.20788668709,2977.77922960487
"14","SP_0243",30.5375532763521,-0.579553064668073,0.195291551543648,-2.96762998750891,0.00300105357596438,0.371667815751853,23.7276140281662,10.5393771254431,10.7072583884135,39.5454115033058,53.8915553553645,44.8141032574198
"15","SP_0516",14648.860848253,-0.462792220877396,0.155905430009476,-2.96841630756073,0.00299338606500344,0.371667815751853,8438.61111808169,13897.925302751,13094.9770090297,19282.1543375286,17348.3256871901,15831.1716349369
"16","SP_0547",74.6602251664373,0.583772298414971,0.201342420718252,2.89940041612925,0.00373877089462312,0.371667815751853,176.808994855045,70.2625141696209,67.8126364599519,41.4285263367966,56.2691239739835,35.3795552032261
"17","SP_0960",3179.87627898248,0.506434588984755,0.172380547356917,2.93788711516372,0.00330457323948794,0.371667815751853,5320.34339063817,3660.67698823725,2723.21271678649,1965.97188616435,2506.74984689732,2902.30284517132
"18","SP_0961",5110.05480779913,0.504178711741818,0.169380862153685,2.97659785958794,0.00291466045883046,0.371667815751853,8680.47969978815,5712.34240199018,4350.71599182533,3442.3339156211,4180.55815440511,4293.89868316488
"19","SP_1354",993.348548691998,0.420988157495926,0.143316340153179,2.93747493862854,0.00330896915375789,0.371667815751853,1283.58737823338,1058.62188015562,1143.29725680726,753.245933396301,928.836807007165,792.502036552265
"20","SP_1691",178.50836745109,-0.586388372354512,0.192652880847037,-3.04375605377058,0.00233644515591653,0.371667815751853,72.7136558927674,141.696070242069,159.419180449711,251.395830271015,202.88585545549,242.939612395486
"21","SP_1885",990.514540426782,0.481926270085215,0.162902158868124,2.95837865767853,0.00309261972644688,0.371667815751853,1211.63912924474,1350.21131395955,1025.51741453471,579.999368715152,945.479787337498,830.24022876904
"22","SP_1976",4452.74142715761,-0.492859322713853,0.168354364496605,-2.92751140837689,0.00341686525143435,0.371667815751853,2433.99395514737,3333.95629734851,4694.53795563106,5607.91597413546,4534.81587857935,6111.22850210393
"23","SP_RS00660",71.8929126525058,0.548979107320422,0.201641810252187,2.72254601679003,0.00647810108225896,0.456318737478567,61.9979592348859,90.1702265176801,142.763445178846,41.4285263367966,32.4934377877933,62.5038808590328
