"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN150min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN150min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN150min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC150min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC150min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC150min.c"
"1","SP_0517",36466.077834987,3.06235845468685,0.0948993997728778,32.2695239592239,1.87281059685952e-228,3.98534095011706e-225,64656.2333857282,66563.2182267721,65030.684987282,7367.3818235739,7580.22873048291,7598.71985608298
"2","SP_0338",9598.27782876541,4.96067175238887,0.172420918798233,28.7707070984458,4.98952085066061e-182,5.30885018510289e-179,18248.4876183969,15400.2506341341,22522.1545456951,367.432956258292,550.248891585577,501.092326522541
"3","SP_0515",4616.83045303231,3.14517384721478,0.134728013103563,23.344616867445,1.56308030538389e-120,1.10874496328564e-117,8357.29128228193,7141.34820886512,9607.55930165685,890.888399250466,853.986279740816,849.909246398655
"4","SP_0516",3266.38298082809,3.09598517452711,0.137284917601775,22.5515317240288,1.29717367973076e-112,6.90096397616765e-110,5872.25832673914,5558.31007455674,6288.26973873917,736.426137383923,539.243913753866,603.789693795711
"5","SP_0519",4757.06609775145,2.81666014415618,0.136834612746214,20.5844127273572,3.78597444667506e-94,1.61131072450491e-91,8596.63029590205,7749.22699617088,8893.24530451214,1213.8549467896,1173.13063686045,916.30840627355
"6","SP_RS02535",3282.76465294848,2.69039780043214,0.204035603970645,13.1859231824031,1.05751448162073e-39,3.75065136148152e-37,6714.83842301519,3634.50628726758,7122.23673641469,761.389735261344,838.57931077642,625.037424955678
"7","SP_1906",7788.18209288087,1.72251198158334,0.140030706074615,12.3009590529773,8.95050412088213e-35,2.72095325274817e-32,12171.589986332,10877.9859886687,13251.9302093901,3110.30827303994,3228.86049582417,4088.4176040302
"8","SP_1650",3963.96780918805,-1.43709018809989,0.11749704707173,-12.23086216986,2.1266927914629e-34,5.65700282529132e-32,2071.30566434071,2077.98305967527,2127.8051660658,5903.11078557642,5200.95252326688,6402.6496562032
"9","SP_0520",1581.64393228751,1.57586923443913,0.130423870101407,12.0826749981722,1.30407024751975e-33,3.08340165191336e-31,2627.39073316071,2123.15660445082,2428.37926980883,714.582989241179,770.348448219808,826.005548843693
"10","SP_1242",3480.01895962106,-1.2007941236274,0.103631854782949,-11.5871140793764,4.79000875565208e-31,1.01931386320276e-28,2067.74671990027,2127.08473877913,2050.67943680799,4696.27685068984,4802.57232575892,5135.75368579021
"11","SP_0913",467.681867746933,1.51015061314585,0.138749742510683,10.8839885813091,1.37415532482964e-27,2.65836593748862e-25,669.081554804217,768.932294766418,663.13711137552,237.93429226917,237.707521164969,229.298432101304
"12","SP_2190",10212.1082879668,1.21991781062734,0.115670876016374,10.5464560539392,5.27493635771986e-26,9.35422047435655e-24,15226.0540523465,14107.8944401205,13845.870404796,6069.27473394801,6569.97176553179,5453.58433105804
