"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN45min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN45min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN45min.c","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC45min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC45min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC45min.c"
"1","SP_0950",3159.4303398924,0.723635253894882,0.148326252311553,4.87867280820201,1.06802065673515e-06,0.00226420379227851,4252.17350409515,3637.38588440258,4027.6749357886,2478.63378869495,2330.33769636589,2230.37623000726
"2","SP_1541",6134.28192487579,-0.622999237338262,0.132726865461555,-4.69384427313789,2.6811816763674e-06,0.00275165301388784,4818.85621154578,4920.65909272578,4602.78275141134,7357.01495860331,7615.21068633854,7491.16784863001
"3","SP_2223",1124.68382484171,0.815101304643693,0.17654466663271,4.61696929275954,3.89384860455827e-06,0.00275165301388784,1381.80239896477,1273.15731591525,1712.84197507673,807.156575100845,768.357518508396,804.787165484258
"4","SP_0351",5415.88831551995,1.05984911485531,0.257537801349431,4.11531475885084,3.86651415013335e-05,0.00859282819367064,6142.48466107419,4836.84169848846,11966.8511083836,3795.6938092561,3119.50180144898,2633.95681446839
"5","SP_RS02535",3292.66963950327,1.0274527957264,0.251682615078968,4.08233518792716,4.45854293067816e-05,0.00859282819367064,4613.5363900057,2523.19259204089,6666.06604986419,1876.12456053893,2021.21126725613,2055.88697731377
"6","SP_0664",25136.5367847133,0.727805417134656,0.1716904249197,4.23905653139976,2.24461134533812e-05,0.00859282819367064,28872.0733049667,27317.2448839341,39072.7673866157,18377.1030993923,18777.9443836626,18402.0876497086
"7","SP_0899",1226.01553820771,0.8537437316386,0.206784558577346,4.12866288233638,3.64878916828846e-05,0.00859282819367064,1285.98648224606,1463.91414417951,2092.08669489472,751.135792976282,891.710853201234,871.259261748444
"8","SP_RS04870",1430.0398911469,1.16025683902326,0.275236890986848,4.21548446817292,2.49242546474218e-05,0.00859282819367064,1223.02173697377,1635.16175137128,3407.4417990736,659.673291548424,702.965389273639,951.97537864067
"9","SP_1004",1633.20361201836,0.807945390458583,0.196884125708898,4.10365938619737,4.06666058773985e-05,0.00859282819367064,1835.55920456835,1799.18372112881,2722.88107697175,1120.41564249126,1087.88724090551,1233.29478604446
"10","SP_RS10010",1150.05758868826,0.918610349341446,0.224976018745452,4.08314785933163,4.44297338289301e-05,0.00859282819367064,1589.85981812539,1386.59982363301,1667.71665398446,623.088290977281,582.584424091473,1050.49652131795
"11","SP_2193",1193.32908360447,1.00345348355934,0.240209227134856,4.17741439630875,2.94841572239122e-05,0.00859282819367064,1442.71394602166,1104.79996369717,2402.20326325223,743.132824101344,719.313421582329,747.811082972098
"12","SP_1809",727.568750353308,1.16216918724523,0.286915633195699,4.05056069723651,5.10950534539278e-05,0.00867522329331259,637.175846179395,737.737582037155,1839.57691942097,399.00516247903,332.905385195127,419.011606808175
"13","SP_2192",1679.75562129247,1.01717644707839,0.251706732148105,4.04111736860453,5.31971239684263e-05,0.00867522329331259,1758.90647119339,1624.32329521991,3640.74931025277,983.221890349471,1096.80434943752,974.528411301734
"14","SP_1154",4620.27732167696,0.646038343662322,0.161106102453165,4.01001783188276,6.07141625043548e-05,0.00919385889351659,5088.50957716842,5695.96998942105,6305.06348112604,3253.77848829604,3407.82164398405,3970.52075006614
"15","SP_2068",687.214679011814,1.07636030219963,0.269968236971204,3.98698867050213,6.69172197134458e-05,0.00945763371950034,795.27210876526,686.435556253964,1461.2923128177,306.399379783324,337.363939461133,536.524776989505
"16","SP_RS03410",117.262339875627,1.10851207198861,0.28501479647443,3.88931411877788,0.000100527932009655,0.0108513266905008,149.883469724262,143.79018494162,216.985586528778,49.1610945174736,77.2816072774403,66.4720962641865
"17","SP_0807",3470.39084494222,1.01369106261426,0.260642807161861,3.88919638202311,0.000100576709160054,0.0108513266905008,3830.58347053284,3027.54208495169,7701.06809534216,1868.121591664,1908.26122585064,2486.76860131198
"18","SP_0933",2314.01327784975,-0.631893302258243,0.161831967764524,-3.90462595856024,9.43712306818011e-05,0.0108513266905008,1669.93454852602,2044.85539389339,1643.71382361623,2831.90770046005,2669.18782058236,3024.48038002048
"19","SP_0959",5951.82472593762,0.686195136055563,0.177905265099195,3.85708166463178,0.000114748833508599,0.0108513266905008,9148.36684842103,6122.28259804193,7051.07144897056,4289.59131696653,4581.90760069901,4517.72854252667
"20","SP_1029",1188.17518677894,0.655247077211257,0.169553217593479,3.86455112153801,0.000111293679831999,0.0108513266905008,1370.1676090775,1343.96856277092,1698.44027685579,921.484701885667,873.876636137209,921.113333946584
"21","SP_1517",3330.94295313825,0.827873989695109,0.21498684045096,3.85081239371929,0.000117726657491282,0.0108513266905008,4346.62062200359,3094.74051309024,5652.18649511025,1974.44674957388,2305.07255552519,2612.59078352633
"22","SP_2204",1320.59846046648,0.892001419258858,0.230820959971875,3.86447322360823,0.000111329201260748,0.0108513266905008,1502.94109367342,1276.04757088895,2527.01798116701,838.025169332747,873.876636137209,905.682311599541
"23","SP_2239",1235.67120738566,0.922840844681148,0.237895609461011,3.87918401172676,0.000104807451118609,0.0108513266905008,1358.53281919022,1235.58400125714,2423.32575397627,737.416417762103,747.550931933701,911.617320194557
"24","SP_0641",554.394491721155,0.869535768112075,0.227584991767467,3.82070786548401,0.000133069197944792,0.0112842679857183,583.792692578973,648.862241595852,980.275592238418,393.288756139788,322.50209190778,397.645575866115
"25","SP_1366",972.638952981822,0.896080253373651,0.234133131648559,3.82722533570641,0.000129595867022039,0.0112842679857183,1175.11377861442,916.933390406611,1824.2151079853,576.213758995504,705.93775878431,637.419923104788
"26","SP_0071",4770.10288072468,0.89088320696509,0.234215773302213,3.80368578257779,0.000142558987938782,0.0114073769126599,4748.36307281702,4875.13757689,9556.96693941353,3252.63520702819,3064.51296550157,3123.00152269776
"27","SP_0473",157.678766187735,1.07271596335451,0.283124395860289,3.78885033942411,0.000151346050203808,0.0114073769126599,218.323410237623,156.073768579849,306.276115498585,85.7460950886167,72.8230530114341,106.8301547103
"28","SP_1805",1296.11200297854,0.855373174395421,0.225363430795218,3.79552783420606,0.000147329663633642,0.0114073769126599,1331.15684298488,1395.27058855411,2422.36564076154,900.905639064399,836.722017253824,890.251289252497
"29","SP_1954",130.571672543175,1.08591038169369,0.287183084433482,3.7812477146272,0.000156044306824121,0.0114073769126599,146.461472698594,162.576842270676,258.27045476213,77.7431262136791,56.4750207027448,81.9031186112297
"30","SP_0505",168.951602789546,1.06834433401667,0.284042158872294,3.7612174835532,0.000169088329239628,0.0118821622173586,190.263034627145,187.144009547133,351.401436590853,112.041564249126,92.1434548307942,80.7161168922264
