,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC45MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC45MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC45MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF45MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF45MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF45MIN.C
1,SP_2026,12099.78065,-3.606887989,0.136199262,26.48243414,1.54E-154,3.42E-151,26740.18515,21113.50845,19363.72194,1772.05388,1893.971869,1715.242574
2,SP_0730,18954.23426,-3.117861577,0.117927378,26.43882715,4.91E-154,5.43E-151,37598.12365,33755.44798,30797.9287,4215.498928,3628.834765,3729.571563
3,SP_0775,1448.737704,-3.205350085,0.129143755,24.82001621,5.45E-136,4.03E-133,2481.846586,2560.146809,2817.001221,290.5435461,249.2068249,293.6812391
4,SP_0776,2317.293987,-2.697767411,0.118943313,22.68111884,6.88E-114,3.81E-111,3812.008596,3936.207943,4323.657282,643.9073184,550.1719903,637.8107891
5,SP_0517,5289.003711,-2.547030742,0.113425819,22.45547582,1.13E-111,5.01E-109,10050.8613,8331.260936,8762.933255,1491.980372,1585.338801,1511.647605
6,SP_0516,652.6394192,-3.39407006,0.157131695,21.60016201,1.79E-103,6.61E-101,1185.359563,1278.414357,1120.457519,102.0828676,101.5997055,127.9225029
7,SP_1894,1032.001202,2.724714878,0.129244302,-21.08189554,1.17E-98,3.69E-96,260.4199041,283.9340749,257.3318772,2020.717276,1744.447774,1625.156304
8,SP_1128,14764.66958,-2.07861601,0.100444144,20.69424791,3.90E-95,1.08E-92,25750.14052,23364.12446,22621.92088,5483.682244,5591.817755,5776.33161
9,SP_0959,3014.077134,-2.224939241,0.109517993,20.31574151,9.33E-92,2.30E-89,4896.343197,4857.216136,5170.724772,1091.50143,1113.76281,954.9144583
10,SP_0862,21204.80981,-2.148788389,0.106651385,20.14777759,2.81E-90,6.23E-88,38011.2035,33887.69774,32091.4128,7561.984727,7577.804451,8098.755641
11,SP_1498,3631.403947,-2.61600593,0.130880604,19.98772809,7.04E-89,1.42E-86,7285.022317,5972.095842,5519.989566,981.5660342,975.7405681,1054.009355
12,SP_2012,27528.25776,-2.343385704,0.117405621,19.95974038,1.23E-88,2.28E-86,50043.27657,42437.95291,45770.95058,9136.416646,9765.073584,8015.876273
13,SP_1220,7733.585204,-2.857143077,0.146193755,19.54353714,4.68E-85,7.98E-83,16638.81137,11853.1811,12395.28712,1876.754257,1974.484843,1662.992538
14,SP_0366,5343.284616,2.006814003,0.103096081,-19.46547324,2.15E-84,3.41E-82,2023.866755,2118.840258,2202.776927,9132.490382,8009.123956,8572.60942
15,SP_0515,955.1302864,-2.521637138,0.129851396,19.41940717,5.29E-84,7.81E-82,1710.68937,1599.321484,1586.143911,310.1748668,272.2105318,252.241555
16,SP_1906,2179.723771,-2.196572433,0.117998334,18.61528349,2.42E-77,3.34E-75,3887.216069,3370.709861,3500.275566,770.8565255,835.8013511,713.4832556
17,SP_0955,279.2849569,3.177130602,0.172201894,-18.45003282,5.21E-76,6.79E-74,68.47247478,50.24542895,47.77300061,523.5018849,452.4062359,533.3107163
18,SP_1074,2192.253823,2.233502544,0.122362571,-18.25315152,1.95E-74,2.40E-72,800.3422053,762.6876903,723.4197235,4003.480665,3699.762861,3163.82979
19,SP_1177,3359.720783,-2.705179191,0.149281534,18.12132494,2.16E-73,2.52E-71,6853.982476,5562.548195,5113.31688,861.1606007,1015.997055,751.3194889
20,SP_0960,3144.30416,-2.374558645,0.131085448,18.11458618,2.45E-73,2.71E-71,5569.842949,5050.139623,5232.950109,976.3310153,1178.939979,857.6212871
21,SP_1119,784.3048758,2.155214198,0.121136989,-17.79154509,8.22E-71,8.67E-69,292.9723921,270.187684,293.0612642,1380.736221,1267.120856,1201.750837
22,SP_0400,6854.771985,-2.034717025,0.119091769,17.0852868,1.91E-65,1.92E-63,12188.10051,10628.33026,10311.34051,2531.131614,2961.727265,2508.001747
23,SP_0962,1355.495332,-1.955687595,0.114884004,17.02314974,5.53E-65,5.33E-63,2250.611671,2080.91918,2146.171943,536.589432,596.1794041,522.500364
24,SP_0214,7023.922573,-1.762573953,0.104649286,16.84267541,1.19E-63,1.10E-61,11807.57315,10082.74075,10715.20302,3237.859158,3168.760627,3131.398733
25,SP_0450,584.9559324,2.550265185,0.151714015,-16.80968749,2.07E-63,1.84E-61,139.1899487,183.9172305,174.2309434,959.3172041,1154.019297,899.0609711
26,SP_RS08480,848.3306228,-2.621698711,0.15752078,16.64351021,3.37E-62,2.87E-60,1661.299388,1385.541404,1347.680362,226.4145652,189.780582,279.2674359
27,SP_0783,2024.340456,2.193653196,0.134537615,-16.30512924,9.07E-60,7.44E-58,864.3246817,671.6771021,624.662092,3267.960517,3366.209111,3351.209231
28,SP_1073,4108.610232,1.724031805,0.107962293,-15.96883279,2.11E-57,1.67E-55,2041.826748,1953.409554,1705.375686,6342.225336,6299.181742,6309.642326
29,SP_1997,2154.436273,1.532346273,0.095986399,-15.96420211,2.27E-57,1.73E-55,1105.662093,1112.509639,1089.947031,3175.038932,3214.768041,3228.691904
