,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC30MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC30MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC30MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF30MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF30MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF30MIN.C
1,SP_2026,16132.96819,-3.928446426,0.160617933,24.45833004,4.10E-132,9.08E-129,34826.7739,33159.0197,23129.71797,1992.505055,2055.534539,1634.257957
2,SP_1177,2908.160436,-3.131213026,0.128240613,24.41670348,1.14E-131,1.26E-128,5059.132121,5104.794324,5549.075999,589.1460129,619.8805203,526.9336402
3,SP_1220,5568.858751,-2.670581812,0.127161246,21.00153858,6.35E-98,4.68E-95,10638.36802,9197.634771,9105.990803,1435.511473,1412.844562,1622.802877
4,SP_0730,15271.80037,-3.029373782,0.150659693,20.10739388,6.36E-90,3.52E-87,31976.94368,28252.03984,21706.44222,3359.929027,3433.494051,2901.953381
5,SP_0862,18024.97415,-2.171448865,0.113290256,19.1671282,6.96E-82,3.08E-79,28497.00026,30208.04114,30008.60087,6802.13045,6100.858714,6533.213467
6,SP_1128,9683.904656,-2.403876937,0.130786133,18.38021265,1.89E-75,6.98E-73,17899.64167,17012.78259,14119.74518,3132.025031,3128.920721,2810.312748
7,SP_0400,5601.360795,-2.081624924,0.120782368,17.23450996,1.46E-66,4.62E-64,8869.103853,9100.941876,9300.151107,2039.788041,2327.906283,1970.273611
8,SP_1176,14570.20718,-2.259996475,0.131220144,17.2229385,1.79E-66,4.94E-64,25294.35872,26383.87408,20886.8903,5333.520887,4921.475646,4601.123453
9,SP_0775,1240.732437,-2.300405589,0.135490167,16.97839512,1.19E-64,2.92E-62,2222.971718,1940.500908,2037.196188,400.9597262,399.8363529,442.9297266
10,SP_1714,471.6165382,-2.842243766,0.169823704,16.73643723,7.11E-63,1.57E-60,875.5188758,861.3786837,764.7451801,120.0987859,108.680351,99.2773525
11,SP_1498,3303.098228,-2.388941636,0.144823108,16.49558324,3.95E-61,7.94E-59,6107.801941,5986.102078,4621.610039,1138.574317,1002.274348,962.2266473
12,SP_0486,951.2326196,2.172719247,0.136452877,-15.92285411,4.40E-57,8.11E-55,322.216984,358.7232564,337.7624546,1398.630743,1682.532841,1607.529439
13,SP_1894,1165.20532,2.236081468,0.142029851,-15.743743,7.58E-56,1.29E-53,452.4056644,412.6055563,338.187313,1869.56929,1898.55181,2019.912287
14,SP_0450,387.8639938,2.382731653,0.15933425,-14.95429677,1.46E-50,2.31E-48,111.3113218,128.4317832,127.8823885,667.6357706,719.1687421,572.7539568
15,SP_0366,3726.512025,1.765720649,0.118573252,-14.89139097,3.75E-50,5.53E-48,1637.7736,1658.541476,1735.5467,5308.933734,6031.088612,5987.188028
16,SP_RS08480,637.2079819,-2.653807496,0.178543241,14.86366823,5.67E-50,7.85E-48,1323.367936,924.8564616,1078.290704,191.9689255,159.6661946,145.097669
17,SP_0435,1105.855592,-2.080338724,0.143469953,14.50017008,1.21E-47,1.57E-45,2001.650961,1733.090959,1642.502704,384.8835108,418.6206111,454.3848057
18,SP_0552,401.1025845,-2.40156623,0.16571793,14.49189129,1.36E-47,1.68E-45,701.066044,696.0412157,637.7125085,124.8270846,124.7811437,122.1875108
19,SP_1577,809.7609484,-2.034486665,0.140490517,14.48130954,1.59E-47,1.85E-45,1210.103784,1371.415248,1338.304065,313.0133712,312.6237256,313.1054964
20,SP_1119,588.8670963,2.138509411,0.150686716,-14.19175804,1.03E-45,1.14E-43,180.3113224,244.3156335,216.677801,928.6378565,978.1231586,985.1368056
21,SP_RS08485,996.4358448,-1.983893512,0.140210565,14.14938674,1.88E-45,1.99E-43,1709.377374,1444.488504,1632.73096,406.6336846,373.0016983,412.3828489
22,SP_0553,1585.037796,-2.263144004,0.163951899,13.80370713,2.42E-43,2.44E-41,2834.207573,2660.899875,2440.8117,569.2871585,634.6395803,370.380892
23,SP_0955,200.5261034,2.570151203,0.191665541,-13.40956328,5.32E-41,5.11E-39,55.33018917,65.69211898,46.30956924,346.1114618,319.3323892,370.380892
24,SP_0499,3671.319638,-1.733913268,0.13082962,13.2532164,4.32E-40,3.99E-38,5907.311374,6031.865127,5062.188234,1634.100016,1842.199035,1550.254043
25,SP_0283,5786.913377,-1.836310024,0.140924533,13.03044964,8.21E-39,7.27E-37,10790.68878,8729.670687,7710.755708,2482.356796,2568.076441,2439.931856
26,SP_2012,22790.96185,-1.861848091,0.14327281,12.99512509,1.30E-38,1.11E-36,37583.5192,40159.28999,29935.52522,10817.40167,9700.727622,8549.307394
27,SP_0284,4904.492497,-1.841017101,0.142172327,12.9491944,2.37E-38,1.95E-36,8308.641584,8229.229601,6568.736239,2035.059743,2399.018117,1886.269698
28,SP_0959,1854.856572,-1.926302789,0.151024797,12.75487756,2.93E-37,2.31E-35,2367.481153,3213.747034,3268.860787,800.028133,719.1687421,759.8535826
29,SP_1655,2609.133621,-1.675090947,0.131407489,12.74730204,3.23E-37,2.46E-35,4069.69815,3744.450782,4128.774256,1220.846714,1093.512173,1397.519654
30,SP_0085,7272.101849,-1.749604848,0.138806378,12.60464304,1.99E-36,1.47E-34,12165.48124,12368.57121,9227.075457,3456.386319,3249.676667,3165.420201
31,SP_1067,695.5342076,-2.050599922,0.163049151,12.57657528,2.84E-36,2.03E-34,1161.283029,1017.120674,1192.577623,291.2631974,209.3103055,301.6504172
32,SP_1219,1781.075279,-1.63855859,0.133245862,12.29725689,9.37E-35,6.48E-33,2868.056629,2762.759566,2501.566456,920.126919,885.5436004,748.3985035
33,SP_0494,2906.717705,1.472182154,0.119809063,-12.28773615,1.05E-34,7.07E-33,1587.650958,1596.539925,1406.706273,4422.850565,4298.91166,4127.646848
34,SP_1539,8874.79663,-1.602589515,0.131633802,12.17460478,4.24E-34,2.76E-32,12160.27369,15160.11721,12861.73935,4535.384073,3933.960358,4597.305093
35,SP_2073,2206.935336,1.672615888,0.1389292,-12.03934007,2.21E-33,1.40E-31,1090.330198,1160.314731,876.0580897,3525.41948,3126.237256,3463.252259
36,SP_1354,4409.125705,-1.551479127,0.12984059,11.9491072,6.56E-33,4.03E-31,5859.792505,7082.93903,6843.194787,2051.135958,2403.043316,2214.648633
