,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC90MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC90MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC90MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF90MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF90MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF90MIN.C
1,SP_1848,4494.586682,-4.848047864,0.124089958,39.06881693,0,0,9162.150744,8028.728894,8895.005023,313.2691703,285.8209771,282.5452852
2,SP_0045,2256.213419,-4.668745379,0.140894834,33.13638442,8.90E-241,9.85E-238,4532.47769,3879.929916,4628.977534,169.6043279,179.1320409,147.1590027
3,SP_0050,2065.391,-4.545857116,0.150549929,30.19501342,2.75E-200,2.03E-197,3794.586355,3566.996204,4540.286733,184.5694156,139.6176202,166.2896731
4,SP_0046,1171.478805,-4.933581071,0.165005457,29.89950248,2.00E-196,1.11E-193,2245.411267,2108.38155,2462.875298,71.83242121,82.98028367,57.39201106
5,SP_0047,874.934147,-5.093487204,0.179240581,28.41704241,1.25E-177,5.52E-175,1692.984555,1584.833741,1829.759432,45.89293577,46.1001576,50.03406093
6,SP_1847,876.7923713,-4.374687515,0.165867385,26.37460959,2.68E-153,9.89E-151,1752.491921,1579.605731,1699.452179,92.78354407,79.0288416,57.39201106
7,SP_0287,6414.855283,-3.232285355,0.122969382,26.28528591,2.83E-152,8.94E-150,11688.23842,11028.11264,12121.98568,1181.24426,1077.42654,1392.124166
8,SP_1498,6479.841001,-3.176917082,0.122415624,25.95189216,1.73E-148,4.79E-146,13202.70088,11178.2312,10683.148,1302.960307,1330.318834,1181.686792
9,SP_1229,3707.687001,-2.752155234,0.114253298,24.08819066,3.32E-128,8.18E-126,7047.655682,6270.623981,6082.82442,954.7725986,960.2004254,930.0448973
10,SP_0048,546.7199148,-4.610062085,0.196768894,23.42881537,2.17E-121,4.82E-119,982.8633241,990.3343733,1185.045538,41.90224571,31.61153664,48.5624709
11,SP_1220,13868.02565,-2.804855104,0.125236052,22.39654687,4.25E-111,8.56E-109,27925.81495,21770.92533,23228.80281,3712.339435,3341.602852,3228.66852
12,SP_0370,1206.436914,-3.0316748,0.135455545,22.38132669,5.98E-111,1.10E-108,2277.148529,1945.566397,2239.783824,263.3855444,233.1350827,279.6021052
13,SP_1176,26251.7766,-2.444952553,0.110019163,22.22296995,2.06E-109,3.51E-107,48225.76098,42576.90947,42470.61303,8254.742404,8411.30304,7571.33069
14,SP_0056,4396.817574,-3.187987989,0.143640835,22.19416224,3.91E-109,6.19E-107,8964.784648,6708.283063,8154.095723,973.7283764,857.4629313,722.5507034
15,SP_0862,39148.56047,-2.315340125,0.107328975,21.5723679,3.27E-103,4.82E-101,68568.35396,62441.8519,64869.81574,13650.15538,12037.40972,13323.77611
