,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF60MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF60MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF60MIN.C
35,SP_1925,835.5088148,-2.215281557,0.146208396,15.15153454,7.40E-52,4.68E-50,1181.908805,1462.954422,1490.181418,270.8665546,291.4274509,315.7142376
36,SP_1759,833.3485132,1.881371138,0.124198517,-15.14809665,7.80E-52,4.80E-50,347.5406899,358.518922,351.8295235,1234.19035,1368.507257,1339.504337
37,SP_0837,676.7774942,1.958017278,0.129828868,-15.0815247,2.14E-51,1.28E-49,265.0504873,285.265547,272.3622373,1049.607899,1035.018112,1153.360683
38,SP_0219,5275.429552,-1.580406488,0.105210713,15.02134565,5.32E-51,3.10E-49,7865.643669,7726.822346,8165.433458,2619.10483,2583.789771,2691.783239
39,SP_0435,1691.123235,-2.006886535,0.135876614,14.76991869,2.29E-49,1.30E-47,3010.216248,2568.798641,2568.763046,717.577929,567.8328683,713.5506756
40,SP_1906,2878.059991,-1.718966677,0.116480356,14.75756723,2.75E-49,1.52E-47,4754.68119,4367.732486,4147.920656,1337.949715,1260.348615,1399.727284
41,SP_0225,9275.504151,-1.676402215,0.114218247,14.67718392,9.03E-49,4.88E-47,14435.10932,13260.97396,14772.76474,4324.035039,4076.979906,4783.161946
42,SP_0905,917.4846101,-1.928791555,0.131962317,14.61622982,2.21E-48,1.17E-46,1481.442902,1462.954422,1428.373529,411.7608512,333.4891449,386.8868113
43,SP_0776,2760.153868,-2.590257887,0.178258564,14.53090288,7.72E-48,3.98E-46,4008.212471,4664.972142,5585.803091,682.6274058,591.868122,1027.439975
44,SP_0218,6518.200026,-1.820127305,0.126164156,14.42665941,3.52E-47,1.77E-45,11274.78795,9042.565659,10233.62052,2816.793727,3133.596199,2607.836101
45,SP_0370,928.395122,-2.215653398,0.155261224,14.27048781,3.34E-46,1.65E-44,1784.357745,1384.770532,1431.090359,353.8740472,265.8899939,350.3880555
46,SP_0519,1507.148998,-1.929646532,0.13530193,14.26178127,3.79E-46,1.82E-44,2771.53558,2117.304282,2293.004771,620.3717864,612.898969,627.7785995
47,SP_1072,6541.76598,1.796322304,0.126102534,-14.24493425,4.82E-46,2.27E-44,3338.148611,2706.853079,2658.418446,10509.18544,10659.63501,9378.355299
48,SP_0421,2596.379916,-1.609679749,0.113532937,14.17808601,1.25E-45,5.78E-44,4000.774829,3959.908407,3793.374302,1202.516438,1362.498443,1259.207075
49,SP_0366,5348.740242,1.700080916,0.120142796,-14.15050231,1.85E-45,8.38E-44,2783.030116,2362.421344,2356.171075,8784.59556,8203.532524,7602.69083
50,SP_1357,926.0725881,1.930992214,0.138279128,-13.96445176,2.57E-44,1.14E-42,429.3547434,343.0230157,369.4889204,1547.652854,1308.419122,1558.496872
51,SP_0553,2404.304217,-1.815303614,0.131136131,13.84289435,1.40E-43,6.10E-42,4238.779349,3463.335048,3563.802142,1118.416742,1107.123873,934.3681481
52,SP_0450,590.6688999,2.107267474,0.152276536,-13.83842538,1.49E-43,6.37E-42,197.435567,243.7083438,217.3464238,967.6926104,1096.608449,821.2220052
53,SP_1177,3436.866994,-2.014388421,0.145579557,13.83702807,1.52E-43,6.37E-42,4998.771052,5951.132361,5634.706036,1348.871754,1607.35759,1080.363171
54,SP_0085,8982.480473,-2.072016384,0.150329651,13.78315166,3.22E-43,1.32E-41,18604.2453,12467.16094,12612.88465,3378.186506,3406.99721,3425.408231
55,SP_0220,4878.778902,-1.461241034,0.106976946,13.65940133,1.77E-42,7.02E-41,7293.621444,6801.294127,7413.550673,2590.70753,2549.239094,2624.260541
56,SP_1998,1885.857979,1.718057637,0.125770979,-13.66020725,1.75E-42,7.02E-41,977.7117464,801.560969,838.8213542,3015.574828,3013.419931,2668.059048
57,SP_0211,4762.44809,-1.648343375,0.120695527,13.6570378,1.83E-42,7.12E-41,8007.635002,6554.768346,7144.584474,2173.48566,2248.798423,2445.416638
58,SP_0057,1043.024282,1.937372271,0.142341433,-13.61074028,3.46E-42,1.32E-40,511.8449461,370.4930314,398.6948461,1722.40547,1677.961148,1576.74625
59,SP_0904,832.0300055,-1.755416609,0.129612283,13.54359763,8.64E-42,3.25E-40,1348.241509,1311.517157,1201.518199,384.4557549,365.0354153,381.411998
60,SP_1190,413.9007243,2.0363734,0.151550972,-13.43688775,3.68E-41,1.36E-39,177.8272402,145.8023907,155.5385345,632.3860287,630.9254092,740.9247425
61,SP_1889,8049.164372,1.423543435,0.106690266,-13.34276767,1.31E-40,4.74E-39,4551.836429,4269.826533,4235.538433,11121.9118,12056.68413,12059.18891
62,SP_1221,2124.869312,1.490118643,0.111784938,-13.33022737,1.54E-40,5.52E-39,1150.805942,1128.383719,1050.734117,3052.709759,3247.763654,3118.818682
63,SP_0222,3383.329274,-1.527492686,0.114765924,13.30963614,2.03E-40,7.15E-39,5412.574364,4854.444814,4835.278721,1755.171586,1814.661653,1627.844508
64,SP_1358,1038.453848,1.685400984,0.127868084,-13.1807792,1.13E-39,3.92E-38,503.7311556,481.7818126,480.8789626,1676.532909,1401.555731,1686.242517
65,SP_0447,1087.282512,1.554205138,0.118086594,-13.16157142,1.46E-39,4.98E-38,564.5845838,524.7477345,558.3086261,1679.80952,1584.82454,1611.420068
66,SP_0224,5821.990225,-1.569363994,0.119427229,13.14075531,1.92E-39,6.45E-38,9029.296446,8529.792034,8619.823325,2875.772735,2603.318415,3273.938394
67,SP_0369,12317.82119,-1.841987148,0.140292054,13.12966125,2.23E-39,7.36E-38,23131.06421,16058.6894,18766.50528,5121.343849,5792.496138,5036.828299
68,SP_1623,2797.698805,-1.556728488,0.118592632,13.12668806,2.32E-39,7.54E-38,4573.473204,3909.898892,4072.528615,1489.76605,1395.546917,1344.979151
69,SP_1577,1273.368249,-1.654696822,0.12659181,13.07112064,4.82E-39,1.55E-37,1755.283329,2008.832938,2049.848459,643.3080672,584.3571052,598.5795949
70,SP_1762,417.106779,1.880818178,0.144736774,-12.99474993,1.31E-38,4.15E-37,165.6565545,190.1770313,173.1979314,688.088425,675.9915099,609.5292216
71,SP_0959,3507.26298,-1.868078226,0.144887421,12.89330854,4.91E-38,1.53E-36,4946.031414,6181.457877,5446.565538,1564.035912,1706.503012,1198.984128
72,SP_1354,7430.325533,-1.367379096,0.106147793,12.88184204,5.70E-38,1.75E-36,10528.31923,11219.74049,10431.26993,4038.969835,4306.81702,4056.836706
73,SP_0515,1085.097756,-2.201700373,0.171477824,12.83956332,9.84E-38,2.99E-36,2006.810832,1724.271751,1640.286292,434.697132,262.8855872,441.634945
74,SP_0581,2995.206512,-1.815279558,0.141517025,12.82728745,1.15E-37,3.45E-36,5618.79987,4244.469595,4175.768167,1442.801285,1239.317768,1250.082386
75,SP_RS08480,933.195781,-2.010769585,0.156780045,12.82541781,1.18E-37,3.49E-36,1766.777865,1355.187438,1376.074545,325.4767471,339.4979583,436.1601316
76,SP_1757,581.7144041,1.743446922,0.136827871,-12.74189906,3.46E-37,1.01E-35,296.1533506,240.1865469,258.7780858,904.3447872,889.3043864,901.5192679
77,SP_1898,561.297787,1.721953118,0.135360615,-12.72122709,4.51E-37,1.30E-35,264.3743381,254.9780938,256.0612555,811.50746,833.7228622,947.1427127
78,SP_1767,596.0977688,1.69596188,0.134381626,-12.62048934,1.63E-36,4.62E-35,250.851354,290.900422,294.7760872,913.082418,941.8815038,885.0948278
79,SP_1377,489.7151646,-1.810615087,0.144274365,12.54980457,3.98E-36,1.11E-34,771.4862397,731.8293908,788.5599937,209.7031391,201.2952496,235.4169748
80,SP_1761,336.7072907,1.98794445,0.158414033,-12.54904259,4.02E-36,1.11E-34,114.2692152,141.5762344,145.3504209,577.7758363,504.7403274,536.5317101
81,SP_1128,19338.25121,-1.650313133,0.131795901,12.5217334,5.68E-36,1.55E-34,34999.51115,26962.17252,26258.84403,9477.0528,8696.255224,9635.671528
82,SP_0480,904.3102459,-1.718495222,0.137966244,12.45591078,1.30E-35,3.51E-34,1566.637702,1303.064844,1304.078543,440.1581512,383.0618556,428.8603805
83,SP_0375,4061.192346,-1.639444784,0.132095205,12.41108477,2.28E-35,6.07E-34,7127.288741,5668.684252,5697.872341,2065.357479,1753.071316,2054.879951
84,SP_0212,19341.88695,-1.787250976,0.144160183,12.39767413,2.69E-35,7.09E-34,37733.85853,26050.73149,26474.83204,8785.687763,8589.598786,8416.613084
85,SP_0214,8880.738132,-1.805871578,0.146358397,12.33869474,5.61E-35,1.46E-33,17263.44143,11500.77988,12799.66674,3751.720222,3842.636183,4126.184342
86,SP_RS02535,623.5341968,-2.152936523,0.174767798,12.31883988,7.17E-35,1.85E-33,802.589103,1143.175266,1119.334082,183.4902467,255.3745704,237.2419126
87,SP_0425,5803.035352,-1.335354894,0.108471507,12.31065123,7.94E-35,2.02E-33,8528.946037,8292.422924,8158.641382,3509.250968,3142.609419,3186.34138
88,SP_0731,504.9828604,-1.813104235,0.148791735,12.18551711,3.71E-34,9.35E-33,709.9566623,833.2571409,824.5579952,237.0082353,204.2996563,220.8174725
89,SP_0272,10393.66616,-1.99417959,0.164042083,12.15651226,5.30E-34,1.32E-32,22177.01768,13453.26407,14418.89759,4136.175977,4327.847867,3848.793798
90,SP_RS09360,216.5515738,2.075722204,0.171916945,-12.0739826,1.45E-33,3.57E-32,89.25169469,78.88825002,76.75045589,374.6259203,344.0045684,335.7885532
91,SP_1112,516.3326155,-1.749607898,0.145259788,12.04468164,2.07E-33,5.04E-32,800.5606554,795.2217346,796.031277,203.149916,249.365757,253.6663527
92,SP_0228,3450.976989,-1.791819126,0.148884325,12.03497495,2.33E-33,5.60E-32,5186.064381,5259.451455,5670.704038,1568.404728,1176.225227,1845.012105
93,SP_0479,1225.124378,-1.493354091,0.124145111,12.02910114,2.50E-33,5.95E-32,1896.598512,1791.185891,1746.921881,640.0314557,584.3571052,691.6514221
94,SP_1475,630.6593201,-1.689348343,0.140865673,11.99261901,3.88E-33,9.15E-32,1066.963441,927.6412971,903.3460738,311.278097,280.9120274,293.8149841
95,SP_1897,367.3698021,1.995210522,0.166548127,-11.97978361,4.54E-33,1.06E-31,161.5996593,140.871875,133.1246846,628.0172133,662.4716797,478.1337008
96,SP_1191,253.6183113,2.087791218,0.174494458,-11.96479959,5.43E-33,1.25E-31,110.21232,85.93184378,87.61777708,369.164901,458.1720234,410.6110026
97,SP_1630,221.941129,-2.296625283,0.192099455,11.95539716,6.08E-33,1.39E-31,356.3306296,382.4671407,372.2057507,61.16341556,90.13220132,69.34763599
98,SP_1887,7746.143758,1.412102762,0.118122408,-11.95457141,6.14E-33,1.39E-31,4710.055343,4059.927439,3857.219814,10880.53475,11915.47701,11053.64819
99,SP_1774,834.8572907,1.596731757,0.133820741,-11.9318705,8.07E-33,1.81E-31,377.967404,425.4330626,431.2968097,1180.672361,1407.564544,1186.209563
100,SP_2064,534.7659636,1.545534306,0.130924465,-11.80477844,3.69E-32,8.17E-31,268.4312333,278.9263126,265.5701615,796.2166061,820.203032,779.248436
101,SP_0002,1732.3529,1.453301476,0.123285043,-11.78814105,4.49E-32,9.76E-31,927.0005562,859.3184378,976.0212842,2395.203041,2417.045199,2819.528884
102,SP_1090,1041.811836,1.650324727,0.139997319,-11.7882595,4.49E-32,9.76E-31,586.2213583,452.1987189,457.1066975,1452.631119,1632.895047,1669.818077
103,SP_0761,1285.069903,-1.36017319,0.115584588,11.76777294,5.72E-32,1.23E-30,1855.353411,1829.221297,1874.612905,712.1169097,725.5642206,713.5506756
104,SP_1474,1846.422144,-1.393268631,0.118633183,11.74434164,7.55E-32,1.61E-30,2749.222656,2639.234579,2655.022408,1072.54418,1050.040145,912.4688947
105,SP_1857,131.5306748,2.697380306,0.229698994,-11.74310895,7.66E-32,1.62E-30,39.89280293,31.69617188,28.52671812,182.3980428,274.903214,231.7670992
106,SP_1959,408.1794507,1.939174032,0.165795653,-11.69616934,1.33E-31,2.79E-30,171.0657482,165.5244532,163.0098178,691.3650366,752.603881,505.5077676
107,SP_2073,2211.768805,1.276263455,0.109236867,-11.68344988,1.55E-31,3.21E-30,1309.024855,1229.811469,1323.775562,3160.83794,3115.569759,3131.593246
108,SP_0552,676.9805084,-1.684312314,0.144388867,11.66511206,1.92E-31,3.94E-30,1099.418603,1039.634438,972.6252464,350.5974356,334.9913482,264.6159795
109,SP_1626,7026.7854,-1.85628171,0.159307703,11.65217798,2.24E-31,4.55E-30,13261.3143,9004.530253,10897.20632,2926.014112,3584.257206,2487.390207
110,SP_1763,302.9650294,1.861468883,0.159898146,-11.64159143,2.53E-31,5.10E-30,119.6784088,146.50675,120.2197406,444.5269666,477.700667,509.1576432
111,SP_0215,14192.01587,-1.750565814,0.15056545,11.62661028,3.02E-31,6.02E-30,27991.22467,18790.89941,19081.65759,6141.462244,6812.492216,6334.359067
112,SP_1631,3910.530228,-1.753917795,0.152182651,11.52508374,9.86E-31,1.95E-29,7638.457537,5110.831627,5412.605159,1904.803513,1748.564706,1647.918824
113,SP_0273,33187.38822,-1.732497995,0.15079103,11.48939691,1.49E-30,2.92E-29,65345.7635,42979.30472,45255.60067,16107.82237,14985.98067,14449.85742
114,SP_1376,576.9083848,-1.621374477,0.141161391,11.48596273,1.55E-30,3.02E-29,862.0902328,855.7966409,899.9500359,250.1146815,312.4582979,281.0404196
115,SP_1541,2339.291363,-1.814319797,0.158284887,11.46236913,2.04E-30,3.93E-29,4474.75542,2986.483751,3504.031876,860.6566332,1096.608449,1113.212051
116,SP_0313,313.6051371,1.770279414,0.154863444,-11.43122852,2.92E-30,5.57E-29,156.1904657,133.1239219,132.445477,515.5202168,471.6918536,472.6588874
117,SP_1145,504.3812677,1.933588187,0.169255761,-11.4240613,3.17E-30,6.00E-29,150.1051229,230.3255157,237.0434434,755.8050637,842.7360823,810.2723785
118,SP_2116,435.8711281,1.915625903,0.168846722,-11.34535445,7.82E-30,1.47E-28,200.1401639,157.7765,179.9900072,630.201621,594.8725287,852.2459476
119,SP_0415,915.3168313,-1.547166138,0.136418358,11.34133381,8.19E-30,1.52E-28,1345.536912,1433.371329,1327.850808,531.9032746,411.6037194,441.634945
120,SP_RS08365,196.134389,2.004712644,0.176995399,-11.32635456,9.72E-30,1.79E-28,80.46175506,69.73157815,80.14649376,308.0014855,341.0001617,297.4648597
121,SP_1473,374.4401618,-1.805042201,0.159624595,11.3080456,1.20E-29,2.19E-28,614.6196248,571.9398127,567.8175321,159.461762,192.2820295,140.5202098
122,SP_0745,886.526627,-1.709200079,0.151262219,11.29958355,1.32E-29,2.37E-28,1114.293885,1546.773188,1424.977491,381.1791434,443.1499898,408.7860648
123,SP_1192,167.6316435,2.076139529,0.183733598,-11.29972718,1.32E-29,2.37E-28,59.50112979,66.20978127,63.16630441,281.7885931,261.3833838,273.7406684
124,SP_0213,5570.115561,-1.683731633,0.149108294,11.29200521,1.44E-29,2.57E-28,9366.018749,8264.952909,7941.974166,2509.884446,3228.235011,2109.628084
125,SP_RS10010,880.7132635,1.631049556,0.144801818,-11.264013,1.98E-29,3.50E-28,488.8558732,393.7368907,395.9780158,1458.092139,1401.555731,1146.060932
126,SP_1298,388.642785,-1.800668527,0.160261335,11.23582632,2.72E-29,4.78E-28,689.6721863,564.8962189,564.4214942,176.9370236,160.735759,175.1940278
127,SP_2065,1121.171318,1.485814984,0.132326618,-11.22839085,2.96E-29,5.16E-28,661.950069,581.8008439,514.1601337,1683.086132,1727.533859,1558.496872
128,SP_1896,253.0420273,2.111581537,0.188794492,-11.18455056,4.85E-29,8.40E-28,116.2976628,92.97543753,69.95838015,443.4347628,425.1235496,370.4623712
129,SP_1355,8873.844397,-1.177724963,0.105823217,11.12917372,9.05E-29,1.55E-27,11817.05961,12466.45658,12695.06877,5542.934535,5555.148008,5166.398882
130,SP_0554,634.2795049,-1.562405299,0.140565885,11.1151102,1.06E-28,1.80E-27,1000.700819,1008.642625,841.5381845,311.278097,325.9781281,317.5391753
131,SP_RS00615,681.2141445,1.466388047,0.132231881,-11.0895197,1.41E-28,2.37E-27,366.4728676,347.249172,364.0552598,993.9055028,913.33964,1102.262425
132,SP_1765,261.0495693,1.92188939,0.173304098,-11.08969387,1.41E-28,2.37E-27,95.33703751,107.062625,118.1821179,375.7181241,384.564059,485.433452
133,SP_0271,8042.113341,-1.830115824,0.165151188,11.08145721,1.54E-28,2.57E-27,16439.21555,10518.90291,10856.45387,3321.391906,4003.371942,3113.343869
134,SP_1059,285.8188778,2.413481963,0.218316862,-11.05494988,2.07E-28,3.43E-27,50.71119017,111.9931407,98.48509827,434.697132,557.3174448,461.7092607
135,SP_0579,851.7733359,-1.562235676,0.141360262,11.0514486,2.16E-28,3.54E-27,1414.504131,1263.620719,1153.294461,441.2503551,465.6830402,372.287309
136,SP_0445,946.8232298,1.357504397,0.122887791,-11.04669866,2.27E-28,3.70E-27,572.6983743,499.390797,514.1601337,1381.637869,1379.02268,1334.029524
137,SP_0754,479.6790595,1.550084656,0.140450269,-11.03653743,2.55E-28,4.12E-27,215.6915955,252.8650157,258.0988782,711.0247059,745.0928642,695.3012977
