,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC10MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC10MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC10MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF10MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF10MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF10MIN.C
1,SP_0552,1022.003639,-2.059968236,0.12763469,16.13956386,1.34E-58,2.92E-55,1549.098039,1773.710414,1672.621165,353.1126374,431.6145317,351.8650487
2,SP_0553,4098.331833,-1.550959107,0.102585084,15.11875848,1.22E-51,1.32E-48,6134.66717,6347.949252,5988.234104,2123.261703,2084.213487,1911.665284
3,SP_1714,848.8061995,-1.975449791,0.143393715,13.77640432,3.53E-43,2.56E-40,1192.022313,1628.658056,1307.661683,339.9282369,302.3609821,322.2059259
4,SP_2216,9287.644065,-1.255920899,0.119623067,10.49898591,8.73E-26,4.74E-23,13291.44701,14049.72051,12327.59349,6116.988561,5128.5962,4811.518617
5,SP_2026,10191.30213,-1.535515204,0.148319615,10.35274537,4.07E-25,1.77E-22,13773.30013,18347.85091,14083.87865,5241.085785,5712.545273,3989.152028
6,SP_0435,2276.100831,-1.178843186,0.115281868,10.22574678,1.52E-24,5.50E-22,3295.317808,3271.312392,2986.870564,1421.049071,1463.334829,1218.720322
7,SP_0554,1219.5925,-1.210653349,0.121484884,9.96546492,2.16E-23,6.70E-21,1759.493959,1834.785091,1573.146649,781.8922685,690.1216309,678.1154004
8,SP_1894,4484.797194,1.045167997,0.107736415,-9.701158126,2.98E-22,8.09E-20,2907.047734,3001.565902,2749.712778,6020.111879,5627.145606,6603.199267
9,SP_0988,2029.496715,-1.063853425,0.110487363,9.62873393,6.05E-22,1.46E-19,2708.598585,3018.10696,2575.138296,1296.65712,1285.611199,1292.868129
10,SP_1220,12161.77972,-1.157023762,0.126155077,9.171440352,4.67E-20,1.01E-17,18896.47398,17919.05578,14095.73654,7837.266198,7242.814976,6979.330871
11,SP_1758,1284.454703,1.085781455,0.121014047,-8.972358862,2.90E-19,5.73E-17,793.1328863,815.6014172,806.3364735,1537.415736,1885.716965,1868.524742
12,SP_1577,2168.540125,-1.061162799,0.118408118,8.96190917,3.19E-19,5.78E-17,3278.06136,2736.908968,2862.362726,1491.556952,1338.697478,1303.653265
13,SP_1067,2266.043367,-1.079565927,0.121414254,8.891591349,6.02E-19,1.01E-16,2844.659038,2898.502384,3568.565912,1394.680271,1470.259127,1419.593473
14,SP_1926,783.9072115,-1.36441864,0.154028198,8.858239339,8.13E-19,1.26E-16,1010.165902,1033.179954,1409.112514,462.6004843,362.3715587,426.0128559
15,SP_RS08480,1408.004038,-1.057752302,0.122431725,8.639527898,5.64E-18,8.17E-16,1930.731018,2029.460625,1806.351806,992.8426752,893.2343517,795.40375
16,SP_1882,666.6450525,-1.447963791,0.171893362,8.423616663,3.65E-17,4.96E-15,808.3982055,1313.105558,877.4838094,343.3676458,290.8204866,366.6946102
17,SP_0852,2579.962489,-0.982355406,0.116960652,8.399024684,4.50E-17,5.75E-15,3558.146781,3714.103801,3098.861741,1833.204893,1590.28028,1685.177437
18,SP_1219,5623.056285,-0.863419694,0.103377279,8.352122492,6.70E-17,8.09E-15,7703.012785,7017.225922,7174.023036,3950.161013,4173.043173,3720.87178
19,SP_2041,1296.566631,-0.919444763,0.110603306,8.312995311,9.33E-17,1.07E-14,1697.105264,1659.195395,1762.872878,871.3168974,946.320631,842.5887183
20,SP_0451,480.2679062,-1.166167373,0.144712868,8.0584912,7.72E-16,8.39E-14,691.5853285,586.571378,741.7768539,269.4203564,270.0475947,322.2059259
21,SP_0346,16694.26457,-0.928521109,0.115747204,8.021974393,1.04E-15,1.08E-13,22695.54732,19618.96763,23867.95488,11890.03624,10277.96529,11815.11604
22,SP_2208,42.74125531,2.167987031,0.271784126,-7.976871444,1.50E-15,1.48E-13,12.61048104,8.906723745,9.222802801,89.42462894,55.3943784,80.88851695
23,SP_0767,659.2142426,-1.125163368,0.142412653,7.900726143,2.77E-15,2.62E-13,832.2917485,953.0194407,960.4890346,348.526759,387.7606488,473.1978242
24,SP_1018,897.5868779,-1.141995026,0.144818138,7.885718218,3.13E-15,2.83E-13,1318.790833,1249.486102,1185.13016,563.4898093,643.9596489,424.664714
25,SP_0122,994.7906755,-1.390411904,0.177807023,7.819780555,5.29E-15,4.26E-13,1397.772267,1897.132158,1140.992461,634.5709246,422.3821353,475.8941081
26,SP_0334,927.5817552,-1.01842886,0.130214917,7.821138196,5.23E-15,4.26E-13,1282.950518,1386.904126,1102.124935,647.1820902,574.7166759,571.6121865
27,SP_1759,1698.601487,0.856197303,0.10942389,-7.824592063,5.09E-15,4.26E-13,1185.385218,1210.04204,1189.741561,2144.47139,2070.364893,2391.603818
28,SP_0459,16755.60105,-0.936708951,0.1220415,7.675331361,1.65E-14,1.28E-12,24684.68478,22821.57101,19116.23512,12264.35857,10494.92661,11151.8302
29,SP_0347,10283.25132,-0.839826287,0.109500798,7.669590563,1.73E-14,1.29E-12,13837.01625,12725.16345,13287.42375,8097.514798,6965.843084,6786.546572
30,SP_1943,669.080357,-0.96599183,0.126981451,7.607345963,2.80E-14,2.03E-12,927.202211,923.7544912,824.1233074,415.5952307,487.0089101,436.7979915
31,SP_1944,199.0186613,-1.252867392,0.165069584,7.589934889,3.20E-14,2.24E-12,258.1830065,306.6457746,292.4946031,109.487847,115.404955,111.8957818
32,SP_0601,2065.947409,0.854674213,0.114882331,-7.439561885,1.01E-13,6.86E-12,1501.310953,1561.221434,1297.121337,2799.678768,2684.319253,2552.03271
33,SP_0555,840.5928228,-1.219008516,0.164340944,7.41755818,1.19E-13,7.62E-12,1142.244098,1273.661495,1192.376648,544.5730609,323.133874,567.5677606
34,SP_0806,4335.981975,-0.745838055,0.100546095,7.4178719,1.19E-13,7.62E-12,5443.745551,5435.646262,5504.695729,3405.014717,3175.944362,3050.845231
35,SP_0556,27505.93104,-0.913995685,0.123378719,7.408049729,1.28E-13,7.95E-12,36682.56192,40408.53324,31690.86797,20854.28206,17163.02491,18236.31615
36,SP_0600,527.5702443,1.018127225,0.137859251,-7.385265876,1.52E-13,8.93E-12,311.9434783,334.638335,374.1822851,674.1241259,667.0406399,803.4926017
37,SP_1074,2692.358814,0.97394231,0.131872104,-7.385506715,1.52E-13,8.93E-12,1837.147974,1928.941885,1575.122964,3512.78286,3134.398578,4165.758623
38,SP_1498,8577.121501,-0.967018984,0.131125308,7.374769949,1.65E-13,9.41E-12,12191.68033,12325.63327,9894.749862,6589.334037,5227.844462,5233.487047
39,SP_1762,882.6836067,0.94055899,0.127678277,-7.36663286,1.75E-13,9.75E-12,586.719223,531.8586465,657.4540854,1089.146122,1160.973847,1269.949716
40,SP_0768,3309.421083,-0.850826211,0.115822851,7.345927005,2.04E-13,1.11E-11,4549.065107,4466.085763,3862.378059,2488.985506,2128.06737,2361.944695
41,SP_RS09410,536.3621733,1.082450213,0.148488065,-7.289812885,3.10E-13,1.64E-11,383.6241074,324.4592221,289.200745,722.2758492,844.7642706,653.8488454
