,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF120MIN.C
1,SP_0045,15117.09605,-7.887257463,0.154768467,50.96165662,0,0,31118.04329,25970.78708,33249.99505,127.1507754,127.8129824,108.7870899
2,SP_0046,6773.629203,-7.947210672,0.174498545,45.54313425,0,0,13555.29563,12443.60817,14490.07909,40.60276863,53.8159926,58.37356041
3,SP_0047,4959.460406,-8.01919535,0.188231069,42.60293164,0,0,10187.44217,9057.953142,10405.31527,36.32879298,36.99849491,32.72457174
4,SP_0050,11534.80225,-7.496718244,0.159408088,47.02846837,0,0,26160.6301,20454.24388,22237.71036,116.4658363,100.9049861,138.8583179
5,SP_1587,3541.63094,-5.177120545,0.128546097,40.27442812,0,0,7163.504002,6757.21156,6771.392892,181.6439649,184.9924746,191.0407432
6,SP_1848,11273.49571,-6.270413431,0.162221732,38.65335019,0,0,27457.65212,20410.60565,18943.23475,261.7810082,309.4419574,258.2587824
7,SP_0287,13831.35263,-4.367872312,0.117276699,37.24416137,1.32E-303,4.17E-301,25545.14754,24785.84139,28881.92036,1239.452937,1313.446569,1222.306977
8,SP_0048,3031.512285,-8.496226367,0.24581673,34.56325516,9.01E-262,2.50E-259,6385.500494,5616.575451,6144.249639,16.02740867,13.45399815,13.26671827
9,SP_0054,3642.85802,-5.669324119,0.16822509,33.70082384,5.62E-249,1.38E-246,8525.534403,6050.943646,6881.033321,151.7261354,114.3589843,133.5516306
10,SP_1847,2179.9447,-5.469501495,0.165118517,33.124701,1.31E-240,2.90E-238,4608.255283,4502.793635,3692.689647,79.06854943,92.49623728,104.3648504
11,SP_0051,2412.639191,-6.014168279,0.193483582,31.08361045,4.01E-212,8.08E-210,5637.904131,3630.700459,4998.726437,63.04114076,77.36048936,68.10248714
12,SP_0502,18448.78875,-3.562424816,0.11968868,29.76409148,1.14E-194,2.10E-192,37391.35191,30359.44997,34417.44634,2909.50892,2823.657862,2791.317525
13,SP_0053,1299.833345,-5.838111693,0.198014729,29.48321931,4.73E-191,8.05E-189,2977.803186,2196.681195,2498.924657,48.082226,40.36199445,37.14681117
14,SP_0288,1842.236435,-4.241889966,0.147585168,28.74198016,1.14E-181,1.81E-179,3011.355898,3656.883395,3843.554878,175.2330014,183.3107248,183.0807122
15,SP_1884,800.1874397,4.395223656,0.156220607,-28.13472404,3.69E-174,5.44E-172,57.66872367,76.534736,75.43261512,1493.754488,1545.528037,1552.206038
16,SP_0056,9758.388886,-4.607976368,0.167301146,27.54300541,5.37E-167,7.43E-165,22116.47979,15686.93545,18523.96975,914.630788,627.2926637,681.0248714
17,SP_1229,5987.200856,-3.265072557,0.121645435,26.84089677,1.08E-158,1.40E-156,12098.89823,10023.36499,10458.8198,1096.274753,1104.909598,1140.937772
18,SP_1883,817.1798878,4.059181009,0.152290807,-26.65414342,1.60E-156,1.97E-154,104.8522249,77.87745067,90.34371346,1597.398397,1505.166043,1527.441497
19,SP_0044,1503.884257,-7.726858477,0.291901198,26.47080088,2.10E-154,2.45E-152,2590.898476,2495.435208,3904.953518,12.82192693,5.045249306,14.15116616
20,SP_0501,2531.072952,-3.924207305,0.152044883,25.80953216,6.93E-147,7.68E-145,3929.861388,4797.519504,5544.297212,319.4796795,289.2609602,306.0189682
21,SP_1498,7335.671938,-3.366809626,0.131780997,25.54852136,5.70E-144,6.01E-142,15408.03444,11821.25993,12955.99021,1295.01462,1215.905083,1317.827349
22,SP_0055,651.1864695,-5.01023196,0.201658354,24.84514956,2.92E-136,2.94E-134,1334.768822,1162.790901,1294.634185,25.64385387,52.13424283,37.14681117
23,SP_0905,1192.506497,-2.83072202,0.128887485,21.96273768,6.54E-107,6.30E-105,2219.7216,2010.043856,2053.345954,302.3837769,290.94271,278.6010838
24,SP_1176,28283.65881,-2.628597705,0.124976729,21.03269718,3.29E-98,3.04E-96,54378.46086,42805.07222,49132.94615,8240.225043,7510.694467,7634.554143
25,SP_RS08365,654.2707945,2.935461791,0.141957606,-20.67843967,5.42E-95,4.80E-93,153.0842483,134.2714667,161.3907114,1168.932339,1118.363596,1189.582405
26,SP_0370,1187.340173,-2.908355462,0.14097298,20.63058791,1.46E-94,1.24E-92,2314.088603,2110.076099,1877.044144,264.98649,260.6712142,297.1744894
27,SP_2022,641.5368763,2.675555037,0.136033221,-19.66839443,4.02E-86,3.30E-84,175.1032155,164.4825467,175.4246863,1097.343247,1158.725591,1078.141972
28,SP_0290,1836.0818,-2.476189799,0.126307144,19.60451104,1.42E-85,1.12E-83,3370.999029,3105.699024,2880.47335,548.1373765,523.0241781,588.1578435
29,SP_1074,3081.722026,2.407882614,0.123704877,-19.46473469,2.19E-84,1.67E-82,1069.492694,967.4259174,870.1064442,5231.346189,5420.279505,4931.681407
30,SP_1220,17117.24429,-2.966685607,0.156140953,19.00004804,1.70E-80,1.26E-78,33257.02868,28771.01852,29241.54096,4792.195192,3218.869057,3422.813315
31,SP_1072,8106.439991,2.17570582,0.115381724,-18.85658964,2.59E-79,1.85E-77,3130.887434,2988.211491,2637.510159,13700.22893,13084.0132,13097.78873
32,SP_0289,2174.024332,-2.485385612,0.132127618,18.81049277,6.20E-79,4.29E-77,4144.808449,3621.972814,3324.297806,687.0415849,607.1116665,658.9136743
33,SP_2012,60491.20883,-2.195255653,0.116992537,18.76406579,1.49E-78,9.97E-77,108788.3774,91698.01274,97866.80114,22447.98858,20167.54323,21978.52994
34,SP_1073,6498.624284,2.309768876,0.124767439,-18.51259353,1.63E-76,1.06E-74,2484.997729,2001.316211,2005.981288,10749.04875,10956.59974,10793.80199
35,SP_0904,1030.876857,-2.428694846,0.13210797,18.38416599,1.76E-75,1.11E-73,1897.82527,1701.89084,1627.941089,322.6851612,309.4419574,325.4768217
36,SP_0291,1096.633447,-2.304606378,0.125770057,18.32396709,5.33E-75,3.28E-73,1919.844237,1743.514995,1820.031121,376.1098568,351.4857017,368.814768
37,SP_2239,2168.280314,2.067651702,0.115411907,-17.91541065,8.94E-72,5.35E-70,851.4000659,792.2016534,847.301235,3666.002609,3531.674514,3321.101808
38,SP_1177,5792.971506,-2.944518305,0.168662992,17.45799879,2.99E-68,1.74E-66,10283.90621,8827.677577,11736.78864,1658.30255,1104.909598,1146.244459
39,SP_RS02475,479.5842688,-2.956009207,0.172197434,17.16639518,4.74E-66,2.69E-64,783.2461197,775.41772,996.4122184,113.2603546,110.9954847,98.17371523
40,SP_1623,3227.029431,-2.226939062,0.130583279,17.0537842,3.28E-65,1.81E-63,5792.036901,5346.018446,4849.615454,1253.343358,1019.14036,1102.022065
41,SP_0955,282.9462766,3.089826052,0.18211565,-16.96628516,1.46E-64,7.88E-63,70.25099066,57.06537334,47.36466531,517.151053,524.7059278,481.1396494
