,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.C
35,SP_0648,5854.181531,1.206260892,0.101836423,-11.84508304,2.28E-32,1.44E-30,3730.822098,3545.323194,3272.88998,8569.411148,7939.636678,8067.006087
36,SP_1081,2113.277412,-1.328691781,0.112837058,11.77531394,5.23E-32,3.22E-30,3204.577713,3144.329142,2756.932547,1254.842928,1110.774994,1208.20715
37,SP_1074,2541.755265,1.449770606,0.123603457,-11.72920755,9.03E-32,5.41E-30,1292.055262,1572.164571,1170.363443,3816.947628,3858.975428,3540.025258
38,SP_1067,1397.174076,-1.51234356,0.12918478,11.70682456,1.18E-31,6.85E-30,2274.378114,1740.431386,2225.496392,691.072917,755.3739135,696.2917327
39,SP_2216,6549.227602,-1.288758681,0.112463194,11.4593818,2.11E-30,1.20E-28,9281.948584,10406.59094,8300.035229,3905.203844,3562.22139,3839.365629
40,SP_0346,10202.59289,-1.113131068,0.097579188,11.40746396,3.84E-30,2.13E-28,14609.5465,13241.1752,14119.17514,6329.842801,6243.564195,6672.253489
41,SP_1531,1278.955549,1.77908822,0.157250483,-11.31372179,1.12E-29,6.06E-28,509.2040908,627.8612504,548.6347365,2031.497631,2462.002864,1494.532722
42,SP_0959,3158.982031,-1.273732511,0.112690679,11.30290916,1.27E-29,6.69E-28,4360.31062,4862.994671,4246.329669,1982.82299,1848.554794,1652.87944
43,SP_0494,5009.014565,1.264357782,0.11452562,-11.03995576,2.45E-28,1.26E-26,2916.897449,3199.580932,2637.402409,7191.009517,7673.379102,6435.817978
44,SP_0554,849.1932531,-1.546112436,0.140739093,10.98566437,4.48E-28,2.25E-26,1304.083705,1426.500761,1098.129402,483.0022013,408.1834191,375.2600304
45,SP_1655,3382.175929,-1.209703675,0.110394524,10.95800439,6.08E-28,2.99E-26,4512.670899,4577.527089,5117.4378,1867.28758,2018.631219,2199.500987
46,SP_1119,979.2035963,1.592485736,0.146158971,-10.89557298,1.21E-27,5.83E-26,508.2017206,534.100637,392.9875777,1483.239318,1700.764246,1255.928079
47,SP_1574,4170.174719,-1.162349051,0.107132333,10.84965682,2.00E-27,9.43E-26,6339.991879,5289.940321,5721.967925,2517.709149,2630.906348,2520.53269
48,SP_0852,1680.911053,-1.301948219,0.121372376,10.72689074,7.61E-27,3.51E-25,2448.790539,2674.688927,2087.047814,999.1673443,943.044451,932.7272432
49,SP_0450,520.2562806,1.484153564,0.139141721,-10.6664885,1.46E-26,6.60E-25,269.6375993,293.0019168,248.5194966,861.7016016,758.8927361,689.7843333
50,SP_0229,22182.41854,1.147278165,0.107872993,-10.63545313,2.04E-26,9.03E-25,13709.41801,14817.52551,12572.16277,32280.37967,31724.53143,27990.49383
51,SP_1032,965.4469669,-1.919139057,0.180621721,10.62518418,2.28E-26,9.88E-25,1234.920157,1231.445199,2161.861642,363.7225879,392.9351879,407.7970273
52,SP_1762,772.3607403,1.267741067,0.119396409,-10.61791624,2.46E-26,1.05E-24,465.0997995,415.2255736,466.9414763,1133.958656,1066.203241,1086.735695
53,SP_0555,545.2687793,-1.570012966,0.148313715,10.58575711,3.47E-26,1.45E-24,876.0716051,889.0515305,693.9627466,264.2337624,238.1069945,310.1860367
54,SP_1033,1093.216932,-1.46712855,0.139154444,10.54316705,5.46E-26,2.24E-24,1391.289917,1501.844111,1949.459165,549.3280849,566.5304351,600.8498753
55,SP_0556,17731.09069,-1.418765721,0.135201019,10.49375017,9.23E-26,3.72E-24,27718.54473,29890.38126,20265.08809,10225.41869,9374.143349,8912.968005
56,SP_1219,3550.968775,-1.193074647,0.113933483,10.47167712,1.17E-25,4.61E-24,5364.685618,5083.164683,4432.074344,2051.288418,2324.768783,2049.830802
57,SP_RS00630,68.16919579,2.914139433,0.279221876,-10.43664441,1.69E-25,6.55E-24,9.021332318,13.39437334,16.33865203,116.0702964,134.8881988,119.3023218
58,SP_0486,1120.090913,1.31011231,0.126582377,-10.34987919,4.19E-25,1.60E-23,608.4387463,737.5276821,563.2535304,1653.868003,1630.387795,1527.069719
59,SP_0338,886.3143485,1.149302732,0.112000404,-10.26159456,1.05E-24,3.94E-23,541.2799391,560.0522353,537.4556588,1215.796239,1226.896139,1236.405881
60,SP_0434,1823.525433,-1.211393161,0.118442013,10.22773195,1.49E-24,5.50E-23,2538.001492,2835.421407,2302.030078,1072.446748,1169.422037,1023.830834
61,SP_1722,1006.594232,-1.212947833,0.11936096,10.16201469,2.93E-24,1.06E-22,1542.647826,1347.808817,1348.368757,587.8398883,638.0798275,574.8202778
62,SP_1896,831.5964715,1.247965251,0.122972262,-10.14834751,3.37E-24,1.20E-22,541.2799391,470.4773636,454.0425405,1214.726466,1209.302026,1099.750494
63,SP_0366,4580.970792,1.004116081,0.099022682,-10.14026343,3.66E-24,1.29E-22,2966.013592,2958.482212,3169.698493,5842.026625,6291.65477,6257.949062
64,SP_2073,4288.019419,1.140718013,0.112696814,-10.12200761,4.41E-24,1.53E-22,2687.35466,2909.927608,2369.104544,6013.725082,6247.083017,5500.921602
65,SP_0480,1217.319885,-1.150302854,0.113723235,10.11493261,4.74E-24,1.62E-22,1767.178764,1727.037013,1562.491091,746.7010775,784.697435,715.8139308
66,SP_1112,654.301538,-1.285476115,0.127188957,10.10682177,5.15E-24,1.73E-22,922.1806369,873.9828605,1000.09749,357.303954,403.4916556,368.752631
67,SP_0488,2820.199609,1.016488389,0.100619308,-10.10231937,5.40E-24,1.78E-22,1936.579338,1820.797626,1809.29073,3663.435301,3921.141293,3769.953369
68,SP_0222,13493.7613,1.028254762,0.101926706,-10.08817813,6.23E-24,2.03E-22,9199.754223,9004.367479,8284.556506,19540.99603,17490.8941,17441.99945
69,SP_0217,12335.5815,1.107050003,0.109851874,-10.07766151,6.94E-24,2.23E-22,7569.900185,8462.732507,7266.400506,18645.06172,16048.17684,16021.21725
70,SP_0054,914.8962213,1.403906161,0.140173145,-10.01551448,1.30E-23,4.12E-22,522.2349042,565.0751253,392.9875777,1252.703384,1402.837268,1353.539069
