,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC10MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC10MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC10MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC10MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC10MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC10MIN.C
1,SPT_0133,2909.178604,1.673445436,0.089906597,-18.61315505,2.51E-77,5.21E-74,1236.742508,1245.50821,1339.996192,4939.455393,4482.127936,4211.241386
2,SPT_0131,11185.72364,1.513631964,0.084439604,-17.9256166,7.44E-72,7.71E-69,5180.201871,5316.87415,5816.451599,18000.02407,15854.53161,16946.25854
3,SPT_0132,9383.68966,1.455424715,0.092288653,-15.77035383,4.98E-56,3.44E-53,4217.609067,4566.017877,5149.954016,14815.40443,13338.16581,14214.98677
4,SPT_1450,1827.976103,0.88793803,0.081500847,-10.89483198,1.22E-27,6.32E-25,1191.732855,1321.608508,1218.178356,2373.100665,2448.580902,2414.65533
5,SPT_0134,639.1920852,1.426916043,0.1359886,-10.49290926,9.31E-26,3.86E-23,203.5663847,282.8394407,331.8485867,1075.854997,840.7706157,1100.272486
6,SPT_0745,674.8326372,0.811057805,0.111497352,-7.274233766,3.48E-13,1.20E-10,457.2571557,517.482026,406.0594521,800.4124239,954.9346597,912.8501059
7,SPT_0569,256.048693,0.868657251,0.138077954,-6.291064029,3.15E-10,9.33E-08,135.0289587,182.6407151,158.2231658,390.9507491,280.6532748,388.7952943
8,SPT_0757,7738.66337,0.432824596,0.071367636,-6.064718128,1.32E-09,3.42E-07,6453.770459,6571.260728,6543.157998,9362.085742,8857.22708,8644.478212
9,SPT_0189,307.4393501,0.822245073,0.142524269,-5.769158327,7.97E-09,1.83E-06,219.9335312,153.4689342,200.229316,520.5272285,413.8446595,336.6324311
10,SPT_0085,2545.200106,-0.502193222,0.088035063,5.704468235,1.17E-08,2.42E-06,2972.682985,2908.29972,3188.266801,2233.158067,2045.439122,1923.353944
