,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC30MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC30MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC30MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC30MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC30MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC30MIN.C
1,SPT_0635,986.6416655,3.291113454,0.154188776,-21.34470183,4.37E-101,9.04E-98,172.1104836,165.5391581,182.6291666,1790.635283,1848.642655,1760.293247
2,SPT_0634,804.4611608,2.95623506,0.165632818,-17.8481239,2.99E-71,3.10E-68,161.6265963,191.8749332,166.2964769,1498.316644,1363.832142,1444.820173
3,SPT_0132,3670.208306,2.313321052,0.129967002,-17.79929528,7.16E-71,4.94E-68,1187.30024,1225.554108,1184.862398,5891.90986,6319.826629,6211.796603
4,SPT_0633,1701.189163,3.419363041,0.194807578,-17.55251555,5.69E-69,2.95E-66,301.4117607,218.2107084,273.2013549,3093.583188,2762.935805,3557.792164
5,SPT_2021,32274.29927,2.768247059,0.184467983,-15.00665324,6.64E-51,2.75E-48,7016.341595,9191.185526,7002.269509,49569.30896,62026.69852,58839.9915
6,SPT_0131,5324.909179,2.276939537,0.154228428,-14.76342309,2.52E-49,8.70E-47,1762.166729,1547.22679,1970.316293,8913.515091,9032.275747,8723.954425
7,SPT_0133,1189.160115,2.540664271,0.180219544,-14.0976068,3.93E-45,1.16E-42,345.0946246,315.0887384,328.1385839,2411.996009,1930.94287,1803.699862
8,SPT_0636,528.9556611,2.271603356,0.161689683,-14.04915463,7.80E-45,2.02E-42,172.9841409,172.1231019,179.6595866,832.8877813,885.9376135,930.1417423
9,SPT_0134,237.3395363,2.673198771,0.236401758,-11.30786334,1.20E-29,2.76E-27,50.67212209,49.8498601,74.23949861,477.4048129,418.4170618,353.4538621
10,SPT_2050,1806.752724,2.042874022,0.183413048,-11.13810627,8.18E-29,1.69E-26,630.7805543,713.8876192,680.0338073,3506.354733,2786.450152,2523.009476
11,SPT_1291,1440.52694,2.22398418,0.22523065,-9.874251933,5.38E-23,1.01E-20,455.1754415,459.9355017,494.4350607,3150.871765,2270.517709,1812.226161
12,SPT_0892,4802.065639,2.011639794,0.207417161,-9.698521483,3.06E-22,5.28E-20,1730.715067,1733.458343,1945.074864,9977.02612,7077.126931,6348.992509
13,SPT_1165,1889.211676,1.823438753,0.192461121,-9.474322624,2.68E-21,4.28E-19,692.810221,879.4267772,821.0888546,3391.777578,3103.89384,2446.272782
