,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.C
30,SPT_0133,721.1127695,2.820963253,0.122443891,-23.03882407,1.90E-117,1.33E-115,172.726603,160.2894114,196.5120794,1253.32082,1179.502732,1364.324971
31,SPT_1187,2022.574608,-2.282528129,0.099073705,23.03868741,1.91E-117,1.33E-115,3317.319338,3109.189973,3653.896476,709.3739763,686.449338,659.2185461
32,SPT_1899,6239.337098,2.142983134,0.094966387,-22.56570137,9.42E-113,6.34E-111,2195.403552,2453.171058,2226.113399,9277.938687,10982.12679,10301.2691
33,SPT_0951,2304.897693,-2.281413448,0.102680268,22.21861603,2.27E-109,1.48E-107,3709.586297,3525.305531,4251.620718,771.9932865,828.8397579,742.0405706
34,SPT_1332,2328.080037,-1.92456757,0.086889323,22.1496439,1.05E-108,6.66E-107,3661.965411,3719.56356,3685.624989,937.4204193,993.5450944,970.3607462
35,SPT_1188,1330.331453,-2.247571512,0.102257726,21.97947877,4.53E-107,2.79E-105,2222.846097,2065.71652,2315.157935,491.6083156,436.7347955,449.9250519
36,SPT_0921,6220.485733,-2.185620693,0.100428789,21.76289002,5.22E-105,3.12E-103,10491.93043,9735.193324,10414.11671,2479.537759,2258.057033,1944.079142
37,SPT_0636,508.2623755,3.217084757,0.1490888,-21.57831283,2.87E-103,1.67E-101,104.120242,85.98306174,98.25603969,873.8664926,812.9005318,1074.447885
38,SPT_1330,2333.327573,-2.000219801,0.093322738,21.43335968,6.53E-102,3.70E-100,3706.357762,3705.763809,3803.327536,993.4974135,940.4143407,850.6045756
39,SPT_2096,698.9667712,3.069350095,0.14399042,-21.31634931,8.01E-101,4.42E-99,143.6697913,145.4281415,148.40756,1056.116724,1185.878423,1514.299988
40,SPT_1047,30186.03887,-1.749916023,0.082212161,21.28536712,1.55E-100,8.36E-99,44275.31686,47510.41845,47954.06487,14068.78322,14206.10093,13101.5489
41,SPT_0745,2206.337617,2.298015337,0.108961402,-21.09017771,9.79E-99,5.15E-97,802.290857,666.6341083,748.1788022,3421.631261,3470.500833,4128.789842
42,SPT_0920,6969.420767,-2.201096345,0.104858576,20.99109511,7.91E-98,4.06E-96,10690.48531,10506.91784,13202.13183,2639.357193,2359.005465,2418.626958
43,SPT_1333,2727.588578,-1.76956353,0.085226289,20.76311844,9.33E-96,4.68E-94,4127.681532,4322.506511,4216.821703,1220.60924,1261.324093,1216.588386
44,SPT_0612,1648.963178,1.904092484,0.09263409,-20.55498671,6.94E-94,3.40E-92,707.8562189,649.6497998,718.4972902,2625.337944,2598.093857,2594.343956
45,SPT_2094,609.1956847,2.618646483,0.128743061,-20.34009809,5.68E-92,2.72E-90,185.6407416,161.3509307,156.5955633,1035.555159,953.1657216,1162.865992
46,SPT_1189,1191.273034,-2.106905575,0.104206296,20.21860146,6.72E-91,3.15E-89,1877.392891,1820.505567,2111.481353,434.5967049,453.7366367,449.9250519
47,SPT_1242,5978.692656,-1.96197472,0.098543889,19.90965378,3.36E-88,1.54E-86,9470.906355,8694.904429,10419.23421,2604.77638,2446.139901,2236.194661
48,SPT_1057,6579.600919,-1.874813768,0.094564311,19.82580688,1.78E-87,8.00E-86,9670.268368,10549.37861,10839.89288,2855.25362,3019.952041,2542.859995
49,SPT_2098,529.9433078,2.601480577,0.131423125,-19.79469427,3.31E-87,1.45E-85,159.0053308,143.3051029,140.2195566,851.4356949,864.9686705,1020.725491
50,SPT_1065,2490.472986,-2.178680842,0.110070468,19.7935093,3.39E-87,1.46E-85,4565.147975,3942.482609,3753.176016,1007.516662,837.3406785,837.1739771
51,SPT_1865,2263.189435,2.414278653,0.122173998,-19.76098588,6.45E-87,2.73E-85,660.2353331,661.3265119,801.4008237,3265.550294,3757.406903,4433.216742
52,SPT_2097,425.6283707,2.628346012,0.133209449,-19.73092774,1.17E-86,4.85E-85,117.0343806,113.582563,119.7495484,686.9431787,778.8968494,737.5637044
53,SPT_1733,1344.082828,2.26255045,0.11570788,-19.55398761,3.82E-85,1.55E-83,397.9168939,544.559391,439.0816774,2208.498954,2167.734752,2306.705303
54,SPT_1898,9045.575524,1.562720827,0.080495256,-19.41382515,5.90E-84,2.35E-82,4581.290648,4667.500278,4440.968294,12979.0203,13861.81364,13742.85998
55,SPT_1340,33082.40144,-1.91147807,0.100565452,19.00730355,1.48E-80,5.81E-79,54019.0344,50228.96933,52784.98682,15560.43127,13887.31641,12013.67041
56,SPT_2095,416.4964197,2.960907071,0.15783486,-18.7595254,1.62E-78,6.23E-77,107.3487766,84.92154246,83.9270339,651.427749,693.8876435,877.4657728
57,SPT_0330,3177.219919,1.754053953,0.094782391,-18.50611631,1.84E-76,6.97E-75,1545.660957,1427.743433,1365.349552,4559.059627,4923.095639,5242.410306
58,SPT_1056,1877.178196,-2.076325388,0.112748438,18.41555798,9.86E-76,3.66E-74,2782.189723,3227.018614,3113.488258,805.639483,723.6408656,611.0922346
59,SPT_1803,1045.907742,2.148315822,0.116949409,-18.36961678,2.30E-75,8.40E-74,338.1890031,354.5474398,454.4341836,1711.282939,1722.499035,1694.493852
60,SPT_1151,5070.490904,-1.575113391,0.086766275,18.15352088,1.20E-73,4.33E-72,7742.026057,7545.279048,7515.563536,2674.872622,2595.968626,2349.235532
61,SPT_0125,4324.149589,-1.805619722,0.099562433,18.13555237,1.67E-73,5.90E-72,6220.57911,6925.351788,7058.058851,2067.371852,1970.088348,1703.447584
62,SPT_1186,1365.565045,-2.086926292,0.115636302,18.04732825,8.28E-73,2.88E-71,2155.046869,1942.580284,2547.492529,543.0122269,500.4917,504.7666627
63,SPT_1190,693.4367243,-1.959845314,0.111280049,17.61183009,2.00E-69,6.84E-68,1132.408524,1045.596492,1137.108959,282.254204,267.7789987,295.4731684
64,SPT_1588,4217.168965,1.447775539,0.082350845,-17.58057913,3.47E-69,1.17E-67,2216.389028,2231.313528,2323.345939,6016.126859,6352.312914,6163.525524
65,SPT_1058,1351.583159,-1.862373948,0.106299652,17.52003813,1.01E-68,3.34E-67,2163.92534,2099.685137,2108.410852,643.0161999,590.8139813,503.6474461
66,SPT_1291,805.9729689,2.082998287,0.120047172,-17.35149824,1.92E-67,6.27E-66,301.0608548,283.425648,331.614134,1478.563413,1215.631645,1225.542119
67,SPT_1112,316.8821197,-2.792352341,0.161166774,17.32585617,3.00E-67,9.66E-66,602.1217096,528.6366018,537.3377171,97.20012324,73.32044012,62.67612663
68,SPT_0952,5904.170997,-1.913693362,0.110459038,17.32491425,3.05E-67,9.67E-66,9478.977691,7969.88676,10593.22928,2529.072437,2251.681342,2602.178472
69,SPT_1731,2012.85535,2.43765064,0.140727081,-17.32183046,3.22E-67,1.01E-65,620.6857838,717.5870338,516.8677088,2841.234372,3202.721834,4178.03537
