,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC120MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC120MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC120MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC120MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC120MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC120MIN.C
1,SPT_1800,3112.403899,5.804565957,0.121734162,-47.68230909,0,0,99.63521266,99.81550734,117.61694,6235.749371,6299.714643,5821.891719
2,SPT_1802,3849.598302,6.904175677,0.13910179,-49.63398144,0,0,59.55208113,64.35473499,59.2944904,7290.977496,7833.446759,7789.964248
3,SPT_2114,15353.59042,2.801972918,0.069552807,-40.28554762,0,0,3869.740041,3732.57463,3902.743917,26492.25906,27355.72658,26768.49831
4,SPT_1865,5251.072686,3.168257845,0.087898702,-36.04442135,1.69E-284,9.09E-282,964.2856213,1124.237819,1043.971847,9289.877806,9709.567938,9374.495084
5,SPT_0745,2376.42555,3.881269282,0.111313695,-34.86785066,2.28E-266,9.84E-264,272.5652944,291.5663504,326.6057176,4078.621759,4663.448904,4625.745275
6,SPT_2115,7974.49837,2.657563365,0.076569098,-34.70804061,5.96E-264,2.14E-261,2117.534577,2201.194609,2197.784308,13697.47575,14366.91365,13266.08732
7,SPT_1415,3173.959186,-2.647841828,0.084107069,31.48179878,1.54E-217,4.75E-215,5218.823725,5501.673161,5719.488222,849.1911338,898.3898426,856.1890334
8,SPT_1414,3029.354796,-2.495174311,0.079313381,31.45968925,3.09E-217,8.33E-215,5261.197321,5094.53096,5096.410052,870.8193262,918.5303757,934.6407435
9,SPT_1864,9333.355583,3.364308059,0.110027936,-30.57685341,2.49E-205,5.95E-203,1683.491524,1704.743796,1507.635322,19308.2842,16407.82101,15388.15765
10,SPT_1787,1917.906115,2.958044295,0.099641912,-29.68674776,1.14E-193,2.45E-191,437.4787498,462.3034024,403.3969429,3441.159246,3563.043411,3200.054939
11,SPT_RS09270,4139.620874,3.572039911,0.120945158,-29.53437727,1.04E-191,2.04E-189,735.2391555,615.9667492,545.3149035,8069.592423,7837.108674,7034.503337
12,SPT_2058,7471.046552,2.985915301,0.102654515,-29.08703336,5.24E-186,9.41E-184,1625.084675,1482.785629,1864.374305,13493.71542,13682.13552,12678.18376
13,SPT_1156,1336.834153,-3.049990519,0.108189979,28.19106296,7.53E-175,1.25E-172,2555.013327,2407.392434,2205.560635,261.8149608,288.070656,303.1529044
14,SPT_1413,8529.332027,-2.388095179,0.085460439,27.94386739,7.83E-172,1.20E-169,14295.93517,14014.88525,14692.39709,2961.924035,2593.856543,2616.994082
