,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC45MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC45MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC45MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC45MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC45MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC45MIN.C
1,SPT_0633,2043.497325,4.064672126,0.189275137,-21.47493952,2.67E-102,5.42E-99,240.9002618,203.630508,204.1209941,4282.092977,3325.702111,4004.537099
2,SPT_0132,2731.097343,2.865989042,0.174040352,-16.46738248,6.29E-61,6.38E-58,598.1598953,730.8072676,580.8442993,4835.509116,5052.250046,4589.013432
3,SPT_0634,937.5170234,3.443206718,0.211670051,-16.26685825,1.70E-59,1.15E-56,167.2665969,156.1167228,118.5702833,1602.343814,1537.010879,2043.793844
4,SPT_1079,21167.77476,2.858426362,0.178036407,-16.05529126,5.25E-58,2.66E-55,4551.651362,5658.665561,4643.752615,32549.0326,41143.0055,38460.54093
5,SPT_2021,28351.3823,3.015594239,0.188516002,-15.99648946,1.35E-57,5.49E-55,7049.741624,5853.245824,5030.982148,51309.17525,56577.32903,44287.81993
6,SPT_0950,1837.106457,-2.538558213,0.178483643,14.22291795,6.60E-46,2.23E-43,3550.778953,3160.797996,2740.624523,560.0609302,509.5750354,500.8013025
7,SPT_0635,996.0520256,3.324356891,0.234288955,-14.18913191,1.07E-45,3.10E-43,188.1749215,199.1053856,112.5667247,1816.875628,1515.260725,2144.328769
8,SPT_1322,1239.303613,3.25434889,0.231699476,-14.04555999,8.20E-45,2.08E-42,251.8089529,220.599717,181.6076491,1599.496046,2478.481828,2703.827481
9,SPT_0131,3678.902392,2.742613637,0.203575541,-13.47221586,2.28E-41,5.14E-39,1129.049529,902.7619188,708.4199206,7073.854325,6515.72469,5743.603966
10,SPT_0951,2168.839785,-2.245312946,0.169477332,13.24845585,4.61E-40,9.35E-38,3667.138325,3732.094699,3399.515085,826.8018139,691.8620399,695.6267469
11,SPT_0133,794.5836471,2.659691874,0.202018381,-13.16559346,1.38E-39,2.55E-37,196.3564398,229.6499618,198.1174354,1648.857349,1271.866145,1222.654552
12,SPT_0636,524.9453378,2.465582915,0.194244279,-12.69320736,6.45E-37,1.09E-34,158.176021,144.8039168,163.5969732,886.6049302,822.3629636,974.1272219
13,SPT_0892,3506.204646,2.226310891,0.193590638,-11.50009583,1.32E-30,2.06E-28,1150.866911,1022.677662,1419.841621,6621.059302,5810.398269,5012.384109
14,SPT_0949,385.8638518,-2.376679528,0.206822688,11.49138689,1.46E-30,2.11E-28,713.6102095,575.8218254,666.3950101,131.9465581,105.6436049,121.7659027
15,SPT_0430,689.5244664,2.01470063,0.17762809,-11.34224115,8.10E-30,1.10E-27,255.4451833,277.163747,270.1601392,1061.268,1131.008005,1142.101724
16,SPT_2224,894.6568396,2.196153819,0.20085014,-10.93429072,7.90E-28,1.00E-25,264.5357592,342.7780218,324.1921671,1727.645581,1426.188666,1282.600842
17,SPT_0920,6841.666407,-2.256691601,0.207696831,10.86531551,1.69E-27,2.01E-25,12757.71424,11662.37171,9779.79704,2927.50493,1918.156434,2004.454091
18,SPT_2047,4556.611246,1.736881098,0.162797784,-10.66894801,1.42E-26,1.60E-24,2104.468325,2202.603328,1903.128092,6527.082977,7300.801675,7301.58308
19,SPT_1188,1363.338076,-1.807723695,0.170005563,10.63332086,2.09E-26,2.23E-24,2257.19,2051.011728,2087.73752,609.4222325,539.6109622,635.0560158
20,SPT_0125,3926.346889,-2.037108348,0.192087497,10.60510641,2.82E-26,2.86E-24,6654.301571,6607.809984,5802.439434,1840.607023,1400.295626,1252.627697
21,SPT_0329,6316.34023,-2.020206264,0.190948638,10.57984116,3.70E-26,3.57E-24,11376.85576,10870.47529,8350.950081,2808.847953,2163.622457,2327.289844
22,SPT_0921,6303.037092,-2.229386851,0.211789837,10.52641091,6.53E-26,6.02E-24,11739.56974,10656.66325,9017.345091,2773.725488,1891.227672,1739.691308
