,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC20MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC20MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC20MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC20MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC20MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC20MIN.C
1,SPT_0132,8885.240217,2.307957729,0.079548852,-29.01308672,4.50E-185,9.70E-182,2851.072599,2778.353432,3039.14239,15004.68961,15382.07653,14256.10674
2,SPT_0133,2577.902846,2.341658178,0.113833909,-20.57083173,5.01E-94,5.40E-91,754.9767666,729.7062481,887.6519542,4671.330123,4622.395533,3801.356452
3,SPT_0131,11299.60564,2.234370789,0.111386532,-20.05961351,1.66E-89,1.20E-86,3915.048296,3289.272117,3917.528666,20852.23151,19463.43994,16360.11333
4,SPT_0134,530.2702624,2.375409208,0.125111343,-18.98636175,2.21E-80,1.19E-77,149.7211309,139.2284494,183.4604248,943.931383,877.843662,887.4365242
5,SPT_2021,33573.4519,1.731433679,0.113609061,-15.24027802,1.91E-52,8.23E-50,16094.49065,14283.34717,13967.08304,44849.60186,51763.81941,60482.36927
6,SPT_1322,1193.342355,1.524819649,0.100998434,-15.0974584,1.68E-51,6.04E-49,551.101184,616.583133,622.6535628,1661.818091,1836.461133,1871.437023
7,SPT_2050,2113.382845,1.610737934,0.114784457,-14.03271812,9.83E-45,3.03E-42,970.532721,1018.108036,996.9869548,2738.258422,3271.339272,3685.071667
8,SPT_1291,1333.059195,1.175820037,0.098518215,-11.93505223,7.77E-33,2.09E-30,774.0901024,876.3933644,746.8136483,1787.311859,1853.225509,1960.520689
9,SPT_0987,8949.981167,0.788379966,0.070146357,-11.23907213,2.62E-29,6.28E-27,6430.575666,6696.639793,6432.23368,11250.78909,11476.73906,11412.90972
10,SPT_0330,4276.682491,1.092640693,0.097758141,-11.17697904,5.29E-29,1.14E-26,2473.05329,2721.170319,2839.003745,5283.989137,6159.383958,6183.494494
11,SPT_0125,5253.543632,-1.127334728,0.101060344,11.15506524,6.76E-29,1.33E-26,6737.450892,7513.363822,7592.296568,3443.6737,3400.120156,2834.356654
12,SPT_1067,3431.209549,0.876832971,0.079743876,-10.99561516,4.01E-28,7.20E-26,2295.724007,2451.415198,2442.432726,4294.069355,4513.427092,4590.188918
13,SPT_2051,671.3460482,1.017134267,0.098111392,-10.36713724,3.50E-25,5.80E-23,435.3593169,435.0889043,437.3400025,901.8403057,910.6103959,907.8373639
14,SPT_0481,1522.16341,0.959482936,0.095482605,-10.04877208,9.30E-24,1.43E-21,1052.295324,1050.428926,945.0991579,1947.881525,1959.145881,2178.129645
15,SPT_2260,5906.355656,0.927409044,0.093209638,-9.949711936,2.53E-23,3.63E-21,4145.470178,3765.383689,4123.226718,7164.836724,8514.778714,7724.437915
16,SPT_1068,1179.895751,0.940074146,0.096166497,-9.775484934,1.43E-22,1.85E-20,801.6982542,769.4858051,817.2328012,1484.100209,1521.748084,1685.109354
17,SPT_1330,3180.552487,-0.785296613,0.08034897,9.773574109,1.46E-22,1.85E-20,3860.893844,4094.808145,4184.380193,2346.967295,2224.327821,2371.937622
18,SPT_0998,621.6157495,1.061667959,0.110026501,-9.649202211,4.95E-22,5.93E-20,382.2667173,359.2591238,441.0462737,869.102801,825.2644843,852.7550968
19,SPT_1524,30157.77523,-0.682744356,0.071979285,9.485289538,2.42E-21,2.74E-19,36621.15151,37242.3671,38037.4614,23553.07564,23486.89006,22005.70569
20,SPT_0635,618.365509,1.512951752,0.164791012,-9.18103318,4.27E-20,4.60E-18,261.2155901,292.1311215,316.8861882,748.2858197,839.7428086,1251.931526
21,SPT_1332,2782.02888,-0.792245598,0.088202591,8.982112489,2.66E-19,2.73E-17,3368.19452,3731.819688,3548.754681,2019.592249,1890.564345,2133.247798
22,SPT_0241,1459.622583,0.809593539,0.090254762,-8.970092228,2.96E-19,2.90E-17,1050.17162,1059.130704,1034.049667,1909.687769,1958.383864,1746.311873
23,SPT_0892,4381.74896,0.965523125,0.109687949,-8.802453986,1.34E-18,1.20E-16,2650.382573,2760.949876,3304.140781,5266.061456,5945.257162,6363.701911
24,SPT_1188,2167.289492,-0.787085223,0.089390324,8.805038282,1.31E-18,1.20E-16,2669.495909,2661.500983,2957.604423,1571.400221,1491.267401,1652.468011
25,SPT_0923,13030.61163,0.886868851,0.102250313,-8.673507421,4.19E-18,3.61E-16,8436.414079,8691.833197,9853.122005,15406.89324,16844.38728,18951.01997
26,SPT_1450,2151.585909,0.900583123,0.103966112,-8.662275651,4.62E-18,3.83E-16,1402.706482,1533.999166,1486.214754,2930.786127,3077.786936,2478.021988
27,SPT_0313,27950.53542,-0.916416989,0.106054397,8.641008898,5.57E-18,4.29E-16,32741.14433,35468.44748,42527.60897,17825.57126,19321.70477,19818.73568
28,SPT_0431,1926.711796,0.711907702,0.08236354,-8.643481096,5.45E-18,4.29E-16,1492.963901,1470.600497,1378.732889,2416.339626,2439.216634,2362.41723
29,SPT_0119,11848.2518,-0.913430126,0.106683895,8.562024513,1.11E-17,8.24E-16,13986.71444,14907.38897,18021.74375,7545.215349,8106.337566,8522.110745
30,SPT_1333,3155.590363,-0.799317651,0.094041673,8.499611109,1.90E-17,1.37E-15,4028.666459,4285.004152,3795.221716,2386.719979,2067.352305,2370.577566
31,SPT_0483,1401.188525,0.786397098,0.09300519,-8.455410872,2.78E-17,1.93E-15,996.0171688,1030.539148,1022.930853,1647.787732,1835.699116,1874.157135
32,SPT_1165,1462.253237,1.179345723,0.142783051,-8.259703923,1.46E-16,9.83E-15,864.3475218,954.7093672,728.2822922,1777.958286,1872.275935,2575.946018
33,SPT_0168,1061.977865,-0.722930693,0.088788993,8.14212062,3.88E-16,2.54E-14,1295.459431,1342.560048,1354.642126,762.3161789,806.9760747,809.9133336
34,SPT_1334,1696.720742,-0.746961546,0.092345298,8.088788082,6.03E-16,3.82E-14,2017.518785,2079.724963,2327.538318,1300.926076,1210.845121,1243.77119
35,SPT_2115,11307.94385,0.691813002,0.085674805,-8.074871025,6.75E-16,4.16E-14,8395.001852,7999.420284,9330.537765,13863.55374,13733.07159,14526.07785
36,SPT_1409,354.724202,0.959372342,0.119109322,-8.054552934,7.98E-16,4.78E-14,239.9785503,244.8928976,216.8168656,476.2527457,477.7847014,472.6194516
37,SPT_1331,812.244212,-0.79328657,0.098737873,8.034268397,9.41E-16,5.48E-14,996.0171688,1085.236038,1034.049667,600.967049,547.8902717,609.3050772
38,SPT_0527,1078.44843,-0.843509187,0.105503684,7.995068575,1.30E-15,7.34E-14,1239.181275,1473.086719,1484.361619,791.1563615,768.8752213,714.0293873
39,SPT_2224,1019.486667,1.04586706,0.131950171,-7.926227392,2.26E-15,1.25E-13,667.9049032,752.0822489,496.6403418,1463.05467,1429.544019,1307.693821
40,SPT_0634,494.5882846,1.25263799,0.158657651,-7.895225843,2.90E-15,1.56E-13,302.6278178,253.5946757,257.5858489,580.7009747,658.3827465,914.6376437
41,SPT_1187,3412.007198,-0.633050731,0.081459012,7.77140204,7.76E-15,4.08E-13,4002.120159,4368.292599,4132.492396,2716.433419,2535.992801,2716.711812
42,SPT_2169,5551.725012,0.680210112,0.088217984,-7.710560643,1.25E-14,6.43E-13,4122.109434,4338.457932,4225.149176,6570.10539,6519.818031,7534.710106
43,SPT_2233,26233.84281,-0.569901881,0.073958053,7.705744752,1.30E-14,6.52E-13,30145.97806,31312.72689,32911.68832,21185.84227,21374.57875,20472.24258
44,SPT_0814,2095.11179,-0.666610083,0.086545023,7.702465797,1.33E-14,6.54E-13,2413.589579,2578.212536,2764.878321,1614.270763,1607.093996,1592.625548
45,SPT_1079,21646.71098,0.663288967,0.086476144,-7.670195954,1.72E-14,8.22E-13,17763.72198,16157.9588,15922.14111,28672.59779,25470.42049,25893.4257
46,SPT_0815,1880.215458,-0.670068294,0.088917269,7.535862244,4.85E-14,2.27E-12,2384.919575,2286.081414,2294.181877,1493.453782,1496.601521,1326.054576
47,SPT_0430,1386.409443,0.721845407,0.096341155,-7.492596569,6.75E-14,3.10E-12,991.7697609,993.245813,1123.000176,1632.977909,1825.030877,1752.432125
48,SPT_0167,6187.117194,-0.715268641,0.096258807,7.430682557,1.08E-13,4.75E-12,7203.603916,7556.872712,8476.242251,4446.844377,4402.1726,5036.967306
49,SPT_0207,766.0043323,1.021012156,0.137363809,-7.432905102,1.06E-13,4.75E-12,468.2767286,437.5751266,555.9406811,913.5322716,970.8097442,1249.891442
50,SPT_1050,6680.760726,-0.795089465,0.107620609,7.387892268,1.49E-13,6.43E-12,8488.444827,8085.194953,9100.74895,4428.137231,5567.296697,4414.741698
51,SPT_0046,2195.523499,0.759544504,0.103284278,-7.353921802,1.92E-13,8.13E-12,1722.323932,1669.498281,1423.208144,2960.405774,2840.799628,2556.905235
52,SPT_0329,8322.182158,-0.615268718,0.083821718,7.340206469,2.13E-13,8.84E-12,9622.502755,9867.81635,10866.78718,6221.684805,6597.543772,6756.758088
53,SPT_0633,789.4458259,1.223216974,0.169796345,-7.204024181,5.85E-13,2.38E-11,430.0500569,349.3142346,528.143647,852.7340487,1123.213158,1453.21981
54,SPT_1186,2504.509126,-0.641946313,0.089140618,7.201501678,5.96E-13,2.38E-11,2880.804455,2972.278772,3359.734849,1955.676168,1934.761335,1923.799178
55,SPT_0809,3363.736041,-0.65465336,0.09094261,7.198532759,6.09E-13,2.38E-11,3921.419408,3934.446806,4562.419856,2661.870911,2597.716184,2504.543079
56,SPT_2200,1088.27004,-0.775432281,0.108259208,7.162737408,7.91E-13,3.04E-11,1298.644987,1321.427158,1543.661958,863.6465503,758.9689994,743.2705908
57,SPT_0920,10073.44017,-0.595580027,0.083515679,7.131355838,9.94E-13,3.76E-11,12307.92644,12138.98043,12088.00354,8218.672587,8401.238171,7285.819863
58,SPT_2201,695.316724,-0.785804803,0.110890349,7.08632276,1.38E-12,5.12E-11,868.5949298,816.724029,984.0150056,538.6098973,489.9769745,473.9795076
