Gene,Value,padj
Rv0001,-0.36,0.004
Rv0002,-0.17,0.300
Rv0005,-0.32,0.010
Rv0006,0.21,0.164
Rv0007,-0.68,0.001
Rv0008c,-0.04,0.793
Rv0009,0.10,0.467
Rv0011c,-0.52,0.002
Rv0013,-0.34,0.001
Rv0014c,0.14,0.431
Rv0015c,-0.51,0.008
Rv0016c,0.08,0.670
Rv0017c,-0.23,0.536
Rv0018c,0.11,0.304
Rv0019c,-0.22,0.099
Rv0020c,0.32,0.007
Rv0023,0.23,0.073
Rv0025,-0.08,0.660
Rv0027,-0.60,0.002
Rv0028,0.03,0.872
Rv0029,-0.42,0.007
Rv0030,1.37,0.002
Rv0034,-0.18,0.261
Rv0035,-0.71,0.009
Rv0036c,0.11,0.304
Rv0038,0.48,0.002
Rv0041,-0.37,0.006
Rv0042c,-0.52,0.003
Rv0043c,-0.78,0.008
Rv0044c,-0.03,0.881
Rv0045c,0.26,0.004
Rv0046c,0.75,0.001
Rv0047c,0.07,0.792
Rv0048c,0.00,0.962
Rv0050,-0.30,0.069
Rv0051,-0.14,0.720
Rv0052,0.36,0.071
Rv0053,0.38,0.013
Rv0054,-0.33,0.047
Rv0055,-0.31,0.472
Rv0056,-0.94,0.000
Rv0059,-0.18,0.320
Rv0060,-0.30,0.111
Rv0061c,-3.44,0.000
Rv0062,-1.26,0.000
Rv0063,-0.59,0.131
Rv0066c,0.16,0.034
Rv0067c,0.12,0.841
Rv0068,-0.06,0.677
Rv0069c,-0.16,0.196
Rv0070c,-0.03,0.869
Rv0072,-0.81,0.001
Rv0073,0.28,0.674
Rv0074,0.27,0.391
Rv0075,-0.38,0.032
Rv0077c,0.46,0.014
Rv0078,0.05,0.874
Rv0078A,0.59,0.001
Rv0079,3.39,0.000
Rv0080,2.17,0.000
Rv0081,0.73,0.007
Rv0088,0.64,0.003
Rv0091,-0.31,0.051
Rv0092,-0.19,0.497
Rv0093c,-0.21,0.360
Rv0097,-0.47,0.106
Rv0098,-0.99,0.281
Rv0099,-0.21,0.540
Rv0103c,-0.71,0.303
Rv0108c,-0.33,0.198
Rv0110,-0.60,0.056
Rv0112,-0.30,0.331
Rv0116c,-1.21,0.000
Rv0117,0.45,0.064
Rv0118c,-0.72,0.001
Rv0119,-0.43,0.017
Rv0120c,-0.26,0.195
Rv0121c,0.38,0.406
Rv0123,0.74,0.013
Rv0125,-1.09,0.001
Rv0126,-0.20,0.015
Rv0127,0.08,0.425
Rv0129c,-0.56,0.148
Rv0130,-0.15,0.395
Rv0131c,-0.04,0.787
Rv0133,0.28,0.222
Rv0134,0.20,0.042
Rv0135c,0.07,0.772
Rv0136,-0.27,0.303
Rv0137c,0.25,0.056
Rv0138,0.33,0.085
Rv0139,-0.01,0.991
Rv0140,-0.49,0.090
Rv0141c,0.03,0.811
Rv0144,-0.34,0.002
Rv0145,-0.03,0.893
Rv0146,0.39,0.013
Rv0147,-0.05,0.798
Rv0148,-0.14,0.155
Rv0149,-0.23,0.100
Rv0153c,0.02,0.893
Rv0154c,-0.08,0.544
Rv0155,0.18,0.226
Rv0157,-0.20,0.194
Rv0157A,-2.03,0.015
Rv0158,0.30,0.052
Rv0161,0.01,0.949
Rv0162c,0.34,0.288
Rv0164,0.60,0.023
Rv0166,-0.99,0.001
Rv0167,-0.25,0.355
Rv0169,-0.99,0.003
Rv0170,-1.36,0.000
Rv0171,-1.55,0.000
Rv0172,-1.25,0.000
Rv0173,-1.49,0.000
Rv0174,-1.62,0.000
Rv0175,-0.36,0.001
Rv0176,-0.40,0.002
Rv0177,-0.60,0.002
Rv0178,-0.34,0.019
Rv0179c,-0.82,0.007
Rv0180c,0.02,0.901
Rv0181c,-0.20,0.155
Rv0182c,-0.52,0.029
Rv0183,0.35,0.003
Rv0184,-0.96,0.000
Rv0185,-0.53,0.012
Rv0186,-0.43,0.031
Rv0186A,2.28,0.000
Rv0187,-0.11,0.220
Rv0188,0.56,0.448
Rv0189c,-0.45,0.003
Rv0190,1.10,0.000
Rv0196,1.20,0.001
Rv0197,1.01,0.029
Rv0198c,-0.49,0.006
Rv0199,-0.55,0.000
Rv0200,-0.07,0.581
Rv0201c,-1.02,0.000
Rv0202c,-0.53,0.004
Rv0203,-1.98,0.002
Rv0206c,-0.74,0.002
Rv0207c,-0.58,0.000
Rv0208c,-0.94,0.000
Rv0211,0.70,0.002
Rv0214,-0.39,0.002
Rv0216,0.09,0.543
Rv0217c,-0.32,0.383
Rv0221,-0.03,0.845
Rv0222,0.31,0.167
Rv0223c,0.05,0.822
Rv0226c,-0.09,0.830
Rv0227c,-0.06,0.764
Rv0229c,-0.02,0.869
Rv0230c,-0.26,0.098
Rv0231,-0.35,0.022
Rv0233,1.35,0.000
Rv0234c,-0.22,0.220
Rv0236A,0.70,0.161
Rv0236c,-0.67,0.004
Rv0237,-0.70,0.001
Rv0238,0.20,0.805
Rv0241c,0.12,0.794
Rv0242c,-0.12,0.467
Rv0243,0.32,0.129
Rv0244c,3.62,0.000
Rv0245,0.81,0.001
Rv0247c,0.07,0.350
Rv0248c,-0.17,0.016
Rv0249c,-0.57,0.166
Rv0250c,-0.76,0.004
Rv0251c,2.31,0.000
Rv0262c,-0.24,0.180
