Gene,Value,padj
Rv0001,-0.52,0.001
Rv0002,0.17,0.289
Rv0005,-0.21,0.065
Rv0006,0.07,0.652
Rv0007,-0.68,0.001
Rv0008c,0.00,0.984
Rv0009,-0.05,0.695
Rv0011c,-0.20,0.126
Rv0013,-0.08,0.279
Rv0014c,-0.12,0.505
Rv0015c,-0.82,0.001
Rv0016c,0.04,0.839
Rv0017c,0.14,0.710
Rv0018c,-0.06,0.547
Rv0019c,-0.34,0.017
Rv0020c,0.35,0.004
Rv0023,0.14,0.259
Rv0025,-0.15,0.408
Rv0027,-0.44,0.012
Rv0028,-0.01,0.943
Rv0029,-0.43,0.007
Rv0030,1.38,0.002
Rv0034,-0.17,0.273
Rv0035,-0.66,0.013
Rv0036c,0.04,0.730
Rv0038,0.36,0.008
Rv0041,-0.06,0.611
Rv0042c,-0.41,0.012
Rv0043c,-0.75,0.010
Rv0044c,0.02,0.914
Rv0045c,0.08,0.255
Rv0046c,0.65,0.003
Rv0047c,-0.19,0.452
Rv0048c,0.14,0.029
Rv0050,-0.19,0.227
Rv0051,-0.13,0.723
Rv0052,0.34,0.091
Rv0053,0.03,0.861
Rv0054,-0.42,0.017
Rv0055,-0.32,0.461
Rv0056,-0.51,0.002
Rv0059,-0.31,0.094
Rv0060,-0.35,0.074
Rv0061c,-1.23,0.070
Rv0062,-1.27,0.000
Rv0063,-0.48,0.207
Rv0066c,0.26,0.003
Rv0067c,-0.05,0.938
Rv0068,-0.23,0.127
Rv0069c,-0.19,0.129
Rv0070c,-0.01,0.980
Rv0072,-0.53,0.006
Rv0073,0.22,0.730
Rv0074,0.38,0.240
Rv0075,-0.17,0.280
Rv0077c,0.26,0.119
Rv0078,-0.15,0.600
Rv0078A,0.59,0.001
Rv0079,3.08,0.000
Rv0080,2.09,0.000
Rv0081,1.14,0.001
Rv0088,0.48,0.014
Rv0091,-0.58,0.003
Rv0092,-0.60,0.042
Rv0093c,0.44,0.063
Rv0097,-0.74,0.020
Rv0098,-1.88,0.053
Rv0099,0.43,0.213
Rv0103c,-1.54,0.039
Rv0108c,-0.61,0.029
Rv0110,-0.78,0.018
Rv0112,-0.11,0.729
Rv0116c,-0.81,0.003
Rv0117,0.51,0.043
Rv0118c,-0.71,0.001
Rv0119,-0.50,0.009
Rv0120c,0.09,0.641
Rv0121c,0.86,0.070
Rv0123,0.65,0.024
Rv0125,-0.18,0.415
Rv0126,-0.15,0.054
Rv0127,-0.10,0.319
Rv0129c,-0.97,0.022
Rv0130,-0.20,0.257
Rv0131c,0.17,0.250
Rv0133,0.01,0.972
Rv0134,0.21,0.031
Rv0135c,0.21,0.364
Rv0136,-0.81,0.009
Rv0137c,0.17,0.182
Rv0138,-0.01,0.975
Rv0139,0.26,0.627
Rv0140,-0.08,0.772
Rv0141c,0.18,0.162
Rv0144,-0.20,0.027
Rv0145,-0.22,0.280
Rv0146,0.22,0.112
Rv0147,-0.29,0.126
Rv0148,-0.07,0.498
Rv0149,-0.06,0.680
Rv0153c,0.08,0.506
Rv0154c,-0.20,0.148
Rv0155,0.02,0.882
Rv0157,-0.28,0.084
Rv0157A,-2.29,0.008
Rv0158,0.25,0.093
Rv0161,-0.09,0.517
Rv0162c,0.51,0.122
Rv0164,0.41,0.093
Rv0166,-0.88,0.002
Rv0167,-0.53,0.067
Rv0169,-1.17,0.001
Rv0170,-1.54,0.000
Rv0171,-1.59,0.000
Rv0172,-1.52,0.000
Rv0173,-1.75,0.000
Rv0174,-1.72,0.000
Rv0175,-0.28,0.004
Rv0176,-0.40,0.002
Rv0177,-0.62,0.002
Rv0178,-0.42,0.007
Rv0179c,-1.18,0.001
Rv0180c,-0.11,0.407
Rv0181c,-0.01,0.950
Rv0182c,-0.22,0.311
Rv0183,0.29,0.008
Rv0184,-0.75,0.001
Rv0185,-0.47,0.020
Rv0186,-0.69,0.003
Rv0186A,1.69,0.001
Rv0187,0.06,0.498
Rv0188,0.22,0.776
Rv0189c,-0.47,0.002
Rv0190,1.12,0.000
Rv0196,1.05,0.001
Rv0197,0.97,0.035
Rv0198c,-0.31,0.044
Rv0199,-0.14,0.061
