Gene,Value,padj
Rv1425,0.27,0.088
Rv1426c,-0.33,0.030
Rv1427c,-0.42,0.004
Rv1428c,-0.06,0.530
Rv1429,-0.23,0.337
Rv1432,0.09,0.802
Rv1436,0.10,0.203
Rv1437,0.00,0.962
Rv1438,0.17,0.252
Rv1439c,-0.11,0.632
Rv1442,-0.30,0.393
Rv1443c,0.16,0.316
Rv1444c,-0.11,0.567
Rv1445c,0.10,0.501
Rv1446c,-0.62,0.006
Rv1447c,-0.51,0.001
Rv1448c,-0.07,0.593
Rv1449c,0.02,0.930
Rv1454c,0.02,0.873
Rv1455,0.13,0.383
Rv1458c,0.16,0.606
Rv1459c,-0.24,0.163
Rv1461,-0.42,0.010
Rv1462,-0.59,0.006
Rv1463,-0.57,0.015
Rv1464,-0.44,0.010
Rv1465,-0.74,0.002
Rv1466,-0.35,0.128
Rv1467c,0.29,0.111
Rv1470,-0.16,0.351
Rv1471,-0.90,0.007
Rv1472,-0.74,0.009
Rv1473,-0.67,0.001
Rv1474c,0.06,0.872
Rv1475c,0.26,0.065
Rv1476,-0.34,0.023
Rv1477,0.43,0.265
Rv1479,-0.04,0.703
Rv1480,-0.09,0.404
Rv1481,-0.05,0.736
Rv1483,-0.38,0.014
Rv1484,0.03,0.809
Rv1486c,0.49,0.156
Rv1487,-0.95,0.003
Rv1488,0.18,0.146
Rv1489,0.09,0.455
Rv1492,0.25,0.062
Rv1493,0.21,0.088
Rv1495,0.33,0.162
Rv1496,-0.01,0.952
Rv1498A,-0.04,0.914
Rv1498c,-0.22,0.089
Rv1500,-1.47,0.002
Rv1501,-0.08,0.754
Rv1507c,-0.29,0.037
Rv1508c,-0.72,0.098
Rv1511,-0.06,0.528
Rv1512,-0.26,0.030
Rv1513,-0.18,0.247
Rv1514c,-0.97,0.007
Rv1515c,1.04,0.008
Rv1516c,-0.43,0.008
Rv1521,-0.14,0.064
Rv1523,-0.42,0.061
Rv1524,-0.61,0.053
Rv1527c,-0.51,0.019
Rv1529,0.06,0.822
Rv1531,-0.10,0.530
Rv1532c,0.31,0.093
Rv1533,-0.16,0.343
Rv1534,-0.52,0.003
Rv1536,-0.24,0.010
Rv1538c,0.15,0.170
Rv1539,-0.13,0.932
Rv1540,-0.10,0.551
Rv1543,-0.50,0.063
Rv1544,-0.29,0.319
Rv1546,-0.04,0.828
Rv1547,-1.16,0.003
Rv1550,-0.19,0.331
Rv1551,0.02,0.971
Rv1556,0.23,0.121
Rv1558,-0.04,0.676
Rv1559,0.11,0.346
Rv1564c,-0.01,0.954
Rv1566c,0.23,0.380
Rv1568,-0.03,0.841
Rv1569,-1.00,0.010
Rv1570,-0.08,0.744
Rv1571,-0.60,0.185
Rv1576c,0.16,0.397
Rv1578c,0.29,0.456
Rv1579c,-0.22,0.650
Rv1580c,-0.21,0.482
Rv1585c,0.57,0.029
Rv1586c,0.05,0.917
Rv1589,-0.50,0.001
Rv1590,-1.12,0.001
Rv1591,-0.35,0.081
Rv1592c,-1.29,0.000
Rv1593c,-0.42,0.281
Rv1594,-0.12,0.247
Rv1595,-1.19,0.000
Rv1596,0.00,0.988
Rv1598c,-0.76,0.039
Rv1599,0.17,0.313
Rv1600,0.11,0.262
Rv1601,0.22,0.394
Rv1602,0.08,0.392
Rv1603,0.26,0.025
Rv1605,0.32,0.031
Rv1607,-0.47,0.059
Rv1608c,0.00,0.949
Rv1609,0.22,0.044
Rv1610,-0.10,0.686
Rv1611,-0.08,0.403
Rv1612,-0.01,0.966
Rv1613,-0.14,0.287
Rv1614,0.00,0.994
Rv1617,-0.13,0.084
Rv1618,-0.76,0.008
Rv1621c,0.64,0.012
Rv1622c,1.09,0.004
Rv1623c,1.33,0.002
Rv1624c,-1.29,0.046
Rv1625c,0.08,0.399
Rv1626,0.33,0.151
Rv1627c,0.03,0.864
Rv1628c,-0.03,0.821
Rv1629,0.17,0.066
Rv1630,0.05,0.587
Rv1631,-0.09,0.343
Rv1632c,-0.24,0.193
Rv1633,0.18,0.159
Rv1636,0.24,0.048
Rv1637c,-0.05,0.820
Rv1638,0.37,0.052
Rv1638A,-0.43,0.082
Rv1640c,-0.22,0.074
Rv1641,0.03,0.885
Rv1642,1.53,0.053
Rv1643,1.06,0.044
Rv1647,-0.25,0.252
Rv1649,0.06,0.576
Rv1650,-0.11,0.348
Rv1652,0.39,0.010
Rv1653,0.21,0.187
Rv1654,0.50,0.009
Rv1655,0.34,0.059
Rv1656,0.33,0.044
Rv1657,0.02,0.895
Rv1658,0.24,0.052
Rv1659,0.10,0.397
Rv1660,-0.12,0.462
Rv1665,0.01,0.955
Rv1676,0.03,0.786
Rv1677,0.10,0.767
Rv1679,-0.29,0.019
Rv1680,0.04,0.872
Rv1683,-0.04,0.738
Rv1684,0.07,0.887
Rv1687c,-0.62,0.021
Rv1689,-0.07,0.550
Rv1691,-0.45,0.028
Rv1692,-0.04,0.820
Rv1693,-0.82,0.002
Rv1695,-0.28,0.260
Rv1696,-0.17,0.391
Rv1697,-0.35,0.099
Rv1698,0.17,0.229
Rv1699,0.12,0.225
Rv1700,0.04,0.868
Rv1701,-1.17,0.023
Rv1703c,-0.09,0.466
Rv1704c,-1.40,0.000
Rv1707,-0.35,0.063
Rv1708,-0.02,0.927
Rv1710,-0.14,0.314
Rv1711,-0.33,0.012
Rv1712,-0.29,0.119
Rv1713,-0.48,0.005
Rv1719,0.10,0.300
Rv1721c,-0.45,0.054
Rv1722,-0.05,0.645
Rv1728c,-0.34,0.337
Rv1729c,0.00,0.994
Rv1730c,0.01,0.970
Rv1731,-0.19,0.154
Rv1732c,-0.10,0.116
Rv1736c,0.68,0.015
Rv1737c,1.80,0.000
Rv1738,6.16,0.000
Rv1742,-0.27,0.555
Rv1743,-0.04,0.703
Rv1745c,-0.03,0.912
Rv1746,-0.19,0.245
Rv1747,-0.29,0.012
Rv1748,0.32,0.030
Rv1749c,-0.41,0.053
Rv1750c,0.03,0.902
Rv1751,-0.20,0.116
Rv1761c,-0.01,0.965
Rv1762c,0.03,0.919
Rv1769,-0.08,0.610
Rv1770,-0.25,0.024
Rv1771,-0.20,0.119
Rv1772,0.01,0.992
Rv1773c,0.33,0.011
Rv1778c,-0.03,0.850
Rv1779c,0.32,0.210
Rv1780,-0.38,0.083
Rv1782,-0.44,0.188
Rv1783,0.02,0.845
Rv1785c,-0.04,0.919
Rv1789,0.06,0.864
Rv1793,1.00,0.005
Rv1794,0.10,0.437
Rv1795,-0.20,0.145
Rv1796,-0.07,0.452
Rv1797,-0.08,0.424
Rv1798,-0.13,0.350
Rv1800,-0.07,0.837
Rv1805c,0.01,0.971
Rv1807,-0.95,0.342
Rv1808,-0.68,0.124
Rv1810,-0.88,0.096
Rv1812c,-0.87,0.003
Rv1813c,2.99,0.000
Rv1819c,-0.20,0.028
Rv1820,0.22,0.116
Rv1821,-0.11,0.403
Rv1823,-0.31,0.010
Rv1825,-0.22,0.032
Rv1826,-0.25,0.254
Rv1827,0.34,0.465
Rv1828,-0.06,0.698
Rv1829,-0.09,0.653
Rv1830,0.21,0.472
Rv1832,0.20,0.268
Rv1833c,-0.32,0.016
Rv1834,0.48,0.126
Rv1835c,0.04,0.837
Rv1836c,0.00,1.000
Rv1837c,0.16,0.164
Rv1838c,0.22,0.659
Rv1841c,-0.10,0.726
Rv1842c,-0.37,0.063
Rv1843c,0.13,0.083
Rv1844c,-0.28,0.150
Rv1847,-0.32,0.140
Rv1848,-0.55,0.031
Rv1850,-0.18,0.304
Rv1852,-0.11,0.600
Rv1854c,0.50,0.011
Rv1855c,0.28,0.191
Rv1856c,0.51,0.017
Rv1857,0.06,0.880
Rv1860,-0.21,0.414
Rv1862,0.48,0.254
Rv1864c,-0.43,0.056
Rv1865c,-0.45,0.188
Rv1866,-0.74,0.003
Rv1867,0.35,0.118
Rv1869c,-0.08,0.459
Rv1871c,-0.24,0.560
Rv1872c,-0.42,0.069
Rv1874,-0.51,0.040
Rv1875,-0.20,0.144
Rv1876,-0.77,0.042
Rv1878,0.03,0.880
Rv1880c,-0.45,0.003
Rv1881c,-0.29,0.296
Rv1882c,-0.20,0.372
Rv1883c,-0.27,0.188
Rv1884c,0.00,0.994
Rv1885c,-0.57,0.004
Rv1886c,-0.71,0.043
Rv1887,-1.79,0.016
Rv1890c,-0.07,0.920
Rv1891,-0.95,0.166
Rv1893,-0.48,0.138
Rv1894c,0.99,0.000
Rv1895,-0.22,0.336
Rv1896c,-0.10,0.343
Rv1897c,-0.40,0.241
Rv1898,0.64,0.076
Rv1899c,0.15,0.573
Rv1900c,-0.03,0.915
Rv1901,-0.29,0.067
Rv1904,-1.25,0.002
Rv1905c,-0.02,0.867
Rv1906c,-1.38,0.011
Rv1908c,-0.27,0.023
Rv1910c,0.24,0.561
Rv1911c,0.09,0.550
Rv1912c,-0.43,0.061
Rv1914c,-0.59,0.230
Rv1915,-0.04,0.889
Rv1919c,-0.41,0.020
Rv1920,-0.26,0.233
Rv1922,-0.53,0.327
Rv1923,-1.57,0.000
Rv1924c,-0.30,0.110
Rv1925,-0.22,0.024
Rv1926c,0.04,0.945
Rv1927,0.11,0.843
Rv1928c,-0.07,0.873
Rv1932,0.12,0.393
Rv1938,0.09,0.411
Rv1942c,-0.22,0.015
Rv1943c,-0.43,0.023
Rv1944c,0.03,0.849
Rv1954A,1.96,0.001
Rv1956,-0.46,0.097
Rv1957,-0.64,0.011
Rv1960c,-0.25,0.138
Rv1962c,0.18,0.576
Rv1963c,0.30,0.336
Rv1976c,-0.02,0.920
Rv1977,0.05,0.651
Rv1978,0.03,0.926
Rv1980c,-0.39,0.218
Rv1981c,0.19,0.467
Rv1982A,0.28,0.294
Rv1984c,-0.01,0.988
Rv1987,-0.69,0.029
Rv1989c,0.31,0.166
Rv1990c,0.17,0.259
Rv1991c,-0.11,0.571
Rv1993c,0.24,0.404
Rv1994c,0.12,0.814
Rv1996,4.07,0.000
Rv1997,1.84,0.000
Rv1998c,-0.97,0.002
Rv2000,-0.60,0.001
Rv2001,-0.05,0.729
Rv2002,-0.33,0.054
Rv2003c,1.19,0.000
Rv2004c,1.79,0.000
Rv2005c,3.29,0.000
Rv2006,0.12,0.648
Rv2007c,4.31,0.000
Rv2008c,-0.15,0.479
Rv2012,-1.22,0.005
Rv2016,-0.49,0.014
Rv2018,0.04,0.849
Rv2019,-0.75,0.048
Rv2021c,-0.30,0.503
Rv2026c,-0.86,0.045
Rv2027c,0.00,0.994
Rv2028c,3.57,0.000
Rv2029c,2.39,0.000
Rv2030c,4.06,0.000
Rv2031c,7.57,0.000
Rv2032,5.99,0.000
Rv2033c,-0.63,0.206
Rv2035,0.24,0.062
Rv2037c,0.18,0.293
Rv2038c,1.49,0.001
Rv2041c,-0.50,0.059
Rv2042c,0.14,0.465
Rv2043c,0.79,0.003
Rv2046,-0.47,0.102
Rv2047c,-0.24,0.664
Rv2048c,-0.64,0.000
Rv2050,-0.01,0.926
Rv2051c,-0.41,0.016
Rv2052c,-0.04,0.877
Rv2053c,-0.56,0.030
Rv2054,-0.67,0.000
Rv2055c,-0.11,0.832
Rv2061c,-0.13,0.526
Rv2062c,-0.03,0.886
Rv2063,0.26,0.417
Rv2064,-0.24,0.511
Rv2065,-0.13,0.290
Rv2066,0.16,0.151
Rv2067c,-0.05,0.730
Rv2068c,0.01,0.979
Rv2070c,-0.85,0.030
Rv2073c,-0.18,0.239
Rv2074,0.37,0.128
Rv2080,-0.85,0.003
Rv2082,-1.24,0.012
Rv2088,-0.08,0.347
Rv2089c,0.51,0.052
Rv2090,-0.05,0.734
Rv2091c,-0.23,0.282
Rv2092c,-0.23,0.066
Rv2093c,-0.50,0.004
Rv2094c,0.07,0.417
Rv2095c,0.23,0.125
Rv2096c,0.31,0.001
Rv2097c,0.20,0.025
Rv2101,-0.76,0.001
Rv2102,-1.05,0.000
Rv2103c,0.87,0.001
Rv2104c,0.65,0.241
Rv2109c,0.09,0.206
Rv2110c,0.19,0.383
Rv2111c,0.35,0.116
Rv2112c,0.14,0.184
Rv2113,-0.25,0.074
Rv2114,-0.13,0.319
Rv2115c,0.39,0.002
Rv2117,-0.21,0.229
Rv2118c,0.05,0.824
Rv2121c,-0.01,0.947
Rv2122c,-0.42,0.015
Rv2124c,-0.16,0.249
Rv2125,-0.27,0.333
Rv2129c,-0.19,0.090
Rv2130c,0.14,0.054
Rv2131c,0.21,0.027
Rv2134c,0.28,0.166
Rv2135c,0.23,0.604
Rv2137c,0.38,0.065
Rv2138,0.11,0.320
Rv2139,-0.43,0.083
Rv2140c,0.12,0.463
Rv2141c,0.11,0.497
Rv2145c,0.00,0.993
Rv2147c,-0.96,0.003
Rv2148c,-0.26,0.195
Rv2149c,0.11,0.336
Rv2150c,-0.21,0.254
Rv2151c,-0.11,0.747
Rv2152c,0.08,0.572
Rv2153c,-0.36,0.150
Rv2155c,-0.26,0.108
Rv2156c,-0.19,0.500
Rv2157c,0.07,0.411
Rv2158c,0.28,0.017
Rv2159c,0.35,0.153
Rv2161c,0.41,0.030
Rv2163c,-1.00,0.007
Rv2164c,-0.62,0.156
Rv2165c,-0.27,0.121
Rv2166c,0.51,0.001
Rv2169c,-0.36,0.118
Rv2171,-0.84,0.043
Rv2172c,0.18,0.197
Rv2173,-0.41,0.000
Rv2175c,0.27,0.021
Rv2176,-0.72,0.129
Rv2178c,0.10,0.397
Rv2179c,-0.07,0.710
Rv2181,-0.46,0.031
Rv2182c,0.07,0.783
Rv2183c,-0.41,0.001
Rv2184c,-0.27,0.298
Rv2185c,0.08,0.688
Rv2187,-0.02,0.867
Rv2190c,-0.36,0.156
Rv2192c,0.10,0.433
Rv2193,-0.53,0.277
Rv2194,-0.23,0.197
Rv2195,-0.09,0.273
Rv2196,-0.16,0.132
Rv2197c,-0.26,0.280
Rv2198c,-0.18,0.177
Rv2200c,-0.18,0.251
Rv2201,-0.32,0.002
Rv2202c,-0.02,0.872
Rv2203,-0.02,0.943
Rv2204c,-0.67,0.007
Rv2206,-0.44,0.039
Rv2207,-0.08,0.172
Rv2210c,0.37,0.005
Rv2211c,0.00,0.994
Rv2212,0.15,0.128
Rv2213,-0.16,0.143
Rv2214c,-0.39,0.195
Rv2215,0.18,0.072
Rv2216,-0.07,0.688
Rv2217,-0.21,0.476
Rv2218,-0.46,0.029
Rv2219,-0.01,0.979
Rv2220,0.13,0.326
Rv2221c,-0.48,0.015
Rv2222c,0.11,0.650
Rv2223c,-0.52,0.003
Rv2224c,-0.22,0.053
Rv2225,0.70,0.004
Rv2226,-0.16,0.067
Rv2228c,-0.26,0.057
Rv2229c,-0.24,0.271
Rv2230c,0.11,0.574
Rv2231c,-0.47,0.013
Rv2234,-0.19,0.561
Rv2235,-0.37,0.165
Rv2237,-0.35,0.054
Rv2237A,-0.20,0.400
Rv2238c,0.19,0.194
Rv2239c,0.15,0.434
Rv2240c,-0.45,0.105
Rv2241,0.07,0.641
Rv2242,0.14,0.395
Rv2243,-0.40,0.066
Rv2244,-0.79,0.001
Rv2245,-0.14,0.276
Rv2246,-0.30,0.127
Rv2247,-1.60,0.000
Rv2248,0.02,0.952
Rv2249c,-0.07,0.837
Rv2250A,-0.30,0.044
Rv2251,-0.10,0.210
Rv2252,0.06,0.747
Rv2256c,0.65,0.030
Rv2257c,-0.28,0.026
Rv2258c,-0.36,0.001
Rv2259,-0.06,0.704
Rv2260,-0.07,0.774
Rv2263,-0.14,0.562
Rv2265,0.14,0.809
Rv2271,-0.99,0.000
Rv2272,-0.22,0.516
Rv2275,-0.71,0.008
Rv2276,-1.05,0.001
Rv2280,0.31,0.111
Rv2282c,-0.20,0.090
Rv2284,0.05,0.751
Rv2285,-0.11,0.407
Rv2286c,-0.19,0.112
Rv2289,-0.84,0.006
Rv2290,-0.47,0.089
Rv2291,0.23,0.190
Rv2294,-0.13,0.194
Rv2295,-0.95,0.022
Rv2296,0.00,0.995
Rv2297,-0.20,0.228
Rv2298,0.01,0.929
Rv2299c,0.21,0.241
Rv2301,-0.06,0.688
Rv2302,-0.59,0.197
Rv2305,-0.16,0.256
Rv2314c,0.04,0.634
Rv2315c,0.20,0.007
Rv2325c,-0.07,0.947
Rv2326c,-0.10,0.206
Rv2327,0.21,0.179
Rv2332,0.24,0.256
Rv2334,0.56,0.001
Rv2335,0.46,0.147
Rv2338c,-0.51,0.015
Rv2342,-0.97,0.056
Rv2343c,0.06,0.753
Rv2344c,-0.28,0.098
Rv2345,-0.24,0.009
Rv2346c,1.08,0.010
Rv2350c,-0.30,0.059
Rv2351c,-0.20,0.224
Rv2357c,0.00,0.987
Rv2358,0.06,0.821
Rv2359,0.44,0.026
Rv2360c,0.07,0.578
Rv2361c,-0.05,0.804
Rv2363,-0.09,0.429
Rv2364c,-0.36,0.081
Rv2365c,-0.49,0.084
Rv2366c,-0.35,0.221
Rv2367c,0.42,0.302
Rv2368c,0.72,0.004
Rv2373c,0.28,0.099
Rv2374c,0.52,0.003
Rv2375,0.08,0.678
Rv2376c,-0.26,0.525
Rv2377c,-0.57,0.351
Rv2378c,0.21,0.411
Rv2380c,0.03,0.901
Rv2383c,0.10,0.826
Rv2386c,-0.91,0.186
Rv2387,0.23,0.113
Rv2391,0.64,0.005
Rv2392,0.82,0.000
Rv2394,-0.11,0.095
Rv2397c,-0.19,0.337
Rv2400c,0.45,0.002
Rv2402,0.05,0.815
Rv2403c,-0.09,0.704
Rv2404c,0.06,0.336
Rv2405,0.16,0.598
Rv2406c,-0.26,0.308
Rv2409c,-0.08,0.683
Rv2410c,-0.16,0.246
Rv2411c,0.14,0.194
Rv2412,0.21,0.640
Rv2413c,-0.44,0.140
Rv2416c,-0.15,0.142
Rv2417c,-0.35,0.060
Rv2418c,-0.34,0.148
Rv2419c,0.16,0.337
Rv2420c,-0.47,0.011
Rv2421c,-0.25,0.258
Rv2426c,0.06,0.473
Rv2427c,0.13,0.235
Rv2428,0.55,0.024
Rv2429,0.21,0.169
Rv2430c,-1.51,0.015
Rv2438c,0.23,0.029
Rv2439c,-0.34,0.207
Rv2440c,-0.29,0.162
Rv2441c,0.02,0.933
Rv2442c,-0.15,0.373
Rv2444c,0.17,0.278
Rv2445c,-0.34,0.004
Rv2447c,-0.02,0.887
Rv2448c,0.09,0.262
Rv2449c,-0.27,0.035
Rv2453c,0.37,0.027
Rv2454c,0.01,0.920
Rv2455c,-0.22,0.236
Rv2457c,0.87,0.000
Rv2459,-0.79,0.054
Rv2460c,0.07,0.598
Rv2461c,-0.06,0.624
Rv2462c,-0.15,0.149
Rv2463,-1.08,0.003
Rv2465c,0.13,0.204
Rv2466c,-0.05,0.815
Rv2467,-0.10,0.564
Rv2468c,0.11,0.724
Rv2470,0.33,0.022
Rv2473,-0.30,0.097
Rv2474c,-0.36,0.440
Rv2475c,-0.40,0.019
Rv2476c,-0.30,0.014
Rv2477c,0.22,0.065
Rv2478c,1.46,0.082
Rv2482c,-0.44,0.048
Rv2483c,0.16,0.388
Rv2484c,-0.45,0.011
Rv2486,-0.07,0.403
Rv2488c,0.30,0.399
Rv2493,-0.46,0.033
Rv2494,-0.40,0.031
Rv2495c,0.39,0.002
Rv2496c,0.76,0.000
Rv2497c,0.62,0.005
Rv2498c,0.24,0.033
Rv2499c,0.54,0.027
Rv2500c,0.63,0.000
Rv2501c,0.26,0.417
Rv2502c,0.42,0.065
Rv2503c,0.32,0.189
Rv2504c,0.84,0.000
Rv2506,0.26,0.053
Rv2509,-0.09,0.336
Rv2510c,-0.10,0.473
Rv2511,0.07,0.645
Rv2513,-0.21,0.246
Rv2516c,0.16,0.176
Rv2518c,0.06,0.548
Rv2520c,0.15,0.821
Rv2521,0.21,0.091
Rv2522c,-0.32,0.086
Rv2524c,-1.30,0.002
Rv2525c,-2.03,0.002
Rv2526,0.10,0.691
Rv2527,0.07,0.716
Rv2528c,-0.02,0.907
Rv2529,-0.50,0.071
Rv2530A,-0.66,0.287
Rv2530c,0.15,0.600
Rv2531c,-0.11,0.469
Rv2532c,-0.93,0.002
Rv2533c,-0.04,0.782
Rv2534c,0.34,0.060
Rv2535c,0.20,0.123
Rv2536,-0.65,0.062
Rv2537c,0.16,0.703
Rv2538c,-0.21,0.282
Rv2540c,0.46,0.001
Rv2548A,-0.15,0.247
Rv2552c,-0.30,0.014
Rv2553c,-0.63,0.023
Rv2554c,-0.14,0.191
Rv2555c,-0.03,0.652
Rv2556c,-0.05,0.878
Rv2557,1.09,0.044
Rv2558,0.45,0.310
Rv2559c,0.06,0.821
Rv2563,-0.35,0.015
Rv2564,-0.26,0.339
Rv2565,-0.32,0.023
Rv2566,-0.02,0.916
Rv2567,-0.27,0.105
Rv2568c,0.00,0.971
Rv2569c,0.03,0.885
Rv2570,0.67,0.006
Rv2571c,-0.29,0.042
Rv2572c,-0.10,0.450
Rv2574,0.02,0.777
Rv2575,-0.16,0.108
Rv2576c,0.25,0.530
Rv2579,0.30,0.082
Rv2580c,0.28,0.047
Rv2581c,0.13,0.259
Rv2582,-0.22,0.225
Rv2583c,0.11,0.644
Rv2584c,-0.51,0.017
Rv2585c,-0.44,0.172
Rv2586c,-0.29,0.039
Rv2587c,-0.26,0.052
Rv2588c,0.13,0.588
Rv2589,0.39,0.040
Rv2590,0.32,0.040
Rv2592c,0.16,0.403
Rv2593c,-0.22,0.287
Rv2595,-0.18,0.385
Rv2596,0.41,0.503
Rv2597,-0.30,0.050
Rv2602,0.53,0.498
Rv2603c,0.19,0.134
Rv2604c,-0.16,0.246
Rv2605c,0.23,0.040
Rv2606c,0.22,0.037
Rv2607,-0.01,0.964
Rv2609c,-0.17,0.179
Rv2610c,0.09,0.597
Rv2611c,-0.23,0.488
Rv2613c,0.08,0.601
Rv2614c,0.13,0.283
Rv2616,-0.33,0.039
Rv2618,-0.25,0.088
Rv2619c,0.24,0.322
Rv2620c,-0.48,0.033
Rv2622,-0.36,0.039
Rv2623,6.85,0.000
Rv2624c,3.16,0.000
Rv2625c,2.94,0.000
Rv2626c,6.33,0.000
Rv2627c,3.97,0.000
Rv2628,2.15,0.001
Rv2629,3.12,0.000
Rv2630,0.73,0.025
Rv2632c,-0.52,0.176
Rv2633c,-0.01,0.955
Rv2637,-0.39,0.366
Rv2643,-0.27,0.544
Rv2650c,0.22,0.193
Rv2658c,0.70,0.001
Rv2664,0.05,0.866
Rv2670c,-0.17,0.564
Rv2671,-0.47,0.134
Rv2672,-0.36,0.004
Rv2673,-0.11,0.614
Rv2674,-0.04,0.800
Rv2675c,0.25,0.021
Rv2676c,0.25,0.097
Rv2677c,-0.07,0.466
Rv2678c,0.23,0.044
Rv2679,-0.14,0.516
Rv2680,0.17,0.065
Rv2681,0.22,0.666
Rv2682c,0.07,0.815
Rv2683,-0.83,0.003
Rv2689c,-0.33,0.467
Rv2690c,-0.30,0.128
Rv2691,0.28,0.046
Rv2692,0.11,0.459
Rv2694c,-0.05,0.819
Rv2695,0.15,0.096
Rv2696c,-0.20,0.080
Rv2697c,-0.24,0.067
Rv2699c,-0.51,0.130
Rv2700,-0.64,0.002
Rv2701c,-0.33,0.039
Rv2702,-0.52,0.273
Rv2703,-0.14,0.352
Rv2705c,0.07,0.809
Rv2707,-0.15,0.650
Rv2708c,-2.09,0.000
Rv2709,-0.25,0.085
Rv2710,0.16,0.486
Rv2711,0.21,0.049
Rv2713,0.03,0.815
Rv2714,-0.25,0.088
Rv2715,-0.89,0.001
Rv2716,0.05,0.841
Rv2717c,-0.69,0.035
Rv2718c,0.05,0.716
Rv2720,0.26,0.176
Rv2721c,-0.19,0.147
Rv2724c,0.84,0.002
Rv2725c,1.42,0.026
Rv2726c,0.01,0.941
Rv2728c,-0.12,0.294
Rv2731,0.40,0.016
Rv2732c,-0.51,0.018
Rv2733c,1.05,0.124
Rv2737c,0.12,0.598
Rv2738c,-0.72,0.010
Rv2739c,-0.28,0.050
Rv2740,0.17,0.466
Rv2743c,-0.13,0.467
Rv2744c,-0.03,0.824
Rv2745c,0.03,0.889
Rv2747,0.09,0.740
Rv2748c,0.31,0.325
Rv2749,-0.06,0.753
Rv2750,0.25,0.199
Rv2751,0.02,0.821
Rv2752c,-0.13,0.325
Rv2753c,-0.18,0.607
Rv2754c,0.02,0.925
Rv2756c,-0.58,0.006
Rv2760c,-0.23,0.151
Rv2761c,-0.14,0.782
Rv2763c,-0.25,0.466
Rv2764c,-0.33,0.056
Rv2765,-0.14,0.261
Rv2766c,0.08,0.466
Rv2771c,-0.39,0.563
Rv2772c,-0.41,0.051
Rv2773c,0.25,0.119
Rv2775,-0.39,0.091
Rv2778c,-0.37,0.059
Rv2780,2.42,0.000
Rv2781c,-0.20,0.564
Rv2782c,-0.26,0.458
Rv2783c,0.10,0.320
Rv2785c,-0.28,0.144
Rv2786c,-0.01,0.983
Rv2788,0.42,0.015
Rv2789c,0.09,0.478
Rv2790c,-0.09,0.356
Rv2793c,-0.65,0.002
Rv2794c,-0.92,0.007
Rv2795c,-0.15,0.331
Rv2799,-0.64,0.024
Rv2802c,-0.24,0.407
Rv2808,-0.40,0.056
Rv2818c,0.05,0.677
Rv2821c,-0.93,0.004
Rv2824c,-0.46,0.134
Rv2826c,-1.83,0.017
Rv2827c,0.36,0.053
Rv2828A,-0.44,0.275
Rv2829c,0.79,0.012
Rv2830c,1.01,0.104
Rv2831,0.05,0.761
Rv2837c,-0.41,0.006
Rv2838c,-0.06,0.479
Rv2839c,-0.07,0.760
Rv2840c,-0.09,0.913
Rv2841c,0.31,0.098
Rv2842c,0.35,0.129
Rv2843,-0.03,0.922
Rv2844,0.19,0.473
Rv2845c,-0.04,0.778
Rv2846c,-1.25,0.000
Rv2847c,0.00,0.997
Rv2848c,-0.46,0.140
Rv2849c,1.07,0.004
Rv2850c,0.23,0.275
Rv2851c,0.36,0.095
Rv2852c,0.04,0.783
Rv2854,-0.71,0.022
Rv2855,-0.28,0.083
Rv2857c,-0.81,0.001
Rv2858c,-0.09,0.359
Rv2859c,0.00,0.998
Rv2860c,0.06,0.701
Rv2861c,0.23,0.211
Rv2868c,0.26,0.018
Rv2869c,-0.57,0.002
Rv2870c,0.55,0.019
Rv2871,0.00,0.995
Rv2872,0.18,0.288
Rv2873,-0.04,0.817
Rv2875,-0.45,0.244
Rv2878c,0.00,0.997
Rv2882c,0.06,0.653
Rv2883c,0.32,0.015
Rv2886c,0.03,0.916
Rv2887,-0.18,0.456
Rv2888c,-0.17,0.128
Rv2889c,-0.01,0.916
Rv2890c,-0.27,0.109
Rv2893,0.05,0.837
Rv2895c,0.07,0.671
Rv2901c,0.22,0.084
Rv2902c,-0.49,0.777
Rv2903c,-0.31,0.014
Rv2904c,-0.52,0.198
Rv2906c,0.02,0.886
Rv2907c,0.04,0.847
Rv2908c,-0.32,0.063
Rv2909c,0.33,0.399
Rv2911,-0.28,0.077
Rv2914c,-0.73,0.110
Rv2915c,-0.75,0.308
Rv2916c,-0.06,0.821
Rv2918c,-0.94,0.039
Rv2919c,0.14,0.358
Rv2921c,-0.11,0.089
Rv2922A,-0.45,0.005
Rv2922c,-0.10,0.128
Rv2923c,0.20,0.069
Rv2925c,0.39,0.013
Rv2926c,0.47,0.053
Rv2927c,0.92,0.002
Rv2928,0.30,0.094
Rv2930,-1.00,0.016
Rv2931,-0.35,0.261
Rv2932,-0.22,0.316
Rv2933,-0.17,0.452
Rv2934,-0.18,0.393
Rv2935,-0.29,0.342
Rv2936,-0.45,0.136
Rv2937,-0.46,0.292
Rv2939,-0.01,0.933
Rv2940c,-0.31,0.206
Rv2941,-0.12,0.062
Rv2942,0.00,0.974
Rv2945c,-0.05,0.814
Rv2946c,-0.96,0.005
Rv2947c,-1.17,0.001
Rv2948c,-0.65,0.017
Rv2949c,-0.72,0.002
Rv2950c,-0.90,0.001
Rv2951c,-0.45,0.039
Rv2952,-0.52,0.028
