Gene,Value,padj
Rv0317c,-0.80,0.007
Rv0319,0.00,0.994
Rv0321,0.11,0.480
Rv0324,0.17,0.387
Rv0328,-0.15,0.380
Rv0329c,0.52,0.039
Rv0331,-0.14,0.429
Rv0332,0.16,0.098
Rv0333,-0.11,0.485
Rv0334,-0.14,0.446
Rv0337c,-0.43,0.020
Rv0338c,0.16,0.216
Rv0339c,-0.05,0.707
Rv0342,-0.14,0.688
Rv0343,-0.65,0.192
Rv0344c,-0.30,0.285
Rv0346c,-1.23,0.011
Rv0347,0.40,0.007
Rv0348,0.27,0.394
Rv0349,0.02,0.982
Rv0350,0.22,0.229
Rv0351,-0.10,0.576
Rv0352,0.39,0.022
Rv0353,-0.28,0.281
Rv0356c,0.00,0.998
Rv0357c,-0.07,0.336
Rv0360c,-0.23,0.207
Rv0361,0.19,0.474
Rv0363c,0.28,0.015
Rv0364,-0.25,0.520
Rv0365c,-0.03,0.876
Rv0366c,0.31,0.101
Rv0367c,0.02,0.979
Rv0376c,-0.09,0.753
Rv0379,0.08,0.651
Rv0382c,0.37,0.036
Rv0383c,-0.03,0.814
Rv0384c,-0.02,0.872
Rv0386,0.55,0.123
Rv0389,0.27,0.013
Rv0390,0.53,0.006
Rv0391,0.43,0.059
Rv0392c,-0.18,0.289
Rv0394c,0.22,0.214
Rv0397A,0.27,0.396
Rv0398c,1.03,0.195
Rv0400c,-0.18,0.116
Rv0404,-0.17,0.488
Rv0405,-1.14,0.002
Rv0406c,-0.16,0.296
Rv0407,0.00,0.992
Rv0408,-0.10,0.423
Rv0409,-0.15,0.329
Rv0410c,-0.06,0.734
Rv0411c,-0.25,0.007
Rv0412c,-0.21,0.188
Rv0413,-0.17,0.399
Rv0414c,0.44,0.021
Rv0415,-0.03,0.851
Rv0417,0.10,0.626
Rv0418,-0.42,0.006
Rv0419,0.10,0.642
Rv0420c,-0.30,0.446
Rv0421c,-0.03,0.901
Rv0422c,-0.20,0.582
Rv0423c,0.08,0.636
Rv0424c,-0.41,0.151
Rv0426c,0.80,0.046
Rv0427c,-0.12,0.481
Rv0428c,-0.07,0.587
Rv0429c,0.03,0.857
Rv0430,-0.56,0.059
Rv0431,0.13,0.564
Rv0432,-0.26,0.097
Rv0433,-0.06,0.587
