,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN60MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN60MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN60MIN.C
1,SP_2239,10240.50188,3.075138666,0.118450186,-25.96145065,1.35E-148,2.87E-145,2202.44618,1892.59068,2112.324988,20001.40614,18227.30289,17006.94037
2,SP_1027,17363.6645,3.005876133,0.116128208,-25.88411704,1.01E-147,1.07E-144,4120.405419,3558.026796,3342.928734,31198.88794,31397.7219,30564.01623
3,SP_0282,17110.36085,-2.507671469,0.112422869,22.30570606,3.25E-110,2.31E-107,28477.66015,28553.76568,30792.58138,5427.014334,4789.555847,4621.587694
4,SP_0284,8005.230891,-2.436289869,0.119018024,20.46992369,3.99E-93,2.12E-90,15205.05118,12257.60981,13348.4561,2320.01451,2460.105677,2440.148068
5,SP_2107,5987.793059,2.683671716,0.132658088,-20.22998942,5.33E-91,2.27E-88,1762.784543,1459.031246,1369.099529,9744.060943,10090.55924,11501.22285
6,SP_RS04335,3459.976639,3.530474511,0.178252862,-19.80599059,2.64E-87,9.38E-85,563.8013942,454.3091304,417.6017868,5610.492606,5301.862969,8411.79195
7,SP_0981,19728.50262,2.395732898,0.133670904,-17.92262058,7.85E-72,2.39E-69,6274.230195,5903.834517,5871.798289,39551.69835,31766.47988,29002.97451
8,SP_0799,6072.144355,2.022237507,0.113094987,-17.88087667,1.66E-71,4.42E-69,2142.445298,2469.213808,2400.945969,10069.31788,10156.74657,9194.196606
9,SP_2240,8108.229687,2.842732901,0.165620327,-17.16415463,4.93E-66,1.17E-63,1690.369685,1774.645041,1967.485887,18289.44772,13895.9009,11031.52889
10,SP_0283,8789.711029,-2.513560047,0.161273197,15.58572721,9.10E-55,1.94E-52,18184.40534,13215.37209,14035.64892,1943.959871,2565.833489,2793.046476
11,SP_2106,10591.8668,2.386056235,0.160332251,-14.88194804,4.32E-50,8.36E-48,4053.163051,2758.61746,2719.169103,16028.57084,18467.98409,19523.69628
12,SP_RS11510,260.8034565,2.433536355,0.171975878,-14.15045169,1.86E-45,3.29E-43,62.06987827,77.53833717,85.6347968,469.3101248,433.226157,437.041445
13,SP_0617,2845.807295,2.019546071,0.144814072,-13.94578606,3.34E-44,5.47E-42,1087.257368,1045.129418,1098.451282,4115.372144,4087.282493,5641.351066
14,SP_0742,4342.278839,1.483201137,0.106941051,-13.86933389,9.72E-44,1.48E-41,2234.515618,2206.020297,2316.368392,6459.648244,6045.395956,6791.724525
15,SP_0775,3442.485894,-1.30383877,0.109275475,11.9316688,8.09E-33,1.15E-30,5115.592467,4597.695767,5070.425746,1956.090665,2036.334853,1878.775867
16,SP_1883,2357.623493,1.30030673,0.111023249,-11.71202196,1.11E-31,1.47E-29,1422.43471,1238.429216,1365.92787,3354.922944,3413.375138,3350.651078
17,SP_RS04870,7615.518896,2.064479973,0.181484589,-11.37551117,5.54E-30,6.94E-28,2304.86148,2554.39677,3319.6699,15479.65237,12824.00999,9210.522867
18,SP_0798,1725.158332,1.759511619,0.155567465,-11.31028022,1.17E-29,1.38E-27,636.2162522,834.3561915,788.6859063,2232.066248,2713.680511,3145.944884
19,SP_1972,3671.563076,1.467989167,0.130276984,-11.26821581,1.88E-29,2.11E-27,2017.271044,1997.431249,1697.89486,4831.847213,5431.658901,6053.275187
20,SP_2063,12675.74546,1.659234406,0.149097542,-11.12851617,9.11E-29,9.70E-27,7243.554794,5568.563116,4818.807454,18584.37767,19165.09999,20674.06973
21,SP_0919,1480.227509,-1.280763666,0.116919489,10.95423592,6.34E-28,6.43E-26,2253.136581,2010.53632,2066.86454,797.5997597,871.6097682,881.6180873
