,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC45MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC45MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC45MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN45MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN45MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN45MIN.C
1,SP_2239,8189.795,2.674289746,0.117429329,-22.77361007,8.38E-115,1.64E-111,2074.301934,2019.294189,2076.730136,16046.7966,12577.85192,14343.79522
2,SP_1027,12734.00021,2.479401338,0.113797086,-21.78791586,3.02E-105,2.95E-102,4119.736842,3507.657051,3279.205705,21669.86308,21543.63473,22283.90384
3,SP_RS04335,1645.697181,2.696151471,0.143500224,-18.78848267,9.38E-79,6.11E-76,476.3059112,324.7018036,378.5432146,2767.852503,2762.537041,3164.242615
4,SP_2240,6947.522511,2.467208468,0.133055092,-18.54275873,9.33E-77,4.56E-74,1781.507824,1862.208722,2180.378873,13648.87475,10452.9832,11759.1817
5,SP_0799,5162.997551,1.622425349,0.096515205,-16.81004926,2.06E-63,8.05E-61,2340.290949,2481.774867,2569.437177,7848.072857,8124.559126,7613.850328
6,SP_0284,10151.29932,-1.526138296,0.102204935,14.93213907,2.04E-50,6.63E-48,15831.50124,15346.1093,14455.99455,4700.047317,5239.473449,5334.67009
7,SP_0282,21184.37874,-1.544297894,0.114339813,13.50621322,1.44E-41,4.01E-39,35547.67926,31121.35152,29119.28657,9836.299513,10325.24183,11156.41372
8,SP_2107,4756.935964,1.954428011,0.148989556,-13.11788597,2.60E-39,6.36E-37,2189.770033,1640.182894,1541.962737,6782.865363,7784.954008,8601.880746
9,SP_0981,15614.041,1.857697416,0.144396667,-12.86523753,7.06E-38,1.53E-35,5344.523471,6551.955853,6864.100077,28146.05954,20530.01212,26247.59495
10,SP_2106,8613.392634,1.657140317,0.131373191,-12.61399147,1.77E-36,3.46E-34,4567.175729,3669.130381,3571.374972,11776.92923,14122.17244,13973.57305
11,SP_0742,3251.716173,1.264035288,0.110317018,-11.45820755,2.14E-30,3.80E-28,2070.178073,1758.655174,1771.041469,4456.037682,4598.689481,4855.695157
12,SP_2173,4126.860244,1.161369935,0.103629637,-11.20692858,3.77E-29,6.14E-27,2398.024999,2568.654538,2526.625742,5327.844946,6136.778713,5803.232525
