,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC30MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC30MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC30MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN30MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN30MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN30MIN.C
1,SP_2239,5531.788945,2.310144663,0.098885735,-23.36175852,1.05E-120,1.96E-117,1651.848767,1706.742769,1791.269044,9953.502732,8984.652365,9102.717995
2,SP_1027,7689.905179,1.96566275,0.105561585,-18.6210045,2.17E-77,2.03E-74,3204.833767,2636.558757,2893.446915,11917.09257,12337.90644,13149.59262
3,SP_2240,4669.961493,2.086649141,0.125053617,-16.6860359,1.66E-62,1.03E-59,1521.403519,1393.163888,1819.789506,8865.201461,7470.425889,6949.784694
4,SP_0282,26278.75911,-1.099817357,0.091757146,11.98617659,4.20E-33,1.96E-30,35882.05484,37397.01181,35501.53563,15512.3044,16591.16811,16788.47989
5,SP_0799,3754.248658,1.314579236,0.110547263,-11.89155837,1.31E-32,4.08E-30,1988.260195,1831.550285,2323.957681,5282.715069,5467.183192,5631.825524
6,SP_0981,9559.075418,1.378995099,0.115850322,-11.90324783,1.14E-32,4.08E-30,4557.345018,4975.139572,5491.569042,15687.1408,12349.7009,14293.55718
7,SP_1923,6660.075561,-1.145577024,0.10163893,11.2710457,1.82E-29,4.88E-27,8616.251879,9482.250962,9836.799496,4006.851961,3762.430916,4255.868152
8,SP_0617,1551.069972,1.051225682,0.103742595,-10.13301894,3.94E-24,9.22E-22,913.116733,992.2197453,1026.736648,2103.569616,2202.841154,2067.935935
9,SP_0283,13354.53404,-1.2486091,0.128389864,9.725137673,2.36E-22,4.90E-20,22762.00915,18451.23102,16697.35073,6369.909781,8208.94018,7637.76338
10,SP_RS04870,4157.245284,1.208188362,0.128855039,-9.37633771,6.83E-21,1.28E-18,2287.59771,1920.475639,2852.966259,5707.633918,6290.980461,5883.817718
11,SP_1926,720.7710782,-1.219686751,0.134221596,9.087112527,1.02E-19,1.73E-17,966.6679399,951.6573029,1194.179363,376.2302311,362.9062856,472.9853468
12,SP_0284,12150.63869,-0.974235248,0.111440175,8.742226514,2.29E-18,3.56E-16,17526.34884,17393.48733,14224.35064,7345.895263,7993.01094,8420.739123
13,SP_2175,3170.343783,0.872137781,0.100145202,-8.708732531,3.07E-18,4.42E-16,2181.868404,2220.013675,2162.035056,3820.396685,4305.883078,4331.865798
14,SP_2173,3142.409629,0.835901432,0.097547957,-8.569133131,1.04E-17,1.39E-15,2110.466795,2251.215554,2265.996741,3874.618101,4194.289396,4157.871188
15,SP_1925,1164.771734,-0.996102877,0.122427182,8.13628853,4.08E-16,5.08E-14,1444.509478,1620.937603,1689.147388,739.1817482,646.8804541,847.9737295
16,SP_1924,1397.086191,-0.918772125,0.113906107,8.066047991,7.26E-16,8.49E-14,1940.201419,1900.194418,1738.828194,938.3624588,831.9626597,1032.967998
17,SP_0798,1079.88233,0.970379237,0.121080781,-8.014312699,1.11E-15,1.22E-13,606.9136782,686.4413332,802.2530079,1386.519058,1475.214051,1521.952849
