,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.C
31,SP_2087,391.486283,3.476302217,0.18566429,-18.72359097,3.18E-78,2.27E-76,64.65174922,61.20301238,59.05679947,757.0849659,570.7537969,836.1673739
32,SP_0056,9893.950715,-2.535469878,0.139378543,18.19124968,6.05E-74,4.19E-72,19763.75864,14159.10482,16854.33173,2691.558295,3006.898052,2888.05275
33,SP_1690,183.8075639,4.129506966,0.233766872,-17.66506489,7.79E-70,5.23E-68,13.11774622,21.81493511,18.35549173,341.2719894,392.3141398,315.9710814
34,SP_0648,5186.333224,2.146400755,0.122840837,-17.47302283,2.30E-68,1.50E-66,2045.431428,1757.314217,1870.664026,8219.266439,7882.98315,9342.340083
35,SP_1185,302.6610173,3.100271037,0.183474839,-16.89752697,4.69E-64,2.97E-62,68.39967671,61.20301238,52.67228061,527.1754152,474.5735562,631.9421628
36,SP_0799,3312.426845,1.978344483,0.11776724,-16.79876748,2.49E-63,1.53E-61,1209.643598,1384.642409,1392.623177,5437.899725,5444.307836,5005.444326
37,SP_1683,667.2351249,2.268550027,0.135647851,-16.7238184,8.79E-63,5.26E-61,228.623577,208.4538243,241.8136519,1093.866534,1059.248177,1171.404985
38,SP_0787,2060.966151,-2.021064712,0.121745189,16.60077688,6.88E-62,4.01E-60,3073.300543,3320.111929,3552.186682,841.504879,765.6453373,813.0475387
39,SP_0785,808.6137488,-2.270828048,0.136968837,16.57915847,9.86E-62,5.60E-60,1393.292045,1341.618509,1292.067005,270.3233389,248.0437787,306.3378167
40,SP_1681,510.7950612,2.404698105,0.145308154,-16.548955,1.63E-61,9.02E-60,176.1525921,159.3702204,143.6516744,832.5240372,914.9778163,838.0940269
41,SP_1926,987.5032186,-2.105246129,0.13207101,15.94025919,3.33E-57,1.80E-55,1561.948782,1639.755955,1614.485207,359.233673,335.365313,414.2303811
