,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC90MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC90MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC90MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN90MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN90MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN90MIN.C
1,SP_1848,4785.595082,-5.245613051,0.128799162,40.7270745,0,0,9812.153342,8654.59949,9544.741219,234.6414101,257.7266874,209.7083436
2,SP_0287,6519.518978,-4.387327855,0.12535487,34.99926125,2.31E-268,2.56E-265,12517.4526,11887.79684,13007.43688,626.8277671,485.954537,591.6452417
3,SP_0045,2385.049253,-5.359649552,0.163846763,32.71135462,1.08E-234,7.95E-232,4854.031259,4182.385521,4967.101486,83.80050362,96.25936516,126.7173821
4,SP_0046,1241.842938,-5.600071051,0.176618742,31.70711663,1.24E-220,6.86E-218,2404.710453,2272.73808,2642.776177,45.81094198,34.15654893,50.86542802
5,SP_1027,18376.18555,3.739508936,0.120884206,-30.93463633,4.09E-210,1.81E-207,2595.89768,2580.278267,2257.706851,38067.77545,31487.6804,33267.77468
6,SP_1847,924.1748642,-5.123018567,0.172255051,29.74089026,2.27E-194,8.40E-192,1876.821277,1702.742132,1823.58877,51.39764222,51.23482339,39.26454093
7,SP_0054,1129.380915,-4.735959342,0.175160764,27.03778656,5.32E-161,1.68E-158,2466.315226,1931.384575,2158.877271,65.92306285,63.65538664,90.12996895
8,SP_0047,930.6334682,-5.514374032,0.20547414,26.83731407,1.19E-158,3.28E-156,1813.092201,1708.377685,1963.414323,21.22946092,29.49883771,48.18830023
9,SP_0288,946.6412151,-3.758165532,0.149456823,25.14549316,1.58E-139,3.90E-137,1602.786252,1833.970013,1868.245098,122.9074053,141.2839069,110.6546153
10,SP_0050,2251.948117,-4.019245275,0.161041531,24.95781835,1.76E-137,3.89E-135,4063.790722,3845.057411,4871.932261,225.7026898,208.0444344,297.1611848
11,SP_RS04335,3821.553114,4.179787333,0.170719916,-24.48330244,2.22E-132,4.48E-130,416.363294,367.9211132,327.9677915,6235.87481,6388.82722,9192.364457
12,SP_0051,665.0926389,-4.496727507,0.18814381,23.90048075,3.03E-126,5.59E-124,1266.084302,1155.288397,1417.289385,36.87222159,54.33996421,60.68156326
13,SP_1587,2092.991352,-3.254696,0.136672253,23.81387541,2.40E-125,4.09E-123,3991.564436,3502.898826,3914.383441,322.911274,406.7734463,419.4166872
14,SP_0048,576.2805261,-5.332620915,0.229353203,23.25069306,1.40E-119,2.21E-117,1052.591899,1067.534784,1271.607263,13.40808058,18.63084487,33.91028535
15,SP_0284,10057.71088,-2.417496429,0.108861497,22.20708418,2.93E-109,4.33E-107,18045.94991,15837.51453,17090.92871,2997.82335,3348.894365,3025.154403
16,SP_0053,408.4657775,-4.727284445,0.215977309,21.88787551,3.39E-106,4.69E-104,858.2182182,718.1304879,800.8856338,23.46414101,17.07827446,33.01790942
17,SP_0799,5225.949606,2.119556495,0.099694329,-21.2605523,2.63E-100,3.43E-98,1885.318487,1961.977577,1954.629472,8533.125949,8095.102096,8925.544054
18,SP_0282,19509.83064,-2.400785707,0.114497215,20.96807072,1.28E-97,1.58E-95,31277.16816,33765.0142,33692.83401,5412.395194,6440.062044,6471.510246
19,SP_2239,8115.502028,3.21423988,0.15916597,-20.19426571,1.10E-90,1.28E-88,1535.870722,1634.310415,1342.618147,17947.8332,14314.69914,11917.68055
