,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC10MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC10MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC10MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN10MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN10MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN10MIN.C
1,SP_0800,5938.303789,0.718695558,0.106308758,-6.760454852,1.38E-11,2.04E-08,4202.397402,4064.993061,4189.066108,6407.176573,7670.976071,9095.213522
2,SP_0048,1539.834794,-0.527602385,0.087620542,6.021446232,1.73E-09,1.28E-06,1892.899781,1973.842302,1705.029689,1206.44479,1260.369522,1200.422679
3,SP_0729,729.6917674,-0.550673426,0.092632082,5.944737667,2.77E-09,1.37E-06,937.1230731,887.4639807,842.6539999,550.2776954,596.2458022,564.386053
4,SP_1410,2197.681978,0.528304315,0.093447505,-5.65348765,1.57E-08,5.84E-06,1680.603653,1730.724775,1795.570172,2970.110842,2591.702323,2417.380106
5,SP_0776,6884.940802,0.450358514,0.084621236,-5.322050788,1.03E-07,3.05E-05,5961.168667,5311.182904,5781.144304,8672.515351,7947.887123,7635.746463
6,SP_RS05540,361.1457696,0.646154574,0.130487422,-4.95185331,7.35E-07,0.000181937,198.9721027,241.4174047,260.8641638,637.0722846,473.6027459,354.9459161
7,SP_0047,2300.956858,-0.467434832,0.095154695,4.912367494,9.00E-07,0.000190893,2988.134614,2808.602483,2406.046102,1820.082535,1960.746222,1822.129191
8,SP_2102,504.9046889,-0.574966759,0.120456215,4.773242781,1.81E-06,0.000336507,562.2738439,613.7442472,748.5277552,298.5733868,399.5541081,406.7547921
9,SP_1774,1724.500024,0.441589173,0.095037883,-4.64645423,3.38E-06,0.000557187,1454.983501,1492.707615,1309.699462,2162.053216,2106.529477,1821.026874
10,SP_0626,9299.899214,0.309049254,0.071020354,-4.351558893,1.35E-05,0.002007319,8351.498705,8090.883303,8235.598189,10284.29087,10774.0768,10063.04742
11,SP_0989,1727.112274,0.347928656,0.080450215,-4.324769761,1.53E-05,0.002061332,1462.089648,1482.50688,1546.359734,2004.087064,1996.9992,1870.631117
12,SP_0046,2842.19823,-0.372882423,0.087879589,4.24310613,2.20E-05,0.002518184,3450.922407,3356.04195,2969.907129,2381.643527,2557.763364,2336.911001
13,SP_0870,1026.20437,0.355190558,0.083566526,-4.250392749,2.13E-05,0.002518184,902.4806088,884.0637356,869.5472127,1186.482034,1184.778205,1129.874422
14,SP_1924,2920.142703,0.375668978,0.09063659,-4.144782783,3.40E-05,0.003607871,2400.100989,2352.969635,2698.285681,3126.341102,3327.560661,3615.598152
15,SP_RS02130,3167.078805,0.502497441,0.124899774,-4.02320535,5.74E-05,0.005683728,2734.978144,2182.957378,2192.693281,5139.975571,3734.828169,3017.040287
16,SP_0050,6368.170759,-0.421945696,0.105604461,3.995529082,6.45E-05,0.005991041,8383.476364,7920.871046,6228.468076,4782.381864,5534.364335,5359.46287
17,SP_1092,1486.981733,0.475992507,0.121374109,-3.921697243,8.79E-05,0.006889299,1274.665033,1135.681876,1031.80293,2241.036293,1844.273885,1394.430385
18,SP_1127,504.7032238,0.455669327,0.116267974,-3.919130199,8.89E-05,0.006889299,343.7598382,486.2350546,373.8156574,670.0542284,580.0476627,574.3069016
19,SP_1464,385.0151943,-0.461205725,0.117993956,3.90872329,9.28E-05,0.006889299,443.2458896,498.1359125,462.5632595,243.8927956,352.5023695,309.7509392
20,SP_1922,7892.143887,0.294801729,0.07530281,-3.914883516,9.04E-05,0.006889299,7124.800161,6945.000692,6968.031427,9306.983797,8551.074985,8456.972262
21,SP_0472,433.950801,0.478599141,0.123629251,-3.87124518,0.000108281,0.007657,326.8827402,331.5239008,336.1651595,686.5452004,441.9778068,480.6099982
22,SP_0439,2915.871949,-0.303604056,0.079604396,3.813910692,0.000136785,0.008831548,3100.94469,3245.533983,3418.127342,2534.402004,2679.63508,2516.588592
23,SP_2190,7593.750855,-0.291889043,0.076525381,3.814277551,0.000136582,0.008831548,8369.264071,8813.435395,8125.336016,6980.888807,6844.870956,6428.709885
24,SP_0045,4018.37272,-0.36682915,0.096857697,3.787299945,0.000152293,0.009423143,4975.190836,4942.256306,3941.648551,3462.236162,3437.862278,3351.04219
25,SP_RS04295,578.8920991,0.397653515,0.105680032,-3.762806532,0.000168017,0.00998022,476.1118172,499.8360351,468.8383425,763.7923848,669.5231,595.2509152
26,SP_0968,1102.923102,0.332144313,0.089245215,-3.721704431,0.000197883,0.011302139,978.8716839,1020.073541,879.4080574,1263.729218,1251.884783,1223.571326
27,SP_0661,677.0318846,0.350036025,0.094995234,-3.684774598,0.000228905,0.012140147,577.3744052,612.0441246,557.5859446,808.0576252,790.6234764,716.5057313
28,SP_1485,688.7564694,0.438014484,0.118610086,-3.692894077,0.000221716,0.012140147,612.9051379,491.3354223,536.9678148,1000.741613,806.050276,684.5385525
29,SP_0192,1022.998468,-0.319605903,0.087242509,3.663419421,0.000248871,0.012743888,1160.07842,1139.082121,1152.822387,847.1151904,883.1842737,955.7084139
30,SP_0974,2134.643296,0.340074402,0.093731197,-3.628187974,0.000285417,0.014128163,1940.86627,1608.31595,1973.065376,2484.929088,2458.260507,2342.422583
31,SP_0441,43740.12894,0.445954442,0.124685433,-3.576636276,0.000348044,0.016672426,37638.59334,38560.47997,25692.87903,66149.6282,50114.72965,44284.46346
32,SP_2195,761.7966746,-0.383108041,0.107682591,3.557752807,0.000374041,0.017357843,852.7375831,962.2693737,850.7219637,545.9379659,721.9742185,637.1389426
33,SP_0208,36748.82695,-0.397355313,0.112442343,3.53385836,0.00040954,0.018429322,48292.48352,46151.52724,35306.30616,28297.63991,27513.69698,34931.30788
34,SP_1644,1222.397462,0.393373962,0.113510967,-3.465515039,0.000529217,0.023114328,957.5532444,935.0674126,1125.929174,1698.57011,1414.637518,1202.627312
35,SP_0426,14745.75725,0.246979439,0.071866931,-3.436621463,0.000589018,0.024297,13236.97444,13060.34157,13841.04017,16723.58144,15888.06085,15724.54501
36,SP_1550,4912.406925,0.300457797,0.087237305,-3.444143485,0.000572872,0.024297,4228.157183,4255.406789,4515.370423,6038.299569,5342.300681,5094.906908
37,SP_0279,924.6349378,-0.341402562,0.099693773,3.424512408,0.000615904,0.024719379,1021.508563,1167.984204,980.7058254,783.7551403,860.8154143,733.040479
38,SP_0667,1547.960978,-0.277015384,0.081483294,3.399658624,0.0006747,0.026366578,1679.715385,1679.721098,1777.641364,1371.354509,1337.50352,1441.829995
39,SP_1444,654.6935411,0.400271151,0.118414927,-3.380242357,0.000724219,0.026886645,599.5811131,479.4345643,515.4532446,940.8533467,735.8583381,656.9806398
40,SP_1713,616.6526512,-0.331869294,0.098000963,3.386388085,0.000708192,0.026886645,688.4079447,765.0551558,650.8157489,508.6162926,531.4532442,555.5675209
41,SP_RS04870,3263.45732,0.368146151,0.109642834,-3.357685472,0.00078598,0.02846781,3028.106688,2417.574292,2766.415153,4356.220431,3813.504846,3198.922511
42,SP_1604,1010.512951,-0.356751567,0.107216676,3.327388792,0.00087664,0.030995476,1128.100761,1307.394255,1065.867666,766.3962224,971.888371,823.4304328
43,SP_0420,11941.02151,0.247852474,0.074733257,-3.316495031,0.000911542,0.03148,10222.19178,11242.91054,11006.49554,12702.38813,13253.16349,13218.97958
44,SP_RS07915,323.7252365,0.377768126,0.115432787,-3.272624139,0.001065541,0.035961998,240.7207136,277.1199786,286.8609361,330.6873848,421.1516275,385.8107784
45,SP_2209,379.9499688,-0.335624721,0.10316798,3.253186895,0.001141184,0.037659076,426.3687916,433.5312549,441.9451297,315.9323046,353.2737095,308.6486227
46,SP_1027,5413.66777,0.272480423,0.083972639,-3.244871489,0.001175036,0.03793324,4960.090275,5171.772853,4395.247406,6024.412435,6034.19264,5896.29101
