,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.C
35,SP_0960,6296.630458,-0.43723061,0.108919319,4.014261325,5.96E-05,0.003261032,7112.235677,8006.291219,7127.983292,5312.547077,4227.655959,5993.069524
36,SP_0340,1289.568959,-0.435626931,0.112572982,3.869728966,0.000108956,0.005792849,1648.033465,1679.97469,1235.634365,967.6871933,1073.938725,1132.145316
37,SP_RS07275,43.95562782,-0.571904423,0.148806378,3.84327898,0.000121401,0.006114793,68.92915634,73.53773306,45.07207202,20.16014986,21.16588748,34.86876814
38,SP_2102,339.443622,-0.467986808,0.12162947,3.847643225,0.00011926,0.006114793,368.4576721,400.8324323,452.9193579,232.8844898,291.7211448,289.8466352
39,SP_0520,578.1419764,0.432320829,0.114041751,-3.790899602,0.000150103,0.007182411,522.6083308,457.7982819,444.1248072,779.9892463,613.8107368,650.5204556
40,SP_1029,1322.914414,0.348314709,0.091852136,-3.792124222,0.000149364,0.007182411,1179.315202,1146.56719,1110.312018,1449.445257,1499.096987,1552.749831
41,SP_1774,1147.16858,0.392361271,0.104075815,-3.769956255,0.000163276,0.007622209,985.060307,1074.0652,842.0782236,1340.302377,1259.830433,1381.674938
42,SP_0235,17033.50147,-0.304882335,0.081099237,3.759373666,0.000170339,0.007762604,18843.97809,19769.22128,18327.84353,15193.10604,15117.96519,14948.89469
43,SP_2007,5201.343227,0.350540798,0.094261597,-3.718808162,0.000200165,0.00890967,4306.192385,4214.437124,4964.523835,6306.651018,5801.29368,5614.96132
44,SP_0989,1204.123837,0.33195139,0.091660188,-3.621543863,0.00029285,0.012738981,1060.25575,1065.779258,1024.565149,1354.901106,1328.849631,1390.39213
45,SP_RS04170,370.8526458,0.430926993,0.120896808,-3.564419949,0.000364662,0.015510278,273.2101106,302.436874,330.8949678,504.0037465,387.4277664,427.1424097
46,SP_0219,17026.0363,-0.300921292,0.085220502,3.531090346,0.00041385,0.017219774,19550.81525,17612.80494,19736.07095,15264.70933,15306.61767,14685.19963
47,SP_0959,5043.614095,-0.30665306,0.08765563,3.498384066,0.000468087,0.018320735,5451.669638,6016.629456,5428.436382,4258.657863,4522.137872,4584.153362
48,SP_1444,360.4109619,0.417061305,0.119040235,-3.503532286,0.000459131,0.018320735,308.3013175,275.5075633,306.7099535,474.8062881,428.8392854,368.3013635
49,SP_2055,1100.211829,0.348717452,0.09969482,-3.497849263,0.000469026,0.018320735,919.8909228,986.0270686,938.8182806,1165.812804,1210.13661,1380.585289
50,SP_0300,278.6091629,0.415022235,0.119524254,-3.472284673,0.000516049,0.019754348,224.3330725,210.255772,252.8433309,323.9527529,337.7339436,322.5361053
51,SP_0237,21427.47418,-0.30412108,0.088536812,3.434967575,0.000592625,0.022240858,24200.40016,22815.34062,24732.47503,17884.83364,20584.2857,18347.50994
52,SP_0622,1566.313182,0.321659982,0.094947043,-3.387783041,0.0007046,0.025934691,1318.426772,1389.966729,1402.730827,1845.696479,1610.44796,1830.610327
53,SP_1410,1333.552156,0.398759275,0.118009382,-3.379047225,0.000727375,0.026267849,1017.644999,1136.209763,1170.774554,1944.411695,1352.776287,1379.49564
54,SP_0218,20554.91642,-0.331775575,0.098514565,3.367781978,0.000757755,0.026858203,22324.27385,24030.26683,23348.43263,16689.82337,16292.21182,20644.49004
55,SP_2107,3203.123771,0.349641262,0.104381676,-3.349642144,0.00080916,0.028158777,2844.894271,3083.406075,2332.754557,3386.905176,3700.349284,3870.433264
56,SP_RS01935,191.1725009,0.445883136,0.134420283,-3.317082252,0.000909628,0.031089797,139.1115701,132.5750681,181.3876069,265.5578361,218.1006666,210.3022579
57,SP_1660,1246.829392,0.317508465,0.096084629,-3.304466776,0.000951573,0.031952804,1057.749236,1039.88569,1178.469786,1339.607199,1411.672669,1453.591772
58,SP_0617,1411.08761,0.33970857,0.103149932,-3.29334749,0.00099002,0.032670671,1304.640941,1261.534632,1094.921554,1774.788365,1543.269274,1487.370891
59,SP_0822,793.4982525,-0.386511535,0.118471459,3.262486507,0.001104394,0.0358273,893.5725177,1040.921433,835.4823106,594.3768321,593.5651053,803.0713163
60,SP_1177,7526.233699,-0.363266758,0.111834319,3.248258338,0.001161138,0.037040301,7552.129021,9229.50337,9181.510866,5783.182299,5708.347827,7702.728812
61,SP_0777,1048.24577,0.355170656,0.110252081,-3.221441738,0.001275474,0.040020608,879.7866864,819.2724908,987.1883092,1252.710002,1023.324647,1327.192487
62,SP_2173,3208.905545,0.272211165,0.084710303,-3.213436342,0.001311569,0.040489394,2852.413815,2851.399706,2931.883319,3667.061742,3487.770154,3462.904536
63,SP_0284,12597.78716,-0.267367881,0.083709538,3.193995424,0.001403183,0.042630049,14492.66844,13629.33844,13486.4434,11143.00145,10989.69688,11845.57433
64,SP_0961,14270.53997,-0.266642475,0.083694448,3.185903972,0.001443025,0.043155462,15471.46246,15323.81353,16328.18258,13343.93367,12945.24083,12210.60674
65,SP_1018,938.4774058,-0.345580612,0.108908699,3.173122201,0.00150809,0.04373462,1124.171877,1084.422627,1002.578773,690.3113383,911.0534175,818.3264023
66,SP_2070,7524.72151,0.260957397,0.082188494,-3.175108656,0.001497804,0.04373462,6796.414816,6841.08066,6720.136007,8445.712436,7913.281148,8431.703996
67,SP_RS03990,371.3791527,0.419416555,0.132928439,-3.155205586,0.00160385,0.04515274,251.904735,317.9730148,326.4976924,554.0565323,438.9621011,338.8808404
68,SP_0985,661.6307003,0.314108977,0.099554467,-3.155146997,0.001604173,0.04515274,575.2451411,571.729981,591.4335304,731.3268156,736.2047818,763.8439521
69,SP_0416,8664.056808,-0.335953345,0.106676876,3.149261197,0.001636838,0.04540447,9836.817239,11456.35022,8231.699398,7058.137984,8008.067514,7393.268495
70,SP_0045,1066.064482,-0.321169057,0.102194709,3.142717084,0.001673875,0.045768536,1282.082308,1266.713346,1058.644033,909.987454,974.5510799,904.4086737
71,SP_1703,331.4099618,0.417076262,0.132909654,-3.138043402,0.001700797,0.045849652,234.3591316,211.2915147,353.9806632,373.3103612,417.7962137,397.7218866
72,SP_0198,2614.446625,0.294655072,0.094048602,-3.133008541,0.001730244,0.045995655,2239.570952,2552.07006,2153.565588,2801.565653,3000.034486,2939.873014
73,SP_0944,3008.932854,-0.291555355,0.094059157,3.099701973,0.001937155,0.050790599,3628.180138,3420.022459,3001.140405,2715.363633,2688.987965,2599.902525
74,SP_1903,2318.389137,0.311483459,0.100939672,-3.085837823,0.002029795,0.052500373,2021.504167,1936.838885,2139.274443,2695.898661,2860.155577,2256.663088
75,SP_1485,366.1295493,0.369874242,0.121828126,-3.036033248,0.002397129,0.059512173,274.463368,283.793505,363.8745327,463.6834468,389.2682784,421.6941647
76,SP_1626,13093.25188,-0.375348155,0.12339764,3.041777418,0.002351857,0.059512173,13683.06416,19707.07672,12348.64842,9530.88464,10893.99026,12395.84707
77,SP_1705,266.9149478,0.398286262,0.131206447,-3.035569285,0.002400821,0.059512173,219.3200429,172.9690341,261.6378815,312.134734,354.2985512,281.1294431
78,SP_1949,130.0950005,0.415274741,0.136940764,-3.032513687,0.002425261,0.059512173,114.0464223,98.39555832,98.93869468,153.6342455,144.4801884,171.0748937
79,SP_0987,1304.42836,0.291342167,0.096623496,-3.015231065,0.002567835,0.062213128,1072.788324,1256.355918,1137.794989,1490.460734,1473.32982,1395.840375
80,SP_1489,166389.7106,-0.363319859,0.121384833,2.993124022,0.002761375,0.066065899,206855.1449,223922.3972,146977.8282,115741.5059,149235.1511,155606.2364
81,SP_1144,115.4273192,-0.412313396,0.139518507,2.955259512,0.003124061,0.072920167,127.8322536,147.0754661,141.812129,80.64059944,93.86610968,101.3373574
82,SP_2190,5027.576574,-0.306720127,0.103675297,2.958468746,0.003091716,0.072920167,5665.976651,5613.725538,5652.697423,3647.596769,4665.697805,4919.765255
83,SP_1692,369.5184017,0.347289386,0.118265134,-2.936532293,0.003319043,0.076537923,337.1262374,302.436874,306.7099535,472.0255777,431.6000533,367.2117145
84,SP_0718,66.6336748,-0.438092103,0.149711903,2.92623428,0.003430925,0.076690266,63.91612679,72.50199034,119.8257524,44.49136521,47.85331082,51.21350321
85,SP_1021,1261.28308,0.29292615,0.100096185,-2.926446695,0.003428583,0.076690266,1066.522037,1123.78085,1156.483409,1562.759203,1364.739614,1293.413368
86,SP_1215,741.4541467,0.334992167,0.114531802,-2.924883399,0.003445853,0.076690266,567.7255968,588.3018645,755.2320361,827.9564994,782.2175806,927.2913028
87,SP_0344,232.0533565,0.369782506,0.127170587,-2.907767549,0.003640188,0.080084138,186.7353508,195.7553739,198.9767082,298.92636,285.2793529,226.6469929
88,SP_1728,342.9127077,0.379324812,0.130845195,-2.899035091,0.00374313,0.081413077,310.8078322,282.7577623,257.2406062,490.7953724,408.5936539,307.2810193
89,SP_0426,8316.869764,-0.262016113,0.091022109,2.878598563,0.003994464,0.085903425,8939.484949,8537.627234,9991.708844,7862.458445,7433.827784,7136.11133
90,SP_0417,30089.17625,-0.251698999,0.08819468,2.853902303,0.004318581,0.091841822,33876.80046,34906.60112,30166.40801,28347.95141,26429.75167,26807.54481
91,SP_0279,563.6081775,-0.324246669,0.114136541,2.840866447,0.004499115,0.092998135,666.7329305,688.7689082,562.8512409,443.5232969,468.4102924,551.3623962
92,SP_0516,562.016057,-0.296520817,0.104174282,2.846391765,0.004421776,0.092998135,591.5374872,651.4821703,643.1015154,501.9182137,473.0115723,511.0453831
93,SP_1782,446.9758591,-0.337420158,0.118831689,2.839479618,0.004518718,0.092998135,553.9397655,559.3010683,421.0391118,383.7380249,355.2188072,408.6183767
94,SP_RS07630,335.8846534,0.352693014,0.124898919,-2.823827588,0.00474539,0.096624226,243.1319333,263.0786507,344.0867937,421.9727919,361.6605991,381.3771516
95,SP_2042,276.9274945,-0.339630839,0.120743927,2.812819233,0.004910925,0.098942215,314.5676044,316.9372721,322.1004171,262.7771258,209.8183628,235.364185
96,SP_0210,32530.96355,-0.316515318,0.113185014,2.796441923,0.00516687,0.099892813,39521.47173,40725.40372,30203.78485,26122.68797,25560.10977,33052.32325
97,SP_0402,2608.885448,0.262750587,0.093910243,-2.797890614,0.005143753,0.099892813,2341.084801,2479.56807,2206.332891,2654.883183,3077.335988,2894.107756
98,SP_0673,775.0264738,0.276725704,0.098927054,-2.797270253,0.005153641,0.099892813,670.4927026,727.0913888,673.8824427,873.1430422,880.6849702,824.8642964
99,SP_1972,2252.345752,0.270708061,0.09664433,-2.801075468,0.005093261,0.099892813,2075.394235,2142.951686,1821.571301,2307.294393,2594.2016,2572.661299
100,SP_0816,402.4548925,0.323195273,0.117252696,-2.756399511,0.005844157,0.111857159,299.5285157,353.1882672,388.0595469,435.8763435,497.8584837,440.2181978
101,SP_1588,3250.864974,0.23074011,0.084698246,-2.724260775,0.00644456,0.122127601,2910.063655,3003.653886,2986.849261,3612.142713,3586.237543,3406.242788
102,SP_0592,1431.675658,-0.293010239,0.107856445,2.716668802,0.006594256,0.123739272,1708.18982,1770.084307,1330.175784,1332.655423,1228.54173,1220.406885
103,SP_1298,611.4386205,-0.283691593,0.104629765,2.711385172,0.006700274,0.124508011,715.6099686,633.8745441,693.6701816,507.4796344,562.2764021,555.7209923
104,SP_0277,147.6049637,0.364958579,0.135511483,-2.69319301,0.007077129,0.129348429,102.7671058,134.6465535,127.5209843,184.9172366,176.6891476,159.0887546
105,SP_1154,5688.885613,-0.249683337,0.092848544,2.689146511,0.007163497,0.129348429,5729.892778,6096.381645,6888.331787,4941.322248,5147.911937,5329.473281
106,SP_1550,3079.99671,0.289446951,0.107584254,-2.690421142,0.00713619,0.129348429,2681.97081,2599.714225,2872.520102,4102.242908,3010.157302,3213.374914
107,SP_0472,311.9551166,0.355341108,0.132471943,-2.682387684,0.007309869,0.130757849,230.5993594,216.4702283,333.0936054,392.7753335,311.9667763,386.8253966
108,SP_RS05040,478.7206266,0.29188363,0.10924913,-2.671724987,0.007546247,0.133736259,412.3216807,409.1183741,444.1248072,574.2166822,541.1105146,491.431701
109,SP_1017,223.8598361,-0.332806323,0.124740261,2.667994441,0.007630552,0.133989694,249.3982202,271.3645924,248.4460555,172.4040402,192.3334992,209.2126089
110,SP_1664,4936.739424,-0.225818284,0.084934436,2.658736495,0.007843428,0.136475649,5201.018161,5299.895494,5575.745105,4381.704295,4455.879442,4706.19405
