,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.120MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.120MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.120MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.120MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.120MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.120MINNDC.C
1,SPT_2255,3722.829369,-3.256680521,0.085173379,38.23589648,0,0,712.4049013,629.0253453,677.3516852,7106.998975,6856.721388,6354.473918
2,SPT_2256,8423.789177,-3.132897516,0.074332234,42.14722692,0,0,1706.284466,1576.234717,1715.508601,15236.59573,15723.73519,14584.37636
3,SPT_0080,13554.84711,-1.894290453,0.070414482,26.90200095,2.08E-159,1.41E-156,5609.565866,5369.967345,5979.745346,21317.65874,21332.72524,21719.42011
4,SPT_1413,5662.588913,-2.178075692,0.090611875,24.03742,1.13E-127,5.73E-125,1866.949208,1961.318975,2116.724016,8421.131711,10206.50559,9402.903974
5,SPT_1415,2681.962429,-2.106201624,0.088272732,23.86016139,7.94E-126,3.22E-123,919.1517782,1026.347451,993.8981404,4057.009278,4735.683592,4359.684336
6,SPT_2021,36486.22765,1.419268293,0.063042717,-22.51280333,3.11E-112,1.05E-109,53097.82894,53788.6018,52993.1479,19947.88956,19049.26088,20040.6368
7,SPT_0465,1131.944985,-1.991920263,0.094201586,21.14529429,3.05E-99,8.83E-97,443.3848686,410.3758089,468.5657254,1864.933503,1711.807232,1892.602772
8,SPT_1322,1431.751653,2.348175628,0.113424764,-20.70249508,3.29E-95,8.33E-93,2675.254769,2500.600108,2084.973156,453.9933586,484.1155387,391.5729874
9,SPT_1414,2250.350848,-2.245282405,0.111271241,20.17846105,1.51E-90,3.41E-88,685.0047128,719.5854144,822.6359246,3298.128223,3628.229745,4348.521071
10,SPT_0081,9654.113128,-1.649825486,0.088587758,18.62362851,2.07E-77,4.19E-75,4528.503883,4158.420473,5004.128004,13872.3902,14554.05298,15807.18323
11,SPT_0048,580.0296323,-2.397078404,0.133409232,17.96785995,3.48E-72,6.41E-70,169.3829835,162.3554393,177.0350996,800.0520217,1097.961385,1073.390865
12,SPT_1079,19716.40393,1.319949559,0.079747379,-16.55163555,1.56E-61,2.63E-59,29664.44045,29640.88174,25613.32275,11327.57939,11263.33298,10788.86626
13,SPT_2002,572.7418715,-2.186323708,0.136219756,16.04997522,5.72E-58,8.92E-56,176.8557622,167.2505782,226.1046108,800.0520217,1035.733026,1030.45523
14,SPT_2048,1709.439037,-1.334603458,0.083497377,15.98377705,1.66E-57,2.40E-55,1032.488922,907.2324046,932.3207145,2464.694337,2515.502309,2404.395537
15,SPT_1857,2890.094294,-1.53583037,0.09812873,15.65117946,3.26E-55,4.41E-53,1447.228139,1376.34988,1513.457672,3739.881565,4555.326822,4708.321688
16,SPT_1156,970.6709076,-1.676459462,0.111382736,15.05134026,3.38E-51,4.29E-49,454.5940367,470.7491884,411.7990359,1284.089058,1648.524155,1554.269972
17,SPT_0058,154.6867426,-2.568663182,0.171785028,14.95277677,1.49E-50,1.78E-48,37.36389342,37.52939803,36.56159665,255.9276286,291.102154,269.6357852
18,SPT_1655,5426.158824,-1.202920748,0.08168388,14.72653776,4.35E-49,4.90E-47,3202.085666,3023.564111,3511.837573,7404.09757,7410.448311,8004.919712
19,SPT_0330,3250.139877,1.088939764,0.075063579,-14.50689913,1.10E-47,1.17E-45,4624.404543,4304.458783,4394.126629,2157.581182,2013.456565,2006.81156
20,SPT_2115,3442.465428,1.218750074,0.092859834,-13.12462043,2.38E-39,2.41E-37,4970.643288,5291.645123,4287.32828,2038.519199,2133.694411,1932.962269
21,SPT_2047,1376.165859,-1.33545521,0.102534918,13.02439439,8.89E-39,8.58E-37,748.5233316,714.6902756,827.446661,1887.188079,1840.482821,2238.663987
22,SPT_1657,366.8666609,-1.60983259,0.126286885,12.74742493,3.22E-37,2.97E-35,193.0467827,181.1201383,145.2842393,580.8444441,531.5778464,569.3265146
23,SPT_2226,193.8372959,-1.877338498,0.147736938,12.7073061,5.39E-37,4.75E-35,69.74593439,75.87465254,82.7446661,304.8876967,320.6342565,309.136569
24,SPT_0745,783.898346,1.303982419,0.105729844,-12.33315377,6.00E-35,5.07E-33,1125.898655,1026.347451,1229.624224,430.6260534,413.4494361,477.4442566
25,SPT_2042,906.1540383,-1.162255736,0.096895162,11.99498208,3.77E-33,3.06E-31,499.4307088,540.9128456,608.0770811,1239.579906,1258.278513,1290.645176
26,SPT_1656,3307.778667,-1.061259648,0.089515233,11.85563187,2.01E-32,1.57E-30,2007.68654,2089.408443,2248.538194,4039.205617,4674.509951,4787.323256
27,SPT_0276,25564.2899,-0.850895091,0.072211149,11.78343091,4.75E-32,3.57E-30,18264.71657,17199.88629,18899.45902,34107.3638,31397.89863,33516.41507
28,SPT_1222,7354.028148,0.92422985,0.079571133,-11.61514008,3.45E-31,2.50E-29,9164.117594,10329.55888,9530.06881,5153.047166,5235.6199,4711.756539
29,SPT_2050,1399.126222,1.041145199,0.090086244,-11.55720513,6.79E-31,4.74E-29,1814.639757,1896.866314,1974.326219,818.9684117,937.6442568,952.312375
30,SPT_1247,339.1109194,-1.458227559,0.12715249,11.46833665,1.90E-30,1.29E-28,169.3829835,184.3835642,165.4893322,512.9679861,551.6174874,450.8241631
31,SPT_2261,3164.788834,1.204972961,0.105362492,-11.43645089,2.75E-30,1.80E-28,4630.631858,4558.190148,4175.719196,2104.170199,1955.447078,1564.574524
32,SPT_2260,6250.525925,1.192892622,0.105742115,-11.28114959,1.63E-29,1.03E-27,9165.363057,9410.904485,7755.869226,4111.532991,3867.65072,3191.835075
33,SPT_2043,1378.565197,-1.217082214,0.108146754,11.25398744,2.21E-29,1.36E-27,774.678057,751.4038171,905.3805907,1810.40979,1818.333744,2211.185181
34,SPT_1731,1733.310463,-1.173269344,0.104455613,11.23222877,2.83E-29,1.69E-27,1169.489864,902.3372657,1061.24845,2592.658151,2440.617334,2233.511711
35,SPT_0642,2132.907844,0.94352801,0.084652018,-11.14596008,7.49E-29,4.34E-27,2772.400892,2921.582051,2767.135578,1434.307449,1564.146719,1337.874374
36,SPT_0266,13107.17586,-0.765235289,0.07031738,10.88259099,1.40E-27,7.86E-26,10025.97807,9561.022077,9390.557455,17099.30378,16821.69657,15744.4972
37,SPT_0259,52900.01568,-0.698631029,0.064216931,10.8792341,1.45E-27,7.93E-26,40902.25413,40685.94675,38942.91117,66286.36855,66746.7707,63835.84278
38,SPT_0920,11468.41044,-0.655970978,0.062604059,10.47809016,1.09E-25,5.81E-24,9017.152946,8759.035158,8847.906389,14112.73963,13971.84867,14101.77982
39,SPT_0268,18492.72546,-0.722635208,0.069172704,10.44682611,1.52E-25,7.87E-24,13290.33689,14030.28387,14343.69165,22741.95163,24038.07678,22512.01192
40,SPT_1248,182.3941949,-1.648194635,0.158067857,10.42713343,1.86E-25,9.45E-24,69.74593439,79.13807846,94.29043346,250.3639845,294.2663078,306.5604309
