,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.10MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.10MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.10MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.10MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.10MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.10MINNDC.C
1,SPT_0141,3218.12152,-0.847215806,0.055382576,15.29751522,7.94E-53,1.68E-49,2287.805533,2260.991694,2235.70374,4185.462411,4144.17518,4194.590564
2,SPT_0579,11973.64483,-0.445903182,0.055065469,8.097691515,5.60E-16,5.92E-13,10183.99197,9686.293962,10311.52335,14349.83777,13686.53221,13623.68969
3,SPT_0703,152.2289681,-0.964599952,0.120867503,7.980639379,1.46E-15,1.03E-12,100.5944644,84.30544314,78.11760115,222.2270597,213.16193,214.9673104
4,SPT_1056,5619.838841,0.450306033,0.059153506,-7.612499435,2.69E-14,1.42E-11,6530.975845,6721.954,6346.229908,4552.862926,4939.211568,4627.798798
5,SPT_0328,7220.032126,-0.421056072,0.058139549,7.242162741,4.42E-13,1.56E-10,6045.248288,6401.593316,5921.534217,8253.669338,8097.272774,8600.874824
6,SPT_2234,17936.39513,-0.386018191,0.05322777,7.252195432,4.10E-13,1.56E-10,14972.28847,15543.51499,15854.57229,20108.7571,20090.992,21048.24594
7,SPT_2147,12450.60662,-0.461789553,0.065368141,7.064443682,1.61E-12,4.87E-10,10397.63545,10023.51573,10636.09648,15577.11184,13465.68877,14603.59144
8,SPT_0568,879.6584201,0.5906829,0.08624101,-6.849211328,7.43E-12,1.96E-09,1144.860809,991.5925931,1099.147656,743.7347827,671.1720229,627.4426571
9,SPT_1477,25438.26929,-0.472765658,0.073541079,6.42859286,1.29E-10,3.01E-08,20961.01225,19460.90791,22494.56839,29620.96863,27665.92203,32426.23652
10,SPT_2146,2121.739882,0.652252259,0.101705951,-6.413117941,1.43E-10,3.01E-08,2829.099556,2990.03305,2220.300269,1677.311777,1688.972229,1324.72241
11,SPT_2056,359.3944398,-0.625802152,0.098051566,6.382377933,1.74E-10,3.07E-08,253.8812673,265.7628731,290.4654465,483.5392806,434.9655599,427.7522115
12,SPT_2058,6829.774056,-0.520329826,0.081451307,6.388231774,1.68E-10,3.07E-08,5512.576648,5862.03848,5079.844571,8401.076231,8928.796339,7194.312067
13,SPT_0271,19080.97471,-0.328507714,0.052089241,6.306632711,2.85E-10,4.64E-08,17399.96821,16309.49016,16799.68524,21046.80097,21282.58639,21647.31727
14,SPT_1449,8048.898216,-0.342701469,0.054618964,6.274404446,3.51E-10,4.98E-08,7304.116157,6766.916903,7103.200465,9037.606,9050.740326,9030.809444
15,SPT_1660,18246.73592,-0.390307625,0.062217561,6.273271033,3.54E-10,4.98E-08,16357.61795,15589.2808,15021.68463,22169.10346,20322.39752,20020.33118
16,SPT_2124,516.3522694,-0.724836276,0.116960143,6.197292998,5.74E-10,7.59E-08,315.1959884,343.6450444,400.4902369,555.0092898,633.7246568,850.0483998
17,SPT_0532,8413.393396,0.325765656,0.053086907,-6.136459537,8.44E-10,1.02E-07,9452.047482,9153.965307,9584.259488,7508.817836,7238.863921,7542.406341
18,SPT_1000,2851.680289,0.348061848,0.056758606,-6.132318486,8.66E-10,1.02E-07,3231.477413,3242.949379,3153.310491,2504.800477,2459.043706,2518.500266
19,SPT_2168,3283.205666,-0.572352913,0.093629767,6.112937469,9.78E-10,1.09E-07,2397.02238,2338.070956,2903.554217,3866.080807,3593.986955,4600.518683
20,SPT_1057,20587.64382,0.298014338,0.049252294,-6.050770656,1.44E-09,1.47E-07,22791.8315,22848.38091,22693.71326,17911.05432,18730.40436,18550.47856
21,SPT_1128,1365.552938,-0.467127528,0.077233736,6.048231658,1.46E-09,1.47E-07,1173.602085,1049.40204,1157.460795,1721.980533,1587.192209,1503.679968
22,SPT_0065,2967.669584,-0.415080207,0.070577879,5.881165807,4.07E-09,3.91E-07,2532.106375,2301.940052,2705.509595,3454.011536,3318.412748,3494.037197
23,SPT_0401,8737.154215,-0.394464456,0.067428084,5.850150788,4.91E-09,4.51E-07,7474.647725,7024.650686,7916.283666,9325.719475,10292.26454,10389.3592
24,SPT_1544,1364.503403,0.413638815,0.070843918,-5.838734289,5.26E-09,4.63E-07,1599.931005,1559.249244,1560.151527,1238.441252,1128.221927,1101.025463
25,SPT_0406,5398.218282,0.323786932,0.055714786,-5.811508098,6.19E-09,5.23E-07,6204.283346,6053.130817,5825.812649,4784.023737,4852.794569,4669.264574
26,SPT_0813,694.2440013,0.469537359,0.081350162,-5.771806103,7.84E-09,6.37E-07,811.4620127,855.9009751,785.5770031,584.043981,590.5161575,537.9638782
27,SPT_1601,4646.07931,-0.349540287,0.06068888,5.759544181,8.43E-09,6.60E-07,4295.862651,3973.596553,3899.27857,5328.982557,5259.914652,5118.840878
28,SPT_0688,88920.51336,0.325583395,0.057369712,-5.675179195,1.39E-08,1.05E-06,98509.76387,102544.3236,97082.57426,74520.88516,82186.40648,78679.1268
29,SPT_0888,3422.174165,-0.375818363,0.066773764,5.628233905,1.82E-08,1.33E-06,3003.463294,2856.750159,2989.373554,4009.020826,3598.7879,4075.64926
30,SPT_1241,7604.936497,-0.37043278,0.066245199,5.591843432,2.25E-08,1.58E-06,6827.969026,6175.975892,6711.512211,9197.296802,8200.012984,8516.852068
31,SPT_0170,2581.707799,0.483621521,0.086834293,-5.569476127,2.56E-08,1.66E-06,3133.757076,3292.729736,2760.52199,2250.188569,2220.916865,1832.132559
32,SPT_0935,864.7128259,-0.436288838,0.0782532,5.575348181,2.47E-08,1.66E-06,742.4829514,691.3046338,736.0658475,961.4949668,1071.570783,985.3577729
33,SPT_1417,2318.964759,-0.449235662,0.080696992,5.566944335,2.59E-08,1.66E-06,1857.644442,1746.327036,2171.889362,2754.945509,2590.589582,2792.392625
34,SPT_0863,2849.098344,-0.321930999,0.058107934,5.540224478,3.02E-08,1.88E-06,2575.218288,2486.609118,2489.861006,3264.169324,3151.339884,3127.392444
35,SPT_1343,642.2485288,0.690854198,0.124815627,-5.5349976,3.11E-08,1.88E-06,607.3989564,912.9075129,1029.832038,346.1828568,470.4925482,486.677261
36,SPT_RS03570,140.6898285,-0.678214838,0.125098496,5.421446785,5.91E-08,3.47E-06,114.9651022,90.728715,81.41834486,198.7759629,181.4756972,176.7751486
37,SPT_1419,431.0947997,-0.616748655,0.114486624,5.387080465,7.16E-08,4.09E-06,382.2589647,274.5948719,290.4654465,624.2458611,470.4925482,544.5111059
38,SPT_1065,3177.487275,-0.481500934,0.090609054,5.314048779,1.07E-07,5.96E-06,2382.651742,2407.924038,2953.065373,3524.364826,3548.858078,4248.05959
39,SPT_0494,1309.501312,-0.420594124,0.079404236,5.296872601,1.18E-07,6.38E-06,1073.00762,1197.137293,1032.032534,1564.523169,1580.470887,1409.83637
40,SPT_1885,465.6304529,-0.534765092,0.101082312,5.290392367,1.22E-07,6.45E-06,360.2239868,382.9875846,350.9790812,509.2238152,656.7691898,533.5990597
41,SPT_2046,549.8583384,0.471664165,0.089962009,-5.242926107,1.58E-07,8.15E-06,682.1262728,659.1882745,610.6375865,484.6559995,452.2489596,410.2929375
42,SPT_0712,4420.553708,0.347373301,0.066615295,-5.214617767,1.84E-07,9.27E-06,4935.835053,5230.95202,4787.178628,3794.610798,4119.210269,3655.535481
43,SPT_1286,1037.645829,0.363231608,0.070076186,-5.183381504,2.18E-07,1.07E-05,1192.762935,1164.218024,1173.964513,898.9587088,872.8116864,923.1591095
44,SPT_0933,28112.85,-0.437563544,0.084490861,5.178826877,2.23E-07,1.07E-05,21479.31325,22980.86089,25738.09921,29211.1328,32531.19905,36736.49477
45,SPT_0495,7482.728151,-0.343230148,0.067224285,5.105746324,3.29E-07,1.55E-05,6867.248769,6236.194065,6510.166845,9086.741632,8114.556174,8081.461424
46,SPT_1613,1457.484877,0.360522611,0.070840644,-5.089205747,3.60E-07,1.65E-05,1635.378578,1709.393223,1610.762931,1340.062672,1258.807614,1190.504242
47,SPT_0460,5807.732776,0.301279669,0.059288102,-5.081621036,3.74E-07,1.68E-05,6678.514393,6554.146022,6093.17289,5047.569396,5233.029363,5239.964591
48,SPT_1659,4149.21468,-0.351802466,0.069450749,5.065495626,4.07E-07,1.79E-05,3472.904128,3741.555857,3614.314363,4914.679848,4871.038158,4280.795729
49,SPT_RS07625,167.2891719,-0.595500224,0.118340631,5.032085922,4.85E-07,2.09E-05,127.4196549,116.4218024,125.428261,195.4258063,237.1666519,201.8728549
50,SPT_1206,1027.302981,0.373667725,0.07441354,-5.021501823,5.13E-07,2.17E-05,1197.553147,1209.180927,1103.548647,913.4760544,850.7273423,889.3317662
