,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.30MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.30MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.30MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.30MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.30MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.30MINNDC.C
1,SPT_2260,1913.993496,0.86794408,0.079589753,-10.90522389,1.09E-27,2.03E-24,2537.73925,2681.958083,2398.630848,1210.739351,1328.808998,1326.084443
2,SPT_1079,7904.566574,0.491098341,0.076950824,-6.381976388,1.75E-10,1.09E-07,9995.428078,9599.62234,8573.845417,6441.564312,6552.94748,6263.991814
3,SPT_1654,1156.892171,-0.528360951,0.082480906,6.405857777,1.50E-10,1.09E-07,937.7932059,941.0181997,879.2723302,1311.746527,1497.643048,1373.879713
4,SPT_1229,1160.773564,-0.578878406,0.096375483,6.006490351,1.90E-09,8.83E-07,1007.08827,824.6557342,822.8605041,1443.729237,1548.657653,1317.649984
5,SPT_0952,4653.609699,-0.421507069,0.070761369,5.956739853,2.57E-09,9.58E-07,3818.927998,4029.963843,3893.168162,5700.845021,5334.670127,5144.083044
6,SPT_1653,862.6501868,-0.512636398,0.086687768,5.91359557,3.35E-09,1.04E-06,749.9265867,653.7659297,664.1552332,1016.805573,1093.170108,998.0776903
7,SPT_0809,2640.305125,-0.440450752,0.078363869,5.620584586,1.90E-08,5.06E-06,2140.447547,2226.064559,2208.334954,2954.796592,3365.749299,2946.437801
8,SPT_0757,7467.199341,0.455832111,0.08338792,-5.466404608,4.59E-08,1.07E-05,9414.889427,8598.455426,8391.823258,6605.869319,6210.420846,5581.737769
9,SPT_2261,989.5808001,0.623914452,0.116946005,-5.335064277,9.55E-08,1.98E-05,1364.342825,1310.904684,1199.691503,900.9840111,604.8874597,556.6743174
10,SPT_1330,2420.317935,-0.405642336,0.076620097,5.294202834,1.20E-07,2.23E-05,1983.378734,2108.01568,2036.843003,2976.34479,2611.461924,2805.863479
