,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.45MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.45MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.45MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.45MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.45MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.45MINNDC.C
1,SPT_2260,2182.174001,1.860836813,0.074876081,-24.85221952,2.45E-136,4.86E-133,3329.894375,3470.324417,3613.761876,926.4570577,892.5132562,860.0930262
2,SPT_2261,1130.045802,1.590598333,0.108675189,-14.63626016,1.65E-48,1.64E-45,1627.457037,1780.257738,1841.371459,436.6241877,480.0140483,614.5503397
3,SPT_1079,9350.165092,1.182922433,0.08469338,-13.96711806,2.47E-44,1.64E-41,13204.22319,13264.58584,13131.73774,5247.315058,6241.005979,5012.122748
4,SPT_1222,4039.58653,0.840812951,0.076914724,-10.93175546,8.13E-28,4.04E-25,5379.355924,5142.515392,5212.995804,3055.586833,2852.913683,2594.151547
5,SPT_0952,7159.546032,-0.789822744,0.072446538,10.90214617,1.13E-27,4.47E-25,5138.073162,4871.942217,5480.473309,8845.160963,9618.394703,9003.231839
6,SPT_RS06055,2527.652548,0.891464131,0.090287562,-9.87360956,5.42E-23,1.79E-20,3672.112157,2994.993164,3350.5077,1775.448534,1583.305343,1789.548393
7,SPT_0259,54031.86577,-0.580441699,0.062659787,9.26338453,1.98E-20,5.62E-18,42693.59089,41265.25307,44888.35652,66511.63544,65118.88693,63713.47179
8,SPT_0277,2819.690301,-0.632051118,0.071102847,8.889251909,6.15E-19,1.53E-16,2081.183984,2197.086683,2277.782125,3336.497377,3477.014281,3548.577357
9,SPT_0257,32848.86974,-0.553048281,0.0642296,8.61048921,7.27E-18,1.45E-15,25603.85008,25965.27443,27659.98962,40710.11937,38313.84858,38840.13637
10,SPT_1322,466.4270624,0.909783046,0.105661531,-8.610352694,7.28E-18,1.45E-15,685.3968502,596.3985302,587.0427356,312.2097686,287.3497476,330.1647423
11,SPT_0951,2804.365229,-0.692747711,0.081671708,8.482101421,2.21E-17,4.00E-15,2057.151836,1928.951104,2334.093179,3517.250401,3472.074171,3516.67068
12,SPT_1080,1317.421763,0.650720087,0.078464788,-8.29314787,1.10E-16,1.83E-14,1547.670307,1640.502224,1692.147166,1019.572252,1034.953102,969.6855247
13,SPT_1330,2722.846717,-0.640344094,0.077329615,8.280709712,1.22E-16,1.87E-14,2080.222698,2089.832452,2121.518951,3108.795515,3612.867314,3323.843372
14,SPT_0642,1411.364745,0.760129861,0.094044663,-8.082647539,6.34E-16,8.99E-14,1913.920237,1927.32604,1571.0784,1026.614577,1067.887171,961.3620438
15,SPT_1400,1871.926825,0.587473832,0.075225025,-7.809553135,5.74E-15,7.60E-13,2199.42215,2363.655755,2235.548835,1413.942486,1542.961109,1476.030613
16,SPT_0809,2644.757995,-0.664025058,0.087127774,7.621278785,2.51E-14,3.12E-12,1916.804094,1864.761072,2238.364388,3083.756135,3292.583498,3472.278782
17,SPT_0280,25829.51836,-0.514139121,0.068289385,7.528829307,5.12E-14,5.65E-12,20345.61618,20915.38769,22016.21425,31473.7181,31464.38569,28761.78825
18,SPT_2021,8135.304462,0.79339119,0.105374236,-7.529271111,5.10E-14,5.65E-12,10696.22826,9104.421704,11856.29237,6625.263435,5294.15151,5235.469485
19,SPT_1331,599.9184201,-0.652041818,0.090157346,7.232265005,4.75E-13,4.97E-11,451.8043753,446.8926316,473.0128517,728.48946,764.070389,735.2408127
20,SPT_0757,8777.814332,0.420833787,0.058506073,-7.192993226,6.34E-13,6.30E-11,10161.7533,9959.205428,10137.39746,7382.704678,7465.329976,7560.49515
21,SPT_1379,987.3283549,0.600995684,0.085064056,-7.065213078,1.60E-12,1.52E-10,1245.826533,1170.858695,1195.202116,740.2266694,828.2918226,743.5642936
22,SPT_0779,4940.694428,-0.529066884,0.077109006,6.861285232,6.82E-12,5.90E-10,4073.929665,3817.275606,4105.07582,5638.55537,6404.85297,5604.477139
23,SPT_0920,7476.917549,-0.492875023,0.071792461,6.865275514,6.64E-12,5.90E-10,6002.26919,5864.856391,6603.878832,8728.57135,9135.9106,8526.018934
24,SPT_0950,2466.112153,-0.503889146,0.074290651,6.782672352,1.18E-11,9.41E-10,2009.087541,1909.450335,2144.043373,2884.223576,3010.17386,2839.694233
25,SPT_1937,69785.86996,-0.39352666,0.058024366,6.782093277,1.18E-11,9.41E-10,59624.71954,61052.03373,59481.36611,77933.50509,81854.33383,78769.26149
26,SPT_0959,2401.437606,0.529094512,0.078798702,-6.714507949,1.89E-11,1.44E-09,2905.006005,2982.805183,2695.8917,1891.255666,2083.079832,1850.587253
27,SPT_1332,2819.89742,-0.428896426,0.068359629,6.274118654,3.52E-10,2.59E-08,2336.886035,2367.718415,2457.977497,3158.091795,3365.038448,3233.672329
28,SPT_1333,3708.526228,-0.50629998,0.081148651,6.239166956,4.40E-10,3.12E-08,2938.651011,3211.939223,2928.174796,4341.984977,4771.323173,4059.084185
29,SPT_RS00290,310.5019975,-0.710198588,0.115957124,6.124665424,9.09E-10,6.23E-08,235.5150467,238.0718928,198.4964646,406.1074434,363.0981051,421.7230322
30,SPT_0961,5837.882939,0.402521945,0.066112705,-6.088420446,1.14E-09,7.55E-08,6586.73102,6956.899476,6485.625619,4821.645599,5068.553141,5107.842778
31,SPT_0958,6811.508186,0.368714439,0.061181784,-6.026539484,1.68E-09,1.07E-07,7638.3778,7846.622079,7627.332234,5768.447153,5945.422715,6042.847133
32,SPT_1426,359186.8259,-0.461133165,0.077180204,5.974759605,2.30E-09,1.43E-07,300013.4858,274017.4985,323652.0049,440093.7067,400784.5597,416559.6996
33,SPT_0329,8926.346201,-0.412789535,0.069537759,5.936192642,2.92E-09,1.76E-07,7279.818158,7377.791082,8160.879469,10467.24329,10212.03129,10060.31391
34,SPT_0282,34612.60579,-0.407623828,0.069366915,5.87634358,4.19E-09,2.45E-07,28652.08768,29368.97122,30633.21326,40351.74325,41646.77631,37022.84304
35,SPT_0814,1342.46816,-0.60450963,0.103105122,5.863041698,4.54E-09,2.58E-07,972.8213358,982.3512575,1154.376602,1480.453339,1572.601771,1892.204658
36,SPT_2190,2203.526893,0.39806984,0.069282226,-5.745627126,9.16E-09,5.05E-07,2518.569071,2591.977263,2442.491958,1853.696596,1924.996303,1889.430164
37,SPT_0455,23186.00663,0.468100214,0.08173218,-5.727244914,1.02E-08,5.48E-07,26142.17018,25770.26673,29509.80773,17741.18317,19179.97814,20772.63383
38,SPT_0957,4554.134318,0.376206776,0.066011029,-5.699150326,1.20E-08,6.30E-07,5058.286432,5067.762442,5374.890083,3857.629472,3900.217061,4066.020419
39,SPT_1061,4464.585218,-0.399507177,0.070575475,5.660708278,1.51E-08,7.68E-07,3793.234181,3821.338266,3854.491631,4767.654436,5362.489702,5188.303094
40,SPT_0223,254.3767351,0.718524803,0.128023513,-5.61244403,1.99E-08,9.76E-07,314.3404909,316.8875024,351.9440861,203.444962,148.2033082,191.4400607
41,SPT_1365,20490.99478,0.407272846,0.072638638,-5.606834836,2.06E-08,9.76E-07,23290.0349,22244.69014,24961.28236,16638.66797,17310.96975,18500.32354
42,SPT_1679,530.7816611,-0.51866554,0.092510397,5.606564859,2.06E-08,9.76E-07,421.0432263,426.5793302,440.6339958,636.9392271,646.3310942,613.1630929
43,SPT_0269,6276.734503,-0.425729471,0.077034944,5.526446187,3.27E-08,1.51E-06,5506.245663,5495.966837,4921.5861,7409.309019,7583.892622,6743.406775
44,SPT_2115,7853.401571,0.354834773,0.064688795,-5.485258691,4.13E-08,1.82E-06,9165.861103,8847.661574,8535.347976,7090.056925,6785.241461,6696.240383
45,SPT_2191,3000.400767,0.441739212,0.080532224,-5.48524792,4.13E-08,1.82E-06,3251.06893,3486.575059,3709.490668,2353.701714,2518.632888,2682.935343
46,SPT_2050,975.5850645,0.506364862,0.092414456,-5.47928197,4.27E-08,1.84E-06,1087.214358,1128.607028,1259.959828,726.9244988,814.2948435,836.5098303
47,SPT_0651,7967.008568,-0.488657308,0.090192678,5.417926591,6.03E-08,2.55E-06,6421.389845,6086.677642,7078.29946,8562.685458,9076.629277,10576.36973
48,SPT_RS03615,276.0716322,-0.606040412,0.112396801,5.391972051,6.97E-08,2.82E-06,207.6377555,206.3831426,221.0208861,327.0769004,343.337664,350.9734446
49,SPT_1239,393.1884818,-0.59261299,0.109974536,5.388638247,7.10E-08,2.82E-06,317.2243486,326.6378871,263.2541764,490.6153506,453.6667935,507.7323348
50,SPT_1401,679.276237,0.533747755,0.099000116,-5.391385163,6.99E-08,2.82E-06,751.7255776,901.9105838,792.5780819,536.7817074,577.992902,514.6685689
51,SPT_1012,230.8144578,0.66112729,0.123080688,-5.371494924,7.81E-08,3.04E-06,289.3470574,313.6373742,270.2930581,159.6260471,186.9008387,165.0823712
52,SPT_1187,3021.779269,-0.391015564,0.072921816,5.362120478,8.23E-08,3.14E-06,2634.884665,2475.785179,2681.813936,3599.410866,3470.427467,3268.3535
53,SPT_0488,314.8289765,0.628962673,0.117506396,-5.352582441,8.67E-08,3.25E-06,389.3207915,410.328689,378.6918367,273.8682181,223.128314,213.6360097
54,SPT_0125,5915.819481,-0.384635784,0.072435551,5.310041523,1.10E-07,4.03E-06,5073.667006,5214.830745,4993.382694,6219.155992,7043.773899,6950.106551
55,SPT_0559,918.5877806,-0.44351258,0.084000585,5.27987491,1.29E-07,4.67E-06,745.9578622,764.5926661,798.2091873,1010.182484,1100.821239,1091.763245
56,SPT_1188,2461.080107,-0.366991993,0.069636512,5.270108749,1.36E-07,4.84E-06,2171.544859,2065.45649,2176.422229,2822.407607,2846.326869,2684.32259
57,SPT_RS05400,174.821437,-0.680811929,0.129837382,5.243574078,1.57E-07,5.49E-06,132.6574549,127.567533,119.6609893,223.0069776,237.9486449,208.0870225
58,SPT_1385,733.3757498,0.601168085,0.115246055,-5.216387537,1.82E-07,6.25E-06,814.2091615,970.9758087,927.724611,461.6635676,643.0376873,582.6436629
59,SPT_0498,25728.09475,-0.508683539,0.097833555,5.199479228,2.00E-07,6.73E-06,20546.52493,18047.14953,23889.96457,33037.11439,27959.37745,30888.43762
60,SPT_1938,42964.85882,-0.345076965,0.066882159,5.159477093,2.48E-07,8.20E-06,37060.45549,36469.68887,39419.14542,46552.11971,47490.92677,50796.81668
61,SPT_1128,527.2146706,0.541898814,0.105263122,-5.148040505,2.63E-07,8.57E-06,651.7518435,660.5885627,596.8971701,406.889924,472.6038829,374.5566404
62,SPT_0330,1704.499734,0.439991198,0.085610294,-5.139466012,2.76E-07,8.69E-06,1961.023246,1820.071809,2159.528912,1355.256439,1434.278683,1496.839315
63,SPT_1493,11640.77089,-0.311147284,0.060538491,5.139660408,2.75E-07,8.69E-06,10056.01185,10580.79245,10413.32162,12636.27958,13050.12464,13108.09517
64,SPT_2233,24284.66682,-0.30328628,0.059208928,5.122306596,3.02E-07,9.37E-06,21829.84161,21795.35991,21368.63713,26815.61095,27742.01259,26156.53872
65,SPT_1682,1053.502312,0.460901268,0.090182708,-5.110749946,3.21E-07,9.81E-06,1282.355397,1251.299368,1164.231037,805.1725611,955.0879863,862.8675198
66,SPT_1060,8400.713535,-0.430437926,0.084460585,5.09631712,3.46E-07,1.04E-05,7216.373288,6610.760819,7396.456914,9454.713368,8923.485858,10802.49096
67,SPT_2189,296.2011759,0.573207899,0.112530399,-5.093804894,3.51E-07,1.04E-05,351.8306412,390.0153876,343.497428,230.0493032,241.2420517,220.5722438
68,SPT_1334,1764.885539,-0.382243365,0.075272521,5.078126263,3.81E-07,1.11E-05,1455.38686,1504.80937,1604.865033,1952.289154,2071.552908,2000.409909
69,SPT_0276,26816.48308,-0.303095454,0.059933436,5.057201334,4.25E-07,1.21E-05,23804.32286,23800.68903,24164.48095,28978.38739,30877.33592,29273.68232
70,SPT_0730,554.0966071,-0.491204174,0.097130449,5.057159518,4.26E-07,1.21E-05,415.2755109,472.0811254,468.7895227,622.0720953,669.3849421,676.9764464
71,SPT_0206,978.6355792,-0.414420231,0.081991726,5.054415285,4.32E-07,1.21E-05,797.8673011,864.5341091,829.1802669,1108.775043,1169.982783,1101.473972
