,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.C
34,SPT_0273,10898.67147,-0.688145067,0.064208401,10.71736808,8.44E-27,4.82E-25,8220.714679,8156.023756,8530.439452,13982.8308,12520.13383,13981.88628
35,SPT_0259,51030.02725,-0.610363986,0.057117514,10.68610912,1.18E-26,6.56E-25,38878.46983,41743.85025,40095.54866,60374.38316,61827.33902,63260.57261
36,SPT_RS02835,6409.18169,-0.662936266,0.0632644,10.47882014,1.08E-25,5.68E-24,5085.578514,4883.837268,4839.062096,8351.716061,7630.909071,7663.98713
37,SPT_0787,3313.853761,-0.761498299,0.072654406,10.48110278,1.06E-25,5.68E-24,2305.068231,2402.345119,2612.791226,3919.697517,4215.592247,4427.628224
38,SPT_0266,12528.4191,-0.6148308,0.058771197,10.46143065,1.30E-25,6.64E-24,9612.273593,9905.017909,10060.32588,15272.46649,14600.31102,15720.11972
39,SPT_1187,2736.226076,-0.641129296,0.063149914,10.15249674,3.23E-24,1.61E-22,2170.345163,2139.29764,2070.798996,3373.148145,3370.857079,3292.909433
40,SPT_0548,4361.035626,-0.838155211,0.082999154,10.09835845,5.62E-24,2.73E-22,3122.96763,2722.812992,3432.257565,5420.223974,5383.671019,6084.280577
41,SPT_0059,7799.087396,-0.722155236,0.072068922,10.02034183,1.24E-23,5.88E-22,5955.628778,5881.710596,5693.077741,9624.789649,8906.769045,10732.54857
42,SPT_1186,1429.105496,-0.709535635,0.071280017,9.954201316,2.42E-23,1.12E-21,1060.400921,1118.145774,1050.514819,1814.102259,1763.569911,1767.899293
43,SPT_1400,2713.582873,0.748328754,0.075923136,-9.856399371,6.43E-23,2.91E-21,3372.422601,3485.573086,3406.345585,1930.036974,1853.836667,2233.282327
44,SPT_1242,16217.40501,-0.669063765,0.068397579,9.781980251,1.35E-22,5.94E-21,11508.82672,12543.25221,13286.36728,18906.19171,20760.00669,20299.78543
45,SPT_0271,16611.05172,-0.580253392,0.059527599,9.747636476,1.89E-22,8.15E-21,12810.85998,13989.62537,12986.22019,20209.07708,19637.73493,20032.79278
46,SPT_0633,519.1979315,1.109857919,0.114146107,-9.723134184,2.40E-22,1.01E-20,629.2871038,737.1537026,796.7933572,261.6812145,343.55258,346.7196306
47,SPT_0651,5864.900837,-0.795993191,0.081888072,9.720502242,2.47E-22,1.02E-20,3711.403223,4502.069245,4503.286034,7115.079098,8146.911574,7210.655848
48,SPT_2050,1667.06558,0.752133343,0.078798787,-9.544986319,1.36E-21,5.51E-20,2100.810677,1956.173141,2256.501513,1144.993331,1266.429118,1277.485698
49,SPT_0635,374.3016521,1.065733917,0.114927693,-9.273081974,1.81E-20,7.17E-19,543.2381766,543.1658861,455.6189658,263.8894948,230.3823184,209.5150709
50,SPT_0141,2576.81162,0.678005751,0.073157852,-9.267709875,1.90E-20,7.39E-19,3109.060733,3470.054061,2976.638599,1947.703217,1952.187013,2005.226099
51,SPT_0568,1559.198428,-0.631466044,0.068677212,9.194695365,3.76E-20,1.43E-18,1212.50761,1219.79539,1216.783352,1871.517547,1894.254618,1940.332051
