,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.20MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.20MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.20MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.20MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.20MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.20MINNDC.C
1,SPT_1477,16408.045,-0.615441682,0.058740375,10.47731962,1.10E-25,2.04E-22,12754.50788,12477.17342,13163.23329,19209.48892,20662.99915,20180.86737
2,SPT_1365,21506.29341,-0.655481544,0.067674839,9.685749554,3.47E-22,3.23E-19,16859.37595,16938.41215,15388.91002,24909.26026,28085.25421,26856.54789
3,SPT_0757,4911.365769,0.687589743,0.075800066,-9.071096846,1.18E-19,7.31E-17,6365.559161,6366.050675,5733.442983,3789.518265,3893.324814,3320.298719
4,SPT_1699,6603.369384,-0.526167717,0.058228139,9.036313543,1.62E-19,7.54E-17,5344.514835,5436.874117,5291.376213,7641.012296,7799.548552,8106.890288
5,SPT_0141,1838.900195,-0.726516955,0.082469107,8.809564968,1.26E-18,4.68E-16,1285.526292,1309.185945,1424.011177,2098.179593,2368.027213,2548.470948
6,SPT_1065,2500.969608,-0.539779789,0.063029219,8.563961268,1.09E-17,3.38E-15,2032.193067,2020.363388,1985.944208,2940.850102,3067.793766,2958.67312
7,SPT_0125,4509.446617,-0.57048858,0.066940825,8.522281888,1.56E-17,4.16E-15,3726.137089,3308.106797,3684.20939,5546.83114,5328.329957,5463.065326
8,SPT_1479,3433.486676,-0.564236274,0.06931762,8.139867936,3.96E-16,9.21E-14,2638.522473,2618.371891,2918.024251,3972.446738,4154.527998,4299.026707
9,SPT_0399,3700.437666,-0.463812579,0.064674061,7.17153945,7.42E-13,1.53E-10,2962.377942,3211.615386,3056.110183,4154.375602,4387.783515,4430.363368
10,SPT_0256,9345.234846,-0.42732124,0.059765864,7.149921597,8.68E-13,1.62E-10,7972.242126,7601.378997,8133.644987,11100.65954,10816.82154,10446.66189
11,SPT_0282,27628.65386,-0.410091967,0.059086836,6.940496307,3.91E-12,6.61E-10,23489.41708,23738.07856,23390.22265,31630.63214,33312.54261,30211.03012
12,SPT_2147,7525.185706,-0.442570422,0.066932366,6.612203416,3.79E-11,5.88E-09,6371.85635,6454.203323,6095.918555,8108.829376,8891.657334,9228.649297
13,SPT_2260,2201.858202,0.424635543,0.067699614,-6.272348107,3.56E-10,5.09E-08,2533.269445,2537.366755,2564.179049,1769.308185,1847.770667,1959.25511
14,SPT_0712,2714.090801,0.421447649,0.068462115,-6.155925061,7.46E-10,9.93E-08,3137.799654,2975.74749,3288.171264,2379.069763,2203.56595,2300.190686
15,SPT_0726,838.8466754,0.57277788,0.09634525,-5.945055746,2.76E-09,3.22E-07,1155.984104,1049.49301,880.2978187,609.7615778,661.0697849,676.4737568
16,SPT_1450,1460.550225,0.411533673,0.069183308,-5.948453291,2.71E-09,3.22E-07,1730.827561,1634.397741,1679.08658,1228.519638,1243.671124,1246.798706
17,SPT_0273,10300.4038,-0.380841815,0.064916497,5.866641488,4.45E-09,4.60E-07,8802.571564,8312.556439,9486.695338,11806.3836,11531.63683,11862.57903
18,SPT_1242,13278.13119,-0.321709439,0.054790303,5.871649204,4.31E-09,4.60E-07,11966.45958,11468.18298,11792.92219,14597.29233,14916.52911,14927.40096
19,SPT_0921,5061.420109,-0.393756394,0.067636309,5.821671854,5.83E-09,5.71E-07,4102.169272,4244.430867,4643.139475,6008.650564,5677.675779,5692.454698
20,SPT_RS08360,822.9150357,0.538799237,0.094280199,-5.714871654,1.10E-08,1.02E-06,1132.594543,991.121662,866.8727975,658.7424259,639.5715805,648.5872057
21,SPT_0268,18774.62325,-0.308236762,0.0547872,5.626072517,1.84E-08,1.63E-06,17074.38,16212.93969,16793.74259,20901.8272,20611.40346,21053.44655
22,SPT_0065,2406.554593,-0.438631064,0.078204613,5.608762014,2.04E-08,1.72E-06,2141.944087,2090.647256,1797.993911,2789.909121,2929.130348,2689.702836
23,SPT_1241,4250.645186,-0.371176135,0.066292034,5.599106145,2.15E-08,1.74E-06,3720.739498,3671.438657,3624.755724,4999.045329,4997.25761,4490.634301
24,SPT_0920,5957.174326,-0.369227515,0.066132524,5.583145635,2.36E-08,1.83E-06,5282.442537,5131.913606,5039.177601,6954.280815,7053.560859,6281.670537
25,SPT_0460,8222.321379,0.368535402,0.067099905,-5.492338676,3.97E-08,2.95E-06,9137.222215,9248.880509,9618.06876,6910.298012,6740.761986,7678.696793
26,SPT_0398,4162.031347,-0.347853399,0.063593039,5.469991786,4.50E-08,3.22E-06,3594.795705,3607.111049,3701.470131,4608.198154,4515.697831,4944.915214
27,SPT_0452,2951.48032,0.433368065,0.079579996,-5.445690963,5.16E-08,3.56E-06,3646.972419,3203.276622,3449.271518,2726.933745,2284.184216,2398.243399
