,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.C
35,SPT_0069,377.826314,3.348044691,0.155106032,-21.58552222,2.46E-103,1.51E-101,68.68474662,67.51124186,61.86825182,821.628803,605.7431699,641.5216706
36,SPT_2098,279.0723886,3.290542162,0.155795435,-21.12091509,5.11E-99,3.06E-97,54.34094412,48.73806231,47.88672599,459.7715582,480.495522,583.2015188
37,SPT_0248,4099.466667,2.770885218,0.131368598,-21.09244728,9.33E-99,5.43E-97,1042.684105,1026.38749,1058.401506,7160.516304,8389.31518,5919.495415
38,SPT_1340,10996.66664,-2.109383537,0.101258287,20.83171253,2.23E-96,1.27E-94,18461.30135,17082.87135,18026.7308,4367.829803,3772.231432,4269.035117
39,SPT_1732,1475.83864,3.270769368,0.157391936,-20.78104796,6.42E-96,3.55E-94,257.3609181,321.3101885,246.0748547,2324.400655,3256.438846,2449.446379
40,SPT_1862,2390.439677,3.102790044,0.150152574,-20.66424813,7.27E-95,3.91E-93,481.8965958,489.5467592,501.9367775,5087.287148,3308.815135,4473.155649
41,SPT_0670,1626.457632,2.241413083,0.109488493,-20.47167712,3.85E-93,2.02E-91,575.9588392,552.3647061,559.6105716,2613.886451,2465.101434,2991.823791
42,SPT_0788,1100.84721,-2.590365632,0.127665512,20.29025366,1.57E-91,8.04E-90,1925.103802,1827.496825,1912.323196,285.2286518,310.8418898,344.0888961
43,SPT_2226,173.5929043,3.658040795,0.180990258,-20.21125793,7.79E-91,3.90E-89,25.10165439,26.35465591,24.46767021,289.4857959,349.5547992,326.5928505
44,SPT_1821,378.6096334,2.900135671,0.144673883,-20.04602089,2.19E-89,1.07E-87,97.92403635,89.17260289,78.29654468,732.2287778,655.842229,618.1936099
45,SPT_0283,5028.497393,-2.364127138,0.118634813,19.92776899,2.34E-88,1.12E-86,8156.934307,7828.415875,9303.656829,1805.02908,1578.120364,1498.827903
46,SPT_1426,37769.22136,-2.451444136,0.123517167,19.84699135,1.17E-87,5.48E-86,57303.21518,62079.29456,72373.6208,12154.14628,10329.51511,12375.53623
47,SPT_2097,225.0154803,3.32916906,0.169992369,-19.58422647,2.11E-85,9.66E-84,39.99714161,38.62942716,40.89596307,332.0572365,414.4558531,484.0572606
48,SPT_0921,2121.684564,-2.203382061,0.11320998,19.46278997,2.27E-84,1.02E-82,3585.674785,3310.939033,3556.550634,698.1716254,738.9611226,839.810187
49,SPT_0282,8723.84205,-2.424004306,0.126786164,19.11883939,1.76E-81,7.74E-80,16315.79951,12828.21902,14995.88553,2660.715036,2498.121268,3044.311928
50,SPT_2040,356.0465986,2.613597103,0.137298319,-19.03590021,8.60E-81,3.70E-79,95.16561279,93.14385241,109.0559015,630.0573205,602.3273249,606.5295795
51,SPT_0279,704.968417,-2.834128003,0.149142068,19.00287447,1.61E-80,6.82E-79,1259.220355,1284.879731,1171.651865,166.0286182,173.0694771,174.9604556
52,SPT_2013,1127.398091,2.238176965,0.117986834,-18.96971793,3.04E-80,1.26E-78,420.3837504,379.4348406,385.1910368,1868.886241,2048.368351,1662.124328
53,SPT_1008,2782.410751,-2.515704298,0.133535847,18.83916831,3.61E-79,1.47E-77,4666.700977,4144.54041,5407.005579,779.0573625,810.6938665,886.4663085
54,SPT_1056,570.2324364,-3.337690778,0.177315363,18.8234721,4.85E-79,1.93E-77,950.8286009,1097.508959,1063.29504,102.1714574,96.78227338,110.8082886
55,SPT_0089,550.2130248,3.389113648,0.180129794,-18.81484219,5.71E-79,2.24E-77,100.6824599,93.50487509,89.48176535,1298.428937,1007.674258,711.5058529
56,SPT_1419,386.3972586,3.352491461,0.178930703,-18.73625599,2.51E-78,9.64E-77,78.61507144,55.5974933,67.46086216,876.9716758,627.3768545,612.3615947
57,SPT_1960,2344.762767,1.908921726,0.102226109,-18.67352422,8.13E-78,3.07E-76,943.6566996,950.2117036,1058.751044,3878.258236,3720.993758,3516.705158
58,SPT_1141,177.1202899,3.65502144,0.198392585,-18.42317565,8.56E-76,3.18E-74,25.6533391,26.35465591,25.8658228,404.4286854,352.9706441,227.4485923
59,SPT_1246,278.2609085,2.807039614,0.152413154,-18.41730549,9.54E-76,3.48E-74,75.30496317,70.03840065,61.51871368,532.1430071,487.3272119,443.2331543
60,SPT_0067,733.4554463,3.186600371,0.173177822,-18.40074172,1.30E-75,4.65E-74,152.5408228,137.9106652,136.669415,1749.686207,1115.842681,1108.082886
61,SPT_0086,193.1540408,3.554191148,0.193276568,-18.38914667,1.60E-75,5.67E-74,32.82524035,25.99363323,31.10889498,434.2286938,372.3270988,262.4406834
62,SPT_1477,4517.344523,-2.660043456,0.144665125,18.38759316,1.65E-75,5.74E-74,8927.086165,7326.594344,7143.161549,1353.77181,1017.921793,1335.531478
63,SPT_0438,3358.044842,-2.219934525,0.121189103,18.31793837,5.95E-75,2.04E-73,5061.431389,5305.58936,6230.866989,1243.086065,1140.892211,1166.403038
64,SPT_1660,508.0302843,2.354561282,0.129035729,-18.2473591,2.17E-74,7.31E-73,176.5391078,149.1023684,170.225077,796.0859387,875.5949204,880.6342933
65,SPT_2219,456.1796963,2.840272143,0.155895799,-18.2190422,3.64E-74,1.21E-72,119.4397401,115.1662361,93.6762231,928.0574045,693.4165234,787.3220503
66,SPT_0583,1607.083595,-2.586153035,0.141979666,18.21495365,3.93E-74,1.28E-72,2712.357886,2504.414357,3029.44711,506.6001428,393.9607834,495.7212909
67,SPT_1173,3877.391632,-2.222818579,0.122519845,18.1425187,1.47E-73,4.73E-72,6614.975537,5713.544993,6819.139688,1370.800386,1235.397254,1510.491934
68,SPT_0329,2644.211216,-2.353659351,0.129925587,18.11544135,2.41E-73,7.63E-72,4526.573061,4123.962117,4591.183546,838.6573793,752.6245024,1032.266688
69,SPT_0125,1354.440468,-2.519151168,0.139778046,18.02250954,1.30E-72,4.05E-71,2125.917037,2355.311989,2410.415054,425.7144057,342.7231093,466.561215
70,SPT_2095,174.1266272,3.291078687,0.182940874,-17.98984898,2.34E-72,7.20E-71,36.68703334,28.8818147,28.66212796,349.0858127,304.0101999,297.4327746
71,SPT_0586,6752.288728,-2.017433912,0.112691237,17.90231397,1.13E-71,3.43E-70,10381.87875,10639.33849,11461.70534,2899.115103,2361.487471,2770.207214
72,SPT_1478,2696.887259,-2.488206281,0.139099778,17.88792411,1.46E-71,4.38E-70,5025.571883,4082.805531,4608.310915,894.000252,690.0006785,880.6342933
73,SPT_0085,240.1555881,3.395728127,0.190570692,-17.81873216,5.06E-71,1.49E-69,47.72072757,40.43454058,36.00242903,523.628719,478.218292,314.9288201
74,SPT_2058,1321.732192,2.166958928,0.123469676,-17.55053551,5.89E-69,1.72E-67,460.6567344,472.2176704,494.9460146,2064.714868,1924.259318,2513.598546
75,SPT_1225,109.7995115,3.857594518,0.220560695,-17.48994541,1.71E-68,4.91E-67,14.34380251,11.1917032,15.72921656,208.6000588,210.6437715,198.2885164
76,SPT_2009,955.2964413,1.936641956,0.111157543,-17.42249698,5.57E-68,1.58E-66,404.9365785,362.4667745,416.6494699,1545.343293,1526.882689,1475.499842
77,SPT_1134,659.471175,2.478658695,0.143035131,-17.32902037,2.84E-67,7.95E-66,221.7772542,172.2078202,205.8779679,1234.571777,1165.941741,956.4504908
78,SPT_1818,158.4413631,3.166059798,0.182930216,-17.30747313,4.13E-67,1.14E-65,31.72187093,33.57510959,31.10889498,289.4857959,325.6438846,239.1126227
79,SPT_0746,7693.711635,-2.205302555,0.127856775,17.24822608,1.15E-66,3.15E-65,13175.33429,11948.04572,12809.17489,2639.429315,2353.517166,3236.768429
80,SPT_0172,297.9823417,4.034883436,0.237587849,-16.98270113,1.10E-64,2.97E-63,44.13477695,35.74124569,18.87505988,455.5144141,638.7630043,594.8655491
81,SPT_1959,2217.704515,1.925635034,0.114322035,-16.84395344,1.16E-63,3.09E-62,966.2757728,900.751596,895.5167298,3984.686838,3380.547878,3178.448277
82,SPT_1655,2033.132209,2.123998041,0.126189981,-16.83174861,1.43E-63,3.75E-62,842.422555,774.3936567,648.0437225,3576.001008,3255.300231,3102.63208
83,SPT_2225,135.2087793,3.878867273,0.232191026,-16.70550037,1.20E-62,3.10E-61,14.06796015,23.10545176,13.63198769,298.000084,264.1586756,198.2885164
84,SPT_1046,1469.020474,-3.046762161,0.183855595,16.57149545,1.12E-61,2.87E-60,2378.312793,2819.226137,2652.644989,434.2286938,232.2774561,297.4327746
85,SPT_0498,6133.542089,-1.699633207,0.102739858,16.54307528,1.80E-61,4.55E-60,9485.391093,8732.777697,9916.746737,2933.172255,2712.180885,3020.983867
86,SPT_0318,19190.0271,-1.675531384,0.101537286,16.50163645,3.57E-61,8.94E-60,27956.34693,27872.39528,31903.39519,9357.202638,8620.454021,9430.368558
87,SPT_0317,6975.589977,-2.002282663,0.122814591,16.30329625,9.35E-60,2.32E-58,11040.31445,10058.45299,12401.61342,2975.743696,2473.071739,2904.343563
