,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC20MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC20MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC20MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF20MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF20MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF20MIN.C
1,SPT_1857,39569.68899,3.750860185,0.117052733,-32.04419135,2.64E-225,5.70E-222,5518.106535,5913.542153,4762.734226,66856.0983,77723.27512,76644.37762
2,SPT_2046,1637.333728,3.293089707,0.108652088,-30.30857279,8.84E-202,9.52E-199,307.6993372,314.1846328,276.3163508,3053.785893,2942.071031,2929.945124
3,SPT_1134,3982.484408,3.008887121,0.105725376,-28.45946014,3.72E-178,2.67E-175,853.5560561,866.6397983,900.0963762,6858.900062,7762.889731,6652.824427
4,SPT_2047,18042.88489,3.139752479,0.112240145,-27.97352467,3.41E-172,1.84E-169,3780.033963,3870.510864,3268.640425,29536.0879,33273.84183,34528.19433
5,SPT_2043,10296.82504,3.081686499,0.110767971,-27.82109722,2.41E-170,1.04E-167,2331.084452,2251.933593,1877.958432,18048.0362,18499.30976,18772.62777
6,SPT_2048,13631.68865,3.138597885,0.117652696,-26.67680369,8.75E-157,3.14E-154,2666.410046,2696.88996,2886.430383,26876.14344,21014.79308,25649.46499
7,SPT_2041,32006.54856,3.041544057,0.115165811,-26.4101302,1.05E-153,3.23E-151,6552.185886,7252.844194,6784.641895,50940.86494,64621.1179,55887.63652
8,SPT_1247,10329.86829,2.860334636,0.109063344,-26.22636092,1.33E-151,3.58E-149,2574.004982,2366.081802,2500.083869,16303.01569,19914.97696,18321.04642
9,SPT_1899,12145.40992,2.566418854,0.0979547,-26.20005822,2.65E-151,6.35E-149,3351.826991,3690.42267,3421.689901,19560.79125,21228.71612,21619.01257
10,SPT_1141,1112.178553,2.718856991,0.112310608,-24.20837216,1.82E-129,3.91E-127,296.7440976,279.8293466,296.9987124,1823.788797,2036.044024,1939.666342
