,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC30MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC30MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC30MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF30MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF30MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF30MIN.C
1,SPT_2042,8856.705532,3.584593388,0.10093847,-35.51265806,3.13E-276,6.75E-273,1315.002498,1461.703868,1279.461823,16849.12923,16212.97638,16021.95939
2,SPT_2048,12666.53381,3.940101946,0.116749919,-33.74821987,1.14E-249,1.22E-246,1508.091473,1510.392799,1578.386151,26670.06708,20432.69964,24299.56572
3,SPT_1857,33934.5228,4.437639105,0.134881546,-32.90026879,2.18E-237,1.56E-234,2323.725934,3221.238963,3287.346391,61080.40971,63464.69177,70229.72402
4,SPT_2046,1508.697074,4.222592146,0.129921419,-32.50112409,1.03E-231,5.54E-229,156.9442403,142.9589892,152.7470469,3258.645417,2600.181583,2740.705168
5,SPT_2041,28823.01834,3.538182437,0.110015267,-32.16083129,6.23E-227,2.68E-224,4789.652861,4773.587118,4021.517681,49742.65315,52946.45074,56664.24852
6,SPT_2047,16291.90386,3.892076182,0.123574838,-31.49570134,9.95E-218,3.57E-215,2071.188383,2268.179035,1750.842494,27559.51051,30405.24022,33696.4625
7,SPT_2045,7656.188415,3.756983352,0.121878811,-30.82556615,1.19E-208,3.66E-206,925.4954292,1187.181171,1014.207543,15075.53668,12844.22165,14890.48803
8,SPT_1247,8485.494173,3.42008654,0.111435948,-30.69105252,7.49E-207,2.02E-204,1477.178213,1531.111493,1302.456002,14543.45891,17007.21367,15051.54675
9,SPT_0962,3108.93126,3.397250051,0.11146537,-30.47807624,5.09E-204,1.22E-201,526.0009993,555.7789689,521.4751332,5418.722314,5338.13902,6293.471126
10,SPT_0172,1118.904109,4.218589196,0.140794826,-29.96267211,3.01E-197,6.48E-195,106.531848,122.2402951,105.937468,2467.146652,1966.682797,1944.885593
11,SPT_1134,3416.04419,3.533909297,0.124340975,-28.42111611,1.11E-177,2.17E-175,531.7080626,547.4914913,532.9722228,5323.424804,7168.396706,6392.271855
12,SPT_2043,8890.401537,3.750198332,0.13299839,-28.19732133,6.31E-175,1.13E-172,1195.154169,1404.209492,1036.380501,18924.49723,15121.57549,15660.59234
13,SPT_1115,26672.32243,2.892537872,0.106681898,-27.11367078,6.79E-162,1.13E-159,6186.4566,6186.084087,6501.604141,44959.24757,43599.30448,52601.2377
14,SPT_1116,20654.81122,2.827346848,0.106002461,-26.67246426,9.82E-157,1.51E-154,4876.209987,5171.904012,5162.193208,37952.23342,32286.82617,38479.50055
15,SPT_0067,2151.473291,3.126856224,0.118754011,-26.33053145,8.58E-153,1.23E-150,393.311778,479.6377681,442.6379477,3706.014284,3687.530244,4199.707721
16,SPT_1898,11501.51833,2.455124759,0.095035315,-25.83381527,3.70E-147,4.98E-145,3502.71009,3707.09234,3389.177756,18974.79313,19545.26104,19890.07563
17,SPT_1141,847.9748517,3.307846792,0.128876473,-25.66680103,2.75E-145,3.48E-143,161.2245378,157.4620751,142.071178,1424.168346,1688.429599,1514.493374
18,SPT_1899,10561.1999,3.0183584,0.118628861,-25.44371056,8.29E-143,9.92E-141,2041.226301,2386.793559,2478.444019,18178.00006,17243.59381,21039.14164
19,SPT_1245,5467.767859,2.922523762,0.116522131,-25.08127631,7.96E-139,9.03E-137,1284.089239,1388.152504,1119.32379,8852.079833,9765.876801,10397.08499
20,SPT_2044,2218.654064,3.555423562,0.142720691,-24.91175968,5.55E-137,5.98E-135,351.9355692,402.4606327,269.3603838,4481.630131,4113.014503,3693.523162
21,SPT_1731,2597.57095,2.731743748,0.113172694,-24.13783432,1.00E-128,1.03E-126,692.4570118,683.7169049,646.3006769,4995.177824,4488.521246,4079.252037
22,SPT_0069,951.4976202,3.260861062,0.136770773,-23.84179734,1.23E-125,1.21E-123,161.7001264,192.683855,178.204888,1810.652693,1483.11656,1882.627599
23,SPT_1246,1150.683434,2.708872709,0.116555955,-23.24096364,1.76E-119,1.64E-117,280.1216895,327.8733339,301.3879904,2022.424938,2057.182624,1915.110031
24,SPT_0670,2495.158742,2.350883654,0.103046007,-22.8139228,3.34E-115,2.99E-113,798.0376825,798.7056571,845.8573027,4349.272478,3938.768569,4240.31076
25,SPT_0084,1996.602514,2.802132187,0.123184708,-22.74740291,1.52E-114,1.31E-112,475.588607,530.3985687,481.2353198,3997.201121,3367.403992,3127.787478
26,SPT_1135,2281.193214,3.175961802,0.141063181,-22.51446326,3.00E-112,2.48E-110,386.1779489,473.4221599,486.9838646,4905.17462,3582.172237,3853.22845
27,SPT_1117,8738.635144,2.694187842,0.122571818,-21.98048367,4.43E-107,3.53E-105,2193.890244,2445.841837,2324.054531,14577.8719,13229.18359,17660.96876
28,SPT_1173,6911.356487,-2.13467021,0.09843442,21.68621708,2.77E-104,2.13E-102,10723.57191,11211.92131,11869.92374,2557.149856,2508.331012,2597.241095
29,SPT_0080,10903.8307,2.616965266,0.120971964,-21.63282442,8.82E-104,6.55E-102,2985.269686,3175.657836,2943.254925,17031.78279,17226.03414,22060.98481
30,SPT_0548,2152.103738,2.335100576,0.108479776,-21.52567653,8.95E-103,6.43E-101,677.713765,761.4120077,686.5404903,3398.944529,3591.627443,3796.384195
31,SPT_1735,702.2447987,2.771619704,0.129711206,-21.3676196,2.67E-101,1.86E-99,163.6024808,183.3604427,188.8807569,1127.687204,1325.079549,1224.858359
32,SPT_0089,3628.123418,2.78424731,0.130993947,-21.2547783,2.98E-100,2.00E-98,876.5098027,986.7278059,868.0302611,7282.318068,6505.181559,5249.97301
33,SPT_0248,8989.936247,2.667718116,0.126837207,-21.03261481,3.30E-98,2.15E-96,2411.234237,2484.689389,2380.718758,12947.22562,15455.20918,18260.54031
34,SPT_0092,835.909616,2.776197344,0.133510398,-20.79386618,4.92E-96,3.12E-94,198.7960377,211.3306797,221.7295842,1688.883652,1343.989961,1350.727781
35,SPT_0191,2222.239074,2.476701587,0.119593172,-20.70938961,2.85E-95,1.75E-93,728.6017459,674.9114599,613.4518496,3343.354315,4060.3355,3912.779575
36,SPT_1008,5232.976421,-2.557464365,0.123736925,20.6685624,6.65E-95,3.98E-93,8468.330736,8524.706683,9891.603117,1310.340765,1711.392242,1491.484985
37,SPT_0086,1233.635744,2.906062637,0.141235663,-20.57598327,4.51E-94,2.62E-92,245.4037212,314.9241501,300.5667697,2522.736866,2120.667576,1897.51538
38,SPT_0081,8848.578639,2.658415241,0.129224186,-20.57211836,4.88E-94,2.77E-92,2298.995326,2495.048736,2404.534158,14982.88632,12773.98297,18136.02432
39,SPT_0099,486.528519,2.792100845,0.137449601,-20.31363364,9.74E-92,5.38E-90,130.7868669,121.2043604,111.6860128,810.0288364,913.1027272,832.3623102
40,SPT_2013,2337.729047,2.026469383,0.099914594,-20.28201583,1.85E-91,9.98E-90,958.3110431,896.0835193,899.236647,3751.015886,3729.403298,3792.323891
41,SPT_1655,2897.696673,2.258453907,0.111404812,-20.27249872,2.25E-91,1.18E-89,1025.844625,1022.985521,941.9401225,4367.802549,4750.56552,5277.041703
42,SPT_0583,2281.239161,-2.470007822,0.122375177,20.18389586,1.36E-90,6.96E-89,3892.21716,3553.256036,4171.801066,627.3752752,667.2673776,775.5180548
43,SPT_0097,515.1563116,2.673448785,0.132661928,-20.15234376,2.57E-90,1.29E-88,134.1159872,149.6925648,129.7528678,929.1507241,886.0878536,862.1378725
44,SPT_2225,297.5696906,3.549065774,0.176479566,-20.11034959,5.99E-90,2.93E-88,45.18091766,49.72486581,42.70347548,460.6046324,557.8571395,629.3471126
45,SPT_0465,2008.330575,2.566662145,0.130086563,-19.73041714,1.18E-86,5.66E-85,638.2399106,591.5187162,493.55363,3324.824243,3131.023849,3870.823101
46,SPT_2226,335.9274815,3.049100043,0.156289307,-19.50933237,9.15E-85,4.28E-83,74.19182269,69.4076252,71.44619935,524.1363059,632.1480419,644.2348937
47,SPT_1733,2311.863859,2.869630677,0.147569378,-19.44597662,3.15E-84,1.44E-82,658.6902207,539.721981,447.5652718,3983.965355,4666.819412,3574.420912
48,SPT_2040,784.739736,2.270154873,0.117278624,-19.35693652,1.78E-83,8.00E-82,281.0728667,260.0196108,262.7906183,1265.339163,1349.392936,1289.823222
49,SPT_0705,5811.338754,-1.91040491,0.099141655,19.26944738,9.70E-83,4.26E-81,9020.01352,8841.702702,9708.470905,2355.966223,2471.860933,2470.018237
50,SPT_0102,598.2663888,2.652523486,0.137815195,-19.2469596,1.50E-82,6.45E-81,161.7001264,185.4323121,137.9650746,1058.861224,1057.632301,988.007295
51,SPT_0277,1016.058613,-2.530740255,0.131496599,19.24567075,1.53E-82,6.48E-81,1816.748479,1570.477012,1811.612825,325.5998264,295.8128658,276.1006687
52,SPT_0190,648.8874154,2.641851477,0.137750862,-19.17847506,5.60E-82,2.32E-80,176.4433732,184.9143447,172.4563433,968.85802,1114.363535,1276.288876
53,SPT_0085,1518.170792,2.66052364,0.139467557,-19.07629057,3.97E-81,1.62E-79,404.7259045,473.9401273,349.0187899,2930.398437,2678.524716,2272.416778
54,SPT_0088,833.0187823,3.134596155,0.165916422,-18.89262143,1.31E-79,5.23E-78,201.1739808,177.1448345,119.8982196,1545.937387,1654.661007,1299.297265
55,SPT_0125,1829.914514,-2.375537487,0.128594117,18.4731428,3.40E-76,1.33E-74,2808.350724,3018.195761,3391.641418,592.9622854,517.3348292,651.002067
56,SPT_0087,869.8199926,2.818972182,0.153389433,-18.37787727,1.98E-75,7.60E-74,222.5754681,244.9985576,167.5290192,1736.532407,1530.392589,1316.891915
57,SPT_1419,1100.588759,2.796467302,0.153974967,-18.16183081,1.04E-73,3.91E-72,334.3387907,270.8969252,210.2324946,2146.841132,1795.13835,1846.084863
58,SPT_1082,444.7562385,-3.232053726,0.178171201,18.14015797,1.54E-73,5.70E-72,838.4627141,884.1702702,692.2890351,90.00320404,76.99238972,86.61981764
59,SPT_1225,246.0319613,3.261817102,0.180882767,-18.03276874,1.08E-72,3.93E-71,40.9006202,45.58112699,51.73690298,399.7201121,517.3348292,420.9181764
60,SPT_1340,22180.47913,-1.78937728,0.099395719,18.00255893,1.86E-72,6.68E-71,32443.228,33763.18389,37101.9292,10207.4222,9936.070505,9631.040974
61,SPT_1248,2020.364112,3.321197669,0.184744499,-17.97724797,2.94E-72,1.04E-70,299.6208224,422.143392,353.946114,5040.179426,2841.964701,3164.330213
62,SPT_1136,1046.097899,2.072082368,0.115972244,-17.86705421,2.13E-71,7.40E-70,387.1291261,381.7419386,431.9620788,1763.003938,1588.474567,1724.275745
63,SPT_0329,2656.387288,-2.128380611,0.119144068,17.86392431,2.25E-71,7.70E-70,4230.360659,4432.7646,4328.654216,937.0921832,879.3341352,1130.117933
64,SPT_0788,1922.84049,-2.432815311,0.136455198,17.82867448,4.23E-71,1.42E-69,3318.6573,3364.71592,3080.398779,465.8989386,702.3867132,604.9852888
65,SPT_0163,10559.23415,-2.007335187,0.114258407,17.56838059,4.30E-69,1.43E-67,16630.858,15976.70298,18177.7198,4561.044722,3671.32132,4337.758055
66,SPT_1365,12174.77513,-2.554516936,0.145478551,17.55940602,5.04E-69,1.64E-67,16515.28997,22277.77582,23728.35039,4039.55557,3062.135921,3425.543101
67,SPT_1959,6497.531922,1.983964122,0.113207287,-17.52505663,9.22E-69,2.97E-67,2383.650098,2883.006282,2567.135853,9452.983577,10793.79274,10904.62298
68,SPT_1656,1494.950586,1.947514668,0.112128379,-17.36861522,1.43E-67,4.52E-66,595.9125246,619.4889532,626.5913805,2165.371203,2392.167056,2570.172402
69,SPT_2009,2064.596643,1.78331772,0.103534136,-17.22444203,1.74E-66,5.43E-65,951.177214,925.6076584,904.1639711,3007.165876,3337.687631,3261.777508
70,SPT_0100,329.5297558,2.716831229,0.159892969,-16.99156155,9.48E-65,2.92E-63,90.83742394,90.12631928,73.9098614,635.3167344,588.9242442,498.0639514
71,SPT_1855,3140.089838,1.740238201,0.102500023,-16.97792984,1.20E-64,3.63E-63,1401.084036,1439.949239,1487.230655,4783.405579,4564.162892,5164.706627
72,SPT_1050,1820.647331,-2.139470027,0.126337603,16.9345466,2.50E-64,7.49E-63,3178.358661,3187.053118,2552.35388,643.2581936,703.7374569,659.1226749
73,SPT_1447,1671.3555,-1.824149031,0.108904253,16.75002563,5.66E-63,1.67E-61,2557.715528,2692.394297,2583.560266,688.2597956,764.5209225,741.6821886
74,SPT_0103,356.0141136,2.623408404,0.15705967,-16.70325938,1.24E-62,3.61E-61,95.59331001,116.0246869,80.47962686,637.9638875,622.6928361,583.3303344
75,SPT_0582,619.1462498,-2.521022259,0.151330144,16.65908854,2.60E-62,7.47E-61,1045.343758,956.6856995,1160.384824,214.4193979,158.0370105,180.0068085
76,SPT_1897,11387.99857,1.850810538,0.111271581,-16.63327266,4.00E-62,1.13E-60,5388.894506,4597.996186,4787.716577,16076.16053,18711.85219,18765.37143
77,SPT_0470,1034.68679,-2.163054456,0.131259636,16.479205,5.18E-61,1.45E-59,1750.641662,1580.318392,1740.166626,444.7217141,344.4396382,347.8327052
78,SPT_0528,5185.882968,2.149960523,0.131856982,-16.30524594,9.06E-60,2.50E-58,1880.952941,1864.164501,1942.186913,6797.889058,8793.341352,9836.763041
79,SPT_1216,836.1460544,-2.159835307,0.133151992,16.2208261,3.59E-59,9.80E-58,1277.430998,1508.32093,1314.774312,330.8941325,291.7606347,293.6953192
80,SPT_0706,1672.954257,-1.813756236,0.112290905,16.1522987,1.09E-58,2.95E-57,2530.131389,2769.571432,2527.71726,704.142714,784.7820776,721.3806688
81,SPT_1895,9147.640441,1.952429863,0.121397906,-16.08289578,3.36E-58,8.94E-57,3158.383939,3960.378375,4095.427542,15237.01301,13420.9892,15013.65058
82,SPT_0101,235.1456292,2.929972532,0.183107162,-16.00140867,1.25E-57,3.28E-56,57.07063284,61.63811491,40.23981343,378.5428876,470.0588004,403.3235259
83,SPT_0927,9200.514317,-2.359066104,0.147467709,15.99717066,1.34E-57,3.47E-56,12813.30825,15652.45542,17831.16467,2403.614978,3074.292614,3428.24997
84,SPT_2156,233.1699966,2.62345064,0.164908993,-15.9084753,5.53E-57,1.42E-55,58.97298727,64.74591903,70.62497867,378.5428876,409.2753348,416.8578724
85,SPT_2219,1032.024427,2.207219349,0.138919121,-15.88852087,7.61E-57,1.93E-55,350.984392,437.6824126,302.2092111,1707.413724,1638.452083,1755.404742
86,SPT_2190,3668.730098,1.669334191,0.105148566,-15.87595776,9.30E-57,2.33E-55,1809.61465,1812.885733,1626.016951,5341.954875,5977.040781,5444.8676
87,SPT_0958,11174.90023,1.610620999,0.102062423,-15.78074427,4.22E-56,1.05E-54,5583.885835,5816.773365,5091.56823,16526.17655,16185.96151,17845.03587
88,SPT_1734,1065.407012,2.845981614,0.180420206,-15.77418445,4.68E-56,1.15E-54,257.2934364,260.5375782,249.6510874,1506.230091,2602.88307,1515.846809
89,SPT_0438,6652.762774,-2.145144445,0.136555417,15.70896628,1.31E-55,3.18E-54,9245.44252,10922.37756,12446.42066,2303.023162,2176.048067,2823.264681
90,SPT_1063,461.0501957,-2.709594646,0.17330395,15.63492725,4.21E-55,1.01E-53,756.6614737,731.3699013,924.6944882,92.6503571,144.5295737,116.39538
91,SPT_1960,6137.074669,1.986902258,0.127355775,-15.60119485,7.14E-55,1.69E-53,2172.488757,2469.668335,2736.307313,9865.939455,8524.54336,11053.50079
92,SPT_1732,2302.332931,2.320531344,0.149138595,-15.55956282,1.37E-54,3.21E-53,867.4736192,769.181518,644.6582355,3361.884386,4697.886516,3472.913314
93,SPT_0204,17130.71319,1.791634682,0.115955574,-15.45104403,7.42E-54,1.72E-52,6577.390435,8588.934634,7774.496199,26781.24751,27449.81305,25612.39733
94,SPT_1740,220.2618263,2.570830905,0.167929339,-15.30900388,6.66E-53,1.53E-51,58.97298727,63.70998432,66.51887526,346.7770509,378.2082302,407.3838298
95,SPT_1056,975.0939657,-1.965617619,0.12845316,15.30221305,7.39E-53,1.68E-51,1464.81291,1671.480646,1521.721924,436.7802549,402.5216164,353.2464438
96,SPT_2256,6247.827484,2.419174716,0.158313194,-15.28094183,1.02E-52,2.30E-51,2112.089004,2163.54963,1561.961738,8079.111139,11454.3064,12115.94699
97,SPT_1224,2011.714448,-1.676638323,0.110143632,15.22229017,2.52E-52,5.59E-51,3228.771053,2842.086862,3128.850799,1000.623857,926.610164,943.3439515
98,SPT_0090,273.6049035,2.897435255,0.190617437,-15.20026344,3.52E-52,7.74E-51,56.11945562,65.78185373,67.34009594,619.433816,382.2604612,450.6937387
99,SPT_0317,12268.27167,-1.589016018,0.105026757,15.12963037,1.03E-51,2.25E-50,17272.42703,18321.02321,19698.6205,6511.996528,5659.616016,6145.946749
100,SPT_1815,806.9403712,1.826124432,0.120900139,-15.10440313,1.51E-51,3.26E-50,375.7149995,356.3615383,324.3821695,1350.048061,1204.863362,1230.272097
101,SPT_1047,12814.98091,-1.712091812,0.113898633,15.03171517,4.55E-51,9.71E-50,17988.66347,19168.93577,21829.68817,5431.958079,6067.540607,6403.099332
