,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC45MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC45MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC45MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF45MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF45MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF45MIN.C
1,SPT_2047,9504.343264,4.393241439,0.163986742,-26.79022325,4.20E-158,9.04E-155,867.8672232,894.0303833,776.9824192,16961.36602,19468.82217,18056.99137
2,SPT_2043,4851.987998,4.178919816,0.161568079,-25.86476141,1.66E-147,1.60E-144,484.3561349,531.7345577,479.7927715,8673.734786,9411.022321,9531.287415
3,SPT_2048,7484.826945,4.479387643,0.173260992,-25.85341101,2.23E-147,1.60E-144,629.8129308,694.2855365,557.6135658,15514.83721,14391.48215,13120.93028
4,SPT_2041,18394.95693,4.606570354,0.185960459,-24.77177345,1.81E-135,9.72E-133,1625.517183,1340.3568,1267.804909,32236.92778,41026.70844,32872.42646
5,SPT_2042,5010.616768,4.126397953,0.167399356,-24.65002279,3.68E-134,1.58E-131,535.3409912,581.3263817,479.7927715,9070.714498,10033.23867,9363.287294
6,SPT_2045,3918.429463,3.990200576,0.169929809,-23.48146333,6.31E-122,2.26E-119,417.6259553,503.2651772,444.2525662,7515.424122,6862.118494,7767.890466
7,SPT_1247,4282.036315,4.030234726,0.182391809,-22.09657743,3.41E-108,1.05E-105,517.7212247,515.2039497,414.8399825,7928.718068,9049.427292,7266.307372
8,SPT_1115,22204.77032,3.370205313,0.157998585,-21.33060444,5.90E-101,1.59E-98,3821.240002,4086.274464,3680.862296,40981.35759,37936.09433,42722.79324
9,SPT_0962,1919.083439,3.990369116,0.191032443,-20.88843681,6.82E-97,1.63E-94,244.0525107,232.3468793,186.2796967,4122.063303,3333.496814,3396.26143
10,SPT_2044,1169.666242,3.898481932,0.191276412,-20.38140453,2.45E-92,5.26E-90,137.2092456,162.0917952,132.3566266,1892.451226,2366.059548,2327.829008
11,SPT_1857,16645.97719,4.520649253,0.23162074,-19.51746313,7.80E-85,1.53E-82,1453.068405,1475.815949,1066.818921,42145.10633,24009.90993,29725.14363
12,SPT_1899,7507.012544,3.354507208,0.176594794,-18.99550451,1.86E-80,3.33E-78,1364.219795,1405.101681,1171.60125,15444.14219,12200.07983,13456.93052
13,SPT_1116,16484.92041,3.349289296,0.182926553,-18.3094758,6.95E-75,1.15E-72,3132.194665,2987.907398,2554.605446,34977.71921,26393.7081,28863.38762
14,SPT_1117,6878.568201,3.270080487,0.179101043,-18.25829953,1.78E-74,2.73E-72,1345.100474,1377.550668,1085.814548,13676.76676,11249.01668,12537.16007
15,SPT_2046,749.2980451,4.114524012,0.228559218,-18.00200421,1.88E-72,2.70E-70,62.98129308,105.1530343,68.62936194,1348.643403,1544.624803,1365.756376
16,SPT_1245,2984.726232,3.622806716,0.209530168,-17.29014371,5.58E-67,7.51E-65,483.9812463,486.7345692,338.8574746,4736.566144,6512.804051,5349.41391
17,SPT_0172,587.0934483,4.025409049,0.233202013,-17.26146784,9.17E-67,1.16E-64,54.35885415,69.79590049,71.08041059,1419.33842,990.6339285,917.3531762
18,SPT_1419,614.0856015,3.321340522,0.193637576,-17.15235539,6.04E-66,7.22E-64,112.0917061,99.64283162,115.1992861,1250.757994,1080.691558,1026.130233
19,SPT_0248,6649.583196,2.878430616,0.168068886,-17.12649309,9.42E-66,1.07E-63,1743.607108,1574.999597,1394.646677,12300.93297,11502.81545,11380.49737
20,SPT_0067,1609.855271,3.626076158,0.212421099,-17.07022593,2.47E-65,2.66E-63,263.5467205,203.8774988,234.0751452,3774.026296,2600.75519,2582.850774
21,SPT_1141,425.1534483,4.070790626,0.24496055,-16.6181478,5.15E-62,5.28E-60,42.36241737,46.8367227,49.02097282,717.8263272,1050.672348,644.2019011
22,SPT_1731,1564.192974,3.343863721,0.207082323,-16.14750923,1.18E-58,1.16E-56,266.170941,230.9693286,327.8277557,2332.935563,3071.510982,3155.743272
23,SPT_1246,521.7049687,3.082455732,0.19960515,-15.44276656,8.44E-54,7.90E-52,106.0934878,119.8469081,99.26746996,837.4640483,1046.57882,920.9790781
24,SPT_1898,7759.0081,2.550301714,0.167408969,-15.23396106,2.10E-52,1.89E-50,2234.33635,2297.29533,2179.595004,15014.53401,12013.14202,12815.14589
25,SPT_0191,1585.927032,2.822388691,0.189354814,-14.90529144,3.04E-50,2.62E-48,446.4923813,372.3978638,339.4702368,2871.305309,3025.117658,2460.778744
26,SPT_0788,1496.904477,-2.739403651,0.18381963,14.90267198,3.17E-50,2.62E-48,2752.807352,2586.121787,2506.197235,320.8466159,409.352863,406.1010108
27,SPT_1865,1574.813837,2.873436724,0.193139511,-14.87751887,4.61E-50,3.68E-48,407.5039618,363.6733762,340.6957611,3257.408863,2325.124262,2754.476797
28,SPT_0069,789.3238649,3.596465291,0.242219193,-14.84797818,7.17E-50,5.51E-48,136.4594684,112.4999712,96.81642131,1963.146243,1270.358385,1156.6627
29,SPT_1735,520.7704418,2.941480571,0.200432674,-14.67565397,9.23E-49,6.85E-47,122.963477,125.8162943,101.7185186,1044.111021,861.0055219,869.0078178
30,SPT_1225,159.2321814,4.174440004,0.287304467,-14.52967317,7.86E-48,5.64E-46,15.37043462,12.39795601,18.99562697,369.78932,283.817985,255.0217657
31,SPT_RS09270,1119.40048,2.900398706,0.200277165,-14.48192414,1.58E-47,1.09E-45,310.7826903,260.8162597,205.2753237,2044.717417,1930.781004,1964.030186
32,SPT_1864,2557.449166,2.755270641,0.19095977,-14.42853977,3.42E-47,2.30E-45,769.646397,653.8773835,524.5244091,4285.20565,4513.79757,4597.643587
33,SPT_1134,1854.112524,3.543483127,0.246880922,-14.35300508,1.02E-46,6.66E-45,302.1602513,285.6121717,256.7473451,4671.309205,3360.787005,2248.059167
34,SPT_1655,2699.103541,2.439081002,0.171195031,-14.24738199,4.65E-46,2.95E-44,897.1085378,840.3059072,754.3102192,4856.203865,4153.56705,4693.12567
35,SPT_0084,1068.511554,3.255389605,0.22954986,-14.18162311,1.19E-45,7.32E-44,217.060528,207.5509672,162.9947346,2419.944815,1978.538838,1424.97944
36,SPT_2256,4146.110347,3.158827239,0.226966423,-13.91759714,4.95E-44,2.96E-42,668.4264617,806.3263241,968.7769753,5470.706705,7780.433416,9181.9922
37,SPT_1248,833.9151194,3.504588072,0.254365276,-13.77777709,3.47E-43,2.02E-41,136.4594684,125.3571107,125.0034807,2218.73592,1290.826028,1107.108708
38,SPT_0080,10678.95756,2.707566053,0.196716313,-13.76381051,4.21E-43,2.38E-41,3174.182194,2975.050258,2215.747971,21273.76206,17095.94007,17339.0628
39,SPT_0087,386.6927816,3.447477432,0.2514765,-13.70894473,8.98E-43,4.95E-41,76.10239581,60.15304582,49.63373498,810.2736572,798.2380829,525.7557729
40,SPT_2219,694.0315046,2.729783714,0.200193941,-13.63569596,2.46E-42,1.32E-40,164.576117,175.8673019,193.0200805,1441.090733,1043.849801,1145.784995
41,SPT_0081,9155.605651,2.893035532,0.212542703,-13.61154956,3.42E-42,1.80E-40,2317.56163,2336.785116,1724.925481,20311.22221,13519.56056,14723.57891
42,SPT_1479,1542.12181,-2.915481098,0.215727931,13.51462043,1.28E-41,6.57E-40,2799.668433,2315.662672,3056.457655,445.9224154,353.4079717,281.6117129
43,SPT_1734,542.0876139,3.072482159,0.230119568,-13.35167705,1.16E-40,5.80E-39,108.7177083,110.663237,120.7141456,679.7597795,1166.65566,1066.015153
44,SPT_1565,2520.1993,-2.953657796,0.221742414,13.32022027,1.77E-40,8.64E-39,4222.745746,4723.162056,4459.683002,745.0167183,402.5303153,568.0579616
45,SPT_2225,168.7694662,4.223020561,0.320128846,-13.19162772,9.80E-40,4.69E-38,11.99643678,13.77550668,23.28496209,266.4658336,261.9858323,435.1082259
46,SPT_2226,207.027493,3.660693276,0.277970639,-13.16935232,1.32E-39,6.17E-38,23.24309626,25.25509557,40.44230257,299.094303,409.352863,444.7772976
47,SPT_0277,727.5740695,-2.809354915,0.21345553,13.16131238,1.47E-39,6.71E-38,1136.662385,1351.836388,1359.719234,130.5138777,200.5829029,186.12963
