,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC120MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC120MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC120MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF120MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF120MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF120MIN.C
1,SPT_1815,608.6504996,4.455900074,0.128503777,-34.67524603,1.86E-263,4.01E-260,46.72945367,60.15880794,50.24448149,1121.467134,1171.467551,1201.83557
2,SPT_0259,9790.964976,-2.366946953,0.069389285,34.11113045,5.04E-255,5.43E-252,16587.86932,16432.06722,16213.36365,3239.793942,3144.774326,3127.921396
3,SPT_1047,11162.83711,-2.444593297,0.07383051,33.11088199,2.07E-240,1.49E-237,18944.26542,19366.1575,18317.70239,3486.966116,3539.826822,3322.104436
4,SPT_2125,873.6695167,4.191034184,0.128690741,-32.56671102,1.21E-232,6.54E-230,89.11198142,100.402976,78.33145872,1568.82834,1568.475752,1836.866592
5,SPT_1802,357.3166796,5.138561781,0.159373562,-32.2422472,4.52E-228,1.95E-225,18.836679,20.3295282,19.03672901,721.0890679,713.8324807,650.7755925
6,SPT_1800,450.6528249,4.658511139,0.147344531,-31.61645103,2.19E-219,7.87E-217,31.51521294,31.53151313,37.7613805,810.9698582,952.4285428,839.710442
7,SPT_1008,4392.670084,-3.396282746,0.10886403,31.197474,1.15E-213,3.55E-211,7969.001948,8584.869338,7547.594937,712.9180869,833.1305117,708.5056854
8,SPT_2096,329.2112445,4.748481282,0.152759295,-31.08472889,3.87E-212,1.04E-209,23.90809258,23.23374652,22.46958178,631.2082775,655.1613179,619.286451
9,SPT_2126,397.8037109,4.133428431,0.134256087,-30.78764266,3.84E-208,9.18E-206,42.74477157,40.6590564,42.13046585,717.0035774,725.5667133,818.7176809
10,SPT_0280,4130.244455,-2.479618009,0.081214764,30.53161619,9.92E-205,2.14E-202,7032.601655,6934.443558,7063.250619,1213.390669,1304.45552,1233.324712
11,SPT_0745,1752.061526,5.124065639,0.169255038,-30.27422811,2.50E-201,4.90E-199,86.2140308,92.1052094,104.8580483,2753.620576,3187.799845,4287.771444
12,SPT_0258,2749.827064,-2.740934332,0.091653829,29.90528997,1.68E-196,3.01E-194,4942.454774,4719.354761,4687.7165,688.4051441,715.7881861,745.2430172
13,SPT_0002,1811.297597,2.769848103,0.09684921,-28.59959425,6.80E-180,1.13E-177,494.1005799,454.302722,433.4756819,2947.681374,3273.850884,3264.374343
14,SPT_0263,5007.671122,-2.359963362,0.08456618,27.90670393,2.21E-171,3.40E-169,8737.683349,8045.514508,8364.925974,1652.580895,1560.65293,1684.669074
15,SPT_0267,2916.221579,-2.52225258,0.090871962,27.75611443,1.47E-169,2.11E-167,4875.077422,5016.829694,5008.220118,800.756132,893.75738,902.6887251
