,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC10MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC10MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC10MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF10MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF10MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF10MIN.C
1,SPT_2234,7422.997068,-2.450118034,0.082982378,29.52576312,1.34E-191,2.90E-188,12328.41218,13311.52167,12053.09541,2394.697546,2232.556583,2217.699026
2,SPT_1247,14774.39213,1.824682327,0.071962805,-25.35590896,7.73E-142,8.33E-139,6511.28779,6430.67092,6499.621418,22587.16417,23696.00112,22921.60734
3,SPT_1857,51084.12596,2.084851681,0.083932844,-24.8395215,3.36E-136,2.41E-133,19922.13911,20232.89955,17946.55333,80734.12473,87328.73266,80340.30642
4,SPT_0470,2271.946458,-2.299966168,0.094764222,24.27040615,4.03E-130,2.17E-127,4070.321779,3685.778853,3589.794629,805.8140996,766.0415145,713.9278729
5,SPT_0583,4689.989555,-1.968189523,0.081592466,24.12219686,1.46E-128,6.30E-126,7316.76275,7429.610093,7690.170092,1988.541246,1794.35487,1920.498283
6,SPT_0962,4500.016934,1.885947331,0.079438883,-23.74085928,1.37E-124,4.90E-122,1849.349473,1901.489477,1973.358625,6893.284727,7046.283558,7336.335744
7,SPT_1134,5271.519052,1.994557332,0.088361333,-22.57273917,8.03E-113,2.47E-110,1993.09038,2088.790571,2226.229227,7843.690469,8621.862165,8855.451501
8,SPT_2049,544.6548208,-2.732819069,0.123399098,22.14618359,1.14E-108,3.06E-106,982.521687,941.982114,926.7889066,134.8438917,155.8050538,125.9872717
9,SPT_2042,14164.37454,1.712359043,0.078262725,-21.87962452,4.06E-106,9.73E-104,6244.841231,6774.603925,6768.220814,22514.05603,21154.43118,21530.09408
10,SPT_2047,24758.12066,2.051829545,0.09498655,-21.6012641,1.75E-103,3.77E-101,9880.434413,9884.240229,8874.66923,35796.99167,40985.16859,43127.21985
11,SPT_1899,17666.65092,1.555353247,0.072471503,-21.46158392,3.56E-102,6.45E-100,8908.430354,8912.684258,9005.339206,25514.73878,27119.81718,26538.89574
12,SPT_2048,18532.44417,1.992963734,0.092863741,-21.46116145,3.59E-102,6.45E-100,6735.66384,7490.948463,7939.410973,31610.33253,27628.78035,29789.52887
13,SPT_0125,3308.947168,-2.311048189,0.108108912,21.37703677,2.19E-101,3.62E-99,5597.130681,5418.587812,5540.165017,1223.342776,1156.203337,918.2533841
14,SPT_1082,817.6738045,-2.383307264,0.111758063,21.32559559,6.57E-101,1.01E-98,1453.18551,1432.689076,1242.574683,255.0661565,271.3604687,251.1669327
15,SPT_1216,2119.192329,-1.998799142,0.095003611,21.03919132,2.87E-98,4.13E-96,3235.046875,3591.580642,3361.12217,874.048358,882.8953049,770.4606231
16,SPT_0469,2500.599125,-1.730068812,0.0834108,20.74154431,1.46E-95,1.97E-93,3732.881235,3983.70808,3824.516624,1192.474897,1112.707759,1157.306156
17,SPT_0099,1134.948768,1.903488799,0.091953817,-20.7004871,3.43E-95,4.35E-93,482.9343885,469.895729,473.0737108,1804.958598,1756.052794,1822.777386
