"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.d","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.d"
"56","SP_0271",9645.43112012031,-1.71034680031717,0.0618481241714879,-27.6539801849906,2.49957617105506e-168,9.88671646229812e-167,15096.5908554058,14819.9613565302,15373.1096581537,13834.7581385973,4253.89112859691,4288.69193901282,4644.22977492666,4852.21610973907
"57","SP_0208",11577.1179163753,-1.58726807234505,0.0577027872782436,-27.507649928438,1.42212240332343e-166,5.52631776028315e-165,17691.3680457232,17125.486832974,16407.3058337899,18304.2953304449,5891.45098783555,5809.36898303499,5372.90582643453,6014.76149076518
"58","SP_1275",2785.20818084996,-1.94657260740129,0.0707839697684564,-27.5001898561042,1.74647970025847e-166,6.66974575184918e-165,3913.77092444618,4502.06607862505,4597.45273136307,4693.61425786684,1189.24148607195,1154.4025253302,1084.37364977357,1146.74379332284
"59","SP_0775",1674.65727046689,-2.37064869135878,0.0866000220721575,-27.3746892279483,5.49036626004441e-165,2.06121377389803e-163,2821.63114950412,2549.25528615806,2752.65117990211,3115.07135528503,597.187451279293,529.366903880698,565.948000479434,466.146837246391
"60","SP_0921",1207.84538454913,-1.83939553284384,0.0679089871103098,-27.0861871324331,1.43226860187975e-161,5.28745825527273e-160,1850.48015279501,1869.58597939381,1873.9038460396,1963.67535980235,558.686827629482,495.65507007074,527.066076782374,523.709763879723
"61","SP_1180",2149.38383473508,-1.9155702668185,0.0708983342468617,-27.0185511009138,8.94833888829095e-161,3.24927387501057e-159,3296.94420684785,3457.79282887355,3268.68454962589,3585.23305630749,1001.01621489509,863.751850049745,826.600896374543,895.047074906509
"62","SP_2056",728.640966747115,2.43855063744567,0.0911407282219558,26.7558827433005,1.05473669063957e-157,3.76813188672039e-156,190.12522293749,226.88669278282,250.563658201507,231.079474332319,1155.01870949434,1293.80551378759,1193.81906462456,1287.8293978163
"63","SP_1202",934.448599525805,-2.32313112849133,0.0869158787392872,-26.7285007318374,2.19584565372262e-157,7.72031448094542e-156,1692.76263831277,1639.72697185837,1484.9268355738,1419.48819946996,296.882586810766,333.473815525534,318.255745816679,290.072002838553
"64","SP_0216",10696.7994694624,-1.62005679992635,0.0616934667488612,-26.2597789571658,5.5271037558061e-152,1.91289606548602e-150,15480.0820721264,16103.010558075,16592.5667822052,16424.6488703998,4796.32213735203,5714.6113961097,5158.33521047668,5304.81872895409
"65","SP_0354",2471.88065146181,-1.7675470587561,0.0675057711033502,-26.1836437072915,4.08111621555447e-151,1.39071883345433e-149,3978.58634135669,3881.84306691306,3553.3191868463,3878.33386141299,1014.70532552613,1171.71400755693,1152.05699843142,1144.48642365095
"66","SP_0221",9690.33825461994,-1.61305095150497,0.0618775697281103,-26.0684276805425,8.31715837064672e-150,2.79128875620947e-148,14872.9776670646,13718.2233548949,14433.3184868823,15431.3072339842,4513.12866117231,5182.51110029847,4634.14927619038,4737.09025647241
"67","SP_0358",3063.79178455322,-2.15963538945593,0.0832037433883779,-25.9559882946036,1.55621570972855e-148,5.1448026821623e-147,5256.53031144221,4900.35625547524,5177.36918674729,4706.61873044831,924.014967595468,1174.44739948747,1136.21621470299,1234.78121052676
"68","SP_0897",17131.7955408354,-1.23433605646868,0.04785551916898,-25.7929718014381,1.06325555561037e-146,3.46339861128966e-145,23455.6191229644,24786.1327220429,23190.9797188658,24772.5199236604,10387.4682607191,10259.3310459495,10236.0264310632,9966.287101418
"69","SP_0862",27737.8626098171,-1.67792643601095,0.065072515220721,-25.7854860891661,1.29004309727428e-146,4.14122530501816e-145,42374.1590621932,40832.6692998182,40961.8345254747,44996.4754759395,12742.8508586731,14750.2939878221,12581.9024941191,12662.715174497
"70","SP_0218",8981.92027582645,-1.60636082012267,0.0623350418862274,-25.7697880921388,1.93467635685627e-146,6.12186875776663e-145,13060.3065074674,13856.9313766835,13352.274715095,13842.7608909551,3966.41980534499,4542.89738855277,4520.38364759528,4713.3878749175
"71","SP_0925",805.33025030041,2.27535289927138,0.0886900620644597,25.6551055023241,3.70829337566361e-145,1.15688307423872e-143,262.502438487558,249.674439219523,288.183697534878,297.10218128441,1468.15711517947,1368.51822655561,1224.06056083338,1284.44334330846
"72","SP_1356",2277.78833747866,2.05379973750038,0.0802188005563153,25.6024737749421,1.43178447752804e-144,4.40472585795084e-143,836.118878145555,899.620598457646,790.73063806368,1001.34438877338,3631.89216429885,3510.58636945324,3518.09405895994,4033.919603677
"73","SP_1572",36079.9270901954,1.6028771183592,0.0629272416334787,25.4719113177596,4.03752612022833e-143,1.22508498031586e-141,18328.7196453432,18202.4555450043,18535.3223983455,16310.6096493007,52443.8383969439,56379.8530899031,50763.9515646324,57674.6664320904
"74","SP_1229",1867.00005513286,-1.53575613418074,0.0611568016609016,-25.111779760755,3.69831976361416e-139,1.1069970643791e-137,2738.45136446897,2717.68645547282,2776.7847900405,2877.98981668433,902.625732234462,997.688054646066,936.046311225528,988.727916290166
"75","SP_0220",5577.4154777947,-1.59155443711522,0.0637370465653252,-24.9706336091994,1.27480993975706e-137,3.7649386887492e-136,9279.40718768774,8022.27751730348,8005.26044531614,8210.82391913278,2708.73276611783,2677.81296128291,2847.02085737364,2867.98816814305
"76","SP_1354",5993.30890895422,-2.30313518870778,0.0923047799095089,-24.9514184527135,2.06100654343404e-137,6.00674933382422e-136,10945.1634022878,9434.12702479483,9891.23109642494,9633.31315073693,1640.9821368964,2155.73510255031,2327.15513683147,1918.76422111105
"77","SP_0979",3274.87153648654,-1.38853742531302,0.0560126993755574,-24.7896894952888,1.15811658122186e-135,3.33146523039794e-134,4479.82556546462,4788.39906646014,4829.56127592933,4870.67515378381,1815.51829744221,1832.28372410341,1723.76528390301,1858.94392480583
"78","SP_0234",10882.2990278029,-2.20569737821801,0.0893978645907577,-24.672819516609,2.09438807441713e-134,5.94752510876147e-133,19029.8064049252,16696.4827370135,18384.1324289491,17514.0235351093,3404.31070005775,4697.78959794988,3778.74695485505,3553.09986356329
"79","SP_0273",43412.6893022649,-1.39012972310656,0.0565636418138227,-24.576382964911,2.25983414033389e-133,6.33611724156906e-132,59636.6650993585,63220.1440165021,62431.5199918231,66208.7709444106,23928.5653830649,24780.93124225,22239.0202834705,24855.8974572398
"80","SP_1024",4278.87868324043,1.37769340379153,0.057208337554583,24.0820387845925,3.85596508977168e-128,1.06762033423053e-126,2475.94892598141,2352.09174090138,2348.76811611554,2327.80059208358,6402.22592825638,6303.20179181871,6297.43156767574,5723.56080309068
"81","SP_0847",2599.90663261015,-1.5638958713315,0.0649738174742806,-24.0696319244372,5.20094534856e-128,1.42223382062474e-126,3830.59113941103,3998.75411384918,3762.00393333708,3968.36482543857,1339.82170301343,1433.20850224499,1212.53999084907,1253.96885273787
"82","SP_0846",1877.57425493369,-1.71946848678344,0.0715602747930169,-24.0282543877435,1.4092476753404e-127,3.80668731814511e-126,2861.60065659893,2855.40370567724,3008.18352254387,2800.96332524023,769.156903581783,948.486999896397,888.523960040232,888.274965890823
"83","SP_0919",798.904417522484,-1.96026077504629,0.0819753986040738,-23.9127934529967,2.25450441864504e-126,6.01653890035995e-125,1289.82679651911,1158.21198193501,1330.89761792585,1309.45035454981,327.683085730615,336.207207456072,339.856814537269,299.101481526135
"84","SP_0230",13108.9878871002,-1.41292577571611,0.0598841813628306,-23.5943072704856,4.40928921977131e-123,1.16268757402303e-121,19635.8305530384,17971.6057658846,18450.1449507982,20222.9552082344,7485.37680693773,7358.29107700605,7053.46897289636,6694.22976200568
"85","SP_0233",1346.40862281709,-2.73128517288236,0.116141380777123,-23.5168994427898,2.73954249197355e-122,7.13892543496636e-121,2513.75791917921,2551.23682932647,2210.35476385126,2092.71974157234,257.526393746515,347.14077517822,430.581303163743,367.951256518943
"86","SP_0209",5793.05094962646,-1.83074534893004,0.0780998510096969,-23.4410863178566,1.62977021080168e-121,4.19760583363456e-120,9703.94816845157,8282.85044394925,9590.27078175797,8617.96394533735,2348.53804263848,2492.8534406499,2895.98327980698,2411.99949442019
"87","SP_1276",1052.63003306318,-2.04856182402314,0.0874063102492685,-23.4372303118731,1.78422559792717e-121,4.54259735564216e-120,1583.65668651341,1838.87206028347,1708.51763538535,1656.56973807065,396.128638885835,376.296955770617,380.178809482368,480.819740113711
"88","SP_0232",991.244501200455,-2.33395507327281,0.0996731514650877,-23.4160858663159,2.93065954938517e-121,7.37660329760018e-120,1674.39827018813,1764.56419146814,1700.70970269352,1482.50987428786,260.093101989835,369.91904126603,347.057170777465,330.70465693267
"89","SP_1179",5456.16553743713,-1.35791923898958,0.0582218924273865,-23.3231724764556,2.58042797717619e-120,6.42207637016321e-119,7834.02339058341,8043.08372057177,7591.44001264906,7953.73549963752,3201.54074883541,3090.55514279402,2783.65772245992,3151.28806196592
"90","SP_0098",2514.89122961928,1.57297325653645,0.0677756655611312,23.2085254126746,3.73460146043778e-119,9.19126914985521e-118,1264.98088670342,1350.42166927067,1230.81411705783,1209.41595007694,4134.11141057528,3742.01355290538,3611.6986900825,3575.67356028225
"91","SP_0681",10361.7822966918,-1.17950742984846,0.0513304857317879,-22.9786921559952,7.61458575789071e-117,1.85344037953054e-115,15030.6951815468,14077.8734399611,13917.2851171585,14505.9889926102,6596.44018533431,6414.35973032722,6098.70173544632,6252.91399115014
"92","SP_0770",2197.77135976621,-1.50432167583149,0.0655216185854309,-22.9591653611254,1.19343654810972e-116,2.87332821093807e-115,3026.87996972073,3273.50931421152,3405.6782777644,3306.1370678282,1214.05299909071,1146.20234953859,1058.45236730887,1151.25853266663
"93","SP_0229",5326.23219578816,-1.52558831564101,0.0665322545555663,-22.9300558929184,2.33032169443723e-116,5.55017478836393e-115,8030.63015521195,7921.21881571462,7952.02454059911,7727.65774552884,2550.45242444638,2632.25642910729,3120.63439450111,2674.983061196
"94","SP_0347",3506.53089353104,-1.12340251395076,0.0490011231178175,-22.926056434455,2.55455977736406e-116,6.01952117751212e-115,4796.3408513776,4806.23295497582,4894.15417365267,4735.62870774544,2232.18060227461,2216.78085566564,2216.26965073244,2154.65935182412
"95","SP_1277",862.564249404074,-2.02229545794382,0.0882966331868056,-22.9034266081848,4.29486606115746e-116,1.00138192899619e-114,1231.49292129965,1541.64058502213,1344.38404712083,1427.49095182779,331.105363388376,356.252081613344,318.255745816679,349.89229914378
"96","SP_1201",361.672853806961,-2.56092455394624,0.112513082199914,-22.7611270073997,1.11347168891429e-114,2.56910394890119e-113,670.839565023759,604.370666364718,611.148186151551,594.20436256882,95.8237744173078,119.358114300123,89.284417378435,108.353744250977
"97","SP_1072",1988.14251316299,-1.36325824857499,0.0600777216479702,-22.6915770302193,5.42570928286219e-114,1.23896351149894e-112,2976.10789314083,2829.64364448793,2837.82862744936,2818.96951804534,1161.00769539542,1073.31189805759,1057.01229606083,1151.25853266663
