,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV10min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV10min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV10min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV10min.d,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V10min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V10min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V10min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V10min.d
1,SP_0098,4359.593129,2.481210643,0.068709511,36.11160364,1.49E-285,3.05E-282,1274.123365,1287.689617,1251.58671,1242.010291,8336.656441,7317.474922,7264.489827,6902.713861
2,SP_0097,3646.108664,2.450852134,0.079593701,30.79203642,3.35E-208,3.42E-205,1067.947039,1052.160182,977.1576852,1135.855565,7083.578108,6138.077806,6053.391393,5660.701537
3,SP_0099,1079.060212,2.41744395,0.095965462,25.19077063,5.06E-140,3.44E-137,294.7858149,287.6548019,336.294528,324.3616619,2108.12002,1885.297783,1814.021679,1581.94541
4,SP_2239,6560.962215,1.58008341,0.070883265,22.29134649,4.48E-110,2.29E-107,3476.040199,3289.689815,2893.401977,3129.205415,9630.275544,10710.14213,9377.872351,9981.070285
5,SP_2240,5146.149111,1.510368324,0.069855296,21.62138598,1.13E-103,4.62E-101,2778.74723,2569.587526,2401.650545,2668.022106,8130.267069,8158.039717,7299.152662,7163.726035
6,SP_1027,6882.312045,1.178045558,0.055732281,21.13758005,3.59E-99,1.22E-96,4209.819428,3968.284868,4149.747572,4351.164257,10044.89705,9313.54481,9890.462148,9130.576223
7,SP_RS04335,1166.07996,1.804448896,0.096704451,18.65941919,1.06E-77,3.09E-75,478.3754089,555.0386279,456.8529437,449.3883388,2014.139145,1853.803754,1964.227296,1556.81417
8,SP_2107,4284.447801,0.936418516,0.052039452,17.99439613,2.16E-72,5.50E-70,3097.857218,2839.867206,2909.264927,2824.895201,5570.670297,5721.053412,5531.348096,5780.626049
9,SP_2055,1067.864571,1.038621343,0.066026455,15.73038166,9.36E-56,2.13E-53,728.566906,648.6712312,675.761646,704.1596805,1365.486831,1487.821407,1486.300333,1446.148535
10,SP_2106,10017.40593,0.903059571,0.0590596,15.29064832,8.83E-53,1.80E-50,7464.046331,6892.131831,6357.870134,6934.262583,13431.89408,13176.45046,13202.33844,12680.25362
11,SP_1415,287.3049873,1.455823356,0.10164542,14.32256713,1.58E-46,2.94E-44,140.7327171,147.6885392,136.4213651,156.8730947,418.3070319,385.5303647,482.128518,430.7582679
12,SP_1527,482.7576726,1.119242294,0.081911247,13.66408562,1.66E-42,2.83E-40,322.0057232,301.1687859,274.4290252,284.2587655,681.8220343,628.7945948,671.1985251,698.3839266
13,SP_0799,3948.929667,0.862129867,0.065154032,13.23217976,5.72E-40,8.99E-38,2809.44202,2696.039805,2850.572014,2731.714942,5167.105363,5552.723252,5146.905748,4636.93419
14,SP_2056,564.1920767,1.113719886,0.084770767,13.13801825,1.99E-39,2.91E-37,370.0749229,337.8495996,366.434132,319.6436741,716.8345172,786.2647437,761.5319729,854.9030516
15,SP_0100,180.0183156,2.037513276,0.160064247,12.72934658,4.06E-37,5.53E-35,46.91090571,44.40309023,52.34773314,64.87233238,401.7221716,331.2303133,285.7057885,212.9541898
16,SP_RS08485,5394.310487,0.740560996,0.059965722,12.3497387,4.89E-35,6.24E-33,4262.521803,3894.923241,4045.052106,3821.570126,7214.414228,6884.160512,6555.477301,6476.364582
