,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.d,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.d
33,SP_0862,60109.303,-1.812518467,0.046950947,-38.60451374,0,0,93297.45914,96585.82455,94185.0001,90334.90471,27637.73314,25519.5389,25802.97169,27510.99178
34,SP_RS04335,12861.51187,4.671292213,0.084308962,55.40682839,0,0,969.3601171,949.179144,1074.862428,850.2757268,26224.97511,28206.13761,23350.25189,21267.05291
35,SP_0959,7493.285392,-2.787344437,0.066844351,-41.6990275,0,0,11879.49443,14090.73472,13991.91733,12429.71649,1768.563764,1871.676364,1882.964073,2031.215966
36,SP_0960,10276.26379,-2.906468995,0.058997469,-49.26429934,0,0,18945.32879,17907.49027,18112.94276,17584.38055,2240.529597,2554.347016,2599.463722,2265.627651
37,SP_0961,15225.17845,-2.513548583,0.054446336,-46.16561474,0,0,25878.60108,24412.13946,25313.22601,28078.18248,4710.239943,4419.72568,4616.443926,4372.869029
38,SP_1027,48759.14725,4.077866797,0.068299219,59.70590666,0,0,5491.659809,5686.391311,5941.240916,4552.473779,93724.46112,95049.92269,90713.19801,88913.83035
39,SP_1118,3651.977287,-2.147086185,0.051391172,-41.77928075,0,0,6068.857144,5761.20346,6021.819625,5998.578631,1378.223951,1293.547527,1312.45965,1381.128306
40,SP_1119,5568.204383,3.407460392,0.065734256,51.8369049,0,0,861.6534375,939.8276253,930.9718752,1113.203882,10049.41883,9755.136903,10387.37318,10508.04933
41,SP_1229,5869.467929,-2.283371654,0.059165905,-38.59269346,0,0,9722.599124,9284.054133,9567.282841,10387.78251,1995.651538,2041.714257,2122.545983,1834.113048
42,SP_1354,12155.00558,-2.539498406,0.059082493,-42.98224874,0,0,21106.36665,20767.71905,21185.00606,19946.49317,3740.146091,3434.76544,3222.376688,3837.171455
43,SP_1355,17622.68789,-2.466930758,0.055210138,-44.68256813,0,0,28111.4434,31050.38178,29437.12925,30843.16888,5106.85868,5162.85425,5516.373475,5753.293395
44,SP_1356,5179.39571,2.171972108,0.052740407,41.18231568,0,0,1884.866894,1790.815823,1824.532207,2039.813589,8613.638073,8423.803177,8368.895589,8488.800325
45,SP_1382,2152.505108,2.604708461,0.063274444,41.16525235,0,0,591.0058834,564.4309477,625.9239037,665.8019407,3620.846523,3732.016868,3706.032668,3713.982131
46,SP_1586,14829.52503,-2.1539086,0.054362423,-39.62127634,0,0,25781.94124,25356.64285,22904.49816,22851.42521,5626.962935,5303.922724,5406.315535,5404.491624
47,SP_1659,9720.398316,-2.132943868,0.051173816,-41.68037536,0,0,15867.40329,15575.62229,15709.97053,16172.20192,3744.332041,3762.245827,3592.979954,3338.430678
48,SP_1848,6004.357834,-5.274921174,0.086203564,-61.19145149,0,0,12449.78749,10102.31202,10947.19324,13339.36309,281.5051199,298.5109678,327.9277391,288.2630179
49,SP_1961,24298.77958,-1.784534173,0.040540527,-44.01852473,0,0,38322.86514,37138.88839,37067.64525,38160.62907,10865.67903,10806.85276,11181.73695,10845.94005
50,SP_2056,1745.904597,2.723827018,0.071465599,38.11382051,0,0,441.8735577,448.8728957,460.4497683,487.6893196,3005.511912,2859.155684,3292.00518,2971.678462
51,SP_2063,38996.95781,3.143312281,0.05358158,58.66404559,0,0,7909.536682,8559.979402,7854.985265,7287.774746,69256.53841,72533.12703,70141.34758,68432.37336
52,SP_2106,18767.19497,2.910163502,0.045613201,63.80090529,0,0,4453.256948,4339.772624,4493.701957,4314.990284,33447.83138,32455.8254,34447.38648,32184.79473
53,SP_2107,11173.47029,3.3036403,0.051075001,64.68213855,0,0,1981.526735,2066.017658,2060.512713,2097.064074,20160.58043,20334.01293,21350.49164,19337.55613
54,SP_2156,10315.77753,2.390962368,0.048847416,48.94757064,0,0,3283.672875,3182.856173,3261.998827,3492.279606,16915.42289,17153.67456,18016.55962,17219.75566
55,SP_2215,25910.27932,-1.777714419,0.046720383,-38.05008193,0,0,40862.25725,40762.60187,39823.14933,39076.63683,11025.79161,11817.0038,11691.5972,12223.19669
56,SP_2239,17179.16897,2.626097731,0.054222398,48.43197367,0,0,4806.755795,5079.878529,4866.378488,4338.314556,30627.54774,29568.95984,28606.82873,29538.68805
57,SP_2240,11394.01695,2.432476991,0.064378568,37.78395599,0,0,3581.937527,3945.672909,3466.323412,3189.064073,19615.36047,19137.44998,17991.10404,20225.2232
58,SP_0848,5566.685977,-1.906088429,0.051040281,-37.34478699,3.08E-305,1.18E-303,8559.919325,9312.108689,8601.777233,8682.990277,2381.805401,2298.660406,2418.279903,2277.946584
59,SP_0913,1735.707216,2.671671815,0.072086498,37.06202828,1.15E-300,4.32E-299,517.8205754,432.8417208,456.1330517,483.4485429,3025.395173,2833.964885,3164.727291,2971.326492
60,SP_0294,24227.52235,-2.05620027,0.055803472,-36.84717419,3.25E-297,1.20E-295,40554.32661,37951.80255,41138.30898,36644.5514,9599.429236,9515.824312,9741.99941,8673.93628
61,SP_1180,4670.875748,-2.224994313,0.061222659,-36.34266068,3.43E-289,1.25E-287,7027.170422,8260.730805,8026.215023,7472.248532,1587.521438,1723.05065,1659.104726,1610.964387
62,SP_0051,1057.71572,-4.040920597,0.11163629,-36.19719548,6.74E-287,2.41E-285,2017.428962,1780.796339,2013.028831,2173.398055,98.36981884,112.0990554,161.7177892,104.8869101
63,SP_0227,11160.60664,-1.905816199,0.052893649,-36.03109689,2.73E-284,9.59E-283,18901.14143,17123.29863,16545.97464,17938.48541,4685.124244,4555.755994,4690.564579,4844.508154
64,SP_0922,2954.028711,-2.086998474,0.05840975,-35.7303102,1.34E-279,4.63E-278,4634.148936,4538.826378,4939.76267,5027.440769,1181.484314,1073.128036,1141.757539,1095.681044
65,SP_2135,23614.48825,-2.268072472,0.063922597,-35.48154463,9.47E-276,3.23E-274,40441.09651,40363.8264,37250.38625,38427.798,8876.306419,8500.635114,7872.511819,7183.345461
66,SP_1202,1929.002686,-2.171700552,0.061425039,-35.35529794,8.31E-274,2.79E-272,3167.681067,3146.118064,3285.021315,3032.155335,743.0060785,699.0446715,648.3685436,710.6264141
67,SP_0217,5720.94228,-1.847853545,0.052529822,-35.17722806,4.46E-271,1.47E-269,8957.605527,8578.682439,9364.397162,8939.557267,2337.852929,2501.446338,2489.405782,2598.590795
68,SP_2055,2656.99862,2.209196638,0.063245742,34.93036144,2.57E-267,8.38E-266,926.5536162,1032.006881,880.6101818,916.0077655,4401.526149,4230.794688,4302.741362,4565.748313
69,SP_1960,37267.53106,-1.570676944,0.045194363,-34.7538241,1.21E-264,3.90E-263,57251.62367,53305.66026,57874.21915,54669.97273,18693.40504,18565.61884,19290.08721,18489.66161
70,SP_0230,24906.76567,-1.943037071,0.056294765,-34.51541312,4.71E-261,1.49E-259,40119.35733,36593.82845,38974.19507,42511.66595,10419.87539,9600.213489,10702.57313,10332.41655
71,SP_1587,2422.589337,-3.525875064,0.102479991,-34.40549748,2.09E-259,6.51E-258,4512.633708,3536.87795,4608.814399,5182.229118,451.0360843,381.6406045,371.3519603,336.1308695
72,SP_1383,8297.973506,-1.517015322,0.044129207,-34.37667319,5.63E-259,1.73E-257,12045.19701,12457.55879,12076.73408,12618.43105,4326.179054,4380.679942,4275.788398,4203.219731
73,SP_0225,19949.03695,-1.864787352,0.054427843,-34.26164336,2.93E-257,8.88E-256,33230.27239,32119.79473,29470.22407,30444.53587,8437.828184,8095.06325,8785.917851,9008.659272
74,SP_1154,8866.50478,-1.632639653,0.047682283,-34.2399637,6.15E-257,1.84E-255,13750.55277,13405.402,13750.1812,12728.69124,4452.804034,4380.679942,4261.563222,4202.163823
75,SP_0233,2745.608939,-1.986645819,0.058096258,-34.19576209,2.80E-256,8.26E-255,4344.169414,4361.815489,4377.150609,4457.056304,1168.926464,1139.883654,1003.997941,1111.871641
76,SP_0770,4555.748513,-1.699747594,0.049707622,-34.19490894,2.88E-256,8.39E-255,7126.591972,6619.53928,6948.474784,7183.875717,2114.951105,2163.889632,2177.200606,2111.465012
77,SP_RS01740,5787.688011,-1.961743147,0.057522266,-34.10406573,6.42E-255,1.85E-253,9625.939283,9006.180435,9590.305329,8629.980569,2429.943823,2417.057162,2180.19538,2421.902108
78,SP_2214,18681.81887,-1.72842731,0.051293469,-33.69683011,6.43E-249,1.83E-247,27276.0262,30614.8682,28627.02544,28328.3883,8395.968687,8537.161772,8553.822876,9121.289511
79,SP_0222,7416.764573,-1.850910018,0.055266378,-33.49070612,6.58E-246,1.85E-244,10871.47037,11856.38973,11944.35477,11814.80386,3188.647213,3006.521858,3227.617542,3424.311235
80,SP_1152,3520.529211,-1.813640676,0.054292021,-33.40528917,1.15E-244,3.18E-243,5488.898099,5435.904204,5476.474431,5521.491253,1535.197066,1622.287454,1631.403067,1452.578113
81,SP_0962,3207.278579,-2.344023607,0.070285079,-33.35023088,7.23E-244,1.98E-242,5591.081359,5471.974347,5280.78328,5082.570866,1163.694027,1137.364574,986.7779912,943.9821905
82,SP_0979,6020.080184,-1.564602568,0.046921346,-33.34521891,8.55E-244,2.31E-242,8721.479345,8903.31373,9151.439144,9219.448529,3010.744349,3138.773552,3060.658898,2954.783926
83,SP_0921,2628.892567,-2.253852634,0.068352324,-32.97404522,1.91E-238,5.11E-237,4341.407704,4136.711076,4368.517176,4569.436886,882.1889073,794.7697076,944.851157,993.2579201
84,SP_0357,7831.395854,-1.823276652,0.055462369,-32.87412114,5.15E-237,1.36E-235,11456.95284,12189.03661,12223.50244,12993.73979,3555.964302,3538.047716,3205.905431,3488.017714
85,SP_1539,25578.67959,-1.599857152,0.048870894,-32.73640045,4.74E-235,1.24E-233,40950.63196,39147.46101,36487.76632,37323.07567,12570.40706,12431.65929,12795.17137,12923.26402
86,SP_0776,5765.896287,-2.609602686,0.079854698,-32.67938823,3.07E-234,7.90E-233,10857.66182,9349.514763,9138.488994,10322.05047,1545.661941,1668.890432,1397.062012,1847.839858
87,SP_0213,10671.06343,-2.127641998,0.065413505,-32.52603592,4.57E-232,1.16E-230,18119.57757,18303.59388,18022.29171,15046.2757,3862.585121,4229.535148,3829.56709,3955.081236
88,SP_0295,39113.09699,-1.898748024,0.058458403,-32.48032673,2.02E-231,5.09E-230,61544.70145,58358.1522,61734.80268,65182.85815,15762.19374,17599.5517,17462.52645,15259.9895
89,SP_0798,2597.600378,2.202606939,0.068309768,32.24439218,4.22E-228,1.05E-226,998.3580694,958.5306627,884.9268984,846.0349501,4568.964139,3949.917279,4176.212166,4397.858863
90,SP_1117,2041.283705,-1.903459762,0.059346415,-32.07371118,1.03E-225,2.52E-224,3156.634228,3041.247461,3345.455347,3348.093199,866.4915957,886.7161239,831.0497498,854.5819383
91,SP_0846,4608.02956,-1.814628519,0.056650502,-32.0319935,3.91E-225,9.52E-224,6568.726606,7356.305357,7532.670428,7258.089309,2112.85813,1954.806,2043.933169,2036.847478
92,SP_1588,19749.72475,1.846807096,0.058084127,31.79538373,7.50E-222,1.81E-220,8906.513897,8110.438541,8597.460517,8719.036879,32347.97309,30605.56121,32701.43331,28009.38059
93,SP_0216,21533.777,-1.95577157,0.062573873,-31.25540215,1.89E-214,4.49E-213,34917.67704,30425.83393,33814.27986,37872.25625,8429.456285,8989.336614,9051.704032,8769.671983
94,SP_0189,12662.99447,1.963985535,0.063027541,31.16075144,3.63E-213,8.55E-212,5002.837186,5694.406898,4736.876991,5184.349506,21368.22692,19697.94526,18851.35284,20767.96016
95,SP_1344,608.4338431,2.953590453,0.095765476,30.84191269,7.19E-209,1.68E-207,139.4663416,140.9407455,126.6236863,146.3067959,1092.532882,1073.128036,1048.919549,1099.552708
96,SP_1179,12021.49865,-1.524062034,0.049886438,-30.55062841,5.55E-205,1.28E-203,17411.19903,18518.67881,18121.57619,17315.09123,6556.243777,6043.272674,6276.297345,5929.630113
97,SP_1972,5634.475752,1.781249369,0.058348464,30.5277852,1.12E-204,2.55E-203,2525.583553,2424.715195,2499.378898,2711.976695,8997.698962,8523.306833,9253.851268,8139.294614
98,SP_0981,20874.06044,1.540087615,0.050730077,30.35847162,1.94E-202,4.39E-201,10963.98765,11161.70549,10489.62128,10054.88154,32577.15384,30910.36988,31106.71622,29728.04764
99,SP_2189,4550.144615,-1.741745424,0.057581482,-30.24836028,5.48E-201,1.23E-199,7401.382091,6487.282088,6919.696674,7219.922319,2155.764115,2129.882053,2110.566887,1976.660694
100,SP_0355,3906.635593,-1.818902665,0.060508692,-30.06018816,1.61E-198,3.56E-197,6159.993565,6458.559566,5805.983797,5937.087369,1672.28692,1775.951328,1599.957942,1843.264255
101,SP_1540,17197.71656,-1.637681325,0.05478164,-29.89471176,2.31E-196,5.06E-195,27889.12576,25981.1907,26536.29571,23748.34948,8120.742492,8214.719545,8579.278453,8512.030312
102,SP_0353,6316.000318,-1.462034024,0.049042685,-29.81145956,2.78E-195,6.03E-194,9193.731709,9231.284849,9531.310203,9119.790277,3436.664735,3451.139459,3153.496889,3410.584424
103,SP_0209,12137.7561,-2.024798439,0.068341329,-29.62772987,6.57E-193,1.41E-191,22082.63104,19729.70048,18061.14216,18120.83881,4706.053993,4409.64936,5010.25669,4981.776258
104,SP_0232,2392.962917,-2.348851187,0.080248853,-29.26959205,2.53E-188,5.39E-187,4262.698977,3908.9348,4211.676474,3638.586402,734.634179,790.9910878,694.7875386,901.3938814
105,SP_0897,34995.64556,-1.363568401,0.04662587,-29.24488909,5.22E-188,1.10E-186,50529.62217,51570.28558,49597.63457,49958.46982,19365.24997,20234.50928,18426.09495,20283.29816
106,SP_1107,12330.25194,-1.48690254,0.050901704,-29.21125272,1.40E-187,2.92E-186,17701.17855,19059.06299,18517.27521,17435.95337,6242.297547,6583.615312,6816.105336,6286.527183
107,SP_0354,5576.480141,-1.722295746,0.059480035,-28.95586325,2.37E-184,4.90E-183,8569.585309,8435.737797,9165.828199,8078.679599,2698.891094,2571.980575,2377.101762,2714.03679
108,SP_1283,12606.83875,1.542698327,0.053370681,28.90535189,1.02E-183,2.10E-182,5968.054738,6369.052173,6516.803126,6908.225232,18626.42985,19355.35039,19080.45304,18030.34141
109,SP_RS02475,458.8800497,-2.813808917,0.098455688,-28.5794451,1.21E-179,2.46E-178,762.231887,832.9531264,841.7597326,773.9417463,124.5320047,115.8776753,113.8014072,105.9428185
110,SP_0191,2083.468797,1.782768653,0.062421271,28.56027499,2.09E-179,4.22E-178,984.5495207,968.5501469,851.8320713,937.211649,3083.998469,3328.964084,3235.104477,3277.539955
111,SP_1201,769.6976647,-2.426315019,0.085029062,-28.53512616,4.30E-179,8.57E-178,1273.148188,1391.372383,1305.087312,1217.102911,268.9472707,253.1675297,211.8802515,236.8754714
112,SP_1244,2726.034042,-1.501528902,0.052620882,-28.53484847,4.33E-179,8.57E-178,3871.917049,4105.984657,4197.287419,3943.922324,1401.246675,1435.875542,1419.522816,1432.515852
