,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV20min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV20min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV20min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV20min.d,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V20min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V20min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V20min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V20min.d
1,SP_0284,17700.63813,-2.10284256,0.055474675,-37.90635204,0,0,29368.98728,27481.97917,28781.05747,29378.49224,6425.48198,6332.950315,6508.764975,7327.391584
2,SP_RS04335,6541.075148,3.293413643,0.071637867,45.97308366,0,0,1028.80273,1226.318604,1292.45952,1239.906574,12610.33471,11966.78891,11165.64775,11798.34238
3,SP_1027,28437.09928,2.488958598,0.058590434,42.4806308,0,0,8118.727101,8226.773644,9080.03605,8723.107427,49053.18049,45163.48809,46932.46728,52199.01419
4,SP_1275,7865.00077,-1.979650712,0.050780136,-38.98474595,0,0,12840.85762,12171.44939,12115.04982,13118.69779,3113.424673,2998.993254,3296.488118,3265.045493
5,SP_2107,10786.02358,2.050709473,0.040239992,50.96197459,0,0,4051.962092,4214.613465,4243.080529,4237.563056,17595.44633,17522.65804,17513.64577,16909.21934
6,SP_2239,20451.30477,2.291955888,0.0446795,51.29770657,0,0,6816.743267,6842.28841,7009.287725,6970.219898,35257.86023,33071.2511,32473.39364,35169.39392
7,SP_2240,14366.67436,1.95855915,0.048881427,40.06755232,0,0,5609.632674,5939.684176,6085.655831,5795.955437,23663.38956,22255.7097,21832.15238,23751.21508
8,SP_1277,2710.845294,-1.971110425,0.056604751,-34.82234944,1.12E-265,3.09E-263,4115.210919,4438.155636,4343.101581,4422.333448,1028.349527,1171.284366,1097.043073,1071.2838
9,SP_0799,9989.200347,1.438825447,0.042683341,33.70929736,4.22E-249,1.04E-246,5482.46216,5475.728728,5452.710117,5047.149113,14753.29708,14328.08774,14619.84059,14754.32724
10,SP_1276,3315.997584,-1.934697429,0.060015005,-32.23689522,5.37E-228,1.19E-225,5066.634765,4935.853298,5257.356501,5808.111383,1345.0267,1344.211065,1349.676859,1421.110103
11,SP_0099,1432.726752,1.972726032,0.061444235,32.10595831,3.64E-226,7.33E-224,583.3695008,573.6176445,575.1210441,581.0542573,2149.772632,2289.863113,2354.087544,2354.928283
12,SP_2106,20421.70733,1.602357573,0.050112769,31.97503538,2.43E-224,4.48E-222,9924.010113,9944.463245,10208.39853,10274.20624,31389.63154,28856.54395,29916.43351,32859.9715
13,SP_1119,1869.985209,2.131876799,0.067397745,31.63127786,1.37E-219,2.34E-217,729.380091,700.1509484,681.393411,622.3844764,3003.325441,2907.956276,2997.155361,3318.135664
14,SP_0742,8522.860331,1.704535772,0.05651656,30.15993504,7.95E-200,1.26E-197,4232.961395,3809.706893,3986.776586,3892.334167,14135.83335,12850.58809,12870.54302,12404.13915
15,SP_0266,18491.22302,-1.314985752,0.044247575,-29.71882069,4.39E-194,6.48E-192,27073.86229,26578.32049,26033.60422,25909.18502,10979.27702,10626.93368,10767.55815,9961.043263
16,SP_1382,1509.637172,1.780983386,0.060389445,29.49163372,3.69E-191,4.95E-189,681.6070408,714.9131672,636.0713722,663.7146956,2443.748932,2264.599263,2356.384215,2316.058693
17,SP_1972,5865.937604,1.400212157,0.047482987,29.48871232,4.02E-191,4.95E-189,3130.81694,3067.378176,3313.197319,3379.353212,8340.300581,8440.303889,8774.047916,8482.102795
18,SP_2156,6852.875281,1.425386394,0.048336726,29.48868297,4.02E-191,4.95E-189,3708.803562,3578.783613,3657.019683,3906.921303,9861.259043,9550.170964,10380.9519,10179.09218
19,SP_0960,14707.23093,-1.41316458,0.050124632,-28.19301635,7.12E-175,8.30E-173,21384.15929,22261.42594,21348.24311,20633.50411,7432.265679,8021.708026,8157.009034,8419.532237
20,SP_0097,4617.583538,1.623800633,0.058097095,27.94977327,6.63E-172,7.35E-170,2215.054667,2212.22393,2331.740755,2256.143727,6563.957303,6807.300882,6900.730121,7653.516918
21,SP_2056,1575.45516,2.037197655,0.077366946,26.33162827,8.33E-153,8.79E-151,600.1909974,594.7065285,659.513806,590.7790147,2542.497728,2572.121302,2798.876117,2244.955786
22,SP_0981,23922.79957,1.289007892,0.049162275,26.21945149,1.59E-151,1.61E-149,14210.12744,14101.08228,14212.36624,12890.16599,35636.9648,32744.12779,33405.07642,34182.48557
23,SP_0282,37374.1767,-2.01111537,0.076795881,-26.18780249,3.66E-151,3.52E-149,56356.72351,53803.01528,60620.57114,69403.16269,14070.00082,14674.37672,16034.58979,14030.97366
24,SP_0283,19772.43154,-2.009009401,0.081032278,-24.79270554,1.07E-135,9.92E-134,29774.04892,30073.80301,30876.81106,36343.84976,6864.743864,7568.701057,7880.642984,8796.851664
25,SP_0098,6038.366913,1.704635667,0.068992324,24.70761344,8.86E-135,7.85E-133,2502.365829,2757.371582,2952.183838,3082.74811,8910.092483,8709.930153,9708.027364,9684.215944
26,SP_1415,650.7468481,2.011406026,0.083133214,24.19497492,2.51E-129,2.14E-127,257.7053274,293.1354875,246.92697,206.6510957,1045.375182,1058.903791,1021.252938,1076.023994
27,SP_0415,5166.022387,1.407175557,0.058318957,24.12895619,1.24E-128,1.02E-126,2799.097028,2965.097089,2714.633841,2783.711818,7970.276358,6914.01887,7376.140971,7805.20312
28,SP_0798,2477.808666,1.378995725,0.057485468,23.98859709,3.66E-127,2.89E-125,1375.325559,1435.098555,1334.655901,1327.429391,3719.53797,3519.951269,3360.029343,3750.441339
29,SP_2063,19457.1023,1.063723454,0.044420167,23.94685849,9.96E-127,7.61E-125,12618.141,12725.0326,12576.08435,12360.16671,26920.96478,25418.04682,25337.63754,27700.74456
30,SP_1179,10881.40057,-0.943200747,0.040391259,-23.35160559,1.33E-120,9.80E-119,14394.49104,14207.58114,13852.91558,14854.567,7256.333916,7488.118087,7412.887703,7584.310089
31,SP_2189,4962.034991,-0.962704691,0.041416616,-23.24440719,1.62E-119,1.16E-117,6441.287464,6521.737374,6587.323916,6702.789068,3351.783835,3268.619517,3369.981583,3452.757168
32,SP_0236,57642.09313,-1.016040396,0.043822044,-23.18560036,6.36E-119,4.40E-117,80573.62282,76891.12547,76091.01467,75218.56764,36641.47841,39841.96295,37545.97382,38332.99927
33,SP_0775,5750.407562,-1.358966955,0.059998746,-22.64992255,1.40E-113,9.38E-112,8513.022981,8706.545755,8312.687048,7602.329132,3128.18024,3106.582409,3128.065595,3505.847338
34,SP_0961,26885.64019,-1.254405827,0.056123929,-22.35064172,1.19E-110,7.75E-109,36330.39542,38682.28546,40005.2948,36735.27124,15634.09094,16186.72307,16902.73134,14608.32927
35,SP_0191,1985.608984,1.13414086,0.051692975,21.93994187,1.08E-106,6.84E-105,1227.969249,1201.011943,1278.39406,1264.218468,2688.918356,2792.091032,2648.82696,2783.441803
36,SP_2176,9135.43376,1.325277114,0.062115207,21.33579177,5.28E-101,3.25E-99,5241.578329,5173.103243,4729.120325,5630.63456,12726.10916,12457.25607,12976.18988,14149.47851
37,SP_0386,1519.763683,1.4050339,0.066124513,21.24830609,3.42E-100,2.05E-98,795.9932174,784.5064844,923.6318942,821.742004,2144.097414,2187.500962,2150.449402,2350.188089
38,SP_0913,1187.938708,1.573925049,0.074618467,21.09296955,9.23E-99,5.38E-97,572.603743,554.6376489,637.6342011,617.5220977,1736.616751,1662.622694,1758.484256,1963.388274
39,SP_0235,28235.22115,-0.912697225,0.043756985,-20.85832049,1.28E-96,7.27E-95,38077.13962,36108.38717,37024.98005,36407.06068,18441.05383,19740.64986,20083.62037,19998.87766
40,SP_1180,4787.116686,-1.169797289,0.056124042,-20.84306921,1.76E-96,9.76E-95,6069.19596,6906.609507,6560.755824,7018.843685,2878.470642,2931.042208,2886.915164,3045.100501
41,SP_0617,4226.200271,1.558084629,0.074874205,20.80936466,3.56E-96,1.92E-94,2065.006918,2097.289513,2161.392402,2195.363993,6856.798559,6558.147049,6548.573935,5327.029799
42,SP_0783,6773.149301,1.710009377,0.083344762,20.51729877,1.51E-93,7.96E-92,2642.32068,2952.443759,3467.917383,3527.655763,10838.53161,10526.74945,10566.21668,9663.359092
43,SP_0237,35634.27061,-0.874978998,0.04302754,-20.33532465,6.26E-92,3.23E-90,48042.19419,45510.86609,46541.04536,44495.62769,24499.91672,25953.37909,24474.85489,25556.28088
44,SP_0085,29815.86009,-1.101156825,0.05436485,-20.25494082,3.21E-91,1.62E-89,40545.1896,40016.15737,39448.92771,42878.88676,17687.38486,20486.36902,18469.06081,18994.90462
45,SP_1072,5634.611949,-0.816169757,0.040459006,-20.1727584,1.70E-90,8.36E-89,7087.905792,7180.764998,7092.117658,7412.696362,3982.868092,4041.344867,4132.47628,4146.721541
46,SP_1961,33452.89018,-0.806025199,0.040184707,-20.05800863,1.72E-89,8.27E-88,43110.80425,43029.75889,41105.52637,43087.96904,23529.45442,24087.33884,24461.07486,25211.19477
47,SP_1286,5907.648176,-1.480868735,0.0744957,-19.87858011,6.24E-88,2.94E-86,7699.535407,8649.605768,8351.757771,10189.11461,3044.187011,3110.502662,3137.252278,3079.229896
48,SP_1278,679.9153685,-1.669185251,0.085357767,-19.55516543,3.73E-85,1.72E-83,1115.601652,1004.885322,1004.898998,1030.824289,276.9506453,355.4362375,304.6916561,346.0341478
49,SP_0281,8976.645684,0.830723724,0.043322292,19.17543351,5.94E-82,2.68E-80,6727.252906,6492.212936,6320.08017,6253.019036,11908.87775,11481.98434,11311.10356,11318.63477
50,SP_1154,11230.72219,-0.83964734,0.044440348,-18.89380654,1.28E-79,5.68E-78,13885.80898,14771.70879,14940.64452,14074.15521,8139.397859,8040.438122,7742.842738,8250.781338
51,SP_0354,9644.406944,-0.850567501,0.045223586,-18.80805075,6.49E-79,2.82E-77,12249.4138,13057.18252,12540.13929,11813.14911,6797.77629,7084.332067,6823.408871,6789.853607
52,SP_0979,9516.455138,-0.744898475,0.03970132,-18.76256207,1.53E-78,6.51E-77,11698.34157,11810.82948,12118.17548,12090.30469,6829.557512,7189.743304,7216.139574,7178.549499
53,SP_0463,2201.379185,-1.166814293,0.062772551,-18.58797004,4.02E-77,1.68E-75,3232.41878,3131.699272,3100.652586,2730.225652,1349.566874,1414.775612,1368.050225,1283.644483
54,SP_1035,1638.510594,-1.180634889,0.063873075,-18.48407773,2.77E-76,1.14E-74,2293.106412,2368.281672,2186.397665,2263.437295,913.7101208,981.3699057,1097.80863,1003.973048
55,SP_2230,5315.574657,-0.857615326,0.04649081,-18.44698594,5.51E-76,2.22E-74,7128.277384,6727.353993,6940.523253,6607.972683,3888.659471,3664.129448,3693.046605,3874.634417
56,SP_1118,5017.196997,-0.882501944,0.047864803,-18.4373878,6.58E-76,2.60E-74,6834.237624,6399.421847,6193.491027,6615.266251,3424.426627,3598.356321,3484.049565,3588.326711
57,SP_0681,23894.24754,-0.723158286,0.039269959,-18.41505086,9.95E-76,3.87E-74,30216.11785,28979.28993,29092.06043,30810.46277,18156.15788,17712.13692,17821.39965,18366.35492
58,SP_0271,27772.20325,-0.923295196,0.050328915,-18.34522356,3.60E-75,1.38E-73,34522.42097,36839.117,37889.22444,36346.28095,18653.30699,18150.33404,19563.80721,20213.13442
59,SP_0845,12832.91143,-0.74367864,0.040731443,-18.25809688,1.78E-74,6.70E-73,16337.71032,15469.75085,16608.18298,15895.11604,9593.388747,9814.134641,9448.503567,9496.50427
60,SP_0408,2782.889922,1.111787362,0.060942475,18.2432263,2.34E-74,8.65E-73,1624.956568,1670.239612,1870.706222,1881.740565,3898.874863,3763.442515,3905.105874,3648.053153
61,SP_0920,2521.667082,-0.852012795,0.046776274,-18.21463599,3.95E-74,1.43E-72,3164.459934,3252.960355,3245.995676,3330.729425,1787.693715,1739.285412,1831.977721,1820.234421
62,SP_0385,1362.938274,1.330336432,0.07321685,18.1698124,8.95E-74,3.20E-72,771.0974025,810.8675894,754.8463704,739.0815657,1906.873296,1803.316205,1924.610109,2192.813654
63,SP_0916,1853.859761,-1.042049642,0.057568109,-18.10116156,3.12E-73,1.10E-71,2533.317382,2511.686083,2428.636148,2530.868125,1130.503454,1273.210934,1266.996711,1155.65925
64,SP_0959,9888.549382,-1.472771759,0.081539264,-18.06211744,6.33E-73,2.19E-71,15140.69263,15600.50193,14710.90866,12870.71648,4587.846346,6001.471177,5062.627944,5133.629891
65,SP_1004,6195.574957,-0.832456976,0.046522163,-17.89377206,1.32E-71,4.49E-70,7628.885121,8245.75364,8028.252184,7862.466393,4307.49057,4477.364075,4365.205586,4649.182084
66,SP_0962,5569.322446,-1.111867292,0.062334978,-17.83697257,3.65E-71,1.22E-69,7365.796915,7953.672597,7485.950547,7706.870274,3658.245614,3770.847436,3489.408463,3123.787718
67,SP_0862,78269.87739,-0.849228906,0.047958215,-17.70768372,3.66E-70,1.21E-68,98541.67259,104288.7491,105203.3919,94908.77027,58200.49709,55723.3419,54473.20299,54819.39332
68,SP_0294,32856.68647,-0.975870314,0.055193904,-17.68076253,5.90E-70,1.92E-68,44496.22271,43732.01873,46769.21839,39433.89144,22623.6896,22229.1391,22092.44174,21476.87009
69,SP_1356,2579.950587,0.893041491,0.050777252,17.58743258,3.07E-69,9.87E-68,1742.707044,1767.248478,1795.690434,1925.501974,3405.130885,3228.981407,3405.962759,3368.381718
70,SP_0100,297.177521,1.959538691,0.111878986,17.5148056,1.10E-68,3.50E-67,116.4047562,113.8799735,114.0865115,136.1466042,499.4191965,462.5898091,421.0563087,513.8370085
71,SP_0921,3518.699171,-0.950028481,0.054328676,-17.48668574,1.81E-68,5.65E-67,4633.313013,4602.648931,4541.580854,4801.598988,2206.524814,2495.894168,2347.197532,2520.835066
72,SP_2175,6952.8933,0.965920974,0.055673314,17.34980212,1.98E-67,6.09E-66,4382.336285,4647.990031,4768.191048,5020.40603,8960.034402,8918.139125,9102.471837,9823.577642
73,SP_RS02290,1167.496668,-1.017705464,0.05880825,-17.30548789,4.28E-67,1.30E-65,1511.916111,1604.864072,1587.834187,1563.254759,746.8587075,809.7499577,749.4802294,766.015319
74,SP_RS01740,9894.124378,-0.853770225,0.049590068,-17.21655676,2.00E-66,5.97E-65,12393.40581,13364.02578,12666.72843,12578.97375,6571.902608,7235.479584,7025.515899,7316.963158
75,SP_1202,2510.228817,-0.84136575,0.048966463,-17.18248975,3.59E-66,1.06E-64,3237.128799,3300.410344,3158.477256,3199.445199,1852.391202,1845.567816,1711.785284,1776.624638
76,SP_1073,4292.160194,-0.718285193,0.042050457,-17.08150752,2.04E-65,5.94E-64,5236.86831,5331.269873,5338.623605,5475.038441,3218.98373,3323.06747,3253.616931,3159.813191
77,SP_0360,12628.38065,-0.720292826,0.042818129,-16.82214614,1.68E-63,4.83E-62,15432.04095,16421.91396,15823.64286,15219.2454,9308.492796,9633.367437,9374.244545,9814.097255
78,SP_1586,16571.8221,-0.992632352,0.0591645,-16.77749927,3.57E-63,1.01E-61,22731.22474,24213.20215,21063.80824,20319.88068,10928.20005,11079.50507,10759.90258,11478.85332
79,SP_0272,37654.55092,-0.854848262,0.050971909,-16.77096826,3.98E-63,1.12E-61,49036.68106,50141.98502,44487.48816,50483.64708,26357.98314,27154.28314,27571.53265,26002.80714
80,SP_0729,762.4222443,1.131972116,0.067607222,16.74336079,6.33E-63,1.75E-61,477.7305024,465.009892,451.6575591,515.4121445,1079.426491,1029.719688,1064.124126,1016.297552
