"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV90min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV90min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV90min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV90min.d","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V90min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V90min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V90min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V90min.d"
"1","SP_0045",11232.2780954591,-6.89942596080748,0.0955037355193095,-72.2424722267803,0,0,22312.283120059,22134.5387075408,21580.8698355078,23106.4429660812,152.236369265906,175.734670964942,161.730720653008,234.388373599773
"2","SP_0047",3714.14173056007,-6.49566916030004,0.1066719399347,-60.8938879735045,0,0,6911.37215158237,7654.33600545552,7281.70711999017,7548.22819064895,86.6172445823256,68.0971849989151,71.7680072897724,91.0079399325125
"3","SP_0048",2301.69981075733,-6.50095127194294,0.123049798163926,-52.8318726966331,0,0,4576.94591953194,4649.30038849891,4633.27579645685,4360.90449016283,41.9962397974912,49.42537620889,48.5192161959025,53.2310592058092
"4","SP_0049",1179.36563758251,-5.12258579600655,0.129137585159042,-39.6676598040588,0,0,2467.47189656924,1980.45521570348,2410.80215414705,2315.40742044446,81.3677146076392,62.6054765312606,68.7355562775285,48.0796663794406
"5","SP_0050",9166.78637304248,-4.70550904103636,0.0787082389563848,-59.784199258274,0,0,17873.6346675927,16776.1699814559,17674.2857313235,18334.0575000565,606.320712076279,680.971849989151,613.56592147735,775.284620368479
"6","SP_0051",1940.66127879733,-5.18920082297638,0.105226277817993,-49.3146857475276,0,0,3586.98113946106,3891.53780007211,4058.43012943528,3585.57377680257,87.9296270759972,97.752410724249,96.0276153877236,121.057731419663
"7","SP_0053",1258.55165556865,-5.62557030907666,0.128496989420292,-43.7797829696724,0,0,2382.56775539605,2440.71594282891,2494.61327198038,2557.53288212523,41.9962397974912,40.6386426606429,65.7031052652846,44.6454044951948
"8","SP_0054",3984.16682567278,-5.90904787393721,0.0986417218391945,-59.9041436398498,0,0,7844.44240406297,7681.68483127022,8084.32182488821,7757.27640346623,103.678217000056,103.244119191903,147.57928259587,151.107522906813
"9","SP_0107",10779.9887134288,4.16163708953982,0.0779329387174248,53.4002330468943,0,0,1111.63153907163,1281.39254609848,1035.31380852941,1094.19539240433,19941.65199134,19381.3375240461,19854.4675941649,22539.9193117759
"10","SP_0283",12321.8007605631,-2.994753691442,0.0642161101804507,-46.6355511572811,0,0,23722.3921038735,20655.7009799508,21203.2267986823,22042.6786426313,2784.87565157113,2618.44659737764,2752.45470211338,2794.63060830498
