,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV30min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV30min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV30min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV30min.d,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V30min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V30min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V30min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V30min.d
1,SP_0282,19564.56584,-2.847400336,0.068519991,-41.55576048,0,0,35551.97991,34008.9081,30846.5275,37139.24915,4720.550619,4347.060085,4914.175527,4988.075796
2,SP_0283,12333.6961,-3.082428914,0.064409694,-47.85659932,0,0,24569.97676,21141.29032,21444.58256,21166.54764,2463.494347,2523.703056,2689.401056,2670.573072
3,SP_0284,9731.937856,-2.981323381,0.060192619,-49.52971689,0,0,18169.48307,16218.79799,17232.86841,17532.35501,2148.676284,2086.293958,2359.66606,2107.362058
4,SP_0742,5222.841176,1.741132117,0.045954338,37.88830844,0,0,2361.660718,2368.395902,2454.66291,2425.711104,8075.169318,7880.735835,8164.688123,8051.705498
5,SP_RS04335,8988.370112,4.413148493,0.083552214,52.81904885,0,0,798.9208969,752.0871185,833.4134017,789.8245326,19248.63006,17475.47642,17677.35539,14331.25308
6,SP_1027,31349.67463,3.27542865,0.062579518,52.34026674,0,0,5412.022139,5529.590191,6100.846542,6302.34987,59636.51887,57401.34342,56811.8409,53602.88513
7,SP_1119,2191.162201,2.804377467,0.060610127,46.26912383,0,0,514.5949187,565.6723626,570.181267,534.8811708,3760.613576,3861.732574,3921.223552,3800.398189
8,SP_2063,25043.25308,2.306565241,0.044509446,51.82192651,0,0,8394.285733,8171.537249,8649.45449,8408.13205,42173.57815,41616.52689,40231.41642,42701.09368
9,SP_2106,16437.43249,2.354606409,0.045611886,51.62264929,0,0,5590.34016,5373.887445,5286.966267,5198.845025,28251.05039,27405.6459,27404.53775,26988.187
10,SP_2107,8879.575958,2.790371055,0.051761842,53.90787768,0,0,2328.664864,2284.830667,2184.919733,2134.525794,15001.16669,15821.67685,15244.62305,16036.20001
11,SP_2239,13835.33195,2.3220043,0.049577461,46.83588624,0,0,4559.746244,4670.368156,4347.515893,4828.927206,22381.32783,23412.44486,23048.66352,23433.6619
12,SP_2240,10477.10651,2.185102121,0.059053428,37.00212157,1.06E-299,1.95E-297,4031.812576,3808.289189,3638.742441,3571.70651,16767.93254,18490.36383,16874.56308,16633.4419
13,SP_2156,6660.705146,2.040342415,0.056751834,35.95200871,4.71E-283,8.02E-281,2809.561889,2472.673888,2591.394796,2514.441392,10762.30491,10248.39688,10909.35726,10977.51015
14,SP_0085,17001.31033,-1.793222392,0.050691021,-35.37554304,4.06E-274,6.42E-272,25625.14206,26063.06841,26400.41583,27537.63224,7264.899878,7587.081974,7495.850661,8036.391603
15,SP_1275,5815.813254,-2.477453463,0.070299926,-35.24119612,4.68E-272,6.91E-270,9648.128196,9119.324149,9907.945932,10798.85093,1950.839797,1634.140733,1728.298484,1738.977815
16,SP_0236,31624.49956,-1.618882638,0.046172388,-35.06170495,2.59E-269,3.58E-267,47872.07027,48166.43029,48183.57259,46728.36883,14903.10861,15736.89812,15157.50557,16248.04222
17,SP_0107,10231.30396,1.770249244,0.051244876,34.54490248,1.70E-261,2.22E-259,4906.553733,4621.086094,4434.949888,4550.239119,16394.62369,15584.54215,15357.96946,16000.46759
18,SP_1382,1536.42458,2.268254981,0.066660903,34.02676646,8.96E-254,1.10E-251,539.868339,534.2461203,493.9090584,533.6314485,2552.950845,2696.946548,2403.693176,2536.151108
19,SP_1286,4088.56286,-1.927752731,0.056939223,-33.85632333,2.93E-251,3.41E-249,6564.068881,6315.24625,6196.651878,6853.477432,1615.377927,1674.687082,1751.717163,1737.276271
20,SP_0783,5104.822516,1.958028931,0.059882122,32.69805521,1.66E-234,1.84E-232,2040.828688,2086.988186,2034.235613,2180.765521,7459.295731,8348.861864,8042.910994,8644.693529
21,SP_1277,1604.811343,-2.548252626,0.081432853,-31.29268498,5.87E-215,6.19E-213,2695.831498,2669.087903,2674.178047,2953.093941,376.7494846,500.0716378,468.3735729,501.1046638
22,SP_1118,3226.878192,-1.786287531,0.057109662,-31.27820171,9.24E-215,9.30E-213,5208.430698,5089.622798,4919.557457,4812.680815,1431.303978,1390.862639,1429.476145,1533.091009
23,SP_0799,7333.472649,1.594265989,0.051837212,30.75524167,1.04E-207,1.00E-205,3855.600673,3730.437816,3497.359811,3477.977333,11065.08075,11228.88132,10840.03797,10972.40552
24,SP_0237,20233.23486,-1.675401707,0.054889816,-30.52299733,1.29E-204,1.19E-202,31352.37991,32619.72535,28456.04487,30921.8804,9556.362497,9731.123762,9298.152169,9930.209908
25,SP_0212,41841.17132,-1.200116294,0.040926076,-29.32400124,5.13E-189,4.54E-187,59207.9013,58874.20815,56527.00809,58690.71128,25247.37642,24922.48919,25545.09467,25714.58143
26,SP_0266,14034.32173,-1.68768477,0.058531262,-28.83390382,8.06E-183,6.87E-181,20126.06702,20362.06236,22865.85006,22393.775,6349.691085,6838.817533,6738.02222,6600.288594
27,SP_0235,15998.87564,-1.546420763,0.053768645,-28.76064203,6.67E-182,5.47E-180,23869.34138,24134.63991,23313.25168,24104.64491,7643.36968,7830.360068,8416.673105,8678.724406
28,SP_0273,74918.58751,-1.220946913,0.043168729,-28.28313289,5.57E-176,4.41E-174,106398.2913,106134.9913,101014.169,106030.1943,43549.83197,45050.67978,45209.29075,45961.2517
29,SP_2056,1126.764607,2.282768597,0.081194578,28.11479098,6.46E-174,4.93E-172,337.6809766,440.6816259,372.9897032,373.6669862,1895.789644,1820.899674,1864.12682,1908.281428
30,SP_0920,1501.90696,-1.756346769,0.062720818,-28.00261281,1.51E-172,1.11E-170,2318.836312,2237.691303,2314.210428,2415.713325,648.559615,681.9158697,710.0543365,688.2744873
31,SP_1276,2125.705203,-2.426128416,0.088014495,-27.56510075,2.92E-167,2.08E-165,3383.128122,3161.908522,3616.418868,4200.316858,677.8050088,642.5981979,626.6838406,696.7822065
32,SP_0098,4523.873562,1.796882224,0.06560022,27.39140529,3.47E-165,2.40E-163,2275.309866,1896.288034,1920.757449,1964.563553,7182.324649,7015.747056,7113.657825,6822.340066
33,SP_0775,3608.779399,-1.91414668,0.07007619,-27.31522173,2.80E-164,1.88E-162,5694.241999,5447.453421,5994.809569,5702.483137,1434.744612,1725.062849,1419.171926,1452.267676
34,SP_2215,21444.78632,-1.34391045,0.049589359,-27.10078308,9.64E-162,6.28E-160,30098.53745,32109.76314,29137.844,31794.18661,11797.93591,12119.67232,12326.65569,12173.69547
35,SP_1961,20322.22462,-1.412544489,0.052747497,-26.77936541,5.62E-158,3.56E-156,31346.06155,28636.44913,29197.37353,29079.78964,10538.66366,11035.97899,11056.42656,11687.05393
36,SP_0099,1098.884314,1.830901407,0.068806685,26.60935339,5.29E-156,3.26E-154,515.9989976,472.1078683,488.3281651,439.9022713,1737.520454,1684.5165,1699.259323,1753.440937
37,SP_1972,4566.416516,1.47966258,0.057066421,25.92877812,3.16E-148,1.89E-146,2537.170581,2396.965213,2483.497525,2198.261634,6695.474858,6691.376264,6605.004125,6923.581925
38,SP_1355,15713.37141,-1.386098911,0.053477094,-25.91948838,4.02E-148,2.34E-146,21771.6475,24101.07097,21988.71966,23119.86369,8360.741986,8744.495936,8529.082763,9091.34879
39,SP_1180,3110.173823,-1.579494197,0.061213988,-25.8028311,8.24E-147,4.68E-145,4985.884192,4593.231015,4383.791699,4698.95608,1474.31191,1619.396606,1595.280389,1530.538693
40,SP_0922,2269.9763,-1.511273202,0.059173536,-25.53968038,7.15E-144,3.96E-142,3242.720231,3455.458195,3346.675691,3412.99177,1185.298607,1091.065391,1205.593577,1220.00694
41,SP_0919,1590.125332,-1.737454008,0.068169453,-25.48728097,2.73E-143,1.47E-141,2420.632032,2292.687227,2588.604349,2495.695556,703.609768,775.2953401,749.3977167,695.0806627
42,SP_1356,2857.51536,1.578019739,0.0629392,25.07212888,1.00E-138,5.28E-137,1467.262456,1311.331386,1421.267498,1524.661281,4557.120478,4188.56072,4204.12119,4185.797871
43,SP_0626,4133.137232,-1.465519225,0.058538595,-25.0350938,2.54E-138,1.31E-136,6241.832772,6480.234023,5718.55535,5844.951486,2265.657859,2148.956497,2155.455183,2209.454689
44,SP_0961,17577.26657,-1.675010029,0.067305012,-24.88685435,1.03E-136,5.20E-135,25981.07606,28906.42912,24018.30453,28288.71538,7763.79189,8554.050964,8492.549624,8613.214968
45,SP_0916,1181.090641,-1.715542735,0.069107562,-24.82424058,4.91E-136,2.42E-134,1833.02501,1784.153487,1814.720476,1828.343815,504.0529634,544.3040185,538.6296088,601.4957509
46,SP_0979,6174.113843,-1.309704,0.05277968,-24.81454987,6.25E-136,3.01E-134,9077.370121,8297.242218,8762.932654,9085.48157,3413.109486,3550.877231,3669.23857,3536.658892
47,SP_0272,22303.71848,-1.417654178,0.057316106,-24.73395824,4.61E-135,2.17E-133,32557.78165,30747.00699,32812.86225,33809.98878,11748.04671,12020.14947,11552.90255,13181.00943
48,SP_1586,11022.08892,-1.627519085,0.06708222,-24.26155654,4.99E-130,2.30E-128,17020.24449,15480.99553,17903.50576,16272.63487,5238.366121,5945.569177,5012.533977,5302.861408
49,SP_1072,3567.764039,-1.327459581,0.054800298,-24.22358322,1.26E-129,5.68E-128,5108.039056,4959.632432,5227.436739,5140.108074,1906.111547,1980.627715,2117.04855,2103.108198
50,SP_2230,3293.440291,-1.159668091,0.047996811,-24.1613572,5.67E-129,2.51E-127,4571.680915,4489.667262,4562.380285,4582.731901,2055.779151,2033.460837,2062.717215,1989.104761
51,SP_0981,18679.05455,1.662915974,0.068851177,24.15232446,7.06E-129,3.07E-127,7966.041667,8544.36676,9819.581788,9427.905497,29596.3385,29123.33668,27708.04383,27246.82167
52,SP_0776,5771.48362,-1.874734413,0.078561601,-23.86324091,7.38E-126,3.14E-124,10140.95989,9027.18812,7919.287614,9234.198531,2638.966709,2325.88602,2301.587737,2583.794336
53,SP_0191,1512.321608,1.531289781,0.064467438,23.75291838,1.03E-124,4.28E-123,765.9250427,781.3706625,763.6522353,796.0731444,2140.074698,2209.161682,2211.660011,2430.65539
54,SP_0921,2144.814518,-1.661832623,0.070201001,-23.6724918,6.93E-124,2.84E-122,3166.197931,3034.775087,3329.933011,3532.965117,953.0557737,993.9998893,1050.09355,1097.495783
55,SP_1004,3378.624127,-1.371167526,0.057956057,-23.65874409,9.59E-124,3.86E-122,4749.296896,4842.498256,5146.513785,4768.940532,1828.69727,1996.600519,1787.313554,1909.1322
56,SP_0980,2052.646643,-1.358678667,0.057580224,-23.59627285,4.21E-123,1.66E-121,3034.916553,2946.924455,3022.983879,2821.873093,1111.324964,1131.611741,1158.756219,1192.782239
57,SP_0355,3341.536421,-1.399815393,0.059639154,-23.47141608,7.99E-122,3.11E-120,5058.194255,5061.053487,4748.410062,4526.494394,1814.934732,1931.480625,1795.744279,1795.979534
58,SP_1415,491.0872036,2.30274239,0.098463214,23.38682944,5.82E-121,2.22E-119,145.3221667,151.4173496,182.3091816,182.4594648,775.8630938,873.5895195,792.4880854,825.2487672
59,SP_1117,1865.777683,-1.478220618,0.063665812,-23.21843661,2.97E-119,1.11E-117,2773.055837,2594.807694,2804.398891,2820.62337,1016.707513,921.507932,1038.852585,956.2676436
60,SP_0287,1805.347168,-1.72954727,0.074536147,-23.20414113,4.14E-119,1.53E-117,2975.2432,2720.512663,2488.14827,2925.600049,848.1164196,819.5277209,785.9308553,879.6981704
