"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.c"
"11","SPT_0256",9482.53788589314,0.229254486708074,0.0810004253278671,2.83028744330806,0.00465062013617872,0.0839866373889054,9766.12292041543,11390.2352020721,10327.7657216757,9842.37635569189,7575.91385388195,7992.8132616217
"12","SPT_0478",19868.6186572089,0.25590424182812,0.0900871036545146,2.84063124961278,0.00450243411662619,0.0839866373889054,16800.9884352867,23244.8886633385,28098.5146933554,15511.9662854733,16669.0853608008,18886.268504999
"13","SPT_0988",14115.5031620919,0.187522841044356,0.0666103590047866,2.81522039283531,0.00487437928952257,0.0839866373889054,14328.7477304995,15859.4839564207,15403.0270870914,13066.2608255676,12554.3344778211,13481.1648951509
"14","SPT_2256",12387.4786389858,-0.223052297457366,0.0795462944645343,-2.80405641719507,0.00504640739675826,0.0839866373889054,11944.2498105217,10275.8089778108,11155.3071341002,15712.4664895727,12514.1336340227,12722.905787887
"15","SPT_0257",24203.3144166723,0.194465058823331,0.0706397549677031,2.752912420382,0.00590676954253863,0.091032673711535,26277.2091946921,25943.4873051953,26321.1953230966,24364.7450991497,21909.4598701362,20403.7897077639
"16","SPT_0273",12331.2751550267,0.19084378855654,0.0697960324431769,2.7343071214243,0.00625117072697236,0.091032673711535,12599.8638986169,13532.0647263099,13811.5072658556,12185.8465630122,11174.5377745465,10683.8307018188
"17","SPT_0280",17836.9884423346,0.201600922067031,0.0750431618859205,2.68646625489344,0.00722122420626466,0.0989732494152745,17047.3701750312,20470.8109544998,20700.758965153,16403.2988759746,15468.2472524998,16931.444430849
"18","SPT_0316",16708.704220871,0.173712342845461,0.0651603074146683,2.66592270260462,0.00767773437279241,0.0993840060478129,18051.8495755282,18043.0489647543,17553.1679208502,14719.8912217538,15539.5713302067,16344.6963121329
"19","SPT_0577",128187.803068604,-0.176680315560627,0.0680171212985241,-2.59758590466046,0.00938816339511303,0.112372689465576,127856.680197291,109922.38521822,118773.58407836,138568.470263853,137013.553274888,136992.145379011
"20","SPT_0657",34590.0672542422,0.196166748228884,0.0757904627551257,2.58827748370777,0.00964572441764599,0.112372689465576,34009.1033920885,39299.7302048887,39401.7280474014,28746.96490657,34467.6847521959,31615.1922223087
"21","SPT_0583",7207.70212929507,0.180222645180519,0.0713354862360745,2.52640943084201,0.0115235096546294,0.121869553186148,7248.25596752747,8526.4706018786,7494.32259907607,6658.19489652896,6796.53620475784,6522.4325060015
"22","SPT_1059",6035.96591562797,0.177524546116721,0.0705408524067729,2.51662037046317,0.0118486419286627,0.121869553186148,7041.1829953775,6429.04052880661,5983.4788978107,5585.22103201677,5642.38294731947,5534.48909243676
"23","SPT_2234",7311.43734520826,0.213593411258539,0.0850542165038368,2.5112618755227,0.0120300417308215,0.121869553186148,6719.69343183619,9655.99263953633,7878.14535166291,5976.2956875374,6874.34428952896,6764.15267114779
"24","SPT_0060",7276.36616704987,-0.153076421515795,0.0685822440908091,-2.23201243332178,0.0256141411977925,0.248670620795235,6787.07989056974,6416.60868248018,7244.96004644004,7614.04487943853,7521.44819454216,8074.05530882855
"25","SPT_2208",11722.8717601767,0.168271075485243,0.0761355207172289,2.21015202759577,0.0270946130645098,0.252521793761231,13814.9259826562,12860.7450246832,11097.8559577576,10184.8148230894,11143.4145406381,11235.4742322357
"26","SPT_2233",15262.3570504573,0.153736067672467,0.0712748394925445,2.15694723084642,0.0310097762726043,0.277895302750646,14964.7074347974,17472.9600117856,16325.9130049356,13970.4968945506,13746.0949762322,15093.9699804423
"27","SPT_0568",8741.55024360281,-0.193651536047883,0.0904749419113372,-2.14038861984189,0.0323233734465607,0.278938741224024,10199.2213062342,6204.3793059077,6924.70029746631,9679.5940117696,10653.22360658,8788.1829336591
"28","SPT_0327",7346.08774324729,-0.155736335114408,0.0737285504967639,-2.11229346115036,0.034661286363005,0.288431418663578,6301.3358338654,7049.74485610437,7209.51144827119,7201.13356802589,7933.83104382912,8380.96970938775
"29","SPT_0047",11860.8698870111,0.143434272648475,0.0715950208125179,2.00341128504004,0.0451331611728351,0.31866747131123,11307.5881639454,13048.9986976261,13391.0135496458,10950.0903545777,11441.678865594,11025.8496906773
"30","SPT_0240",8315.50461140936,0.168380331605915,0.0823518476568614,2.04464546208497,0.0408898240280375,0.31866747131123,7475.68526575321,9508.5864616659,9958.61135453805,7003.61108972993,8185.41051792243,7761.12297884662
"31","SPT_0550",33576.816112174,0.132380636271868,0.0660085988438945,2.00550592787067,0.0449089876566498,0.31866747131123,33951.5441252536,37103.7333502286,35103.8911107922,30584.2217273028,31438.3566517734,33279.1497076933
"32","SPT_0580",14434.1733822189,-0.133409014470017,0.0662631072844226,-2.0133226456976,0.0440806975003706,0.31866747131123,13204.2362003834,13170.6531938204,14575.485674667,14886.6438667474,15323.0054942604,15445.0158634349
"33","SPT_1456",9695.02223161927,0.154611759995899,0.0766643029670189,2.01673730813692,0.0437229343590978,0.31866747131123,9373.7371867482,10663.8601809998,11042.8495123232,8082.54040584904,9582.06563956414,9425.08046423129
"34","SPT_1589",10818.1370601577,-0.148294411352517,0.0774957569191308,-1.9135810429888,0.0556737091841428,0.381528654114861,11478.8620798932,9906.40554411139,8912.26652582999,11862.2670257033,11046.1544346742,11702.8667507343
"35","SPT_0283",17561.32147268,0.142322868592614,0.0756292064841416,1.88185061312864,0.0598563015483123,0.398471950307336,16306.1191289622,20210.6301706683,19461.2803946975,15688.644683145,16719.6606159021,16981.5938427051
"36","SPT_0272",21660.9729953638,0.129087825800463,0.069114993313473,1.86772536047254,0.0618003618408389,0.399985675247651,22888.2318742173,24187.9330060999,21393.8401776267,21728.4651878228,19778.8151488202,19988.5525775955
"37","SPT_0438",13062.3444171571,0.14179803268218,0.0776316293180487,1.82654974432197,0.0677674954552642,0.404867344642989,11936.5284454585,14998.1346038044,14744.1721073325,12270.2154607768,12790.3523349602,11634.6635506101
"38","SPT_0933",9134.51289090131,0.158075087698116,0.0863776315542605,1.83004656244617,0.0672429765357535,0.404867344642989,7715.74952499148,10157.7064377098,11737.1530902509,8029.93391665464,8558.88932482383,8607.64505097722
"39","SPT_1302",21860.9291107869,0.137989775618266,0.0753338072703777,1.8317111615375,0.0669944648666228,0.404867344642989,20350.0085952536,25113.217568395,24083.0441766428,19581.5248835306,21459.4697798765,20578.309661023
"40","SPT_2260",11254.0028595525,0.119139945654746,0.0656726020279045,1.81414991908076,0.0696546479828773,0.40573832450026,11617.8466510311,12240.0406973854,11536.6851557788,10951.0829298456,11024.1088106557,10154.2529126187
"41","SPT_2232",11773.9181639969,0.120936674645324,0.0686051332512209,1.76279337877639,0.0779353445584793,0.442900860539651,11358.829950274,13104.0540170717,12630.7022371967,11051.3330318953,11282.1722918132,11216.4174557304
"42","SPT_0259",49623.4228934634,0.119554760418942,0.0692970589663084,1.72525013618642,0.0844824039094148,0.466286808779739,48321.7064501832,55855.397555589,52106.9945772981,46831.6862862298,45441.2183077503,49183.5341837299
"43","SPT_0263",27514.0676010387,0.136389837361495,0.0794536402773822,1.7165964565669,0.08605293037566,0.466286808779739,27551.9363724018,30523.7346874583,29615.4702218912,21746.3315426436,27774.8926604662,27872.040121371
"44","SPT_0656",6263.71185055021,0.139083656018009,0.0816549340825024,1.7033098805454,0.0885100925178181,0.468701171742082,6201.66003032203,7067.50463657069,6753.56913389256,6874.57630491348,5485.46997636437,5199.49102123816
"45","SPT_0261",22829.1287479921,0.133035886161973,0.0808007264734321,1.6464689362133,0.0996672504792743,0.488685242314308,22542.8762732079,27275.470840169,22908.3509752544,20116.522952885,19708.7878725262,24422.76357391
"46","SPT_0267",10717.8506885371,0.124641591935533,0.0757663996089295,1.64507740342519,0.0999538498345366,0.488685242314308,10425.9486621814,12607.6681530381,10882.7196378363,10862.7437310097,9999.63569450251,9528.38825265481
"47","SPT_0281",16695.5300877915,0.105414771619432,0.0643731094205286,1.63755910765148,0.101513699292548,0.488685242314308,17367.4558540156,17602.6064091897,17246.3541918715,16424.1429565988,15098.658849837,16433.9622652367
"48","SPT_0503",6433.91964331888,0.112418983012338,0.0679028842678497,1.65558479915065,0.0978059306157738,0.488685242314308,6405.9252333581,6888.13085386089,6902.69771929254,6162.89983788735,6429.54140492069,5814.32281059368
"49","SPT_1600",6166.10818648337,0.111841328722972,0.0685484093973951,1.63156708822513,0.102770716194855,0.488685242314308,6395.39609918098,6070.29296338701,6892.91879565976,5889.94163923716,5711.11342220063,6036.98619923466
"50","SPT_0086",11481.790702553,-0.102747157752286,0.0642252245579541,-1.59979444929104,0.109644190610472,0.496502269364616,10831.6712991397,10832.5780954298,11356.9974340264,12224.5569984572,12193.8236850483,11451.1167032168
"51","SPT_0318",59486.6025514436,0.117228913258125,0.0729185136059569,1.60767008899299,0.107907452807314,0.496502269364616,56193.287160996,65141.0987724026,66092.0777376357,52958.8534144757,58851.4417180538,57682.856505098
"52","SPT_1779",6831.10220821599,-0.104301084633277,0.065409970747005,-1.59457470232935,0.110807373420429,0.496502269364616,6510.5146328508,6439.6963970864,6677.78247573848,7493.94327203245,6965.12038842861,6899.5560831592
"53","SPT_0282",29595.8979339356,0.113654839983461,0.0721291381103598,1.57571326874259,0.11509189813812,0.496600227151518,28719.2663815049,33338.6598913695,31028.5246868287,30113.7410503566,26424.9223896872,27950.2732038665
"54","SPT_1365",8702.48622299732,0.144041180158957,0.0913962185065524,1.57600809434617,0.115023937803803,0.496600227151518,6506.30297917995,11366.2594984426,10480.561403438,8144.08007245381,7109.06534525519,8608.64803921434
"55","SPT_0392",15545.9082380901,0.111009677600965,0.0710157802516901,1.56316916053772,0.118012811804434,0.499945184553331,17766.8610104675,16022.8739367108,15028.9832581374,15374.9908985143,14635.7007454488,14446.0395792618
"56","SPT_0275",12629.1490475265,0.10436619748773,0.0696457108814122,1.4985301487616,0.133995565632694,0.511819127744551,12123.9470338112,14072.8500415093,13344.5636623901,12098.4999394442,11691.9615382745,12443.0720697301
"57","SPT_0459",24959.0579021014,-0.0936499910536366,0.0616218997074203,-1.51975176841813,0.128573375271707,0.511819127744551,24139.0930144589,24588.4160556153,23366.7380205412,25725.5657913294,25559.9558473148,26374.5786833485
"58","SPT_0586",44108.8665142219,0.105058665619184,0.0699306313368753,1.50232685749807,0.133012715744312,0.511819127744551,45422.6848400836,47352.0146683166,45366.8714634007,38374.9450044131,45154.62519551,42982.0579136073
"59","SPT_0876",8690.89821939734,-0.112886817325803,0.0746516314109744,-1.51218151823548,0.130487691372735,0.511819127744551,9255.81088396448,7775.2318881534,7758.35353716129,9532.69287213241,8704.13108306327,9119.16905190921
"60","SPT_1228",6893.05739863691,0.0971385413981902,0.064149968521271,1.51424145073401,0.129964612181145,0.511819127744551,7307.92106119781,7297.49379360949,6880.69514111878,6547.02646653325,6554.03434055449,6771.17358880764
"61","SPT_1242",11134.9216131825,0.123456373047041,0.0807390194208457,1.52907942073875,0.126244756359513,0.511819127744551,10424.5447776245,12715.1148248594,12183.3164809968,9113.82610911284,10912.5838891504,11460.1435973509
"62","SPT_0270",16084.7318035823,0.110655993026648,0.0753152336337254,1.46923786447762,0.141768283463514,0.52431761979363,16658.4941527563,18038.6090196378,15895.640365093,17104.0570150547,14368.5596544012,14443.0306145504
"63","SPT_0453",10131.8048760679,0.118923772855482,0.0805723631346636,1.47598715277496,0.139947341140522,0.52431761979363,9919.84827940134,11274.7966290411,10879.052541474,10968.9492846663,9492.58634207734,8255.59617974755
"64","SPT_1895",6714.13023149935,-0.0919732697063824,0.0632299967310263,-1.45458286353591,0.145784777957232,0.530747707250547,6465.59032702843,6588.87855300346,6345.29907222376,6792.19255768451,6971.60439549287,7121.21648356307
"65","SPT_0111",6945.26233042583,-0.103723510850783,0.0719975994104137,-1.44065235091409,0.149682922667276,0.536555707407311,7204.73554626206,6243.4508229336,6467.53561763358,7676.57712131112,6880.82829659322,7198.44657782143
"66","SPT_0262",38176.7369913942,0.107286462982435,0.0760184161042331,1.41132199907097,0.158149690679338,0.540143305374904,35231.8868411911,43025.7321467219,41692.4409083815,33688.9971650402,37356.9583000303,38064.4065870003
"67","SPT_0340",16000.8185377255,0.109447438523771,0.0770020159843138,1.42135809205393,0.155212683195162,0.540143305374904,15561.3583715007,18527.0029824615,16256.238174052,15834.5532475144,13625.492444837,16200.2660059874
"68","SPT_1181",9668.57846213665,0.0928896955636258,0.0660982285918268,1.40532806313529,0.159923747128381,0.540143305374904,9859.48124345254,10489.8143324299,9753.25395824955,8877.59319537195,9396.62303752629,9634.70500578969
"69","SPT_2106",6134.30108202789,-0.112640703217769,0.080158908025171,-1.40521753592749,0.159956601162525,0.540143305374904,5413.37885159518,5851.84766365132,6180.27973592051,5836.34257477494,7479.95054933089,6044.00711689451
"70","SPT_RS02010",12204.8577726356,-0.0993223961268245,0.0725361530063887,-1.3692812757533,0.170911368640674,0.562131638346656,12142.1975330515,11222.4052766655,11696.8150302657,14078.6875987428,12179.5588695069,11909.4823275814
"71","SPT_0916",8553.32698772144,-0.0949353271689633,0.0693941311982563,-1.36805988531994,0.171293331856706,0.562131638346656,7888.4273254962,8160.61912427247,8595.67387321855,8503.39231940424,9565.20722119706,8606.6420627401
"72","SPT_1780",6142.14943268297,-0.0880103036569142,0.0656997560812819,-1.33958341562228,0.180380818526766,0.583732371065784,6149.71630171491,5883.81526849069,5732.89397972056,6422.95455805589,6117.01226442334,6546.50422369241
"73","SPT_1008",8454.00801721283,0.100636799038845,0.077015532616733,1.30670782398744,0.191311960448252,0.602374145735712,7821.04086676265,9728.80773944823,8951.38222036113,7666.65136863293,7870.28777459937,8685.8781334727
"74","SPT_1677",18589.2056556472,0.0939132080471223,0.0715438778719004,1.3126658889706,0.189295556632837,0.602374145735712,17420.1015249012,19951.3373758601,20620.0828451826,17761.1418423508,17304.5180530984,18478.0522924905
"75","SPT_1699",10945.2665322161,-0.0874835471962482,0.068670587481435,-1.27395949859755,0.202677770234793,0.629652272862755,10680.7537092677,10811.2663588702,10152.9674617397,12120.3365953362,10593.5707415888,11312.7043264941
"76","SPT_0169",20120.2468750977,-0.0884777447515142,0.0701017450858531,-1.2621332699087,0.206900835408148,0.634314403290769,19846.7159815874,18284.5819790962,19990.564636322,19199.3834054204,21864.0718206863,21536.1634274741
"77","SPT_0096",8505.87398901367,-0.105505096115406,0.085467509603376,-1.23444682786496,0.217036448683389,0.656746656405579,7075.57816702275,8442.11164466359,8656.79214592346,8012.0675618339,8072.5887950043,10776.105619634
