"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.NDC20min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.NDC20min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.NDC20min.c","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.KAN20min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.KAN20min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.KAN20min.c"
"1","SPT_2049",1020.91166853825,-0.822427838952368,0.116807176686229,-7.04090161481774,1.90999840600818e-12,3.79516683273825e-09,1382.63087155436,1363.39936413918,1278.53836808126,870.389018200503,620.020652463157,610.49173679105
"2","SPT_0860",2378.82446539017,-0.813703866914592,0.119104813127394,-6.83183026402347,8.38380138629475e-12,8.32930667728384e-09,3149.74951522747,3552.85298564259,2667.97916539384,1943.4713694066,1526.45504464683,1432.43871202369
"3","SPT_1799",841.627818772989,-0.615094150799574,0.0954064522555672,-6.4470917454504,1.14016774965472e-10,7.55171106187979e-08,1006.97267249054,1089.26228424213,1003.29347895276,722.201455414899,600.492442936758,627.544578600856
"4","SPT_1727",730.491986982613,-0.604369895106274,0.0949586557583134,-6.3645582414783,1.95852596270673e-10,9.72897771974566e-08,864.495470922524,875.234995950405,940.659464516416,621.706441571788,540.280463563696,540.575085370846
"5","SPT_0389",730.603087334445,0.699891124648801,0.123137564603125,5.68381490168791,1.31722840413368e-08,5.23466567802725e-06,534.590514052369,493.628894698355,560.833009998792,720.498150095524,987.801931876998,1086.26602328463
"6","SPT_1229",1094.96198449501,-0.702842124571817,0.125737955504297,-5.58973717802974,2.27413551907513e-08,7.53117879400379e-06,1550.79410382759,1304.20032695211,1341.74700650326,1001.54352779236,703.015542950351,668.47139894439
"7","SPT_0220",5291.74218492048,0.353071404993465,0.0669207603602538,5.27596224389531,1.32061278167042e-07,3.7486537102559e-05,4732.65115743658,4671.25941126912,4465.40299252112,5794.64469651294,6065.13640874065,6021.35844304246
"8","SPT_RS02835",6353.81450463475,-0.562591635031595,0.11009521829789,-5.11004604677164,3.22080303562664e-07,7.99966953973767e-05,7607.88121950203,8837.96087482074,6716.20514432979,5723.1058730992,4589.12923870368,4648.60467735308
"9","SPT_0893",866.122237505523,0.559945213257247,0.113022707590979,4.95427180247394,7.26016633751971e-07,0.000159823812240935,624.491621520635,692.173357879613,722.87697395336,861.872491603629,1174.94727317165,1120.37170690425
"10","SPT_1469",2277.90011465184,-0.694898597617505,0.140829952357981,-4.93430968329177,8.04347318776723e-07,0.000159823812240935,2585.45952817219,3617.51654933924,2617.9868786419,2095.06554283096,1301.88063509324,1449.4915538335
"11","SPT_1306",1753.96186770836,0.599877155180275,0.122331381791153,4.90370619866292,9.40451215252498e-07,0.00016987968770061,1331.25881014392,1348.82729344698,1338.29926258933,1623.24996936415,2458.92704953236,2423.20882117342
"12","SPT_1577",918.391302830524,0.483690355319491,0.0993933829039477,4.86642411383585,1.13635527275882e-06,0.000173687532843983,710.78063092098,764.122956922362,782.063244475774,943.631146933618,1122.87204776792,1186.87778996249
"13","SPT_2124",275.640480548383,-0.665690545597698,0.136493632857547,-4.87708130893149,1.07667062646078e-06,0.000173687532843983,379.270297131748,393.445908689464,281.565752970705,226.539607476843,187.145341294654,185.875975726884
"14","SPT_0390",2750.93842379247,0.435591695398745,0.0905680184137241,4.80955311850721,1.51268095308999e-06,0.000200379803585987,2276.02312702026,2399.83789212208,2250.80215180867,2801.93725037148,3306.77681313684,3470.2533082955
"15","SPT_0694",488.5771578822,-0.47941780959203,0.0996120985722437,-4.81284719892064,1.48795056489572e-06,0.000200379803585987,541.012021728673,590.168863034196,599.332817037643,407.089971330568,408.465049260505,385.394224901613
