"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN20min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN20min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC20min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC20min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC20min.c"
"1","SPT_1469",9225.22531773793,-0.921679140434717,0.141742213095884,6.50250282046344,7.89945397244347e-11,1.07511568564956e-07,5458.71619645296,6551.53621539702,10891.30520008,12479.0580835372,10745.5108932224
"2","SPT_RS08605",850.128031966645,-0.948820450053049,0.188443768592022,5.03503223875358,4.77768418797489e-07,0.000325121408991691,472.781128370972,620.503711323236,1001.90964475772,1261.91399542985,893.531679951448
"3","SPT_1070",1233.90222931958,-0.728051859660679,0.153492679773582,4.74323505677688,2.1033197415204e-06,0.000954206056069753,779.721068855096,994.03465833762,1511.19388223551,1476.15685659425,1408.40468057544
"4","SPT_0189",848.174918402726,-0.757970969763247,0.163340564966489,4.64043313379474,3.47679665896344e-06,0.00118298006321231,621.235740108391,576.269783387323,969.78190080468,1168.91846778157,904.668699931668
"5","SPT_1027",770.267404666262,-0.892609055062797,0.201754810197334,4.42422688306537,9.67882620954215e-06,0.00263457649423737,404.572252707833,616.81755066191,781.775102857269,1062.9741957772,985.1979213271
"6","SPT_0694",2016.91863482832,-0.673979543813605,0.161700698390569,4.16806823051368,3.07191990137042e-05,0.00696813830960858,1437.7361046642,1534.67155533212,2088.3033569475,2829.88922109455,2193.99293610322
"7","SPT_1956",8059.62139783138,-0.496951817108241,0.123150100833794,4.03533422825968,5.45246250716408e-05,0.0106011449603576,6383.54830470905,6546.62133451525,9209.95326653769,8661.5328156463,9496.45126774861
"8","SPT_2049",2446.27525010519,-0.604915311056434,0.151601115392725,3.99017717969549,6.6023955761889e-05,0.0112323254739914,1722.6084677279,2007.72884020231,2457.17745418609,3020.58891070242,3023.27257770725
"9","SPT_0726",1094.78680001318,-0.80570845589275,0.203470224394661,3.95983470451164,7.50016585632133e-05,0.0113419174782815,928.175680592516,579.955944048649,1194.67610847595,1204.23322511636,1566.89304183241
"10","SPT_2145",714.635540584504,-0.633636657203756,0.166260531191483,3.81110689748726,0.000138345921494138,0.0188288799153522,488.161561118542,587.328265371301,918.615493768359,834.605431678884,744.466950985435
"11","SPT_RS08360",1095.18680752919,-0.764982185782252,0.202959833875493,3.76913092199087,0.00016381694864378,0.0202686242821986,930.850538461659,609.445229339258,1154.21894942397,1185.39868787114,1596.0206325499
"12","SPT_0478",31799.8651571395,-0.501277984065318,0.138359976336837,3.62299848075253,0.000291207533437783,0.0283165236866094,25421.1804738649,25487.3435326295,33605.6201748782,40981.5987284466,33503.5828758785
"13","SPT_1017",860.587450450533,-0.584240987661586,0.161261807540949,3.62293463387623,0.00029127945011942,0.0283165236866094,665.370894949246,659.822758377382,854.360005862282,1008.82490119718,1114.55869186657
