"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN30min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN30min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN30min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC30min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC30min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC30min.c"
"1","SPT_1790",1267.79966495369,-0.398531248693696,0.0777912119238765,-5.12308831341622,3.00571481794335e-07,0.000647130400303203,1129.57587128836,1024.3856558468,984.18391439089,1473.60069181666,1536.59256618241,1458.459290197
"2","SPT_1027",555.931423681668,0.392388588854955,0.0933872387175512,4.20173670667927,2.64875093638483e-05,0.0285138038301827,528.082640036276,817.641154992305,735.574956849441,308.69393802711,488.416922822266,457.178929362611
"3","SPT_0265",22340.1665350026,0.34148037209487,0.0846214537360955,4.03538768265347,5.45122123269115e-05,0.0391215977132801,23150.3851524423,27886.4985765483,26984.3238090221,15621.4376786805,21566.2595940566,18832.0943992657
"4","SPT_1458",1562.27757696752,-0.331751525458708,0.0870471908739988,-3.81116865607898,0.000138311357536424,0.0744460881939802,1542.80645732571,1075.07140444339,1289.17840869432,1718.77735864477,2008.54599722415,1739.28583547275
"5","SPT_1202",258.021257460211,-0.330850031673612,0.0905310229038772,-3.65454869569846,0.000257634763252129,0.110521077642795,192.99881238994,220.082855748337,219.775444424528,326.478773962828,295.428213617213,293.363444618421
"6","SPT_2218",71.4998935013564,-0.323185593419504,0.0895629080849213,-3.60847587835209,0.000308001145312015,0.110521077642795,56.8340061025589,36.0135582133642,53.1818130823202,111.790397310229,95.1223969541492,76.0571893455167
"7","SPT_1705",836.774035136541,-0.293659668846192,0.0842869309483524,-3.48404747381459,0.0004938918747463,0.118149911814309,809.884586961464,686.925277032687,663.811546425105,866.375579154275,1011.59010607009,982.057115175627
"8","SPT_2137",2069.51593668844,0.272585094420332,0.0776470315630628,3.51056684245483,0.000447152372462952,0.118149911814309,2325.4580830297,2368.89182914573,2261.18817310251,1991.90162480045,1641.77598589133,1827.87992416093
"9","SPT_2261",2545.97104651391,0.264863190813202,0.0758586923623125,3.49153383172195,0.000480255639608256,0.118149911814309,2732.76846009804,3030.47423188013,2757.76534344947,2159.58722076579,2172.26627659716,2422.96474629289
"10","SPT_1249",1193.20571861316,0.278994478203624,0.0816434904076407,3.41722869527775,0.000632621128166031,0.136203328894146,1227.85134017403,1460.54986087533,1352.61213755154,1060.7384290232,1112.20033361774,945.282210437136
