"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN60min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN60min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN60min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC60min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC60min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC60min.c"
"1","SPT_0549",2213.79588007405,1.20128073795808,0.125978784657692,9.53557967099127,1.49050514444977e-21,3.07193110271097e-18,3255.40957905289,2722.06509720922,3436.55635360197,1267.17439229807,1291.04816731683,1310.52169096531
"2","SPT_0551",1020.45458871988,1.08371576323627,0.152147449180927,7.12279942299631,1.05756672515167e-12,1.0898225102688e-09,1490.89795970156,1219.9182979029,1555.96883893474,546.954800518902,729.044128339733,579.943506921432
"3","SPT_0550",13852.6543670598,0.993190599013355,0.148781902781118,6.67547988329267,2.46424466791615e-11,1.6929360868584e-08,17464.6836563449,18411.6658691049,20720.5751323487,6924.97225177527,10381.4634977714,9212.56579501383
"4","SPT_0548",3883.54949134084,0.831018778504902,0.136186762767186,6.10205251684808,1.04714954447973e-09,5.39543802793179e-07,5009.75598504262,4376.26970135329,5780.41323261964,2942.69175210683,2426.76466274971,2765.40161417298
"5","SPT_0552",4457.53608979798,0.594014548754082,0.110579439544225,5.37183540812314,7.79392339016826e-08,3.21265522142735e-05,5399.42249723734,5053.61810472148,5767.20840513222,3376.32201347712,3478.18055233603,3670.46496588369
"6","SPT_0388",1839.49996971303,0.54516407605868,0.124154379417894,4.39101768793591,1.12821361324261e-05,0.00387541376148837,2072.85642465324,2111.52997172429,2431.88906226716,1378.62579856819,1582.19748195358,1459.90107911174
"7","SPT_2210",1006.40573489969,0.87171164271588,0.213124595464708,4.09015036868529,4.31093610856176e-05,0.0126926275996368,947.906145969342,1802.80654978097,1384.30608159823,462.663820986879,921.062174990241,519.689636072452
"8","SPT_2018",286.08176502472,0.811789511334942,0.215232153599265,3.77169255503707,0.000162143962458334,0.0417723383283282,263.448446288173,499.94763105747,395.044422332087,136.738700129725,244.315644721988,176.995745618879
"9","SPT_0401",4380.303764007,0.718570014963279,0.19512233388061,3.68266410447383,0.000230809193103736,0.0528553052207555,4059.30853573288,7183.57932551701,5745.20035931984,2538.09505035312,4233.76376029412,2521.87555282501
"10","SPT_0400",3458.27941696772,0.736972373652355,0.201978323148841,3.64876964103356,0.000263499243542814,0.0543071940941739,2960.61839156644,5980.9403236184,4601.88237936709,1880.62541000335,3210.44807265666,2115.1619245944
