"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN150min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN150min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN150min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC150min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC150min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC150min.c"
"1","SPT_0388",4685.76681700004,4.4637363136584,0.30378089046593,14.6939338640165,7.0499334405005e-49,1.3394873536951e-45,10386.3952875133,9107.95730631285,7574.28354548726,443.516472439085,306.660153082719,295.788137165002
"2","SPT_1802",1208.8469193018,3.29976464801922,0.290514906117821,11.3583316330108,6.74198692888822e-30,6.40488758244381e-27,2426.93210750896,2055.46667599972,2163.11834350659,246.718037698798,201.89478205944,158.951569037267
"3","SPT_1862",5710.56615901603,2.66894641873403,0.293017197065847,9.1084975402801,8.35306874897197e-20,5.29027687434892e-17,10377.8967758812,9888.63936113967,9685.17706917399,1806.70563015229,1095.60753895191,1409.3705787971
"4","SPT_0024",130.546048556445,2.29402481177345,0.319142802375426,7.18808255958991,6.57075285865206e-13,2.49688608628778e-10,244.028691150226,223.993163410226,192.052563208529,45.1196411355779,43.066814327354,35.0154181067603
"5","SPT_1864",4655.96450370391,2.62673770056275,0.3644985044424,7.20644301293106,5.74323427744796e-13,2.49688608628778e-10,9866.77200486509,7490.59490580666,7139.63827085743,1693.42653113105,828.043501003238,917.311808559997
"6","SPT_RS09270",1238.85844606755,2.18809319318376,0.312612042758866,6.99938867957031,2.57081749993177e-12,8.14092208311727e-10,2125.84198111465,1752.41710197412,2304.63075850235,545.275663085282,343.312761020893,361.672410707985
"7","SPT_0642",2514.441834469,2.20446546404593,0.316364207373678,6.96812538417817,3.21191916368128e-12,8.71806630142062e-10,5449.97410235504,3722.23933314051,3409.77533275494,1005.11200572234,733.357597162957,766.19263567819
"8","SPT_1865",4683.04205453696,2.72095300417173,0.391887082620845,6.94320666548807,3.83298037935017e-12,9.10332840095665e-10,10413.1048954999,7263.30772528746,7250.82659692553,1642.54693580795,698.232181222207,830.233992478712
"9","SPT_1539",301.620452717711,2.54505496275708,0.385383095312846,6.60396108109273,4.00314660763373e-11,8.45108728278233e-09,586.397302614721,451.280343929425,539.094914269556,119.039053208759,62.3094334948951,51.60166878891
"10","SPT_0237",56.8595694066906,2.87238880596171,0.436268937196204,6.58398653001028,4.57998636272291e-11,8.70197408917353e-09,120.193235939663,121.878633032035,65.7021926766022,14.3998854688014,10.6903439819673,8.29312534107481
