"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.NDC120min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.NDC120min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.NDC120min.c","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.KAN120min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.KAN120min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.KAN120min.c"
"1","SPT_0388",4083.84116575116,2.77026409652852,0.116267731335234,23.8265945737002,1.770894211298e-125,3.74189946847267e-122,999.851034701044,922.410146674186,841.649180212888,6516.13492674292,8663.8725575485,6559.12914862743
"2","SPT_2058",9283.64008831587,1.89462564760412,0.11288405869497,16.7838193409017,3.20540815613331e-63,3.38651371695484e-60,4380.21696767292,3277.45247767567,3326.83376745567,13633.888500494,16195.7268321813,14887.7219844157
"3","SPT_0141",3635.3865131067,0.940961171151746,0.0647834560398326,14.5247140037294,8.4494206977181e-48,5.95120864475945e-45,2542.2299351877,2405.17331723378,2460.33274137035,4730.60472437945,4740.13988123287,4933.83847923606
"4","SPT_RS09270",1737.09651691609,1.6577687791381,0.130064256896375,12.7457675052022,3.2913558362443e-37,1.73865872049605e-34,987.678935148161,679.553368926635,643.66280809588,2551.83775274252,2814.61361987929,2745.23261670402
"5","SPT_0078",330.786795179102,1.3294452832441,0.114264809110552,11.6347744646198,2.74314241125841e-31,1.1592519829978e-28,180.842621928537,169.331331273522,188.045633768037,496.587458633793,449.023962704479,500.889762766246
"6","SPT_0553",439.097183239071,1.26519782714306,0.110199286196063,11.4809983877034,1.64371410911349e-30,5.78861318759467e-28,213.881177857788,282.961566733386,241.891299824964,625.985882710958,635.204630167311,634.658542140021
"7","SPT_0431",1020.99271645153,1.08948658363015,0.0961320253459819,11.3332323927334,8.98273399328469e-30,2.71150241825865e-27,645.12127630276,646.13271143844,618.810962223452,1309.10873189755,1569.09482310922,1337.68779373775
"8","SPT_1864",3833.22791851433,1.607723208504,0.143065823482088,11.2376469052743,2.66388406781574e-29,7.03598379411831e-27,2269.2271309302,1407.00968025302,1444.72064005047,5400.28358145413,6396.8491360893,6081.27734230889
"9","SPT_2057",366.274907807104,1.61169619383966,0.145011113054125,11.1142943454141,1.06892351398366e-28,2.50959487227498e-26,217.358920587183,149.278936780605,126.744413949382,535.238935955544,580.445610325302,588.582629244609
"10","SPT_1565",14214.9429834875,-1.10696038923802,0.102917424198738,-10.7558112521397,5.56422343879431e-27,1.17572041261724e-24,17240.9095809754,19881.9491397273,21916.0144800317,9752.77602768602,8402.02488084944,8095.98379165502
