Gene,Value,AveExpr,t,P.Value,padj,B
Rvnt11,-4.532846132,11.13511151,-24.61806189,5.02E-09,2.02E-05,10.89550156
Rv0848,5.731238539,10.23469643,17.4904274,8.06E-08,0.000162175,8.679549513
Rv0678,3.113541442,10.59638769,16.00987115,1.64E-07,0.000220355,8.048738794
Rv0850,3.755115909,9.428540625,14.85836146,2.99E-07,0.000232184,7.502495118
Rv0657c,-3.035219894,8.232879956,-14.41950392,3.79E-07,0.000232184,7.279974125
Rv2963,4.970495523,11.12347273,13.9067402,5.06E-07,0.000232184,7.009114458
Rv1993c,4.569721683,11.08092948,13.79737263,5.39E-07,0.000232184,6.949763221
Rv0960,-2.943548997,9.373246718,-13.76111196,5.51E-07,0.000232184,6.929959568
Rv3884c,-2.498209867,10.11799264,-13.75816606,5.52E-07,0.000232184,6.928347906
Rv1706A,5.273148598,9.265390364,13.68110413,5.77E-07,0.000232184,6.886039856
Rv2085,-2.415435748,8.626586017,-13.44297272,6.63E-07,0.000241644,6.753471342
Rv0847,5.756013351,10.74020696,13.27127198,7.34E-07,0.000241644,6.656133853
Rv2662,5.850968831,9.891302204,13.16982694,7.80E-07,0.000241644,6.597920333
Rv1994c,3.73930614,12.20591288,12.78267163,9.88E-07,0.000284156,6.370813555
Rv3310,-2.665667138,8.390420125,-12.67149016,1.06E-06,0.000284167,6.30411031
Rv3642c,-2.564263876,11.02716197,-12.29001215,1.35E-06,0.000324238,6.070019118
Rv2023A,-2.852318717,8.143672795,-12.26514079,1.37E-06,0.000324238,6.054469812
Rv2054,-3.020759489,9.299850932,-11.85438513,1.79E-06,0.000332665,5.792402384
Rv3321c,-3.937606025,9.978076658,-11.65603677,2.04E-06,0.000332665,5.662196969
Rv1378c,2.757418598,11.62177792,11.61856472,2.10E-06,0.000332665,5.637323357
Rv0677c,2.878052953,12.34188058,11.59799516,2.12E-06,0.000332665,5.62363187
Rv0280,-3.106816527,10.90848843,-11.585143,2.14E-06,0.000332665,5.615063656
Rv1561,-2.586347763,8.634392961,-11.54618584,2.20E-06,0.000332665,5.589027931
Rv3776,2.465769045,10.88258835,11.51375801,2.25E-06,0.000332665,5.567282218
Rv0990c,3.978099205,9.387980774,11.48835801,2.29E-06,0.000332665,5.550202351
Rv1987,-4.111260472,9.740646181,-11.4801849,2.30E-06,0.000332665,5.54469766
Rv2466c,3.624568167,9.85500173,11.43233748,2.38E-06,0.000332665,5.512385653
Rv1572c,-2.15098565,7.283034442,-11.42235708,2.39E-06,0.000332665,5.505627131
Rv2951c,-2.915389914,10.9880991,-11.42084295,2.40E-06,0.000332665,5.504601232
Rv1924c,-2.703837676,9.360090066,-11.21604473,2.76E-06,0.000359149,5.364459893
Rv0991c,3.358433693,11.50553788,11.21325705,2.77E-06,0.000359149,5.362533226
Rv0522,-2.367113926,10.18818884,-11.10122049,2.99E-06,0.000371941,5.284670494
Rv3826,-2.347388062,8.798579877,-11.07390877,3.05E-06,0.000371941,5.265561352
Rv0433,-2.347090183,10.97953306,-10.87242076,3.52E-06,0.000401577,5.123009886
Rv3074,2.537482223,11.87370279,10.83960223,3.60E-06,0.000401577,5.099524816
Rv2961,2.440776153,8.018845388,10.75969027,3.81E-06,0.000401577,5.042023133
Rv3006,-2.134736467,11.17517966,-10.73137456,3.89E-06,0.000401577,5.02153987
Rv3795,-2.067215585,9.842188564,-10.71963842,3.93E-06,0.000401577,5.01303337
Rv1508c,-2.224840542,9.407764512,-10.68759598,4.02E-06,0.000401577,4.989758592
Rv3377c,-2.222020783,8.085282695,-10.68469253,4.03E-06,0.000401577,4.987645975
