Gene,Value,AveExpr,t,P.Value,padj,B
Rv0848,6.616259459,10.67720689,31.30309476,7.30E-11,1.28E-07,15.12836608
Rv0251c,5.61648197,12.14819076,29.12533288,1.43E-10,1.28E-07,14.59246109
Rv0791c,5.80573015,10.97989058,29.0593749,1.46E-10,1.28E-07,14.57528016
Rv2642,5.623018905,11.36207971,28.22378367,1.92E-10,1.28E-07,14.35244606
Rv2963,5.818757236,11.54760359,28.14654318,1.97E-10,1.28E-07,14.33135229
Rv0792c,5.743014957,11.58082059,27.91695033,2.13E-10,1.28E-07,14.26814428
Rv0837c,6.199684529,10.33412185,27.46970729,2.48E-10,1.28E-07,14.14279477
Rv2641,5.608135769,12.1786507,27.12598146,2.78E-10,1.28E-07,14.04441523
Rv2658c,5.114479352,9.839756378,27.05626169,2.85E-10,1.28E-07,14.02423938
Rv0846c,5.503578356,9.993075795,26.55978238,3.39E-10,1.37E-07,13.8783638
Rv2913c,6.338288713,11.06107221,23.98923738,8.76E-10,2.88E-07,13.05639556
Rv2661c,4.800006822,10.19659363,23.86196854,9.20E-10,2.88E-07,13.01255738
Rv1048c,5.572008153,9.60177286,23.83671564,9.29E-10,2.88E-07,13.00382121
Rvnt11,-4.455941371,11.17356389,-23.39672296,1.11E-09,3.03E-07,12.84957139
Rv2643,4.760893968,11.16553192,23.20514448,1.19E-09,3.03E-07,12.78118504
Rv2962c,4.686758085,10.34798974,23.18395752,1.20E-09,3.03E-07,12.77357571
Rv2659c,5.297894103,10.60650305,22.67786875,1.48E-09,3.27E-07,12.58901441
Rv0849,5.069474379,10.27941637,22.63280837,1.50E-09,3.27E-07,12.57231727
Rv0790c,5.249965573,10.7380687,22.57402778,1.54E-09,3.27E-07,12.55047004
Rv1954c,4.339492378,11.20324889,22.42884731,1.64E-09,3.29E-07,12.49618756
Rv0836c,4.560284495,9.956356039,22.25590086,1.76E-09,3.37E-07,12.43091789
Rv2964,5.131682224,9.341659705,21.92363347,2.02E-09,3.70E-07,12.30364013
Rv2466c,6.00984069,11.04763799,21.41076391,2.52E-09,4.41E-07,12.10218736
Rv3054c,6.869611542,10.48348149,21.30390323,2.64E-09,4.43E-07,12.05942964
Rv3334,4.303878475,11.60116736,21.09557615,2.89E-09,4.65E-07,11.9752777
Rv0767c,5.249915384,10.22903233,20.99100709,3.03E-09,4.69E-07,11.93263713
Rv2025c,4.29939073,9.560293125,20.65803704,3.51E-09,5.01E-07,11.79504277
Rvnt19,4.736125389,10.02042236,20.61628864,3.58E-09,5.01E-07,11.77759305
Rv0678,4.325252519,11.20224323,20.54045201,3.70E-09,5.01E-07,11.74578111
Rv2016,5.184182028,10.76988293,20.52244702,3.73E-09,5.01E-07,11.73820664
Rv0967,5.005510468,12.30480825,20.38997894,3.96E-09,5.14E-07,11.68222092
Rv0768,4.500808893,10.44751781,20.12373221,4.47E-09,5.41E-07,11.56830421
Rv2035,4.894439692,10.09007594,20.0915522,4.54E-09,5.41E-07,11.55440816
Rv3463,5.489920733,9.931544097,20.05503549,4.62E-09,5.41E-07,11.53860581
Rv1994c,3.922150867,12.29733524,20.01551637,4.70E-09,5.41E-07,11.52146377
Rv2912c,5.272926415,11.01070194,19.76197463,5.29E-09,5.85E-07,11.41047718
Rv0850,4.311478626,9.706721984,19.72610329,5.38E-09,5.85E-07,11.39463234
Rv1955,4.480932649,11.08559223,19.60442687,5.69E-09,6.03E-07,11.34062018
Rv0991c,4.51873023,12.08568615,19.35906904,6.40E-09,6.60E-07,11.23044063
Rv0766c,4.931881416,11.13103471,18.50459926,9.70E-09,9.77E-07,10.83302993
Rv2617c,4.316718803,11.50061501,18.33593525,1.06E-08,1.04E-06,10.75196794
Rv2694c,3.717446657,11.64542719,17.96921651,1.27E-08,1.19E-06,10.57260885
Rv0990c,5.049318501,9.923590423,17.96734108,1.27E-08,1.19E-06,10.57168045
Rv0500A,-3.480808676,10.85470935,-17.87654071,1.33E-08,1.22E-06,10.52659395
Rv1957,3.963126573,10.84987808,17.75016037,1.42E-08,1.27E-06,10.46338845
Rv0847,6.573796604,11.14909859,17.61999455,1.52E-08,1.33E-06,10.39773368
Rv3252c,4.436161977,11.35024306,17.38794835,1.72E-08,1.47E-06,10.27926906
Rv3833,4.005585618,9.434225944,17.24034429,1.86E-08,1.56E-06,10.20294987
Rv0384c,3.706274239,11.40482851,17.19341229,1.91E-08,1.56E-06,10.17852421
Rv3176c,3.540857679,9.75026889,17.16605989,1.94E-08,1.56E-06,10.164253
Rv0118c,-4.078858664,10.44565627,-17.0431184,2.07E-08,1.63E-06,10.09978091
Rv1895,4.929801301,9.63562264,16.73818216,2.44E-08,1.89E-06,9.93752431
Rv2017,3.298407329,10.30419835,16.43465068,2.88E-08,2.17E-06,9.772613835
Rv1219c,3.49989845,9.277600662,16.41657563,2.91E-08,2.17E-06,9.762684187
Rv1993c,4.48927376,11.04070552,16.35086084,3.02E-08,2.17E-06,9.726478361
Rv2699c,3.297702974,10.37428102,16.34997024,3.02E-08,2.17E-06,9.725986549
Rv3515c,3.781234742,10.02043063,16.21684316,3.26E-08,2.30E-06,9.652126597
Rv2517c,3.841135563,12.34154961,16.14586672,3.39E-08,2.32E-06,9.612467397
Rv1169c,5.246777198,12.04935621,16.1283367,3.43E-08,2.32E-06,9.602641906
Rv2515c,3.061683698,9.490547825,16.06242786,3.56E-08,2.32E-06,9.565592266
